t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,0.2181,0.2191,0.2179,0.2191,1150866.5,631040.3
2026-09-06 13:45:00,0.219,0.2196,0.2188,0.2194,972924.6,467269.8
2026-09-06 14:00:00,0.2194,0.2195,0.2177,0.218,2834096.7,1545629.6
2026-09-06 14:15:00,0.2181,0.2186,0.2163,0.2171,4139746.7,1706954.1
2026-09-06 14:30:00,0.2171,0.2177,0.2154,0.2177,3038892.2,1599800.9
2026-09-06 14:45:00,0.2178,0.2183,0.2169,0.2176,1204753.2,574673.9
2026-09-06 15:00:00,0.2176,0.2176,0.216,0.2173,1121458.2,397618.3
2026-09-06 15:15:00,0.2174,0.2181,0.2173,0.2178,890781.2,369607.8
2026-09-06 15:30:00,0.2178,0.2181,0.2174,0.218,472374.8,277174.7
2026-09-06 15:45:00,0.218,0.218,0.2172,0.2175,1065823,432183.4
2026-09-06 16:00:00,0.2174,0.2184,0.2171,0.2183,467531.3,225869.3
2026-09-06 16:15:00,0.2184,0.2191,0.2179,0.2191,753342.8,353712.1
2026-09-06 16:30:00,0.2191,0.2192,0.2186,0.2189,578849.3,196828.3
2026-09-06 16:45:00,0.2189,0.2189,0.2185,0.2186,320610.4,168321.3
2026-09-06 17:00:00,0.2187,0.2188,0.2175,0.218,694057,343972.4
2026-09-06 17:15:00,0.2181,0.2188,0.2177,0.2179,957249.1,350091.6
2026-09-06 17:30:00,0.2179,0.2186,0.2176,0.2183,524919.5,297132.7
2026-09-06 17:45:00,0.2183,0.2183,0.2179,0.2179,464122,226890.3
2026-09-06 18:00:00,0.218,0.2193,0.218,0.2189,1057010.7,680527.6
2026-09-06 18:15:00,0.2189,0.2196,0.2187,0.2196,324325.7,149020
2026-09-06 18:30:00,0.2195,0.2198,0.2193,0.2195,517646.7,243413.8
2026-09-06 18:45:00,0.2194,0.2202,0.2188,0.22,3552747.5,2532947.9
2026-09-06 19:00:00,0.2199,0.22,0.219,0.2193,2436159.1,926108.6
2026-09-06 19:15:00,0.2194,0.2195,0.2187,0.2191,512208.9,143998.4
2026-09-06 19:30:00,0.2191,0.2193,0.2185,0.2188,487596.5,285215.1
2026-09-06 19:45:00,0.2189,0.2191,0.2187,0.2191,327924.1,192246.6
2026-09-06 20:00:00,0.2192,0.2195,0.2189,0.2193,205196.1,122752.6
2026-09-06 20:15:00,0.2194,0.221,0.2193,0.2207,696615.3,431521.2
2026-09-06 20:30:00,0.2206,0.2214,0.2204,0.2207,961252,455349.6
2026-09-06 20:45:00,0.2208,0.2221,0.2204,0.2207,1769168.5,1127289.3
2026-09-06 21:00:00,0.2208,0.2223,0.2208,0.2219,1491800.9,921539.7
2026-09-06 21:15:00,0.2219,0.2225,0.2213,0.2214,1120890,456239.5
2026-09-06 21:30:00,0.2213,0.2225,0.2213,0.2217,801507.6,437618.7
2026-09-06 21:45:00,0.2218,0.2221,0.2213,0.2216,401120.2,187608.5
2026-09-06 22:00:00,0.2217,0.2218,0.2196,0.22,1856018.2,768940.8
2026-09-06 22:15:00,0.2199,0.2211,0.2191,0.2207,1500506.3,732741.8
2026-09-06 22:30:00,0.2208,0.2217,0.2208,0.2216,859592.4,490241.4
2026-09-06 22:45:00,0.2215,0.2215,0.2209,0.2213,937037.6,451588.3
2026-09-06 23:00:00,0.2213,0.2225,0.221,0.2217,1008218.9,560376.4
2026-09-06 23:15:00,0.2216,0.2231,0.2214,0.2219,1244112.3,782678.9
2026-09-06 23:30:00,0.222,0.2236,0.2218,0.2235,1103909.2,494447.8
2026-09-06 23:45:00,0.2235,0.2236,0.2229,0.2234,1043466,600199
