t,o,h,l,c,v,taker_buy_v
2022-05-10,0.6025,0.701,0.5833,0.6286,436850308.6,219301763.5
2022-05-11,0.6286,0.6631,0.4727,0.5187,623456066.5,300556900.4
2022-05-12,0.5186,0.5508,0.4019,0.4733,815465798.5,405974288.5
2022-05-13,0.4733,0.6094,0.4689,0.529,458070252.8,225640585.1
2022-05-14,0.5289,0.5572,0.4888,0.5372,253441055.6,125166336.9
2022-05-15,0.5374,0.5999,0.5148,0.5981,195264575.4,97691998.8
2022-05-16,0.5982,0.6146,0.5444,0.5569,280903516.1,134195479.8
2022-05-17,0.5569,0.5999,0.5511,0.5778,178084619.6,88401271.6
2022-05-18,0.5776,0.5863,0.5026,0.5059,203077123.9,98787500.2
2022-05-19,0.5059,0.5467,0.4917,0.5334,205816006.7,101921911.9
2022-05-20,0.5334,0.545,0.5012,0.5162,174293262.6,88466784.1
2022-05-21,0.5162,0.5388,0.5086,0.5286,85487336,42063455.4
2022-05-22,0.5286,0.5488,0.5219,0.5416,104514258.8,51878916.1
2022-05-23,0.5416,0.5595,0.5039,0.5134,189427959.8,95461197.2
2022-05-24,0.5133,0.5255,0.4927,0.5219,170905795.6,83721980.3
2022-05-25,0.5218,0.5328,0.5071,0.5146,133554250.3,65738876.1
2022-05-26,0.5145,0.521,0.4614,0.4789,243664954.1,119737412.7
2022-05-27,0.4788,0.4839,0.4454,0.4566,268406015.6,132187406.4
2022-05-28,0.4566,0.4693,0.4481,0.4646,105935970.4,52981406.3
2022-05-29,0.4646,0.4827,0.4559,0.482,88626528.9,46065144.5
2022-05-30,0.4819,0.5777,0.4772,0.5698,259278313.4,134510610.1
2022-05-31,0.5698,0.6893,0.5678,0.6268,663619489.7,331524738.3
2022-06-01,0.6266,0.6314,0.5359,0.5516,355477399.6,174782896.5
2022-06-02,0.5517,0.5981,0.5487,0.5871,306125734.2,154833926.7
2022-06-03,0.5872,0.6055,0.539,0.56,206257910.9,102831989.5
2022-06-04,0.56,0.5718,0.5449,0.5665,108779268.9,54374282.1
2022-06-05,0.5666,0.5808,0.5538,0.5674,95277593.6,48975962.9
2022-06-06,0.5675,0.6472,0.5651,0.6091,341502376.8,174556496.7
2022-06-07,0.6091,0.645,0.5715,0.6141,338812294.7,167261866.9
2022-06-08,0.614,0.6696,0.6087,0.6408,394267374.7,196220274.4
2022-06-09,0.6407,0.6579,0.6258,0.6323,192310885.5,96223569.2
2022-06-10,0.6323,0.6361,0.57,0.5744,272263844.1,136142775.4
2022-06-11,0.5744,0.6175,0.543,0.554,300758115.7,149315564.6
2022-06-12,0.5541,0.561,0.4893,0.4904,397530507.9,194256087.4
2022-06-13,0.4904,0.4985,0.4366,0.4644,761583537.4,378622633.8
2022-06-14,0.4642,0.52,0.4369,0.4831,609069303.4,303383282.9
2022-06-15,0.4831,0.5393,0.4483,0.5348,628287744,318238258.5
2022-06-16,0.5347,0.5472,0.4673,0.4762,360176076.1,177855293.7
2022-06-17,0.4762,0.504,0.4717,0.4872,221261441.4,107184324.4
2022-06-18,0.4871,0.4953,0.4206,0.4549,383466178.7,188754268.2
2022-06-19,0.4548,0.49,0.4359,0.4848,304390171.7,153614063.9
2022-06-20,0.4849,0.5088,0.4613,0.4915,309797825.1,152800252.6
2022-06-21,0.4915,0.5114,0.4751,0.4813,269304587,135015286.5
2022-06-22,0.4813,0.4815,0.4559,0.4594,203592970.7,97561351.8
2022-06-23,0.4594,0.4831,0.4563,0.48,160787911.2,81747218.6
2022-06-24,0.48,0.5097,0.4762,0.4981,241562561.8,120407724.1
2022-06-25,0.4982,0.5078,0.4783,0.4984,142417111.7,68803509.8
2022-06-26,0.4985,0.526,0.4885,0.4899,211856675.9,105772025
2022-06-27,0.4899,0.5088,0.4756,0.4856,157303921.4,79453603.2
2022-06-28,0.4855,0.4975,0.4671,0.4694,163559982.8,78703385.9
2022-06-29,0.4693,0.4772,0.4588,0.4662,166130162.2,79642286.4
2022-06-30,0.4662,0.4677,0.4352,0.4599,212174584.9,106495608.1
2022-07-01,0.4599,0.475,0.4427,0.4487,182788187.1,90547200.6
2022-07-02,0.4487,0.4617,0.4408,0.4559,109165380.7,54511257.6
2022-07-03,0.4558,0.46,0.4436,0.4561,90832805.9,45450204
2022-07-04,0.456,0.4765,0.4445,0.4695,196991430.2,97916231.9
2022-07-05,0.4695,0.4717,0.4447,0.4571,171538047.7,82749025.6
2022-07-06,0.4571,0.4656,0.447,0.4623,139221841,70034300.9
2022-07-07,0.4623,0.4827,0.4609,0.4776,142206515.1,72476935.8
2022-07-08,0.4775,0.493,0.46,0.4661,170807637.3,84870910.1
2022-07-09,0.4661,0.4849,0.4653,0.478,100774030.7,49465696.6
2022-07-10,0.4781,0.4798,0.4552,0.4624,115262368.1,54031048.7
2022-07-11,0.4625,0.4628,0.4316,0.4347,162045832.1,76861826.2
2022-07-12,0.4347,0.4425,0.4156,0.4171,139595801.6,67572021.5
2022-07-13,0.4171,0.4422,0.4023,0.4383,265120837.4,132163289.3
2022-07-14,0.4383,0.4465,0.417,0.4416,208166850.3,105365446.4
2022-07-15,0.4417,0.4536,0.4326,0.4421,187707381.7,97110731.3
2022-07-16,0.4421,0.4591,0.4316,0.4578,147996093,74143492.2
2022-07-17,0.4578,0.466,0.4421,0.4478,153582187.8,76717843.7
2022-07-18,0.4478,0.4998,0.4457,0.4904,383712607.4,189987243.4
2022-07-19,0.4904,0.526,0.4733,0.5152,386358308.6,198125136.3
2022-07-20,0.5152,0.5487,0.4868,0.491,389779718.7,193278403.4
2022-07-21,0.491,0.5023,0.4756,0.4993,261898181.1,127097139.2
2022-07-22,0.4994,0.5114,0.477,0.4828,200329666.4,97861098.2
2022-07-23,0.4827,0.5186,0.473,0.517,199660186.4,98958254.8
2022-07-24,0.5171,0.5368,0.5095,0.512,233306136.5,117077962.2
2022-07-25,0.512,0.5154,0.4741,0.4752,200850290.9,95559514.8
2022-07-26,0.4752,0.4774,0.451,0.4677,213068947.5,105230372.3
2022-07-27,0.4678,0.5122,0.4588,0.5111,290166822,145531330.4
2022-07-28,0.5112,0.5242,0.4885,0.513,306444781.5,158061234.1
