t,o,h,l,c,v,taker_buy_v
2026-03-10 13:00:00,0.2642,0.267,0.2616,0.2639,13032651.5,6747353.6
2026-03-10 14:00:00,0.2639,0.2726,0.261,0.2721,18965720.2,10054420.2
2026-03-10 15:00:00,0.2721,0.2738,0.2686,0.2714,20529133.5,10958621.5
2026-03-10 16:00:00,0.2714,0.2739,0.2695,0.2722,13154493.2,6530236.1
2026-03-10 17:00:00,0.2722,0.2728,0.2678,0.269,12262121.1,5453381.8
2026-03-10 18:00:00,0.269,0.2691,0.2633,0.2637,12282195.5,5697569.8
2026-03-10 19:00:00,0.2637,0.2649,0.262,0.2624,3733733.8,1502708.6
2026-03-10 20:00:00,0.2624,0.2639,0.2623,0.2634,1980902.3,1097471
2026-03-10 21:00:00,0.2634,0.2645,0.2606,0.2615,8119809.4,3377835.1
2026-03-10 22:00:00,0.2616,0.2627,0.2605,0.2612,6314396.6,3577517.8
2026-03-10 23:00:00,0.2612,0.2624,0.261,0.2621,7379224.6,2627725.1
2026-03-11 00:00:00,0.262,0.2626,0.2604,0.262,7905146.5,3919142.4
2026-03-11 01:00:00,0.2621,0.2621,0.2601,0.2609,3393716.1,2047950.3
2026-03-11 02:00:00,0.261,0.2611,0.2587,0.2602,5233561.3,1883277.3
2026-03-11 03:00:00,0.2602,0.2609,0.259,0.2597,5057707.7,3352489
2026-03-11 04:00:00,0.2597,0.2624,0.2592,0.2621,3772623.9,2074826
2026-03-11 05:00:00,0.2621,0.2622,0.2577,0.2584,4612901.6,1851764.1
2026-03-11 06:00:00,0.2584,0.2598,0.2581,0.2587,4241783,2443340.9
2026-03-11 07:00:00,0.2586,0.2595,0.2566,0.2575,4507331.8,2276210.1
2026-03-11 08:00:00,0.2574,0.2586,0.2572,0.2583,4280066,2256957.3
2026-03-11 09:00:00,0.2582,0.2586,0.2571,0.2575,2288880.3,1204298.2
2026-03-11 10:00:00,0.2575,0.26,0.2572,0.2594,3442871.6,1909108.6
2026-03-11 11:00:00,0.2594,0.2601,0.2584,0.2588,4002351.8,1934318.2
2026-03-11 12:00:00,0.2587,0.2637,0.2579,0.2613,12883274.8,6336361.8
2026-03-11 13:00:00,0.2613,0.2679,0.2611,0.2629,30117955.8,13859038.2
2026-03-11 14:00:00,0.263,0.266,0.263,0.2638,15315645.5,8688119.5
2026-03-11 15:00:00,0.2638,0.264,0.2593,0.2625,7368541,3100030.6
2026-03-11 16:00:00,0.2625,0.2643,0.2618,0.2636,4990486.5,2706995.4
2026-03-11 17:00:00,0.2637,0.2665,0.2625,0.265,4990001.7,3057060.6
2026-03-11 18:00:00,0.2649,0.2667,0.2648,0.2663,5140932.5,2222720.9
2026-03-11 19:00:00,0.2663,0.2668,0.2649,0.2652,2690424,1599465.3
2026-03-11 20:00:00,0.2651,0.2652,0.2632,0.2641,2788879.4,1515670.1
2026-03-11 21:00:00,0.2642,0.2652,0.2636,0.2649,2504469.1,1367483.2
2026-03-11 22:00:00,0.2649,0.2662,0.263,0.2638,4406533.9,1847667.4
2026-03-11 23:00:00,0.2639,0.2645,0.2617,0.2626,2449217.5,1054724.7
2026-03-12 00:00:00,0.2626,0.2631,0.2614,0.2621,2390277.9,1334592.3
2026-03-12 01:00:00,0.2621,0.2621,0.2603,0.2608,3198606.6,1477354.5
2026-03-12 02:00:00,0.2608,0.2613,0.2589,0.259,3923211.1,1678219.3
2026-03-12 03:00:00,0.259,0.2604,0.2585,0.259,1834097.2,928906.7
2026-03-12 04:00:00,0.259,0.2599,0.2585,0.2588,1213993.4,630019.1
2026-03-12 05:00:00,0.2587,0.2594,0.258,0.2592,1752772.9,777160.8
2026-03-12 06:00:00,0.2591,0.2596,0.2586,0.2594,2323433.9,1190352.8
2026-03-12 07:00:00,0.2594,0.261,0.2588,0.2606,3070229.1,2004092.7
2026-03-12 08:00:00,0.2606,0.2624,0.2602,0.2609,4165029.5,2270430.1
2026-03-12 09:00:00,0.2608,0.2634,0.26,0.2617,2773562.7,1557816.3
2026-03-12 10:00:00,0.2617,0.2638,0.2614,0.2631,6641338.6,3417088.4
