t,o,h,l,c,v,taker_buy_v
2022-05-10,41.2,50.32,40,44.58,6887935.36,3394896.01
2022-05-11,44.58,46.25,26.11,31.17,12956731.61,6294478.68
2022-05-12,31.17,33.94,23.51,30.32,11602675.67,5774142.28
2022-05-13,30.31,37.99,29.55,32.21,7405352.03,3764264.87
2022-05-14,32.2,34.32,29.27,33.93,4033165.08,2053306.71
2022-05-15,33.93,37.07,31.87,36.57,3611773.82,1811039.37
2022-05-16,36.56,36.56,31.4,32.56,4737925.3,2296091.7
2022-05-17,32.56,35.77,32.2,34.39,3323237.18,1561302.22
2022-05-18,34.4,35.16,29.37,29.58,3400565.86,1634496.79
2022-05-19,29.59,31.89,27.51,30.39,4763307.53,2355840.87
2022-05-20,30.39,31.93,27.83,28.8,4866371.46,2374706.29
2022-05-21,28.8,30.61,28.19,29.89,2170197.88,1076287.42
2022-05-22,29.89,32.7,29.01,31.71,3775539.16,1862068.61
2022-05-23,31.71,33.08,28.54,29.06,4621612.58,2305620.92
2022-05-24,29.06,29.66,26.87,29.08,4251299.31,2142050.75
2022-05-25,29.07,29.68,27.11,27.25,3491521.18,1657417.91
2022-05-26,27.25,28.03,22.84,23.43,7355985.5,3650714.24
2022-05-27,23.42,23.88,21.35,22.58,7882719.859,4026929.82
2022-05-28,22.57,25.73,22.17,24.76,5080017.44,2522209.62
2022-05-29,24.76,27,23.72,26.16,5201437.75,2608944.5
2022-05-30,26.16,28.48,25.32,27.71,6453169.48,3222388.3
2022-05-31,27.71,29.11,25.55,26.42,6372299.65,2962340.91
2022-06-01,26.43,27.03,23.2,23.68,5323660.08,2646588.4
2022-06-02,23.68,24.9,22.5,24.63,4487201.1,2206072.76
2022-06-03,24.64,24.7,22.5,23,3150778.48,1526430.44
2022-06-04,23,24.67,22.14,24.57,2472290.13,1277894.32
2022-06-05,24.58,25.2,23.93,24.18,2624339.66,1323242.63
2022-06-06,24.18,27.79,24.05,25.99,5560470.13,2782435.14
2022-06-07,26,26.21,23.12,24.6,7021609.51,3529455.57
2022-06-08,24.6,25.45,23.72,24.5,3467088.16,1687566.47
2022-06-09,24.51,25.38,23.72,24.41,3066998.4,1527330.73
2022-06-10,24.42,24.87,21.91,22.08,3881414.9,1837242.36
2022-06-11,22.07,23.02,19.67,19.9,4541127.87,2199160.51
