t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,751.25,751.93,749.93,751.61,2803.589,1268.345
2026-09-06 13:45:00,751.62,752.44,750,751,3609.803,1922.079
2026-09-06 14:00:00,751,751,747.26,747.91,3722.378,1699.326
2026-09-06 14:15:00,747.92,748.44,744.05,744.73,5753.108,2402.365
2026-09-06 14:30:00,744.73,746.1,741.14,744.45,5927.35,2919.3
2026-09-06 14:45:00,744.44,744.44,740.93,741.74,2817.591,863.322
2026-09-06 15:00:00,741.75,743.64,740.24,743.01,2759.401,1544.264
2026-09-06 15:15:00,743.01,744.92,743.01,744.37,1949.949,1520.404
2026-09-06 15:30:00,744.37,745.5,743.8,744.79,1375.11,657.386
2026-09-06 15:45:00,744.78,746.19,744.73,745.97,1705.917,1272.151
2026-09-06 16:00:00,745.98,747.1,745.05,747.09,1326.44,762.903
2026-09-06 16:15:00,747.08,748.29,745.81,747.94,1545.693,706.9
2026-09-06 16:30:00,747.95,748.82,747,747.58,1759.145,1071.297
2026-09-06 16:45:00,747.57,748.08,747.09,747.77,736.122,425.896
2026-09-06 17:00:00,747.77,747.83,746.8,747.67,1184.166,487.701
2026-09-06 17:15:00,747.67,748.55,746.66,747.02,883.848,373.746
2026-09-06 17:30:00,747.03,748.06,746.78,747.64,495.068,197.576
2026-09-06 17:45:00,747.65,748.49,747.02,748.24,707.615,274.437
2026-09-06 18:00:00,748.25,748.51,747.58,748.1,1623.908,434.659
2026-09-06 18:15:00,748.1,749.39,747.89,749.11,1291.86,727.156
2026-09-06 18:30:00,749.12,750,748.82,749.46,1225.955,607.886
2026-09-06 18:45:00,749.47,749.99,748.83,749.65,900.264,585.789
2026-09-06 19:00:00,749.65,750.39,749.56,750.37,585.274,296.952
2026-09-06 19:15:00,750.37,750.47,749.28,749.55,649.006,345.684
2026-09-06 19:30:00,749.54,749.55,748.81,749.09,463.168,179.553
2026-09-06 19:45:00,749.09,749.42,748.6,749.18,413.213,261.624
2026-09-06 20:00:00,749.18,750.07,749.02,749.53,394.586,171.848
2026-09-06 20:15:00,749.53,750.92,748.94,750.79,1038.469,762.543
2026-09-06 20:30:00,750.79,751.49,750.36,751.12,1010.967,579.2
2026-09-06 20:45:00,751.13,751.77,751.07,751.51,533.945,280.636
2026-09-06 21:00:00,751.51,753.3,751.42,752.43,1301.919,610.928
2026-09-06 21:15:00,752.42,753.87,752.42,752.84,1917.345,1302.871
2026-09-06 21:30:00,752.83,753.65,752.03,752.24,1087.291,539.899
2026-09-06 21:45:00,752.23,752.99,751.1,751.48,1091.703,326.15
2026-09-06 22:00:00,751.49,751.49,749.44,749.7,1543.049,657.225
2026-09-06 22:15:00,749.7,749.74,748.38,749.4,918.436,463.083
2026-09-06 22:30:00,749.39,751.4,749.39,750.95,1329.33,1062.148
2026-09-06 22:45:00,750.95,751.85,750.45,751.53,1132.025,585.344
2026-09-06 23:00:00,751.53,753.45,751.19,752.35,1053.215,662.588
2026-09-06 23:15:00,752.35,753.53,751.75,752.19,1111.608,700.771
2026-09-06 23:30:00,752.19,754.69,752.04,753.86,1398.877,839.396
2026-09-06 23:45:00,753.85,754.93,752.19,753,2729.251,741.365
2026-09-07 00:00:00,753.01,756.43,751.92,754.61,2914.799,1604.326
2026-09-07 00:15:00,754.62,754.98,751.56,752.57,2573.471,719.314
2026-09-07 00:30:00,752.57,753.12,751.36,752.67,1363.258,668.646
2026-09-07 00:45:00,752.67,753.36,750.09,750.5,1429.933,708.851
2026-09-07 01:00:00,750.51,751.13,747.4,748.13,2154.223,744.895
2026-09-07 01:15:00,748.13,748.34,746.28,747.07,1742.631,735.834
2026-09-07 01:30:00,747.07,747.84,745.73,746.19,907.358,474.03
2026-09-07 01:45:00,746.19,748.93,745.73,748.69,872.867,512.401
2026-09-07 02:00:00,748.7,749.29,747.28,748.45,983.631,512.614
2026-09-07 02:15:00,748.45,752.66,748.45,752.28,1558.699,853.281
2026-09-07 02:30:00,752.28,755.91,752.19,754,1822.218,1209.459
2026-09-07 02:45:00,754,754.1,747.4,748.51,1753.836,557.669
2026-09-07 03:00:00,748.51,750.24,747.9,748.96,1202.837,759.523
2026-09-07 03:15:00,748.96,749.43,747.8,748.05,1023.248,385.63
2026-09-07 03:30:00,748.05,748.47,745.38,745.57,1876.682,648.001
2026-09-07 03:45:00,745.57,746.78,744.89,746.31,2727.038,934.624
2026-09-07 04:00:00,746.32,746.79,745.6,746.73,994.429,411.398
2026-09-07 04:15:00,746.74,747.57,746.16,746.19,1003.175,786.715
2026-09-07 04:30:00,746.19,746.63,745.5,746.63,898.234,459.527
2026-09-07 04:45:00,746.64,747.28,745.84,747.16,824.362,505.699
2026-09-07 05:00:00,747.15,747.94,746.78,747.43,717.751,423.259
2026-09-07 05:15:00,747.43,749.16,747.34,748.45,899.21,528.864
2026-09-07 05:30:00,748.44,750.01,748.15,749.81,864.135,540.781
2026-09-07 05:45:00,749.81,750.2,748.48,748.54,680.048,331.042
2026-09-07 06:00:00,748.54,749.16,748.2,749.02,831.683,494.426
2026-09-07 06:15:00,749.02,749.19,746.46,746.55,1181.683,409.156
2026-09-07 06:30:00,746.55,746.88,745.03,745.29,1185.516,484.251
2026-09-07 06:45:00,745.29,745.94,745.19,745.48,757.758,268.577
2026-09-07 07:00:00,745.49,745.62,744.49,744.61,1192.522,337.623
2026-09-07 07:15:00,744.62,745.05,742.69,742.75,2044.359,845.737
2026-09-07 07:30:00,742.76,743.76,740.26,742.99,2617.47,1271.064
2026-09-07 07:45:00,743,744.31,742.98,743.87,1331.128,720.232
2026-09-07 08:00:00,743.88,745.46,743.88,744.86,1453.066,893.025
2026-09-07 08:15:00,744.86,745.27,744.23,744.49,966.505,430.511
2026-09-07 08:30:00,744.49,744.98,743.97,744.75,1015.739,405.81
2026-09-07 08:45:00,744.76,745.18,744.09,745.17,882.262,402.098
2026-09-07 09:00:00,745.18,746.13,744.18,745.81,1809.158,1166.505
2026-09-07 09:15:00,745.81,746.92,744.8,745.34,1969.622,1163.449
2026-09-07 09:30:00,745.34,745.61,744.39,744.78,767.952,270.248
2026-09-07 09:45:00,744.77,745.13,742.52,742.81,2294.869,627.465
2026-09-07 10:00:00,742.81,743.9,742.59,743.52,1367.215,716.828
2026-09-07 10:15:00,743.51,744.01,743.03,743.56,2216.338,1376.5
2026-09-07 10:30:00,743.56,744.94,743.56,744.82,669.199,320.933
2026-09-07 10:45:00,744.82,744.83,743.49,743.7,831.208,364.537
2026-09-07 11:00:00,743.71,744.26,743.31,744.2,676.636,313.002
2026-09-07 11:15:00,744.2,744.89,743.56,743.57,1090.816,360.843
2026-09-07 11:30:00,743.57,744.53,743.28,743.71,836.376,431.121
2026-09-07 11:45:00,743.7,744.95,743.7,744.95,1093.843,641.552
2026-09-07 12:00:00,744.95,745.97,744.56,745.2,1250.294,615.207
2026-09-07 12:15:00,745.2,746.08,745,745.8,1273.369,554.252
2026-09-07 12:30:00,745.79,745.8,745.2,745.79,1050.99,388.598
2026-09-07 12:45:00,745.79,747.37,745.66,747.14,1334.022,754.008
2026-09-07 13:00:00,747.14,747.68,746.57,747.68,2346.602,1387.097
2026-09-07 13:15:00,747.68,747.68,746.31,746.88,2596.945,961.252
2026-09-07 13:30:00,746.88,747.35,745.35,745.55,1757.394,530.506
2026-09-07 13:45:00,745.54,746.18,744.06,745.63,1525.447,743.756
2026-09-07 14:00:00,745.63,745.89,743.89,744.64,1680.95,750.867
2026-09-07 14:15:00,744.63,745.1,743.2,743.3,1080.781,418.489
2026-09-07 14:30:00,743.29,744,741,742.27,1406.027,554.464
2026-09-07 14:45:00,742.26,744.3,742.24,743.57,808.218,420.954
2026-09-07 15:00:00,743.57,743.57,740.86,740.86,1190.482,395.754
2026-09-07 15:15:00,740.87,742.05,738.16,741.18,4386.47,1428.336
2026-09-07 15:30:00,741.18,741.21,735,736.91,5066.579,1710.027
2026-09-07 15:45:00,736.91,737.14,733,734.6,4775.274,1474.489
2026-09-07 16:00:00,734.6,737.99,734.51,737.86,3001.189,1935.176
2026-09-07 16:15:00,737.86,738.03,736.97,737.68,1599.675,993.57
2026-09-07 16:30:00,737.68,740,737.27,739.65,943.924,592.162
2026-09-07 16:45:00,739.65,740,739.5,739.9,840.716,508.22
2026-09-07 17:00:00,739.9,740.4,739.25,740.4,1033.385,488.782
2026-09-07 17:15:00,740.39,740.54,739.63,740.24,631.352,367.298
2026-09-07 17:30:00,740.24,741,739.76,740.93,650.256,343.26
2026-09-07 17:45:00,740.92,741.56,740.56,740.76,470.255,281.152
2026-09-07 18:00:00,740.76,741.3,739.97,739.97,550.702,257.561
2026-09-07 18:15:00,739.98,740.59,739.08,739.64,699.989,290.967
2026-09-07 18:30:00,739.63,739.72,738.6,739.44,799.498,402.486
2026-09-07 18:45:00,739.43,740.25,739.3,739.84,368.696,177.806
2026-09-07 19:00:00,739.84,739.87,739,739.69,251.08,142.288
2026-09-07 19:15:00,739.7,740.45,739.7,740.16,241.037,107.982
2026-09-07 19:30:00,740.15,742,740.15,741.97,603.927,419.204
2026-09-07 19:45:00,741.97,742.17,741.3,741.9,492.912,294.88
2026-09-07 20:00:00,741.91,741.99,739.5,739.69,619.628,228.756
2026-09-07 20:15:00,739.69,740.07,738.56,739.38,735.959,131.631
2026-09-07 20:30:00,739.38,740,739.16,739.75,467.672,350.924
2026-09-07 20:45:00,739.76,740.18,739.46,740.18,470.509,236.644
2026-09-07 21:00:00,740.19,740.24,739.69,740.24,304.144,178.563
2026-09-07 21:15:00,740.25,740.25,739.52,739.56,696.669,406.763
2026-09-07 21:30:00,739.56,739.86,739.01,739.69,551.551,300.948
2026-09-07 21:45:00,739.68,740.01,738.67,739.34,713.486,349.965
2026-09-07 22:00:00,739.34,739.92,738,738.89,506.95,239.269
2026-09-07 22:15:00,738.9,739.83,737.78,738.6,692.708,337.106
2026-09-07 22:30:00,738.6,738.76,736.06,736.71,745.073,275.588
2026-09-07 22:45:00,736.71,738.55,736.71,738.36,457.94,311.411
2026-09-07 23:00:00,738.37,740,738.35,739.77,805.486,440.318
2026-09-07 23:15:00,739.77,739.77,738.31,738.98,295.805,110.537
2026-09-07 23:30:00,738.98,739.8,738.38,739.79,300.99,166.506
2026-09-07 23:45:00,739.79,740.96,739.71,739.98,564.202,377.544
2026-09-08 00:00:00,739.98,740.05,738.91,739.56,893.247,456.546
2026-09-08 00:15:00,739.57,740.09,738.36,738.51,719.112,418.597
2026-09-08 00:30:00,738.5,741.5,738.4,740.66,798.479,500.765
2026-09-08 00:45:00,740.66,741.17,740.24,740.62,697.814,340.15
2026-09-08 01:00:00,740.62,741.69,740.2,740.63,669.327,429.221
2026-09-08 01:15:00,740.64,743,740.57,742.33,972.629,617.601
2026-09-08 01:30:00,742.32,742.36,741.45,742.2,798.161,436.272
2026-09-08 01:45:00,742.21,742.8,741.27,742.55,622.115,236.471
2026-09-08 02:00:00,742.55,742.61,741.41,741.86,589.049,299.126
2026-09-08 02:15:00,741.85,743.56,740.76,740.9,1433.846,651.124
2026-09-08 02:30:00,740.89,741.32,739.28,740.21,1161.94,606.093
2026-09-08 02:45:00,740.21,741.63,738.49,738.5,1171.599,597.109
2026-09-08 03:00:00,738.5,739.37,737.79,738.13,1086.423,547.883
2026-09-08 03:15:00,738.13,738.65,737.01,738.54,1426.347,828.677
2026-09-08 03:30:00,738.53,744.1,738.5,743.53,2416.916,1530.498
2026-09-08 03:45:00,743.52,745.24,742.1,742.91,2114.457,810.205
2026-09-08 04:00:00,742.91,743.74,741.93,742.35,1071.979,558.922
2026-09-08 04:15:00,742.36,745.25,741.7,744.71,2203.581,1295.112
2026-09-08 04:30:00,744.72,746.22,744.59,745.68,2495.006,1347.56
2026-09-08 04:45:00,745.67,746.88,745.3,745.56,2935.381,1130.259
2026-09-08 05:00:00,745.55,749.28,743.8,747.25,4199.396,2310.029
2026-09-08 05:15:00,747.24,754.41,746.45,752.96,4627.169,2689.2
2026-09-08 05:30:00,752.97,754.42,750.85,752.54,4457.409,2253.376
2026-09-08 05:45:00,752.53,754.46,749.08,750.94,3333.327,1210.69
2026-09-08 06:00:00,750.95,751.35,747.76,749.44,2547.904,1108.672
2026-09-08 06:15:00,749.44,749.45,745.14,747.11,2428.533,1325.773
2026-09-08 06:30:00,747.1,749,746.51,747.37,1842.809,900.813
2026-09-08 06:45:00,747.38,749,745.43,747.57,2599.067,1456.539
2026-09-08 07:00:00,747.57,750.46,747.51,749.44,2024.655,1326.775
2026-09-08 07:15:00,749.43,752.39,749.01,751.89,2272.421,1331.008
2026-09-08 07:30:00,751.89,756.74,751.4,756.19,5329.213,3045.498
2026-09-08 07:45:00,756.2,757.58,753.99,754.66,3677.251,1687.123
2026-09-08 08:00:00,754.66,759,753.48,757.95,5740.773,3115.417
2026-09-08 08:15:00,757.95,761.39,757.59,758.41,8086.364,3734.027
2026-09-08 08:30:00,758.4,759.44,756.88,757.29,2792.364,1283.173
2026-09-08 08:45:00,757.29,758.11,754.4,754.97,2330.871,780.911
2026-09-08 09:00:00,754.96,755.99,750.23,755.28,4861.518,2250.938
2026-09-08 09:15:00,755.28,755.74,753.45,755.66,1818.214,788.275
2026-09-08 09:30:00,755.66,757.11,755,755.99,2892.523,1379.114
2026-09-08 09:45:00,756,756.44,754.01,754.78,1688.442,710.442
2026-09-08 10:00:00,754.78,755.99,753.57,755.68,2726.645,1246.613
2026-09-08 10:15:00,755.69,758.01,755.55,757.19,2745.747,1916.818
2026-09-08 10:30:00,757.2,758.01,755.65,757.09,2309.597,1126.361
2026-09-08 10:45:00,757.09,758.13,756,756.24,1812.945,1031.437
2026-09-08 11:00:00,756.24,756.75,752.4,752.83,2520.552,956.793
2026-09-08 11:15:00,752.83,756.27,752.8,753.58,3078.108,1519.955
2026-09-08 11:30:00,753.59,754.21,750.3,752.08,3478.923,1616.449
2026-09-08 11:45:00,752.09,753,751.77,752.28,2863.162,2007.153
2026-09-08 12:00:00,752.3,752.92,750.16,750.38,2595.458,795.853
2026-09-08 12:15:00,750.39,751.55,749.39,750.91,2582.678,1262.728
2026-09-08 12:30:00,750.92,752.52,750.09,750.74,1957.7,1228.169
2026-09-08 12:45:00,750.74,752.28,750.51,751.83,1234.285,716.271
2026-09-08 13:00:00,751.84,753.01,751.23,752.09,1151.35,623.062
2026-09-08 13:15:00,752.1,752.68,750.22,751.05,1514.996,550.692
2026-09-08 13:30:00,751.06,751.39,742.33,743.91,7375.191,2351.506
2026-09-08 13:45:00,743.91,748.32,742.47,747.03,3339.419,1737.227
2026-09-08 14:00:00,747.02,750.4,746.04,750.12,1695.59,993.232
2026-09-08 14:15:00,750.12,751.57,749.19,750.08,3377.533,2132.905
2026-09-08 14:30:00,750.08,750.18,748.07,749.62,1918.619,827.046
2026-09-08 14:45:00,749.62,751.18,749.36,750.68,1678.121,792.801
2026-09-08 15:00:00,750.69,752.21,750.35,751.36,1080.145,543.145
2026-09-08 15:15:00,751.36,752.33,749.31,749.42,2078.509,1022.023
2026-09-08 15:30:00,749.43,754.74,749.35,754.23,2096.453,1260.798
2026-09-08 15:45:00,754.23,757.03,754.23,756.35,4358.471,3026.11
2026-09-08 16:00:00,756.36,756.57,753.5,753.92,1583.55,476.715
2026-09-08 16:15:00,753.93,754.84,753.35,754.84,903.819,489.314
2026-09-08 16:30:00,754.84,757.96,754.57,756.3,1335.365,701.171
2026-09-08 16:45:00,756.31,756.76,755.07,755.7,1096.179,479.204
2026-09-08 17:00:00,755.71,756.5,754.27,754.65,1160.525,449.061
2026-09-08 17:15:00,754.65,754.66,751.92,752.44,793.564,300.176
2026-09-08 17:30:00,752.43,753.79,752.27,752.34,658.918,302.881
2026-09-08 17:45:00,752.34,753.24,751.95,751.97,765.612,385.621
2026-09-08 18:00:00,751.98,754.27,751.41,753.1,856.765,506.204
2026-09-08 18:15:00,753.11,754,752.68,752.84,442.028,205.736
2026-09-08 18:30:00,752.84,753.2,750.52,750.93,518.98,192.407
2026-09-08 18:45:00,750.93,751.14,747.56,749.29,1100.977,489.258
2026-09-08 19:00:00,749.29,750.29,748.84,749.16,932.716,382.639
2026-09-08 19:15:00,749.17,750.15,748.6,750.05,1138.424,538.301
2026-09-08 19:30:00,750.06,750.15,748.64,748.84,1167.417,504.514
2026-09-08 19:45:00,748.85,748.88,747.53,748.88,1224.605,635.37
2026-09-08 20:00:00,748.88,751.33,748.87,750.97,1620.422,1114.221
2026-09-08 20:15:00,750.97,750.97,749.29,750.55,991.842,444.456
2026-09-08 20:30:00,750.55,751.04,749.37,750.56,678.205,313.759
2026-09-08 20:45:00,750.57,751.66,750.13,750.97,1124.686,384.64
2026-09-08 21:00:00,750.99,752.24,750.99,752.06,557.464,325.81
2026-09-08 21:15:00,752.07,752.6,751.29,752.25,824.553,335.26
2026-09-08 21:30:00,752.26,753.37,751.44,752.11,2124.671,1197.527
