t,o,h,l,c,v,taker_buy_v
2022-05-10,296.1,332.8,289,319.1,2160654.175,1058434.735
2022-05-11,319.1,323,260.8,271.5,3387753.983,1663800.45
2022-05-12,271.4,285,218.8,269,4499625.603,2192767.966
2022-05-13,269,313.5,265.4,290.6,1912387.361,972518.566
2022-05-14,290.7,299.5,272.1,296.9,1092874.023,556608.948
2022-05-15,296.9,312.6,285.7,312.4,774709.231,389103.506
2022-05-16,312.4,312.5,290.3,297.2,967622.834,484101.387
2022-05-17,297.3,310.7,295.8,306.2,702265.607,347041.057
2022-05-18,306.2,308.6,286.8,287.7,731091.091,361142.33
2022-05-19,287.8,308.9,286.8,307.1,685238.844,346082.627
2022-05-20,307.1,316.1,294.1,302.2,918118.177,464156.396
2022-05-21,302.3,314.2,299.3,312.4,470778.483,230272.195
2022-05-22,312.5,323.7,311.5,319.4,640675.573,325208.812
2022-05-23,319.3,337,315.3,317.2,1016212.871,509179.981
2022-05-24,317.1,330.4,312.1,328.3,1087140.698,537662.604
2022-05-25,328.3,337.9,324,325.7,1057736.755,530208.977
2022-05-26,325.7,331.8,296.7,303,1539437.598,747810.221
2022-05-27,303,309.8,290.6,301.6,1460549.008,713409.448
2022-05-28,301.5,310.5,296.9,307.5,601654.504,298145.657
2022-05-29,307.6,308.2,298.6,305.8,519507.747,260088.838
2022-05-30,305.9,324,303.9,321.8,1006928.231,521569.372
2022-05-31,321.8,324.8,313.5,320.9,701746.39,348392.686
2022-06-01,321,324.5,297.6,300.4,817984.609,399937.208
2022-06-02,300.5,309.2,298.2,308.3,477670.4,239176.989
2022-06-03,308.4,310.3,293.3,298.6,468996.677,230771.492
2022-06-04,298.6,302.9,294.8,301.3,293533.108,151480.095
2022-06-05,301.4,302.5,295,299.1,269695.901,134680.715
2022-06-06,299.1,312.3,288,295.1,758590.86,373799.032
2022-06-07,295.1,295.9,273.5,290.3,969784.619,473595.14
2022-06-08,290.3,294.6,283.9,288.5,509510.455,264647.471
2022-06-09,288.5,293.4,286.3,289.9,335495.073,180648.997
2022-06-10,289.9,298.9,283.2,286.4,817523.364,428427.936
2022-06-11,286.4,290.6,265.2,269.9,584351.456,282490.702
2022-06-12,269.9,272,251.1,254.8,827755.035,401769.922
2022-06-13,254.8,257.8,213.2,223,2377589.409,1158626.714
2022-06-14,222.9,231.4,204.1,223,1922025.084,954336.2071
2022-06-15,223.1,234.7,198.4,233.6,2105397.552,1042847.422
2022-06-16,233.6,237.2,207.7,210.2,975592.873,476983.002
2022-06-17,210.3,222.1,207.7,215.8,690834.308,349047.83
2022-06-18,215.8,219,183.4,197,1404690.496,668746.69
2022-06-19,197,217,189.7,215.1,1102166.171,569294.167
2022-06-20,215.1,219.8,204.8,216.5,880400.844,437645.957
2022-06-21,216.5,228.4,213.1,220.1,829003.565,436736.138
2022-06-22,220.2,221,211.2,214.4,690466.465,349225.642
2022-06-23,214.4,231.7,214,228.9,783796.952,415136.143
2022-06-24,229,243.3,228.3,240.2,707275.387,361206.928
2022-06-25,240.3,242.1,229.7,239.7,490948.31,243254.481
2022-06-26,239.7,245.2,233.2,233.9,456762.547,228341.531
2022-06-27,234,241,230,233.8,483616.798,243099.513
2022-06-28,233.9,242.8,225.9,226.9,632626.779,325512.672
2022-06-29,227,229.8,215.4,219.7,711780.691,364354.108
2022-06-30,219.7,220.3,205.4,219.6,791526.898,401490.663
2022-07-01,219.6,226.8,213.5,216.9,816261.885,426482.119
2022-07-02,216.9,219.7,213.8,218.3,342712.099,176393.79
2022-07-03,218.4,220.1,213.9,219.2,361103.065,187666.58
2022-07-04,219.2,232.2,214.8,231.5,514662.946,271546.953
2022-07-05,231.6,236.6,222.9,230.8,684927.621,327209.981
2022-07-06,230.8,240,229,238.6,644951.713,332247.796
2022-07-07,238.6,243.8,230,241.4,488193.225,243710.449
2022-07-08,241.4,247.7,237,240.7,643936.034,330125.782
2022-07-09,240.7,245,240.4,243.3,267778.165,143342.71
2022-07-10,243.3,243.5,231.7,234.7,396712.237,197805.72
2022-07-11,234.7,235,225.1,225.6,419335.067,204467.196
2022-07-12,225.7,228.3,220.2,220.6,410220.066,203288.701
2022-07-13,220.6,231.3,216.4,230.5,714589.61,365499.985
2022-07-14,230.5,240,227.1,238.5,577524.874,295097.434
2022-07-15,238.6,242.7,235.4,238.5,446513.822,233080.702
2022-07-16,238.6,251.5,233.9,249.8,423399.994,220960.658
2022-07-17,249.8,256.1,246.4,247.8,436448.547,222793.677
2022-07-18,247.8,265.6,247.6,264.1,747067.029,382392.944
2022-07-19,264.1,274.8,255.8,268.6,946386.94,486261.027
2022-07-20,268.6,272,256.4,258.2,771496.808,402550.85
2022-07-21,258.3,266,250.7,265.6,545140.272,267768.693
2022-07-22,265.6,271.4,261.1,262.4,508542.317,257841.085
2022-07-23,262.5,272.6,252.7,259.2,488326.247,254518.392
2022-07-24,259.2,266.2,257.1,261.4,333902.611,167953.902
2022-07-25,261.4,262.7,243.8,244.6,458768.533,218400.984
2022-07-26,244.7,249.6,239.6,249.4,365533.647,183348.935
2022-07-27,249.5,272,247.5,271.6,656773.695,337068.498
2022-07-28,271.6,280.8,263.6,277.2,669832.4,354243.824
2022-07-29,277.2,302,274.8,293.6,1077799.221,531209.658
2022-07-30,293.6,300.2,285.1,287.8,683111.103,334891.151
2022-07-31,287.8,297.1,282.1,283.4,564727.273,282605.3
2022-08-01,283.5,290.5,277.9,283.2,493847.804,241883.273
2022-08-02,283.3,291.1,274.2,283.8,627814.081,314870.809
2022-08-03,283.8,305.7,278.2,297.5,685924.62,340181.591
2022-08-04,297.6,313.4,297.2,311.8,808604.152,412768.592
2022-08-05,311.9,321.5,308.1,315.9,641807.573,323449.69
2022-08-06,315.9,322.9,312.6,315.2,394288.536,199268.631
2022-08-07,315.3,325.9,308.2,322.8,415090.183,214960.311
2022-08-08,322.7,334,320.8,324.9,580206.607,299088.346
2022-08-09,324.9,328.3,312.4,324.4,500589.395,246886.675
2022-08-10,324.5,336.8,313.6,328.8,831222.11,433849.267
2022-08-11,328.8,334.7,322,323.6,549578.328,278636.78
2022-08-12,323.5,328.1,317.7,327.9,384848.843,198713.625
2022-08-13,327.9,333,322.8,324.3,405066.252,206565.369
2022-08-14,324.3,331,315.8,317.6,378353.918,191971.358
2022-08-15,317.6,327.4,313.6,319.5,455916.278,229110.764
2022-08-16,319.4,322.4,312,316.1,370975.919,184011.773
2022-08-17,316,324,304.2,306.9,504236.732,239100.592
2022-08-18,306.8,311,295.8,298.1,409051.886,202439.479
2022-08-19,298.1,298.2,276.2,279.1,870296.511,424221.572
2022-08-20,279,289.4,277,283.7,513021.106,258578.916
2022-08-21,283.8,304.2,283.4,301.9,528156.209,275912.113
2022-08-22,301.9,304.9,288.8,300,638895.985,328198.162
2022-08-23,300,301.7,293.8,299.3,403374.952,210055.986
2022-08-24,299.3,300.5,294.3,296.4,344126.265,177421.771
2022-08-25,296.4,307.5,296,301.2,398617.06,202888.235
