t,o,h,l,c,v,taker_buy_v
2026-03-10 13:00:00,646.59,648.03,641.24,642.37,5589.777,2693.994
2026-03-10 14:00:00,642.37,651.81,638.29,650.89,9294.529,5343.006
2026-03-10 15:00:00,650.89,652.23,646.1,649.23,7930.078,3646.665
2026-03-10 16:00:00,649.24,652.36,647.5,649.74,4586.571,2365.232
2026-03-10 17:00:00,649.75,650.18,644.58,646.57,4696.655,1815.651
2026-03-10 18:00:00,646.57,646.57,640.6,641.4,4473.728,2040.53
2026-03-10 19:00:00,641.41,642.81,640.06,641.79,4300.69,2267.502
2026-03-10 20:00:00,641.78,644.29,641.7,644.08,1384.615,841.047
2026-03-10 21:00:00,644.09,645.29,639.68,641.52,2617.731,1104.001
2026-03-10 22:00:00,641.52,642.47,639.6,642.02,2099.878,1034.978
2026-03-10 23:00:00,642.01,643.03,641.17,642,1417.563,709.176
2026-03-11 00:00:00,642.01,643.95,641.16,643.38,2305.506,1454.664
2026-03-11 01:00:00,643.38,644.42,642.46,644.28,1463.82,801.694
2026-03-11 02:00:00,644.28,644.38,638.77,641.02,2754.225,1144.128
2026-03-11 03:00:00,641.02,642.59,639.64,639.88,2303.041,1243.12
2026-03-11 04:00:00,639.87,644.87,639.26,644.67,2732.537,1752.257
2026-03-11 05:00:00,644.67,644.92,637.77,638.01,3339.535,1170.612
2026-03-11 06:00:00,638,643.72,638,643.03,3424.915,2017.211
2026-03-11 07:00:00,643.03,643.25,640.01,640.5,4942.274,3124.088
2026-03-11 08:00:00,640.5,642.73,639.83,642.46,3461.149,2266.38
2026-03-11 09:00:00,642.47,642.5,639.51,639.94,2658.643,1094.4
2026-03-11 10:00:00,639.94,644.37,639.78,643.79,3592.084,2314.249
2026-03-11 11:00:00,643.79,643.79,635.02,638.2,18872.69,7854.3
2026-03-11 12:00:00,638.2,642.73,636.74,641.76,6382.073,3747.235
2026-03-11 13:00:00,641.76,652.19,641.58,646.55,13111.288,6922.864
2026-03-11 14:00:00,646.55,651.26,644.59,648.41,9995.774,5662.656
2026-03-11 15:00:00,648.42,649.38,642.05,645.98,7103.307,3164.038
2026-03-11 16:00:00,645.99,649.71,645.24,648.11,5532.254,3086.063
2026-03-11 17:00:00,648.11,655.73,648.11,651.76,10037.57,5882.254
2026-03-11 18:00:00,651.75,654.18,650.73,652.68,3560.693,1799.266
2026-03-11 19:00:00,652.68,653.74,651.08,653.15,2255.839,1340.135
2026-03-11 20:00:00,653.14,653.18,651.59,652.78,1425.046,720.738
2026-03-11 21:00:00,652.78,654.36,651.73,654.19,2028.392,1385.732
2026-03-11 22:00:00,654.2,656.29,651.55,652.35,4097.394,1606.43
2026-03-11 23:00:00,652.36,653.21,650.4,651.46,2765.765,1278.976
2026-03-12 00:00:00,651.47,652.25,650.52,652.08,1785.658,1030.251
2026-03-12 01:00:00,652.07,652.09,646.69,646.75,5033.32,2040.604
2026-03-12 02:00:00,646.74,647.73,642.52,643.17,4894.524,2524.78
2026-03-12 03:00:00,643.17,645.17,642.25,643.26,3235.238,1648.192
2026-03-12 04:00:00,643.26,644.32,641.63,643.08,2835.774,1672.16
2026-03-12 05:00:00,643.08,645.03,642.97,644.36,2577.726,1726.11
2026-03-12 06:00:00,644.37,645.48,643.53,644.64,2241.145,1284.71
2026-03-12 07:00:00,644.64,647.16,644.07,645.85,3414.348,1940.662
2026-03-12 08:00:00,645.86,648.9,645.75,647.76,4056.619,2449.727
2026-03-12 09:00:00,647.75,651.26,646,650.1,4647.862,2650.064
2026-03-12 10:00:00,650.1,652.81,649.41,652.07,4601.453,2746.83
2026-03-12 11:00:00,652.06,654.09,651.08,652.46,3535.763,1838.182
2026-03-12 12:00:00,652.47,657.7,651.35,655.55,5644.6,3399.004
2026-03-12 13:00:00,655.56,656.16,650.6,652.68,8529.908,3957.069
2026-03-12 14:00:00,652.69,656.16,645.64,646.84,10387.9,4319.658
2026-03-12 15:00:00,646.84,653.76,646.02,650.03,13062.625,7530.856
2026-03-12 16:00:00,650.03,652.5,648,651.53,5118.156,2267.804
2026-03-12 17:00:00,651.53,652.52,649.46,650.5,2180.223,1123.63
2026-03-12 18:00:00,650.5,651.49,647.82,647.95,2412.603,1040.219
2026-03-12 19:00:00,647.95,651.54,646.42,651.03,3522.512,1918.284
2026-03-12 20:00:00,651.03,651.55,648.98,649.62,1862.47,874.576
2026-03-12 21:00:00,649.63,652.35,649.63,651.86,1362.453,777.935
2026-03-12 22:00:00,651.85,652.04,649.85,651.26,1090.337,621.849
2026-03-12 23:00:00,651.26,654.92,651.24,651.72,3500.839,2155.657
2026-03-13 00:00:00,651.72,664,650.34,658.7,18076.881,10762.193
2026-03-13 01:00:00,658.71,662.15,658.06,661.9,4683.4,2347.234
2026-03-13 02:00:00,661.91,662.4,659.06,659.43,5624.749,2003.365
2026-03-13 03:00:00,659.43,662.05,657.43,661.58,5126.152,3563.886
2026-03-13 04:00:00,661.57,661.9,659.32,660.67,3505.06,2396.06
2026-03-13 05:00:00,660.67,662,659.24,660.68,3640.93,1924.2
2026-03-13 06:00:00,660.67,661.7,658.88,660.84,8255.416,3570.111
2026-03-13 07:00:00,660.84,664.5,660.01,661.29,10567.686,5328.916
2026-03-13 08:00:00,661.29,668,660.65,665.9,12687.14,7507.477
2026-03-13 09:00:00,665.9,667.97,664.22,667.02,10846.913,7313.066
2026-03-13 10:00:00,667.01,668.67,665.99,666.98,16021.128,6331.343
2026-03-13 11:00:00,666.99,668.21,665.88,666.64,4429.662,2152.963
2026-03-13 12:00:00,666.64,673.63,666.56,671.21,10084.039,6137.52
2026-03-13 13:00:00,671.21,679,670.63,674.54,16188.602,8164.979
2026-03-13 14:00:00,674.55,678.36,667.3,667.98,17852.117,8255.76
2026-03-13 15:00:00,667.99,671.62,661.09,662.21,18686.399,7835.801
2026-03-13 16:00:00,662.21,663.57,658.21,661.84,17048.078,6051.786
2026-03-13 17:00:00,661.84,664.48,654,655.86,13929.816,7059.804
2026-03-13 18:00:00,655.86,658.52,654.07,656.83,21267.659,10947.549
2026-03-13 19:00:00,656.83,658.06,656.03,657.25,2072.084,1172.028
2026-03-13 20:00:00,657.25,658.6,656.24,657.34,3089.779,1144.06
2026-03-13 21:00:00,657.35,658.78,656.2,656.86,2425.743,1313.983
2026-03-13 22:00:00,656.87,657.45,653.55,655.53,3579.399,1685.027
2026-03-13 23:00:00,655.53,656.2,654.5,655.73,2292.168,1339.465
2026-03-14 00:00:00,655.72,656.27,652.52,653.08,3664.962,2028.804
2026-03-14 01:00:00,653.08,656.82,652.93,656.43,2762.649,1632.86
2026-03-14 02:00:00,656.43,656.73,655.08,655.48,1787.374,863.394
2026-03-14 03:00:00,655.49,657.26,655.27,656.89,2070.278,1190.679
2026-03-14 04:00:00,656.88,658.27,655.22,655.49,3422.734,1891.887
2026-03-14 05:00:00,655.5,656.74,654.65,655.62,2926.298,1560.686
2026-03-14 06:00:00,655.61,655.61,651,653.32,4304.943,1785.73
2026-03-14 07:00:00,653.31,654.66,652,652.19,3105.768,1633.277
