t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,79794.07,79857.99,79760.39,79794.23,127.09408,43.74241
2026-09-06 13:45:00,79794.23,79845.17,79772.59,79829.98,98.13834,39.05781
2026-09-06 14:00:00,79829.99,79840.25,79744,79750,98.39628,42.66836
2026-09-06 14:15:00,79749.99,79796,79591.39,79671.82,175.64399,92.80198
2026-09-06 14:30:00,79671.82,79756.76,79233,79718.18,339.8263,144.70711
2026-09-06 14:45:00,79718.18,79718.18,79528,79543.06,85.82847,36.17151
2026-09-06 15:00:00,79543.07,79585.95,79383.32,79538.51,164.39027,89.74829
2026-09-06 15:15:00,79538.51,79662,79538.51,79635.92,51.30073,27.71565
2026-09-06 15:30:00,79635.92,79716,79596.36,79692.01,40.20002,22.31328
2026-09-06 15:45:00,79692,79734.59,79656.22,79716.5,86.21,49.44349
2026-09-06 16:00:00,79716.51,79734.58,79606.04,79698,68.47929,35.24328
2026-09-06 16:15:00,79698.01,79725,79641.62,79712.85,47.79233,21.39173
2026-09-06 16:30:00,79712.85,79786,79691.28,79720.24,55.40391,30.8754
2026-09-06 16:45:00,79720.24,79722.95,79645.02,79682,50.61579,15.68753
2026-09-06 17:00:00,79682,79682,79584.73,79626,50.55929,19.14523
2026-09-06 17:15:00,79626,79773.88,79625.99,79696.42,69.63835,43.10724
2026-09-06 17:30:00,79696.42,79766,79676.59,79748.22,49.13549,21.5243
2026-09-06 17:45:00,79748.22,79766,79732,79745.34,35.74258,18.81334
2026-09-06 18:00:00,79745.34,79871,79745.34,79835.97,62.38992,33.4936
2026-09-06 18:15:00,79835.97,79919.63,79826.71,79916.45,48.49527,23.87933
2026-09-06 18:30:00,79916.46,79970,79916.45,79953.06,67.0845,37.12367
2026-09-06 18:45:00,79953.07,79959.1,79902.62,79955.34,40.3743,11.38909
2026-09-06 19:00:00,79955.34,79955.34,79866.34,79867.66,49.1678,10.87184
2026-09-06 19:15:00,79867.66,79868,79822.41,79850.63,53.21578,11.97328
2026-09-06 19:30:00,79850.62,79850.63,79806.62,79807.92,51.4425,12.95596
2026-09-06 19:45:00,79807.92,79830,79799.52,79829.99,59.67546,24.04697
2026-09-06 20:00:00,79830,79830,79776.59,79809.56,36.89557,11.11182
2026-09-06 20:15:00,79809.56,79951.69,79809.56,79934.01,59.91393,41.36915
2026-09-06 20:30:00,79934,79969.83,79916,79953.99,80.21136,50.72001
2026-09-06 20:45:00,79954,79973.56,79899.35,79912,58.81763,42.6369
2026-09-06 21:00:00,79912,80016,79912,80003.7,104.15188,59.67773
2026-09-06 21:15:00,80003.7,80034,79900,79907.72,106.99164,57.34082
2026-09-06 21:30:00,79907.72,79986.02,79875.24,79910.6,94.54432,61.50856
2026-09-06 21:45:00,79910.6,80000,79893.68,79944.38,75.45247,49.53974
2026-09-06 22:00:00,79944.39,79944.8,79676.03,79753.25,120.76825,69.90729
2026-09-06 22:15:00,79753.25,79837.47,79647.04,79824,111.43259,69.2222
2026-09-06 22:30:00,79823.99,80015.84,79816.01,79972.98,120.466,80.77003
2026-09-06 22:45:00,79972.97,80093.79,79947.51,80055.17,134.06894,91.11677
2026-09-06 23:00:00,80055.18,80352.18,80010,80191.67,240.66157,148.01608
2026-09-06 23:15:00,80191.66,80280,80100,80122,157.95015,87.36772
2026-09-06 23:30:00,80121.99,80487.49,80121.99,80383.25,238.12948,169.14937
2026-09-06 23:45:00,80383.25,80559.99,80298.58,80341.83,259.35788,166.07455
2026-09-07 00:00:00,80341.83,80443.99,80230.29,80328,171.05551,88.76948
2026-09-07 00:15:00,80328.01,80336,80061.9,80199.89,113.3951,45.41574
2026-09-07 00:30:00,80199.89,80272,80103.9,80150.01,90.8927,40.41171
2026-09-07 00:45:00,80150,80198.21,80059.11,80160.01,97.89389,55.1739
2026-09-07 01:00:00,80160.01,80243.81,79947.27,79958.55,149.05357,62.23641
2026-09-07 01:15:00,79958.55,80014.07,79856.15,79918.56,140.09442,70.80919
2026-09-07 01:30:00,79918.57,79992,79829.68,79854.46,74.94653,30.3285
2026-09-07 01:45:00,79854.46,79986.47,79826.28,79926.14,65.12738,25.68287
2026-09-07 02:00:00,79926.14,79939.17,79800,79837.03,60.48807,23.31062
2026-09-07 02:15:00,79837.04,80041.61,79837.03,80032.01,88.13531,49.91712
2026-09-07 02:30:00,80032.01,80426,80003.74,80264,157.27918,89.76192
2026-09-07 02:45:00,80264,80280,79827.89,79874.24,105.33106,42.04583
2026-09-07 03:00:00,79874.25,79986.02,79768.18,79792.78,105.71259,46.02129
2026-09-07 03:15:00,79792.79,79836.63,79727.77,79729.42,71.55264,38.24196
2026-09-07 03:30:00,79729.42,79769.99,79587.08,79631.88,95.48756,44.83947
2026-09-07 03:45:00,79631.88,79687.04,79568.6,79596.39,151.47865,59.40275
2026-09-07 04:00:00,79596.38,79683.96,79554.85,79683.95,156.24603,90.3399
2026-09-07 04:15:00,79683.95,79693.88,79605.15,79605.15,272.64572,146.26281
2026-09-07 04:30:00,79605.16,79682.49,79540.38,79680.85,118.53326,68.60135
2026-09-07 04:45:00,79680.85,79732.15,79648,79724,132.93523,72.56256
2026-09-07 05:00:00,79724.01,79778.92,79666.79,79778.91,300.79173,190.55298
2026-09-07 05:15:00,79778.91,79926.04,79768,79855.99,120.23577,78.68957
2026-09-07 05:30:00,79856,79869.63,79808.89,79865.1,93.2496,58.07208
2026-09-07 05:45:00,79865.11,79865.48,79759.46,79759.47,111.01292,67.0348
2026-09-07 06:00:00,79759.47,79825.7,79748.84,79812.77,101.0893,69.6041
2026-09-07 06:15:00,79812.77,79813.06,79702,79717.44,99.29956,63.7256
2026-09-07 06:30:00,79717.44,79739.98,79644.55,79680,276.47004,84.59322
2026-09-07 06:45:00,79680,79682,79659.27,79659.27,87.17656,54.10699
2026-09-07 07:00:00,79659.28,79691.06,79588,79618.82,86.69522,36.8697
2026-09-07 07:15:00,79618.82,79629.99,79404.71,79424.32,166.93776,62.26846
2026-09-07 07:30:00,79424.33,79522.89,79001.1,79284,432.40522,185.61235
2026-09-07 07:45:00,79284,79410.89,79284,79397.83,181.84708,110.47015
2026-09-07 08:00:00,79397.83,79509.9,79397.83,79466.34,111.24629,56.24054
2026-09-07 08:15:00,79466.34,79522.87,79453.92,79466.13,103.58068,49.12461
2026-09-07 08:30:00,79466.13,79530.47,79433.93,79480.62,88.69953,53.90885
2026-09-07 08:45:00,79480.62,79500,79423.56,79437.38,63.87014,27.85479
2026-09-07 09:00:00,79437.39,79550,79420,79528.39,98.96059,37.79684
2026-09-07 09:15:00,79528.39,79537.25,79430,79480,148.33988,63.08111
2026-09-07 09:30:00,79479.99,79480,79326,79392.27,66.85108,29.84112
2026-09-07 09:45:00,79392.26,79453.99,79291.15,79313.85,70.21844,27.04379
2026-09-07 10:00:00,79313.85,79408.71,79313.85,79377.32,97.4605,48.63312
2026-09-07 10:15:00,79377.31,79429.35,79370,79421.75,62.91167,24.63166
2026-09-07 10:30:00,79421.76,79447.99,79388.58,79447.98,62.82506,39.32263
2026-09-07 10:45:00,79447.98,79459.5,79350,79360,116.9484,46.74656
2026-09-07 11:00:00,79360,79411.99,79282,79411.99,94.04839,57.64461
2026-09-07 11:15:00,79411.98,79468.73,79402.03,79445.71,55.13662,31.07295
2026-09-07 11:30:00,79445.72,79487.01,79414.01,79414.02,63.02622,29.45447
2026-09-07 11:45:00,79414.02,79438.55,79374,79420.16,109.95776,59.19863
2026-09-07 12:00:00,79420.16,79500,79400.48,79425.61,57.60005,29.17451
2026-09-07 12:15:00,79425.61,79530.92,79413.91,79530,71.05517,42.51382
2026-09-07 12:30:00,79529.99,79530,79459.98,79472.82,50.74705,18.66712
2026-09-07 12:45:00,79472.82,79627.43,79472.81,79606.84,99.20785,57.27429
2026-09-07 13:00:00,79606.84,79643.5,79530,79623.99,123.68983,60.80496
2026-09-07 13:15:00,79624,79643.22,79578.18,79643.21,72.51104,37.12472
2026-09-07 13:30:00,79643.21,79643.22,79318.92,79374.99,239.59508,113.60057
2026-09-07 13:45:00,79375,79417.7,79324,79352.01,102.07879,48.51538
2026-09-07 14:00:00,79352,79396.36,79119.13,79176.33,181.19474,78.74915
2026-09-07 14:15:00,79176.33,79222,79046,79053.8,157.58074,73.11658
2026-09-07 14:30:00,79053.79,79104,78956.94,79030.17,246.22184,95.38262
2026-09-07 14:45:00,79030.17,79276.94,79028,79191.95,144.96529,85.47736
2026-09-07 15:00:00,79191.96,79191.96,79036.01,79048,100.65133,35.06673
2026-09-07 15:15:00,79048.01,79138,78832,79027.84,214.62319,81.31013
2026-09-07 15:30:00,79027.84,79034,78680,78776.42,298.54974,118.96854
2026-09-07 15:45:00,78776.43,78861.44,78700,78821.99,176.33385,78.32126
2026-09-07 16:00:00,78822,78920,78817.01,78911.99,124.01,66.58163
2026-09-07 16:15:00,78911.99,78911.99,78807.69,78832,93.42901,49.96504
2026-09-07 16:30:00,78832,79035.23,78831.99,78999.01,116.49883,66.33546
2026-09-07 16:45:00,78999.02,79028.88,78970.32,79028.87,95.06118,42.93672
2026-09-07 17:00:00,79028.88,79152,79018,79152,76.39578,44.75707
2026-09-07 17:15:00,79152,79157.54,79094.77,79121.43,71.14091,31.78463
2026-09-07 17:30:00,79121.44,79172.63,79076.1,79153.02,47.34433,26.60468
2026-09-07 17:45:00,79153.01,79223.53,79144,79185.73,56.49435,35.05863
2026-09-07 18:00:00,79185.74,79215.33,79148.78,79174.96,103.74432,63.75887
2026-09-07 18:15:00,79174.95,79207.64,79133.44,79141.91,74.93318,40.91981
2026-09-07 18:30:00,79141.91,79163.41,79096,79158.9,85.6197,46.02137
2026-09-07 18:45:00,79158.9,79244,79144,79196.16,43.94823,22.56166
2026-09-07 19:00:00,79196.15,79196.16,79150,79165.98,38.04583,17.71388
2026-09-07 19:15:00,79165.99,79243.43,79165.98,79243.43,36.22608,21.11739
2026-09-07 19:30:00,79243.43,79419.17,79240.44,79342.39,92.37676,53.00764
2026-09-07 19:45:00,79342.38,79382.98,79342.38,79365.82,63.84304,29.78298
2026-09-07 20:00:00,79365.81,79394.92,79212,79236.76,82.74692,27.01131
2026-09-07 20:15:00,79236.75,79259.51,79184.2,79213.97,34.83917,15.15529
2026-09-07 20:30:00,79213.96,79241.28,79188.41,79188.42,26.38506,11.17388
2026-09-07 20:45:00,79188.41,79261.33,79168.01,79238,68.6533,41.46618
2026-09-07 21:00:00,79238,79266,79207.99,79266,36.18576,17.09649
2026-09-07 21:15:00,79266,79278,79215.64,79232.01,42.43831,24.63009
2026-09-07 21:30:00,79232,79235,79168.02,79192.72,49.47876,22.3019
2026-09-07 21:45:00,79192.72,79216,79164,79164,35.5892,13.52587
2026-09-07 22:00:00,79164.01,79218.18,79077.93,79154.47,88.99114,40.38775
2026-09-07 22:15:00,79154.47,79200,79028.05,79104,144.39282,73.04078
2026-09-07 22:30:00,79104.01,79104.01,78781.07,78812.96,155.07195,55.75897
2026-09-07 22:45:00,78812.96,78965.93,78812.96,78952.19,69.54913,33.64194
2026-09-07 23:00:00,78952.18,79166,78938.38,79132.01,104.74643,70.5598
2026-09-07 23:15:00,79132,79140.33,78969.99,79013,76.07007,34.56766
2026-09-07 23:30:00,79012.99,79120,78988.52,79119.99,45.65428,25.73764
2026-09-07 23:45:00,79119.99,79210,79107.95,79112.01,66.36913,27.79427
2026-09-08 00:00:00,79112,79114,78986.14,79053.78,122.90815,52.45501
2026-09-08 00:15:00,79053.79,79146,78972.51,79004,122.05003,36.03363
2026-09-08 00:30:00,79004.01,79280,78983.57,79218,131.48376,81.27537
2026-09-08 00:45:00,79218,79313.09,79202,79313.08,68.6372,33.23594
2026-09-08 01:00:00,79313.09,79370,79266.48,79298,93.3899,43.12277
2026-09-08 01:15:00,79298.01,79463.06,79268,79397.99,100.18115,59.00227
2026-09-08 01:30:00,79398,79398,79307.07,79319.66,107.39832,46.76761
2026-09-08 01:45:00,79319.66,79456.82,79302.07,79441.99,153.84766,71.30212
2026-09-08 02:00:00,79441.98,79441.99,79254.37,79339.24,115.51357,65.41577
2026-09-08 02:15:00,79339.24,79485,79254,79265.61,199.06959,102.82292
2026-09-08 02:30:00,79265.61,79268.75,79100,79134.01,106.70115,48.91736
2026-09-08 02:45:00,79134.01,79149.57,78930,78930.01,180.2284,76.60973
2026-09-08 03:00:00,78930.01,79002,78876.62,78921.17,125.82488,56.55411
2026-09-08 03:15:00,78921.16,78945.7,78725.1,78773.36,167.89556,86.98002
2026-09-08 03:30:00,78773.36,78990,78763.2,78949.23,377.12216,149.48728
2026-09-08 03:45:00,78949.24,78951.98,78868.34,78906.28,142.381,62.11227
2026-09-08 04:00:00,78906.27,78929.24,78787.1,78812.11,158.7062,94.65832
2026-09-08 04:15:00,78812.1,78860.35,78762,78815.02,134.59081,71.19416
2026-09-08 04:30:00,78815.01,78870.87,78738.98,78781.98,136.68601,68.49611
2026-09-08 04:45:00,78781.98,78814,78678.7,78678.71,128.11881,57.28403
2026-09-08 05:00:00,78678.7,78819.97,78555,78708,318.01679,154.06468
2026-09-08 05:15:00,78708.01,78882,78660,78825.88,152.88881,83.31695
2026-09-08 05:30:00,78825.87,78825.88,78626,78626.01,177.79887,88.78783
2026-09-08 05:45:00,78626.01,78714,78568.7,78578,198.58597,82.72415
2026-09-08 06:00:00,78577.99,78630.99,78453.73,78589.99,517.79018,186.03558
2026-09-08 06:15:00,78589.99,78632,78366,78387.63,456.29777,183.63831
2026-09-08 06:30:00,78387.63,78448,78357.1,78426.37,416.91052,189.51003
2026-09-08 06:45:00,78426.37,78494.65,78261.61,78323.59,522.91622,224.88425
2026-09-08 07:00:00,78323.59,78447.99,78287.55,78410,701.57957,309.64281
2026-09-08 07:15:00,78410.01,78516.61,78374.41,78468.08,828.42565,382.96658
2026-09-08 07:30:00,78468.09,78609.99,78434.3,78434.31,851.08749,424.0835
2026-09-08 07:45:00,78434.3,78482,78179.98,78482,1052.66454,483.07199
2026-09-08 08:00:00,78482,78482,78286.01,78389.16,237.30301,79.05247
2026-09-08 08:15:00,78389.17,78508.32,78281.3,78476.89,255.1474,82.72667
2026-09-08 08:30:00,78476.89,78561.18,78450.02,78530.71,267.61044,126.59582
2026-09-08 08:45:00,78530.71,78581.8,78368,78418,95.34225,35.1149
2026-09-08 09:00:00,78418,78496,78317.03,78490.01,177.69131,77.98485
2026-09-08 09:15:00,78490.01,78506,78340.5,78476.65,211.66264,73.30883
2026-09-08 09:30:00,78476.65,78780,78435.18,78761.99,149.56629,78.45087
2026-09-08 09:45:00,78762,78800,78730,78761.99,102.60124,62.05137
2026-09-08 10:00:00,78762,78762,78670,78741.98,83.54357,41.54932
2026-09-08 10:15:00,78741.98,78994.5,78736,78847.93,139.25903,93.64873
2026-09-08 10:30:00,78847.93,78871.24,78656.77,78670.1,114.26668,46.47931
2026-09-08 10:45:00,78670.1,78692,78568,78568,98.56035,38.00015
2026-09-08 11:00:00,78568.01,78576,78271.63,78313.89,280.31317,84.37686
2026-09-08 11:15:00,78313.89,78480,78297.47,78443.02,147.92501,61.78499
2026-09-08 11:30:00,78443.02,78492,78396.82,78440.26,124.92957,54.71571
