t,o,h,l,c,v,taker_buy_v
2022-05-10,30074.23,32658.99,29730.4,31017.1,165532.0031,73691.19611
2022-05-11,31017.11,32162.59,27785,29103.94,207063.7393,99622.11748
2022-05-12,29103.94,30243,26700,29029.75,204507.2631,101465.2783
2022-05-13,29029.74,31083.37,28751.67,29287.05,97872.36957,48827.72764
2022-05-14,29287.05,30343.27,28630,30086.74,51095.87863,25908.17135
2022-05-15,30086.74,31460,29480,31328.89,46275.66912,24163.362
2022-05-16,31328.89,31328.9,29087.04,29874.01,73082.19658,36284.05379
2022-05-17,29874.01,30788.37,29450.38,30444.93,56724.13307,28600.36238
2022-05-18,30444.93,30709.99,28654.47,28715.32,59749.15799,29501.76769
2022-05-19,28715.33,30545.18,28691.38,30319.23,67877.36415,35339.65787
2022-05-20,30319.22,30777.33,28730,29201.01,60517.25325,30890.40127
2022-05-21,29201.01,29656.18,28947.28,29445.06,20987.13124,10558.92886
2022-05-22,29445.07,30487.99,29255.11,30293.94,36158.98748,18538.10071
2022-05-23,30293.93,30670.51,28866.35,29109.15,63901.49932,30476.66811
2022-05-24,29109.14,29845.86,28669,29654.58,59442.96036,29480.07674
2022-05-25,29654.58,30223.74,29294.21,29542.15,59537.38659,28846.96589
2022-05-26,29542.14,29886.64,28019.56,29201.35,94581.65463,45206.85416
2022-05-27,29201.35,29397.66,28282.9,28629.8,90998.5201,43590.05398
2022-05-28,28629.81,29266,28450,29031.33,34479.35127,17561.21465
2022-05-29,29031.33,29587.78,28839.21,29468.1,27567.34764,13735.42581
2022-05-30,29468.1,32222,29299.62,31734.22,96785.9476,45024.45633
2022-05-31,31734.23,32399,31200.01,31801.04,62433.11632,30046.95511
2022-06-01,31801.05,31982.97,29301,29805.83,103395.6338,47614.81205
2022-06-02,29805.84,30689,29594.55,30452.62,56961.42928,28555.06607
2022-06-03,30452.63,30699,29282.36,29700.21,54067.44727,26583.25141
2022-06-04,29700.21,29988.88,29485,29864.04,25617.90113,12971.7246
2022-06-05,29864.03,30189,29531.42,29919.21,23139.9281,11753.51303
2022-06-06,29919.2,31765.64,29890.23,31373.1,68836.92456,34225.53913
2022-06-07,31373.1,31589.6,29218.96,31125.33,110674.5166,54831.53114
2022-06-08,31125.32,31327.22,29843.88,30204.77,68542.61276,32668.41005
2022-06-09,30204.77,30700,29944.1,30109.93,46291.1865,23082.29251
2022-06-10,30109.93,30382.8,28850,29091.88,76204.2498,35502.20972
2022-06-11,29091.87,29440.41,28099.99,28424.7,65901.39895,31848.3308
2022-06-12,28424.71,28544.96,26560,26574.53,92474.59881,43538.78641
2022-06-13,26574.53,26895.84,21925.77,22487.41,254611.035,121398.5561
2022-06-14,22485.27,23362.88,20846,22136.41,187201.6467,92764.74286
2022-06-15,22136.42,22800,20111.62,22583.72,200774.4935,98340.10222
2022-06-16,22583.72,22995.73,20232,20401.31,99673.59429,48048.86237
2022-06-17,20400.6,21365.43,20246.66,20468.81,86694.33663,43066.94445
2022-06-18,20468.81,20792.06,17622,18970.79,196441.6555,96560.04465
2022-06-19,18970.79,20815.95,17960.41,20574,128320.876,65871.82216
2022-06-20,20574,21090,19637.03,20573.89,109028.9415,54047.82476
2022-06-21,20573.9,21723,20348.4,20723.52,104371.0749,52193.33566
2022-06-22,20723.51,20900,19770.51,19987.99,92133.97938,44907.30453
2022-06-23,19988,21233,19890.07,21110.13,83127.08716,42716.83721
2022-06-24,21110.12,21558.41,20736.72,21237.69,77430.36622,38582.36962
2022-06-25,21237.68,21614.5,20906.62,21491.19,51431.67794,25240.18142
2022-06-26,21491.18,21888,20964.73,21038.07,53278.10464,26051.16372
2022-06-27,21038.08,21539.85,20510,20742.56,64475.0013,31992.4604
2022-06-28,20742.57,21212.1,20202.01,20281.29,63801.0832,30490.78532
2022-06-29,20281.28,20432.31,19854.92,20123.01,77309.04379,37814.12159
2022-06-30,20123,20179.08,18626,19942.21,93846.64806,45447.98482
2022-07-01,19942.21,20918.35,18975,19279.8,111844.5949,56417.61783
2022-07-02,19279.8,19467.39,18977.01,19252.81,46180.3021,23693.90779
2022-07-03,19252.82,19647.63,18781,19315.83,51087.46631,25361.96292
2022-07-04,19315.83,20354.01,19055.31,20236.71,74814.04601,38543.72441
