t,o,h,l,c,v,taker_buy_v
2026-03-10 13:00:00,70519.86,70926.46,69723.25,69921.12,1644.54716,792.78943
2026-03-10 14:00:00,69921.12,71527.54,69266.06,71467.81,2553.72955,1291.3137
2026-03-10 15:00:00,71467.81,71777,70900.05,71346.16,2098.87598,1141.80049
2026-03-10 16:00:00,71346.17,71700,70943.31,71268.59,1291.34054,686.48342
2026-03-10 17:00:00,71268.58,71452,70512.64,70868.61,1383.6295,531.81834
2026-03-10 18:00:00,70868.62,70914.9,69901,70013.87,1837.40169,937.34758
2026-03-10 19:00:00,70013.87,70290,69739,70043.63,992.60769,512.20429
2026-03-10 20:00:00,70043.63,70350,70007.52,70235.6,671.88971,331.80815
2026-03-10 21:00:00,70236.34,70417.3,69541.91,69763.01,830.8687,366.13855
2026-03-10 22:00:00,69763.02,69869.9,69452.42,69721.58,937.20086,464.68161
2026-03-10 23:00:00,69721.58,69981.8,69698.46,69948.63,1165.15914,483.60908
2026-03-11 00:00:00,69948.64,70173.25,69759.63,70044.87,728.92961,338.21923
2026-03-11 01:00:00,70044.87,70144,69880,70071.26,947.24879,555.9882
2026-03-11 02:00:00,70071.26,70119.59,69614,69810.72,1612.87548,971.95761
2026-03-11 03:00:00,69810.73,69887.11,69488.7,69551.91,1113.41409,556.74333
2026-03-11 04:00:00,69551.91,70281.87,69501.55,70130.99,759.416,454.60323
2026-03-11 05:00:00,70130.99,70200.96,69420,69510.36,757.81378,392.62501
2026-03-11 06:00:00,69510.37,69996,69500.01,69950.01,391.73761,261.2875
2026-03-11 07:00:00,69950.01,70018.49,69500.67,69648.29,1171.57725,664.86162
2026-03-11 08:00:00,69648.28,69786.32,69500,69662.24,672.55865,340.43306
2026-03-11 09:00:00,69662.24,69752.06,69384.5,69466.75,939.05652,480.57305
2026-03-11 10:00:00,69466.75,69726.45,69390.91,69604.9,1028.34397,568.42826
2026-03-11 11:00:00,69604.9,69755.1,69150.28,69173,898.77254,537.36904
2026-03-11 12:00:00,69172.99,69777.66,68977.91,69361.13,1045.64069,510.41277
2026-03-11 13:00:00,69361.13,71091.18,69331.04,70186.09,2647.32148,1327.90532
2026-03-11 14:00:00,70186.08,70987,69906.77,70578.7,2251.77658,1118.16259
2026-03-11 15:00:00,70578.7,70654.43,69702.25,70227.91,1844.6963,846.35834
2026-03-11 16:00:00,70227.92,70826.39,70161.78,70570.71,1837.92404,946.41941
2026-03-11 17:00:00,70570.71,71321,70512.01,70785.99,2122.20651,1188.53693
2026-03-11 18:00:00,70785.99,70895.31,70415.27,70617.64,1134.13411,441.85105
2026-03-11 19:00:00,70617.63,70742.38,70375.68,70641.82,644.23151,278.53724
2026-03-11 20:00:00,70641.81,70700,70394.23,70634.96,383.34496,167.08903
2026-03-11 21:00:00,70634.96,70777.17,70499.94,70741.26,576.42683,263.59854
2026-03-11 22:00:00,70741.27,70950,70241.53,70373.01,1098.26512,519.34214
2026-03-11 23:00:00,70373.01,70505,70125.83,70191.86,641.563,284.01365
2026-03-12 00:00:00,70191.86,70353.87,70130.23,70225.34,658.09363,317.18589
2026-03-12 01:00:00,70225.34,70226.94,69754.94,69841.31,760.55263,285.61072
2026-03-12 02:00:00,69841.3,69887.93,69226.52,69286.56,742.38929,338.95989
2026-03-12 03:00:00,69286.55,69628.25,69246.23,69446.61,415.13842,221.44542
2026-03-12 04:00:00,69446.61,69676.88,69296.43,69372,436.68208,218.71881
2026-03-12 05:00:00,69372,69539.61,69205.91,69480.54,734.74043,379.37387
2026-03-12 06:00:00,69480.54,69561.84,69315.63,69501.44,719.76894,319.31786
2026-03-12 07:00:00,69501.45,69865.98,69408.88,69826.19,830.78197,487.13582
2026-03-12 08:00:00,69826.19,70116.37,69698.33,69917.37,1246.32882,751.49187
2026-03-12 09:00:00,69917.36,70400,69580,69952.51,1284.31562,613.92549
2026-03-12 10:00:00,69952.51,70511,69856,70412.11,911.03902,589.88786
2026-03-12 11:00:00,70412.1,70800,70367.97,70427.91,1207.70061,629.93222
2026-03-12 12:00:00,70427.9,70617.66,70277.38,70381.8,847.51801,392.52776
2026-03-12 13:00:00,70381.8,70534.65,69645,69972.15,1340.7754,496.04264
2026-03-12 14:00:00,69972.2,70660.69,69355.34,69590.09,2130.67842,970.33378
2026-03-12 15:00:00,69590.09,70565.43,69476.14,70334.88,1778.50463,1005.50379
2026-03-12 16:00:00,70334.89,70569.15,69905.71,70381.16,1271.41787,604.77243
2026-03-12 17:00:00,70381.15,70547.19,70076.16,70212.06,843.93551,342.18146
2026-03-12 18:00:00,70212.05,70303.51,69800,69819.64,742.85798,250.31095
2026-03-12 19:00:00,69819.64,70548.81,69770.85,70432.32,757.84664,359.49665
2026-03-12 20:00:00,70432.33,70555.2,70111.28,70164.49,618.18553,139.05377
2026-03-12 21:00:00,70164.5,70470,70164.5,70268.55,355.90233,145.9291
2026-03-12 22:00:00,70268.54,70305.26,70013.17,70175.64,467.42484,194.83961
2026-03-12 23:00:00,70175.64,70734.25,70159.35,70541.34,894.58188,491.0563
2026-03-13 00:00:00,70541.34,72000,70386.01,71475.61,2857.31114,1521.98144
2026-03-13 01:00:00,71475.6,71759.95,71283.99,71672.39,975.74666,508.42321
2026-03-13 02:00:00,71672.38,71696.68,71045.52,71143.8,994.81538,444.89169
2026-03-13 03:00:00,71143.8,71508.87,70964.43,71405.75,927.82134,517.00627
2026-03-13 04:00:00,71405.76,71493.77,71214.01,71393.94,780.92498,429.05759
2026-03-13 05:00:00,71393.93,71637.54,71242.02,71546.29,1178.90406,534.01478
2026-03-13 06:00:00,71546.28,71593.22,71180.19,71342,1081.97604,490.67581
2026-03-13 07:00:00,71342,71672.76,71236.08,71612.22,1139.8319,503.1194
2026-03-13 08:00:00,71612.23,72142.85,71385.28,71821.02,1820.16796,1045.73072
2026-03-13 09:00:00,71821.01,72100.37,71589.81,72006.57,925.21442,455.84141
2026-03-13 10:00:00,72006.56,72575.98,71995.53,72458.12,1635.35127,977.58174
2026-03-13 11:00:00,72458.11,72526.12,72207.41,72228.82,724.41705,357.62998
2026-03-13 12:00:00,72228.81,72884.68,72210,72784.73,1142.93241,644.58335
2026-03-13 13:00:00,72784.73,73585.27,72684.88,73379.18,3297.40201,1931.71775
2026-03-13 14:00:00,73379.18,73913.74,72350,72382.72,4558.05031,2529.86386
2026-03-13 15:00:00,72382.72,72829.12,71736.34,71831.46,3305.45471,1325.21277
2026-03-13 16:00:00,71831.46,72100,71154.54,71885.57,2334.3461,1217.29936
2026-03-13 17:00:00,71885.56,72249.99,70914.09,71037.93,1889.70074,833.8673
2026-03-13 18:00:00,71037.93,71350.94,70841.23,71055.45,738.18799,435.35541
2026-03-13 19:00:00,71055.45,71309.94,71006.19,71189.95,507.07823,300.31229
2026-03-13 20:00:00,71189.96,71469.53,71150,71346.84,554.4729,263.20719
2026-03-13 21:00:00,71346.84,71491.03,71058.25,71104.65,650.14338,322.85238
2026-03-13 22:00:00,71104.65,71189.26,70559.02,70814,863.33877,301.43608
2026-03-13 23:00:00,70814,71005.3,70688.45,70930,1113.02703,418.68082
2026-03-14 00:00:00,70930.01,70951.8,70555,70631.97,763.50434,290.87532
2026-03-14 01:00:00,70631.96,70941.05,70481.7,70831.7,791.55133,366.21167
2026-03-14 02:00:00,70831.7,70948.66,70735.21,70783.27,1013.67533,535.58233
2026-03-14 03:00:00,70783.27,71185.23,70783.26,71081.3,944.72261,480.25798
2026-03-14 04:00:00,71081.31,71307.92,71021.11,71039.58,707.08065,399.29759
2026-03-14 05:00:00,71039.57,71151.3,70916.96,71013.75,759.3407,318.78579
2026-03-14 06:00:00,71013.75,71013.75,70317,70622.08,712.17672,289.84776
2026-03-14 07:00:00,70622.09,70743.88,70489.03,70596.68,750.98425,313.8549
2026-03-14 08:00:00,70596.68,70710.76,70536.58,70585.63,461.44808,148.85982
2026-03-14 09:00:00,70585.64,70728.07,70400,70501.16,893.97396,445.23634
2026-03-14 10:00:00,70501.16,70575.1,70389.08,70570.44,624.35522,334.83057
2026-03-14 11:00:00,70570.44,70784.38,70562.66,70751.42,515.18098,244.00886
2026-03-14 12:00:00,70751.42,70835.48,70616.44,70780.59,472.56223,255.18751
2026-03-14 13:00:00,70780.59,70930.56,70711.54,70847.35,886.4995,452.86254
