t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,0.08934,0.08975,0.0892,0.08967,9496962,4397629
2026-09-06 13:45:00,0.08967,0.08982,0.08949,0.08973,12311983,7279652
2026-09-06 14:00:00,0.08973,0.08974,0.08932,0.08935,6516565,2931439
2026-09-06 14:15:00,0.08935,0.08947,0.08859,0.08879,30356051,13507579
2026-09-06 14:30:00,0.08879,0.08892,0.0877,0.08889,47616577,19121815
2026-09-06 14:45:00,0.08888,0.0889,0.08851,0.08857,10685194,5083201
2026-09-06 15:00:00,0.08856,0.08859,0.0879,0.08841,14842078,7550338
2026-09-06 15:15:00,0.0884,0.08875,0.08835,0.0887,3994636,2159046
2026-09-06 15:30:00,0.0887,0.0889,0.08857,0.08885,5627924,2919906
2026-09-06 15:45:00,0.08885,0.08907,0.08875,0.08897,10271419,4265597
2026-09-06 16:00:00,0.08896,0.08908,0.08869,0.08901,7997078,3691393
2026-09-06 16:15:00,0.08901,0.08911,0.08882,0.08909,9515061,5505653
2026-09-06 16:30:00,0.08909,0.08942,0.08898,0.0893,6980820,4400589
2026-09-06 16:45:00,0.0893,0.08932,0.08918,0.0893,4233528,2395315
2026-09-06 17:00:00,0.0893,0.08936,0.08893,0.08917,8543458,5111835
2026-09-06 17:15:00,0.08916,0.08946,0.08906,0.08906,10205048,5985778
2026-09-06 17:30:00,0.08906,0.0893,0.08898,0.08914,4939868,2029156
2026-09-06 17:45:00,0.08914,0.08926,0.0891,0.08918,1756069,1128658
2026-09-06 18:00:00,0.08918,0.08929,0.08913,0.08923,3342372,2362847
2026-09-06 18:15:00,0.08924,0.08935,0.08921,0.08933,1673576,941229
2026-09-06 18:30:00,0.08934,0.08961,0.08934,0.08951,7885618,5303487
2026-09-06 18:45:00,0.08951,0.08951,0.08934,0.08946,2979754,1486544
2026-09-06 19:00:00,0.08946,0.0895,0.08935,0.0894,2786964,1441938
2026-09-06 19:15:00,0.08941,0.08954,0.08936,0.08953,3356912,1732819
2026-09-06 19:30:00,0.08953,0.08954,0.08941,0.0895,3712200,1271569
2026-09-06 19:45:00,0.08951,0.08958,0.08947,0.08957,2565152,1338350
2026-09-06 20:00:00,0.08957,0.0897,0.08947,0.08961,2668674,1081245
2026-09-06 20:15:00,0.0896,0.09011,0.08957,0.08997,6855408,3793123
2026-09-06 20:30:00,0.08998,0.09013,0.08996,0.09013,7984072,4797301
2026-09-06 20:45:00,0.09014,0.09041,0.09014,0.09027,9132994,4874464
2026-09-06 21:00:00,0.09028,0.09047,0.09013,0.09037,9007655,5921714
2026-09-06 21:15:00,0.09037,0.09052,0.09028,0.09036,4722507,2685563
2026-09-06 21:30:00,0.09037,0.09079,0.09036,0.09059,4221079,2207764
2026-09-06 21:45:00,0.09059,0.09077,0.09048,0.09048,3289651,1947564
2026-09-06 22:00:00,0.09048,0.09049,0.08981,0.08992,7913195,3298510
2026-09-06 22:15:00,0.08992,0.09009,0.08963,0.09008,4181121,1459938
2026-09-06 22:30:00,0.09008,0.09044,0.09005,0.09036,7646264,4109779
2026-09-06 22:45:00,0.09036,0.09043,0.09021,0.09028,9223037,4872714
2026-09-06 23:00:00,0.09028,0.09066,0.09021,0.0905,5735934,2277066
2026-09-06 23:15:00,0.0905,0.09078,0.09044,0.09061,6060382,3518554
2026-09-06 23:30:00,0.09062,0.09098,0.09058,0.09082,6267064,3746181
2026-09-06 23:45:00,0.09082,0.09108,0.09073,0.09092,7732949,4668869
2026-09-07 00:00:00,0.09092,0.09115,0.09077,0.09106,5810130,2544714
2026-09-07 00:15:00,0.09105,0.09111,0.0907,0.09099,4553347,2474523
2026-09-07 00:30:00,0.091,0.09123,0.09089,0.09105,8146212,3246551
2026-09-07 00:45:00,0.09105,0.09112,0.09078,0.09098,8243712,3947212
2026-09-07 01:00:00,0.09099,0.09113,0.0903,0.09032,17033764,7281831
2026-09-07 01:15:00,0.09032,0.09051,0.08982,0.09003,28169985,14149890
2026-09-07 01:30:00,0.09003,0.09025,0.08971,0.08982,7559870,2158872
2026-09-07 01:45:00,0.08982,0.09025,0.08982,0.09014,4601071,2173019
2026-09-07 02:00:00,0.09014,0.09017,0.08978,0.09,6022088,2579934
2026-09-07 02:15:00,0.09,0.0904,0.08999,0.09027,8824589,4446157
2026-09-07 02:30:00,0.09027,0.09142,0.09012,0.09102,16466760,9710438
2026-09-07 02:45:00,0.09102,0.0912,0.09003,0.09014,10575641,4681689
2026-09-07 03:00:00,0.09013,0.09038,0.0899,0.08995,5079778,1848479
2026-09-07 03:15:00,0.08994,0.09,0.08948,0.08956,7925142,3612533
2026-09-07 03:30:00,0.08956,0.08968,0.0892,0.08925,12626629,4309368
2026-09-07 03:45:00,0.08926,0.08954,0.08926,0.08935,2430911,1188474
2026-09-07 04:00:00,0.08936,0.08949,0.08933,0.08946,2641532,988915
2026-09-07 04:15:00,0.08947,0.08977,0.08947,0.08958,9152411,5365470
2026-09-07 04:30:00,0.08958,0.08972,0.08939,0.08966,9488137,3990914
2026-09-07 04:45:00,0.08966,0.08982,0.08949,0.08975,8023073,4736925
2026-09-07 05:00:00,0.08975,0.09014,0.08973,0.08986,7440057,3052807
2026-09-07 05:15:00,0.08986,0.09065,0.08986,0.09032,11250843,6844849
2026-09-07 05:30:00,0.09031,0.09044,0.0902,0.09037,3877082,1761046
2026-09-07 05:45:00,0.09036,0.09043,0.09009,0.09015,2551831,1208770
2026-09-07 06:00:00,0.09016,0.09061,0.09013,0.09054,2865900,1764435
2026-09-07 06:15:00,0.09054,0.09054,0.09019,0.09019,4440972,1594418
2026-09-07 06:30:00,0.09019,0.09026,0.08979,0.08979,8896869,4930744
2026-09-07 06:45:00,0.08979,0.08996,0.08979,0.08984,4823264,3198012
2026-09-07 07:00:00,0.08983,0.09005,0.0898,0.09003,7653790,4569100
2026-09-07 07:15:00,0.09003,0.09007,0.08944,0.0895,14711510,8014969
2026-09-07 07:30:00,0.08951,0.0898,0.08855,0.08925,26729387,11133144
