t,o,h,l,c,v,taker_buy_v
2025-08-22 12:00:00,0.21199,0.23371,0.20828,0.23013,1239791292,663935211
2025-08-22 16:00:00,0.23013,0.23979,0.2301,0.23876,485686208,228645150
2025-08-22 20:00:00,0.23876,0.24222,0.23865,0.24054,308943765,134723488
2025-08-23 00:00:00,0.24054,0.2409,0.22902,0.23155,473067400,190398340
2025-08-23 04:00:00,0.23156,0.23937,0.23133,0.23722,311240422,148931794
2025-08-23 08:00:00,0.23722,0.23978,0.23549,0.23616,209151113,90471912
2025-08-23 12:00:00,0.23616,0.23903,0.2344,0.23645,222354591,118331154
2025-08-23 16:00:00,0.23646,0.23758,0.23552,0.23736,100243010,50253914
2025-08-23 20:00:00,0.23735,0.23753,0.2339,0.23631,67636607,31054663
2025-08-24 00:00:00,0.23631,0.23833,0.235,0.2366,111134161,55311674
2025-08-24 04:00:00,0.23661,0.2371,0.23193,0.23223,118666322,52230275
2025-08-24 08:00:00,0.23223,0.2332,0.22826,0.22956,174422538,70104859
2025-08-24 12:00:00,0.22956,0.23402,0.2292,0.23126,203168709,88021134
2025-08-24 16:00:00,0.23126,0.24496,0.22927,0.23418,676211296,340443773
2025-08-24 20:00:00,0.23418,0.23518,0.22761,0.23182,475013406,208654276
2025-08-25 00:00:00,0.23182,0.23459,0.22542,0.23088,324005722,150271100
2025-08-25 04:00:00,0.23088,0.23138,0.21983,0.22077,308467342,131541393
2025-08-25 08:00:00,0.22077,0.22167,0.21691,0.21967,314352423,168037762
2025-08-25 12:00:00,0.21967,0.22117,0.21742,0.21849,324552787,143641290
2025-08-25 16:00:00,0.2185,0.22043,0.21344,0.2138,260906210,136451098
2025-08-25 20:00:00,0.21381,0.21467,0.20585,0.20965,625088787,340918534
2025-08-26 00:00:00,0.20965,0.21205,0.20711,0.20978,349973757,177447495
2025-08-26 04:00:00,0.20979,0.21266,0.20916,0.21126,151780632,73108799
2025-08-26 08:00:00,0.21126,0.2121,0.20944,0.2105,121527090,58358610
2025-08-26 12:00:00,0.21051,0.21533,0.20931,0.21266,362786146,181178909
2025-08-26 16:00:00,0.21266,0.21982,0.21246,0.21942,159976671,78960349
2025-08-26 20:00:00,0.21942,0.21999,0.21731,0.21839,115445899,55595638
2025-08-27 00:00:00,0.21839,0.22201,0.21606,0.22126,222815543,113241349
2025-08-27 04:00:00,0.22124,0.22323,0.21811,0.21882,172032616,74929653
2025-08-27 08:00:00,0.21883,0.22123,0.2174,0.22037,132015318,65439808
2025-08-27 12:00:00,0.22036,0.2228,0.21781,0.22163,221588470,111479108
2025-08-27 16:00:00,0.22163,0.22339,0.21862,0.22022,167788865,76506025
