t,o,h,l,c,v,taker_buy_v
2025-08-22 12:00:00,3.753,4.003,3.69,3.96,5771279.73,3016018.85
2025-08-22 16:00:00,3.96,4.115,3.96,4.099,3353647.1,1712415.15
2025-08-22 20:00:00,4.099,4.207,4.099,4.18,2321939.14,1251704.15
2025-08-23 00:00:00,4.181,4.193,4.026,4.048,1835199.75,801112.83
2025-08-23 04:00:00,4.047,4.185,4.047,4.145,1195251.03,573793.66
2025-08-23 08:00:00,4.145,4.164,4.12,4.14,1063071.64,510978.84
2025-08-23 12:00:00,4.141,4.173,4.12,4.156,1024654.51,476840.57
2025-08-23 16:00:00,4.156,4.244,4.134,4.235,1153192.47,639995.83
2025-08-23 20:00:00,4.236,4.265,4.182,4.228,1363178.77,679912.69
2025-08-24 00:00:00,4.228,4.24,4.137,4.163,828580.28,402193.26
2025-08-24 04:00:00,4.163,4.172,4.075,4.088,882983.58,395536.51
2025-08-24 08:00:00,4.089,4.113,4.013,4.036,1249205.41,626936.34
2025-08-24 12:00:00,4.036,4.106,4.022,4.061,966933.31,492016.49
2025-08-24 16:00:00,4.062,4.283,4.044,4.133,4348438.23,2141379.62
2025-08-24 20:00:00,4.134,4.161,4.04,4.11,2238724.56,1077585.84
2025-08-25 00:00:00,4.11,4.146,4.034,4.101,1172828.63,533627.79
2025-08-25 04:00:00,4.101,4.109,3.897,3.914,2472879.16,1087749.49
2025-08-25 08:00:00,3.913,3.939,3.853,3.9,2209602.1,1231141.6
2025-08-25 12:00:00,3.901,3.932,3.861,3.87,1216499.83,627841.72
2025-08-25 16:00:00,3.871,3.896,3.77,3.778,1614579.5,792810.01
2025-08-25 20:00:00,3.778,3.795,3.689,3.734,4153235.99,1896801.01
2025-08-26 00:00:00,3.733,3.811,3.708,3.789,1252521.99,671312.78
2025-08-26 04:00:00,3.79,3.815,3.755,3.795,745750.04,368918.21
2025-08-26 08:00:00,3.795,3.813,3.761,3.782,670413.83,283292.98
2025-08-26 12:00:00,3.781,3.856,3.76,3.813,1684372.63,827008.88
2025-08-26 16:00:00,3.814,3.915,3.805,3.908,711069.45,344923.27
