t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,2491.59,2494.14,2486.76,2492.74,2455.3926,1234.1781
2026-09-06 13:45:00,2492.74,2495.82,2492.09,2494.85,1423.2889,736.0731
2026-09-06 14:00:00,2494.84,2495.02,2487.04,2488.07,3725.6014,710.6351
2026-09-06 14:15:00,2488.06,2488.89,2475.03,2481.99,7368.8178,2849.2089
2026-09-06 14:30:00,2481.98,2485.54,2460.92,2485.18,8088.161,3542.8737
2026-09-06 14:45:00,2485.18,2485.87,2477.39,2478.4,4247.691,1477.3989
2026-09-06 15:00:00,2478.4,2478.96,2470.12,2476.82,3767.3561,1484.198
2026-09-06 15:15:00,2476.81,2481,2476.71,2479.08,1673.5016,918.8918
2026-09-06 15:30:00,2479.08,2481.49,2475.95,2480.89,1206.7327,698.1392
2026-09-06 15:45:00,2480.88,2482.74,2479.03,2479.79,1508.2884,721.3333
2026-09-06 16:00:00,2479.78,2483.4,2475.26,2482.83,2019.6133,816.4352
2026-09-06 16:15:00,2482.83,2483.3,2478.64,2482.83,1440.9255,564.1029
2026-09-06 16:30:00,2482.83,2487.54,2481.26,2484.01,1445.7996,766.3508
2026-09-06 16:45:00,2484,2484.85,2481.85,2484.57,925.3751,400.1351
2026-09-06 17:00:00,2484.57,2486.15,2480.45,2485.34,1675.1681,747.6897
2026-09-06 17:15:00,2485.34,2494.68,2485.33,2489.5,3085.2195,1525.0745
2026-09-06 17:30:00,2489.5,2494.45,2487.84,2492.96,1330.6753,552.5047
2026-09-06 17:45:00,2492.97,2493.9,2490.93,2491.25,875.868,345.2338
2026-09-06 18:00:00,2491.25,2494.99,2491.25,2493.49,1088.8936,615.7182
2026-09-06 18:15:00,2493.5,2496.8,2493.26,2495.52,1573.2525,537.636
2026-09-06 18:30:00,2495.53,2500,2495.53,2497.66,2461.6816,837.3634
2026-09-06 18:45:00,2497.67,2497.67,2493.21,2494.15,1937.6987,423.906
2026-09-06 19:00:00,2494.15,2494.42,2491.32,2491.41,1829.2683,394.2412
2026-09-06 19:15:00,2491.41,2493.33,2490.01,2492.16,1988.243,642.1809
2026-09-06 19:30:00,2492.17,2492.17,2489.81,2490.26,1594.1624,351.587
2026-09-06 19:45:00,2490.26,2490.83,2488.88,2490.42,1937.4015,473.2785
2026-09-06 20:00:00,2490.42,2492.67,2488.55,2492.29,1952.0713,619.1138
2026-09-06 20:15:00,2492.29,2497,2491.29,2495.82,2449.3631,935.7873
2026-09-06 20:30:00,2495.83,2497.23,2494.51,2496.94,2088.0347,569.7609
2026-09-06 20:45:00,2496.95,2500,2496.95,2499.44,1946.0383,719.4416
2026-09-06 21:00:00,2499.43,2513.46,2499.36,2510.98,5248.7725,2827.5542
2026-09-06 21:15:00,2510.97,2515.69,2505.44,2506.04,2546.0349,1290.2963
2026-09-06 21:30:00,2506.03,2510.52,2504.45,2507.42,1363.0168,661.9398
2026-09-06 21:45:00,2507.43,2512.15,2506,2508.09,1256.6644,574.0909
2026-09-06 22:00:00,2508.08,2508.33,2495.29,2497.91,3212.8864,1446.2095
2026-09-06 22:15:00,2497.91,2499.84,2488.8,2498.9,2684.9179,1095.7643
2026-09-06 22:30:00,2498.89,2507.49,2498.73,2506.7,3000.3216,1720.9642
2026-09-06 22:45:00,2506.7,2510.89,2505,2508.32,3278.8958,1589.1674
2026-09-06 23:00:00,2508.33,2516.52,2506.79,2510.89,2869.8131,1597.1492
2026-09-06 23:15:00,2510.9,2515,2509.11,2512.62,1401.5064,674.1809
2026-09-06 23:30:00,2512.62,2522.6,2512.27,2520.08,4503.8687,2811.9558
2026-09-06 23:45:00,2520.08,2526.2,2512.5,2514.48,4116.958,2365.6336
2026-09-07 00:00:00,2514.48,2518.09,2510.23,2515.63,2373.4336,1349.2523
2026-09-07 00:15:00,2515.62,2518,2509.38,2517.7,1858.5929,1044.1573
2026-09-07 00:30:00,2517.71,2522.52,2512.64,2515.18,2172.3262,821.474
2026-09-07 00:45:00,2515.17,2516.93,2509.54,2513.17,1995.2521,833.2103
2026-09-07 01:00:00,2513.17,2516.34,2503.15,2507.31,4225.2113,2184.3641
2026-09-07 01:15:00,2507.31,2509.72,2501.25,2504.81,2768.7548,1064.5275
2026-09-07 01:30:00,2504.81,2507.83,2499.36,2500.76,2621.0903,1249.4385
2026-09-07 01:45:00,2500.76,2505.39,2499.71,2503.87,1421.5615,696.1356
2026-09-07 02:00:00,2503.87,2504.66,2498.56,2500.75,1450.0556,629.7359
