t,o,h,l,c,v,taker_buy_v
2026-03-10 13:00:00,2049.82,2060.27,2024.04,2033.63,29276.7718,13785.2565
2026-03-10 14:00:00,2033.63,2080.27,2008.65,2075.19,55294.6468,28317.6947
2026-03-10 15:00:00,2075.19,2085.73,2059.23,2079.35,42497.3487,21586.0428
2026-03-10 16:00:00,2079.34,2088.19,2069.45,2080.72,18680.3037,9351.6943
2026-03-10 17:00:00,2080.71,2085.19,2058.33,2071.67,20761.3728,11133.5084
2026-03-10 18:00:00,2071.67,2073.13,2035.74,2039.68,30444.7151,13462.4268
2026-03-10 19:00:00,2039.68,2044.31,2027.16,2037.02,15745.2154,7754.3366
2026-03-10 20:00:00,2037.02,2047.45,2035.45,2042.56,7714.4161,3992.5042
2026-03-10 21:00:00,2042.56,2048.31,2018,2029.2,10882.7716,3139.766
2026-03-10 22:00:00,2029.2,2032.82,2021.14,2027.64,8497.767,4059.2901
2026-03-10 23:00:00,2027.63,2037.3,2027.55,2036.51,6853.9595,3600.7765
2026-03-11 00:00:00,2036.5,2041.71,2028.81,2037.68,10130.8412,4472.9539
2026-03-11 01:00:00,2037.68,2041,2028.62,2036.1,7117.2212,2769.3029
2026-03-11 02:00:00,2036.1,2039.05,2018.7,2026.71,11516.9943,4085.0135
2026-03-11 03:00:00,2026.7,2029.35,2018.13,2021.17,7998.2934,2389.0833
2026-03-11 04:00:00,2021.17,2041.39,2018.25,2039.08,8679.2646,4813.5574
2026-03-11 05:00:00,2039.08,2041.49,2011.37,2014.63,10074.1241,3412.0317
2026-03-11 06:00:00,2014.63,2026,2014,2024.3,8491.4641,3883.6237
2026-03-11 07:00:00,2024.31,2025.7,2007.17,2012.54,8583.0701,2990.2434
2026-03-11 08:00:00,2012.54,2025.72,2009.48,2023.76,14252.3433,6204.5089
2026-03-11 09:00:00,2023.75,2027.4,2014.51,2017.87,6669.7704,2236.6929
2026-03-11 10:00:00,2017.87,2031.3,2017.24,2028.68,6527.2329,3451.1919
2026-03-11 11:00:00,2028.68,2033.96,2015.83,2017.8,8797.7518,3837.7324
2026-03-11 12:00:00,2017.8,2035.5,2012.81,2023.09,16532.0046,6281.9645
2026-03-11 13:00:00,2023.09,2082.66,2021.67,2050.72,48997.1427,26719.5166
2026-03-11 14:00:00,2050.72,2077.59,2042.93,2062.68,42234.0784,24907.7602
2026-03-11 15:00:00,2062.68,2065.45,2030.03,2049.73,24389.6368,11630.1109
2026-03-11 16:00:00,2049.75,2072.43,2046.46,2067.01,18164.7212,11023.6628
2026-03-11 17:00:00,2067.02,2085.58,2057.69,2068.15,26324.514,14780.5632
2026-03-11 18:00:00,2068.15,2079.66,2064.18,2076.51,16458.5948,9716.4291
2026-03-11 19:00:00,2076.5,2077.9,2068.58,2076.06,15265.9144,7502.0493
2026-03-11 20:00:00,2076.05,2076.19,2065.09,2068.4,7066.8836,3029.4693
2026-03-11 21:00:00,2068.41,2074.94,2063.46,2073.07,5855.3663,3185.9775
