t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,0.1687,0.1699,0.1684,0.1698,611155.2,277484.3
2026-09-06 13:45:00,0.1698,0.1709,0.1696,0.1705,593784.7,308792.2
2026-09-06 14:00:00,0.1705,0.1719,0.1701,0.1702,977492.1,623953.9
2026-09-06 14:15:00,0.1702,0.1707,0.1679,0.168,1638609.6,848726.9
2026-09-06 14:30:00,0.168,0.1689,0.1666,0.1687,1808706.1,787920.1
2026-09-06 14:45:00,0.1686,0.1692,0.1678,0.1689,884958.7,556873
2026-09-06 15:00:00,0.1689,0.1694,0.1678,0.1684,1103805,425089.7
2026-09-06 15:15:00,0.1685,0.1687,0.168,0.1686,512625.4,343560.2
2026-09-06 15:30:00,0.1686,0.1704,0.1679,0.1695,1006497.2,476319.3
2026-09-06 15:45:00,0.1696,0.1719,0.1695,0.1714,2225606.2,1322774.2
2026-09-06 16:00:00,0.1714,0.1714,0.1698,0.1706,1684231.7,695697.7
2026-09-06 16:15:00,0.1706,0.1714,0.1702,0.171,655566,318125.6
2026-09-06 16:30:00,0.171,0.1717,0.1705,0.1708,1746688.9,1235079
2026-09-06 16:45:00,0.1708,0.1713,0.1707,0.1712,303134.1,165212
2026-09-06 17:00:00,0.1712,0.1714,0.1702,0.1703,429704.7,98765.2
2026-09-06 17:15:00,0.1705,0.1707,0.1698,0.1698,360785.6,91193.4
2026-09-06 17:30:00,0.1698,0.1704,0.1688,0.1702,2106503.2,1640295.8
2026-09-06 17:45:00,0.1701,0.1702,0.1697,0.17,108470.5,66156.2
2026-09-06 18:00:00,0.1701,0.1709,0.17,0.1708,158131.6,83174
2026-09-06 18:15:00,0.1708,0.1717,0.1708,0.1717,387208.7,275809.1
2026-09-06 18:30:00,0.1717,0.174,0.1717,0.173,1989110.1,1079153.1
2026-09-06 18:45:00,0.1729,0.1734,0.1722,0.1727,498506.3,195049.8
2026-09-06 19:00:00,0.1727,0.173,0.1721,0.1725,825536.9,351062
2026-09-06 19:15:00,0.1725,0.1743,0.1723,0.1742,869115.8,386191.6
2026-09-06 19:30:00,0.1742,0.1743,0.173,0.1731,793643,245081.8
2026-09-06 19:45:00,0.1732,0.1737,0.1724,0.1725,1164895.9,601599.7
2026-09-06 20:00:00,0.1725,0.176,0.1724,0.1757,3126593,1488314.4
2026-09-06 20:15:00,0.1757,0.1769,0.1753,0.1765,1683832.4,911046.4
2026-09-06 20:30:00,0.1766,0.1773,0.1761,0.1769,1246769.7,776632.4
2026-09-06 20:45:00,0.177,0.1775,0.1763,0.1764,733311.5,393473.9
2026-09-06 21:00:00,0.1766,0.1774,0.1762,0.1763,936935.8,315406.7
