t,o,h,l,c,v,taker_buy_v
2022-05-10,0.1941,0.223,0.1882,0.1979,24739355.3,13156888
2022-05-11,0.1981,0.202,0.1208,0.133,34940894.6,15349822.5
2022-05-12,0.133,0.1845,0.131,0.142,34283630,16658308
2022-05-13,0.142,0.1871,0.1394,0.1593,15976320,8064232
2022-05-14,0.159,0.1884,0.1452,0.1724,20778876,9526060
2022-05-15,0.1724,0.1846,0.1686,0.1814,12471504,5978753
2022-05-16,0.181,0.1875,0.1671,0.1839,14629350,8663409
2022-05-17,0.1843,0.2008,0.178,0.1898,19450188,11254597
2022-05-18,0.1896,0.1926,0.1672,0.1679,10361933,4870138
2022-05-19,0.1674,0.1834,0.1611,0.1801,12374194,6387517
2022-05-20,0.18,0.1827,0.1657,0.1681,9829116,4781287
2022-05-21,0.1676,0.1738,0.1647,0.1732,4734782,2177826
2022-05-22,0.173,0.1758,0.1675,0.1735,8080741,4303391
2022-05-23,0.1733,0.1794,0.1624,0.1644,12394199,5947964
2022-05-24,0.1646,0.1683,0.1534,0.1637,7338002,3446747
2022-05-25,0.1635,0.1661,0.1572,0.1592,5605866,2624384
2022-05-26,0.1592,0.1625,0.1392,0.1438,10415678,4907746
2022-05-27,0.1437,0.152,0.135,0.1396,29309410,20484613
2022-05-28,0.1397,0.168,0.1385,0.1567,45324657,27325222
2022-05-29,0.1567,0.1706,0.1546,0.1591,33868099,18181341
2022-05-30,0.1591,0.1743,0.158,0.1673,18871166,9587260
2022-05-31,0.167,0.1745,0.162,0.1694,19393055,10655699
2022-06-01,0.1695,0.1739,0.15,0.1531,20039357,12267631
2022-06-02,0.1531,0.165,0.15,0.1636,21961102,16208913
2022-06-03,0.1633,0.1659,0.1513,0.1533,26559785,19160407
2022-06-04,0.1532,0.1544,0.1491,0.1529,17077953,12865390
2022-06-05,0.153,0.1537,0.1439,0.1469,22378162,16022552
2022-06-06,0.1469,0.1573,0.1468,0.149,24030152,15154327
2022-06-07,0.1488,0.1649,0.1391,0.1526,52582158,30023353
2022-06-08,0.1529,0.1741,0.1492,0.1503,37193733,19680197
2022-06-09,0.1502,0.1678,0.1491,0.1544,31216411,17658732
2022-06-10,0.1544,0.1679,0.1435,0.1441,37802988,17807917
2022-06-11,0.1443,0.1501,0.1338,0.1363,21182798,12237266
2022-06-12,0.1361,0.1383,0.1132,0.1135,53623322,27256149
2022-06-13,0.1136,0.1179,0.1036,0.1098,44535874,22793501.4
2022-06-14,0.1099,0.1147,0.1019,0.1093,24935223,11970981
2022-06-15,0.1093,0.1098,0.0852,0.1079,115517011,68606942
2022-06-16,0.1076,0.1091,0.0808,0.0828,83752966,45886031
2022-06-17,0.0828,0.0848,0.0761,0.08,83889930,48008624
2022-06-18,0.08,0.091,0.0662,0.075,103778997,51868023
2022-06-19,0.075,0.0807,0.0706,0.0792,34594670,15603367
2022-06-20,0.0791,0.0828,0.0743,0.0801,49345642,28086390
2022-06-21,0.0802,0.0876,0.0799,0.0814,51606891,29750615
2022-06-22,0.0814,0.088,0.0789,0.0814,51972525,27622056
2022-06-23,0.0816,0.0844,0.0795,0.0819,65262577,36504346
2022-06-24,0.0818,0.0913,0.0818,0.09,68706183,32455758
2022-06-25,0.09,0.0957,0.0864,0.0887,79057335,37798082
2022-06-26,0.0886,0.0946,0.0819,0.0824,57245485,27184921
2022-06-27,0.0823,0.086,0.0785,0.0823,66400078,34714257
2022-06-28,0.0822,0.0847,0.0754,0.0761,38182491,17002666
2022-06-29,0.076,0.0802,0.0727,0.0767,37197668,17512589
2022-06-30,0.0769,0.077,0.0688,0.0746,27925702,12552548
2022-07-01,0.0745,0.0782,0.0727,0.0739,21977725,10053883
2022-07-02,0.0739,0.0831,0.0723,0.0762,31759053,15730835
2022-07-03,0.0762,0.0784,0.0712,0.0741,32733138,17424440
2022-07-04,0.0739,0.0775,0.0725,0.077,15652859,7891530
2022-07-05,0.0771,0.0778,0.0716,0.0744,22909911,11038321
2022-07-06,0.0741,0.0788,0.0731,0.0755,29238615,14771906
2022-07-07,0.0757,0.0829,0.075,0.0813,46181838,21708455
2022-07-08,0.0814,0.0835,0.0761,0.0789,31457006,14762162
2022-07-09,0.0791,0.084,0.079,0.0818,21402359,9841536
2022-07-10,0.0818,0.0821,0.0766,0.077,32094249,13830344
2022-07-11,0.077,0.0774,0.0717,0.072,18220451,8925569
2022-07-12,0.0719,0.0749,0.0682,0.0686,27549258,12850458
2022-07-13,0.0686,0.0746,0.0662,0.0741,27050353,12715754
2022-07-14,0.0741,0.0809,0.0737,0.0769,41818131,19808117
2022-07-15,0.0768,0.08,0.0752,0.0767,32314486,14120576
2022-07-16,0.0767,0.0826,0.0761,0.0812,58103589,28595875
2022-07-17,0.0811,0.0829,0.0787,0.0794,26666393,12831947
2022-07-18,0.0794,0.0859,0.0794,0.0846,37483658,18192636
2022-07-19,0.0844,0.0913,0.0831,0.0875,58896091,29300817
2022-07-20,0.0876,0.0934,0.0797,0.0835,68639045,30477816
2022-07-21,0.0836,0.0869,0.0799,0.0852,29086946,14547263
2022-07-22,0.0851,0.089,0.0817,0.0822,24222428,11715183
2022-07-23,0.0823,0.085,0.0805,0.0833,15103383,7278642
2022-07-24,0.0835,0.0876,0.0821,0.0844,18810304,9087749
2022-07-25,0.0844,0.0849,0.0764,0.0766,18917579,8387488
2022-07-26,0.0765,0.0768,0.0734,0.0763,14493869,7246279
2022-07-27,0.0765,0.0813,0.0751,0.0812,27083436,13734625
2022-07-28,0.0812,0.0926,0.0797,0.0871,43735884,24902768
2022-07-29,0.087,0.0902,0.0836,0.086,43044221,21579721
2022-07-30,0.086,0.0943,0.0859,0.0873,44656163,22857486
2022-07-31,0.0872,0.1054,0.087,0.0957,91425264,47298779
2022-08-01,0.0958,0.1065,0.0905,0.0948,51402656,23432611
2022-08-02,0.0948,0.0973,0.091,0.0925,37855046,19856051
2022-08-03,0.0926,0.0981,0.0907,0.0956,29649911,15379721
2022-08-04,0.0956,0.106,0.0924,0.0964,79568087,39813358
2022-08-05,0.0964,0.1015,0.0964,0.1008,32523050,18643495
2022-08-06,0.101,0.104,0.1,0.1017,24823674,13854635
2022-08-07,0.1017,0.1055,0.1,0.1043,30890940,16417997
2022-08-08,0.1041,0.1055,0.1008,0.1017,41100946,22909649
2022-08-09,0.1017,0.1028,0.0935,0.0957,29946055,15505796
2022-08-10,0.0957,0.0999,0.092,0.0999,33947531,18569884
2022-08-11,0.1,0.1032,0.0964,0.097,30035577,14984591
2022-08-12,0.097,0.1051,0.0946,0.1037,27538069,15795005
2022-08-13,0.1037,0.1057,0.1001,0.1005,25713901,12290086
2022-08-14,0.1005,0.1054,0.0966,0.0995,29974013,14968834
2022-08-15,0.0994,0.105,0.0954,0.1003,30371857,16611705
2022-08-16,0.1004,0.1179,0.1004,0.1076,152803445,79874197
2022-08-17,0.1075,0.1133,0.0985,0.1019,42869023,19367277
2022-08-18,0.1021,0.1028,0.094,0.0944,24765521,11019132
2022-08-19,0.0944,0.0944,0.0832,0.0842,31487627,15184730
2022-08-20,0.0842,0.0884,0.0822,0.0853,20382038,13173318
2022-08-21,0.0853,0.0954,0.085,0.0888,31578244,16089330
2022-08-22,0.0888,0.0898,0.0846,0.0895,21020280,12582860
2022-08-23,0.0895,0.0967,0.0876,0.0918,35448343,18247862
2022-08-24,0.0919,0.0936,0.0893,0.0908,10516654,4929799
2022-08-25,0.0909,0.0931,0.0898,0.0912,14291052,8530925
2022-08-26,0.0912,0.0912,0.0842,0.0857,21919233,13213764
2022-08-27,0.0858,0.0864,0.0831,0.085,14362295,8825894
2022-08-28,0.085,0.0852,0.0775,0.0778,17954425,10166641
2022-08-29,0.0777,0.0848,0.0776,0.0843,11885250,7023994
2022-08-30,0.0844,0.0855,0.0786,0.0801,13446029,6235951
2022-08-31,0.0803,0.0848,0.0801,0.0812,15384704,8180607
2022-09-01,0.0812,0.0824,0.0792,0.0819,14578835,8455902
2022-09-02,0.0818,0.0856,0.0794,0.0808,20270653,9212149
2022-09-03,0.0808,0.0847,0.08,0.0826,14295106,10840800
2022-09-04,0.0827,0.0832,0.0803,0.0831,14554557,10652943
2022-09-05,0.083,0.0835,0.0808,0.082,13842388,9701546
2022-09-06,0.0821,0.0842,0.0758,0.077,22182983,12063690
2022-09-07,0.077,0.1045,0.0756,0.0972,261655481,141688909
2022-09-08,0.0973,0.0999,0.0896,0.0931,65837308,32769257
2022-09-09,0.093,0.097,0.0908,0.0953,33772052,15584780
2022-09-10,0.0953,0.104,0.0934,0.0989,38106922,18929981
2022-09-11,0.0988,0.1014,0.0937,0.0949,19487898,8926327
2022-09-12,0.0949,0.0987,0.0893,0.0912,29241549,13581033
2022-09-13,0.0912,0.092,0.0841,0.0863,23802395,9656543
2022-09-14,0.0863,0.0988,0.0831,0.0915,50321187,27542369
2022-09-15,0.0916,0.099,0.0871,0.0918,55447146,24284330
2022-09-16,0.0917,0.0922,0.0856,0.0866,39939053,18333196
2022-09-17,0.0865,0.0913,0.0865,0.0888,11600070,5952615
2022-09-18,0.0886,0.0897,0.0802,0.0809,18252825,9806967
2022-09-19,0.0809,0.0853,0.0794,0.0827,21758548,12715400
2022-09-20,0.0827,0.0861,0.0811,0.0826,19194786,12313117
2022-09-21,0.0824,0.0874,0.0777,0.0792,35747808,17560979
2022-09-22,0.0791,0.0834,0.0789,0.0827,14436911,7448927
2022-09-23,0.0828,0.0879,0.0819,0.0852,24182267,11786194
2022-09-24,0.0852,0.086,0.0819,0.0823,15336287,7695994
2022-09-25,0.0824,0.0835,0.0796,0.0801,13743750,8715092
2022-09-26,0.0801,0.0813,0.0785,0.0812,15098439,8418258
2022-09-27,0.0811,0.0856,0.0798,0.0814,21804919,12126136
2022-09-28,0.0815,0.0912,0.0789,0.0848,54597896,29584531
2022-09-29,0.0849,0.0858,0.0807,0.0829,22509993,11091786
2022-09-30,0.0829,0.0841,0.0812,0.0827,15641284,7753713
2022-10-01,0.0827,0.0835,0.081,0.081,6934414,3090479
2022-10-02,0.0811,0.0813,0.078,0.0789,12790854,6785620
2022-10-03,0.0788,0.0822,0.0781,0.0808,15035227,7253900
2022-10-04,0.0808,0.083,0.0802,0.0823,9947524,4395568
2022-10-05,0.0823,0.0828,0.0798,0.0813,9635605,4802996
2022-10-06,0.0813,0.0824,0.0801,0.0807,8592197,4403103
2022-10-07,0.0807,0.0814,0.0787,0.08,8161052,4747296
2022-10-08,0.0799,0.0887,0.0796,0.0811,45119622,27740467
2022-10-09,0.081,0.0833,0.0797,0.0826,45665838,33860890
2022-10-10,0.0827,0.0844,0.0797,0.0798,23634745,13731725
2022-10-11,0.0798,0.0827,0.0788,0.0793,20102224,9497415
2022-10-12,0.0792,0.081,0.079,0.0796,21615708,15216699
2022-10-13,0.0795,0.0848,0.0731,0.0821,55783400,34139410
2022-10-14,0.0821,0.0846,0.0794,0.0807,33612096,22942438
2022-10-15,0.0807,0.0848,0.0806,0.0821,20902855,12614903
2022-10-16,0.0821,0.0945,0.0812,0.0853,55521194,27675058
2022-10-17,0.0855,0.0893,0.0828,0.0871,33567923,15531848
2022-10-18,0.0873,0.0894,0.083,0.0846,24610739,11004470
2022-10-19,0.0845,0.0854,0.0812,0.0813,11717581,5436146
2022-10-20,0.0813,0.0821,0.079,0.0807,8966665,4077394
2022-10-21,0.0807,0.0823,0.0774,0.0805,13701725,6605925
2022-10-22,0.0805,0.0832,0.0803,0.0813,12369622,6697938
2022-10-23,0.0814,0.0822,0.0798,0.0814,8252996,3889315
2022-10-24,0.0814,0.0818,0.0794,0.0804,12439735,7628723
2022-10-25,0.0804,0.0839,0.0793,0.0816,13979457,7324334
2022-10-26,0.0817,0.0839,0.0813,0.0818,11614604,5172578
2022-10-27,0.0817,0.0845,0.0805,0.081,14770717,6297019
2022-10-28,0.0809,0.0835,0.0803,0.0822,9493762,4705243
2022-10-29,0.0823,0.088,0.0821,0.0842,20022535,9856850
2022-10-30,0.0841,0.0865,0.083,0.084,12976706,6870890
2022-10-31,0.0842,0.0868,0.0833,0.0851,17990536,10303643
2022-11-01,0.0851,0.0858,0.0819,0.0827,12801592,6088165
2022-11-02,0.0827,0.0834,0.0789,0.0801,16125454,7454482
