t,o,h,l,c,v,taker_buy_v
2025-08-22 12:00:00,0.65,0.699,0.638,0.69,16210212.3,8296916.4
2025-08-22 16:00:00,0.69,0.713,0.69,0.705,9308491.2,5397591.4
2025-08-22 20:00:00,0.705,0.71,0.698,0.701,4748851.5,2749390.1
2025-08-23 00:00:00,0.701,0.703,0.673,0.677,3905245.8,1697702.6
2025-08-23 04:00:00,0.676,0.693,0.676,0.686,2367160,1268618
2025-08-23 08:00:00,0.685,0.692,0.683,0.686,2517029.4,882619.2
2025-08-23 12:00:00,0.686,0.688,0.68,0.683,3504478.3,1664840
2025-08-23 16:00:00,0.683,0.692,0.681,0.692,1438973.2,662102.3
2025-08-23 20:00:00,0.692,0.693,0.686,0.69,1305768.9,645762
2025-08-24 00:00:00,0.691,0.694,0.681,0.685,1307694.5,641938.6
2025-08-24 04:00:00,0.685,0.688,0.674,0.675,1453425.4,508646.3
2025-08-24 08:00:00,0.675,0.679,0.665,0.67,3589083.5,1252574
2025-08-24 12:00:00,0.669,0.681,0.668,0.675,2846872.9,1052780.6
2025-08-24 16:00:00,0.675,0.703,0.67,0.685,8340764,3937663.8
2025-08-24 20:00:00,0.685,0.688,0.672,0.679,3162641,1438572.2
2025-08-25 00:00:00,0.679,0.686,0.666,0.676,1811169.3,768531.6
2025-08-25 04:00:00,0.677,0.679,0.648,0.649,3406382.2,1334680.2
2025-08-25 08:00:00,0.649,0.656,0.641,0.649,4604716.7,1812469.3
2025-08-25 12:00:00,0.649,0.659,0.646,0.651,4983265.9,2237724.2
2025-08-25 16:00:00,0.651,0.656,0.631,0.631,3075814.6,1061519.1
2025-08-25 20:00:00,0.632,0.634,0.613,0.624,7280542,3230157.4
2025-08-26 00:00:00,0.623,0.634,0.62,0.627,2574099.7,990600
2025-08-26 04:00:00,0.627,0.638,0.627,0.634,2015175.9,762358.8
2025-08-26 08:00:00,0.635,0.638,0.627,0.631,1843863.2,858850.7
2025-08-26 12:00:00,0.631,0.643,0.627,0.637,2224839.6,1211786.3
2025-08-26 16:00:00,0.637,0.647,0.634,0.645,2194727.6,1174355.7
2025-08-26 20:00:00,0.645,0.65,0.641,0.646,2009826.7,992630.3
2025-08-27 00:00:00,0.646,0.648,0.636,0.645,2517504.3,1459362.6
2025-08-27 04:00:00,0.645,0.652,0.641,0.644,1546140.8,784636.1
2025-08-27 08:00:00,0.643,0.647,0.641,0.642,2087097.5,1048734.9
2025-08-27 12:00:00,0.642,0.649,0.636,0.646,2707343.7,1368085.4
2025-08-27 16:00:00,0.645,0.65,0.637,0.64,1479781.3,615863
2025-08-27 20:00:00,0.64,0.649,0.633,0.638,3556822,1706960.8
2025-08-28 00:00:00,0.638,0.646,0.636,0.646,2330050.9,911492.2
2025-08-28 04:00:00,0.646,0.653,0.644,0.65,1814064,927514
2025-08-28 08:00:00,0.651,0.654,0.642,0.647,1975070.7,931178.6
2025-08-28 12:00:00,0.647,0.658,0.645,0.648,3792866.2,1824075.5
2025-08-28 16:00:00,0.648,0.65,0.636,0.636,2378181.2,910884
2025-08-28 20:00:00,0.637,0.651,0.636,0.65,1794178.4,736313.4
2025-08-29 00:00:00,0.65,0.653,0.638,0.645,1996796.7,946680.8
2025-08-29 04:00:00,0.645,0.647,0.621,0.622,3697459.3,1495812.2
2025-08-29 08:00:00,0.623,0.626,0.614,0.622,3846900.3,1721040.4
2025-08-29 12:00:00,0.622,0.638,0.615,0.618,6298239.5,2962554.3
2025-08-29 16:00:00,0.618,0.621,0.609,0.616,2587877.4,1035073.6
2025-08-29 20:00:00,0.616,0.621,0.611,0.617,1590120.5,634589.2
2025-08-30 00:00:00,0.617,0.624,0.607,0.622,1548590.8,629451.6
2025-08-30 04:00:00,0.623,0.626,0.62,0.626,1298333.9,519833.2
2025-08-30 08:00:00,0.626,0.627,0.62,0.625,1235568.1,532720.8
2025-08-30 12:00:00,0.626,0.628,0.617,0.626,1442660.1,757327
2025-08-30 16:00:00,0.626,0.626,0.621,0.623,818047.1,328393.4
2025-08-30 20:00:00,0.623,0.626,0.62,0.625,675318.6,288163.6
2025-08-31 00:00:00,0.625,0.635,0.624,0.632,1837222.1,980192.7
2025-08-31 04:00:00,0.633,0.633,0.626,0.626,979715.7,406185.4
2025-08-31 08:00:00,0.626,0.631,0.622,0.626,1308266.3,580509.4
2025-08-31 12:00:00,0.626,0.627,0.619,0.625,1469552.2,663447.3
2025-08-31 16:00:00,0.624,0.627,0.621,0.623,1289149.2,562215.6
2025-08-31 20:00:00,0.623,0.626,0.613,0.613,1337658.5,484140.3
2025-09-01 00:00:00,0.613,0.614,0.598,0.602,3374196.1,1553579.8
2025-09-01 04:00:00,0.601,0.616,0.591,0.616,3834135.1,2126566
2025-09-01 08:00:00,0.616,0.623,0.603,0.605,2690471.7,1083857.8
2025-09-01 12:00:00,0.605,0.609,0.596,0.596,2816280.8,1190442.9
2025-09-01 16:00:00,0.597,0.601,0.592,0.599,2009719.5,1008807.9
2025-09-01 20:00:00,0.599,0.6,0.578,0.591,5339239,2400551.7
2025-09-02 00:00:00,0.591,0.603,0.587,0.602,2638302.3,1205148.8
2025-09-02 04:00:00,0.602,0.608,0.599,0.601,1785946.9,796534.5
2025-09-02 08:00:00,0.602,0.606,0.599,0.6,2189924.6,898566.4
2025-09-02 12:00:00,0.6,0.61,0.587,0.595,5018479.5,2520672.4
2025-09-02 16:00:00,0.595,0.608,0.595,0.602,2536688.5,1457084.8
2025-09-02 20:00:00,0.603,0.618,0.601,0.617,2237312.9,1303892.2
2025-09-03 00:00:00,0.617,0.623,0.613,0.618,2253829.4,1091809.5
2025-09-03 04:00:00,0.617,0.62,0.613,0.616,2291668.7,1015784.5
2025-09-03 08:00:00,0.616,0.624,0.614,0.62,2904303.5,1396740.5
2025-09-03 12:00:00,0.62,0.628,0.617,0.627,3573144.6,1704252.9
2025-09-03 16:00:00,0.627,0.628,0.621,0.624,2536200.1,1086890.6
2025-09-03 20:00:00,0.625,0.625,0.618,0.619,1453143.6,601911
2025-09-04 00:00:00,0.62,0.623,0.61,0.611,2156376.1,934264.4
2025-09-04 04:00:00,0.611,0.613,0.601,0.605,1953883.8,839999.9
2025-09-04 08:00:00,0.605,0.609,0.602,0.605,1541983.4,726482.1
2025-09-04 12:00:00,0.605,0.608,0.593,0.594,3430213.7,1502404.5
2025-09-04 16:00:00,0.594,0.596,0.589,0.592,2352722.2,987072.7
2025-09-04 20:00:00,0.591,0.602,0.591,0.593,1457050.8,639244.8
2025-09-05 00:00:00,0.594,0.602,0.594,0.601,2274493.2,1209823.9
2025-09-05 04:00:00,0.601,0.617,0.599,0.615,2617259.9,1398946.2
2025-09-05 08:00:00,0.615,0.616,0.605,0.611,2352964.7,917075
2025-09-05 12:00:00,0.611,0.622,0.6,0.606,6810821.9,3230096.3
2025-09-05 16:00:00,0.606,0.613,0.603,0.612,1927790.3,900063.3
