t,o,h,l,c,v,taker_buy_v
2026-09-24 11:00:00,92,92.3,90.7,91.49,36989.187,17358.981
2026-09-24 11:15:00,91.47,91.48,90.89,90.89,9985.282,1606.517
2026-09-24 11:30:00,90.9,91.16,90.82,90.99,4277.312,2378.962
2026-09-24 11:45:00,91,91.13,90.66,91.02,3779.592,1525.371
2026-09-24 12:00:00,91.01,91.54,90.86,91.44,12073.642,7146.344
2026-09-24 12:15:00,91.43,91.85,91.4,91.42,10457.855,5999.578
2026-09-24 12:30:00,91.41,91.49,91,91.34,6733.606,2747.83
2026-09-24 12:45:00,91.34,91.9,91.2,91.85,5638.02,3912.709
2026-09-24 13:00:00,91.85,91.97,91.7,91.93,4733.503,2380.05
2026-09-24 13:15:00,91.92,92.33,91.86,92.1,7498.333,4365.618
2026-09-24 13:30:00,92.09,93.34,92,92.62,13054.844,8264.121
2026-09-24 13:45:00,92.64,92.82,92.14,92.62,7126.549,3766.276
2026-09-24 14:00:00,92.64,92.67,92.2,92.35,6142.835,2555.997
2026-09-24 14:15:00,92.35,93.32,92.19,93.23,7913.913,6069.001
2026-09-24 14:30:00,93.21,93.28,92.62,92.8,3305.675,1428.611
2026-09-24 14:45:00,92.8,92.8,91.41,91.76,6181.547,1486.913
2026-09-24 15:00:00,91.75,92.35,91.62,92.31,4728.564,2489.544
2026-09-24 15:15:00,92.27,92.75,92.27,92.55,2043.696,1250.254
2026-09-24 15:30:00,92.55,93.61,92.51,93.61,3657.616,2775.436
2026-09-24 15:45:00,93.61,93.83,93.33,93.44,2557.585,1205.297
2026-09-24 16:00:00,93.46,93.5,92.77,93,2381.655,1173.643
2026-09-24 16:15:00,93.01,94.05,93.01,93.94,3740.54,2013.406
2026-09-24 16:30:00,93.98,94.23,93.58,93.79,9184.121,4538.055
2026-09-24 16:45:00,93.79,94,93.27,93.99,11419.029,5798.285
2026-09-24 17:00:00,93.97,94.21,93.3,93.66,16023.765,7270.176
2026-09-24 17:15:00,93.65,93.83,93.38,93.8,1544.854,856.096
2026-09-24 17:30:00,93.8,93.9,93.05,93.13,1719.224,309.284
2026-09-24 17:45:00,93.12,93.43,93.03,93.42,1677.857,695.336
2026-09-24 18:00:00,93.43,93.78,92.97,93.67,1859.7,1075.381
2026-09-24 18:15:00,93.7,94.07,93.46,93.83,2297.887,1505.579
2026-09-24 18:30:00,93.88,94.03,93.56,93.81,828.761,295.553
2026-09-24 18:45:00,93.82,94.35,93.66,94.13,2312.53,1647.289
2026-09-24 19:00:00,94.16,94.25,93.81,94.1,2406.91,1336.416
2026-09-24 19:15:00,94.12,94.88,94.06,94.77,8372.442,2716.298
2026-09-24 19:30:00,94.74,94.76,94.25,94.27,2559.97,642.167
2026-09-24 19:45:00,94.26,94.73,94.26,94.52,9155.896,7189.203
2026-09-24 20:00:00,94.54,94.66,94.25,94.25,1288.102,750.596
2026-09-24 20:15:00,94.26,94.37,93.87,94.04,1599.878,805.947
2026-09-24 20:30:00,94.05,94.19,93.67,93.67,2296.994,800.92
2026-09-24 20:45:00,93.67,93.79,93.36,93.51,2270.676,777.235
2026-09-24 21:00:00,93.51,93.58,93.17,93.25,2068.721,1029.947
2026-09-24 21:15:00,93.25,93.72,93.21,93.66,2250.636,1714.248
2026-09-24 21:30:00,93.66,93.72,93.2,93.23,1013.234,657.062
2026-09-24 21:45:00,93.23,93.26,92.37,92.5,3016.313,957.429
2026-09-24 22:00:00,92.5,92.51,92.22,92.3,2125.508,1039.768
2026-09-24 22:15:00,92.28,92.34,92.11,92.15,2788.165,814.719
2026-09-24 22:30:00,92.15,92.39,92.1,92.21,1112.838,564.553
2026-09-24 22:45:00,92.23,92.54,92.18,92.36,1887.298,1051.932
2026-09-24 23:00:00,92.36,92.41,92.04,92.12,1488.755,942.969
2026-09-24 23:15:00,92.12,92.27,92.04,92.16,2122.763,611.496
2026-09-24 23:30:00,92.16,92.29,92.12,92.13,677.447,441.54
2026-09-24 23:45:00,92.13,92.19,92.13,92.13,551.825,450.602
2026-09-25 00:00:00,92.13,92.65,92.13,92.19,4931.44,3507.331
2026-09-25 00:15:00,92.18,92.18,91.65,91.76,1871.038,512.714
2026-09-25 00:30:00,91.75,91.77,91.29,91.3,762.383,332.777
2026-09-25 00:45:00,91.3,91.42,91.19,91.2,981.957,548.16
2026-09-25 01:00:00,91.21,91.99,91.21,91.95,718.435,280.977
2026-09-25 01:15:00,91.95,92.02,91.58,91.65,1872.787,1118.791
2026-09-25 01:30:00,91.65,91.65,91.21,91.39,978.769,570.501
2026-09-25 01:45:00,91.39,91.6,91.35,91.59,1440.573,704.866
2026-09-25 02:00:00,91.59,91.99,91.57,91.93,2725.098,885.796
2026-09-25 02:15:00,91.93,92.16,91.75,91.82,1032.265,542.084
2026-09-25 02:30:00,91.82,91.89,91.2,91.22,3762.55,181.528
2026-09-25 02:45:00,91.22,91.24,91.05,91.18,1174.32,801.817
2026-09-25 03:00:00,91.19,91.59,91.1,91.34,1140.934,743.654
2026-09-25 03:15:00,91.36,91.56,91.36,91.4,402.699,180.232
2026-09-25 03:30:00,91.4,91.48,91.18,91.18,1180.553,448.68
2026-09-25 03:45:00,91.17,91.72,91.14,91.67,1257.002,814.111
2026-09-25 04:00:00,91.66,91.81,91.6,91.69,702.822,203.153
2026-09-25 04:15:00,91.69,91.8,91.68,91.71,2604.069,1543.722
2026-09-25 04:30:00,91.71,91.97,91.62,91.9,988.014,613.579
2026-09-25 04:45:00,91.9,91.97,91.67,91.67,1234.311,411.382
2026-09-25 05:00:00,91.69,91.88,91.64,91.67,628.91,170.27
2026-09-25 05:15:00,91.65,91.9,91.64,91.88,911.747,678.413
2026-09-25 05:30:00,91.87,92.04,91.71,91.93,779.611,424.069
2026-09-25 05:45:00,91.94,92.03,91.91,91.98,1311.11,1098.832
2026-09-25 06:00:00,91.98,92.16,91.96,92.02,2212.141,956.35
2026-09-25 06:15:00,92.03,92.12,91.83,91.84,526.749,359.464
2026-09-25 06:30:00,91.84,92.26,91.81,92.25,927.388,635.848
2026-09-25 06:45:00,92.25,92.38,92,92.38,788.44,524.794
2026-09-25 07:00:00,92.36,92.38,91.94,92.14,1181.438,585.421
2026-09-25 07:15:00,92.14,92.62,92.14,92.62,976.776,876.028
2026-09-25 07:30:00,92.63,92.73,92.32,92.62,967.265,461.76
2026-09-25 07:45:00,92.62,92.99,92.61,92.96,1849.814,1375.998
2026-09-25 08:00:00,92.95,93.15,92.85,93.15,1065.699,397.07
2026-09-25 08:15:00,93.17,93.75,93.13,93.6,3514.87,3087.316
2026-09-25 08:30:00,93.61,93.68,93.3,93.34,1426.734,1053.284
2026-09-25 08:45:00,93.33,93.66,93.24,93.62,1024.726,505.558
2026-09-25 09:00:00,93.61,93.98,93.54,93.54,2436.981,1584.503
2026-09-25 09:15:00,93.53,93.85,93.49,93.83,896.111,391.691
2026-09-25 09:30:00,93.83,93.98,93.66,93.77,1263.04,639.913
2026-09-25 09:45:00,93.77,93.77,93.51,93.58,1652.624,554.354
2026-09-25 10:00:00,93.58,93.59,93.07,93.3,1966.208,119.334
2026-09-25 10:15:00,93.3,93.7,93.13,93.68,1270.826,758.395
2026-09-25 10:30:00,93.68,94.26,93.58,94.26,2416.31,1705.411
2026-09-25 10:45:00,94.25,94.36,93.94,94,2426.573,1442.194
2026-09-25 11:00:00,94,94.38,93.99,94.28,1502.471,854.326
2026-09-25 11:15:00,94.29,94.33,93.48,93.73,3614.654,1091.671
2026-09-25 11:30:00,93.73,93.84,93.45,93.54,9003.632,6356.438
2026-09-25 11:45:00,93.53,93.6,93.22,93.37,2401.38,704.036
2026-09-25 12:00:00,93.37,93.68,92.89,92.97,4319.948,910.09
2026-09-25 12:15:00,92.96,93.04,92.08,93.04,4253.656,1853.161
2026-09-25 12:30:00,93.02,93.44,92.9,93.34,3263.669,1793.901
2026-09-25 12:45:00,93.33,93.6,93.02,93.47,1403.532,768.997
2026-09-25 13:00:00,93.48,93.84,93.21,93.52,2124.685,830.393
2026-09-25 13:15:00,93.5,93.7,92.76,92.86,1827.917,481.124
2026-09-25 13:30:00,92.86,93,92,92.11,5021.262,2147.723
2026-09-25 13:45:00,92.14,92.45,91.53,92.22,5588.92,2773.396
2026-09-25 14:00:00,92.24,92.3,91.41,92.18,3301.64,1412.648
2026-09-25 14:15:00,92.15,92.37,91.65,91.7,2049.681,705.418
2026-09-25 14:30:00,91.72,92.19,91.7,91.88,2134.07,627.842
2026-09-25 14:45:00,91.89,92.4,91.67,92.4,2404.464,1214.183
2026-09-25 15:00:00,92.39,92.46,91.99,92.46,3081.207,1322.754
2026-09-25 15:15:00,92.46,92.52,91.45,91.59,7438.421,1300.511
2026-09-25 15:30:00,91.6,91.72,90.93,90.93,4374.386,1718.918
2026-09-25 15:45:00,90.92,91.29,90.41,90.93,5345.298,2631.379
2026-09-25 16:00:00,90.93,91.36,90.79,91.27,3731.658,2238.984
2026-09-25 16:15:00,91.28,91.52,90.95,91.38,3029.586,1486.403
2026-09-25 16:30:00,91.36,91.6,91.17,91.47,2288.174,968.211
2026-09-25 16:45:00,91.46,91.6,91.17,91.5,845.175,404.049
2026-09-25 17:00:00,91.51,91.7,91.4,91.63,1175.182,587.718
