t,o,h,l,c,v,taker_buy_v
2026-09-24 11:00:00,92,92.3,90.66,91.02,55031.373,22869.831
2026-09-24 12:00:00,91.01,91.9,90.86,91.85,34903.123,19806.461
2026-09-24 13:00:00,91.85,93.34,91.7,92.62,32413.229,18776.065
2026-09-24 14:00:00,92.64,93.32,91.41,91.76,23543.97,11540.522
2026-09-24 15:00:00,91.75,93.83,91.62,93.44,12987.461,7720.531
2026-09-24 16:00:00,93.46,94.23,92.77,93.99,26725.345,13523.389
2026-09-24 17:00:00,93.97,94.21,93.03,93.42,20965.7,9130.892
2026-09-24 18:00:00,93.43,94.35,92.97,94.13,7298.878,4523.802
2026-09-24 19:00:00,94.16,94.88,93.81,94.52,22495.218,11884.084
2026-09-24 20:00:00,94.54,94.66,93.36,93.51,7455.65,3134.698
2026-09-24 21:00:00,93.51,93.72,92.37,92.5,8348.904,4358.686
2026-09-24 22:00:00,92.5,92.54,92.1,92.36,7913.809,3470.972
2026-09-24 23:00:00,92.36,92.41,92.04,92.13,4840.79,2446.607
2026-09-25 00:00:00,92.13,92.65,91.19,91.2,8546.818,4900.982
2026-09-25 01:00:00,91.21,92.02,91.21,91.59,5010.564,2675.135
2026-09-25 02:00:00,91.59,92.16,91.05,91.18,8694.233,2411.225
2026-09-25 03:00:00,91.19,91.72,91.1,91.67,3981.188,2186.677
2026-09-25 04:00:00,91.66,91.97,91.6,91.67,5529.216,2771.836
2026-09-25 05:00:00,91.69,92.04,91.64,91.98,3631.378,2371.584
2026-09-25 06:00:00,91.98,92.38,91.81,92.38,4454.718,2476.456
2026-09-25 07:00:00,92.36,92.99,91.94,92.96,4975.293,3299.207
2026-09-25 08:00:00,92.95,93.75,92.85,93.62,7032.029,5043.228
2026-09-25 09:00:00,93.61,93.98,93.49,93.58,6248.756,3170.461
2026-09-25 10:00:00,93.58,94.36,93.07,94,8079.917,4025.334
2026-09-25 11:00:00,94,94.38,93.22,93.37,16522.137,9006.471
2026-09-25 12:00:00,93.37,93.68,92.08,93.47,13240.805,5326.149
2026-09-25 13:00:00,93.48,93.84,91.53,92.22,14562.784,6232.636
2026-09-25 14:00:00,92.24,92.4,91.41,92.4,9889.855,3960.091
2026-09-25 15:00:00,92.39,92.52,90.41,90.93,20239.312,6973.562
2026-09-25 16:00:00,90.93,91.6,90.79,91.5,9894.593,5097.647
2026-09-25 17:00:00,91.51,91.7,91.09,91.29,2933.321,1584.934
2026-09-25 18:00:00,91.31,91.96,91.31,91.88,3259.812,2074.869
2026-09-25 19:00:00,91.89,91.91,91.57,91.63,3054.348,1505.205
2026-09-25 20:00:00,91.62,92.16,91.38,91.57,4343.171,2726.119
2026-09-25 21:00:00,91.57,91.92,91.4,91.71,3063.111,2474.325
2026-09-25 22:00:00,91.72,92.82,91.68,92.73,6668.286,4530.726
2026-09-25 23:00:00,92.74,92.85,92.21,92.42,4124.042,1950.786
2026-09-26 00:00:00,92.43,92.54,91.41,91.76,3729.662,2078.082
2026-09-26 01:00:00,91.75,92.6,91.68,92.17,2924.103,1844.32
2026-09-26 02:00:00,92.17,92.57,91.98,92.29,3447.067,1732.064
2026-09-26 03:00:00,92.28,92.39,91.9,91.9,2732.092,1213.698
2026-09-26 04:00:00,91.9,92.24,91.77,92.16,2293.754,1270.314
2026-09-26 05:00:00,92.16,92.16,91.66,91.81,2858.812,1815.606
2026-09-26 06:00:00,91.8,91.84,91.55,91.75,3828.113,2540.764
2026-09-26 07:00:00,91.75,92,91.59,91.95,4690.668,2775.48
2026-09-26 08:00:00,91.95,92.22,91.66,91.9,3012.13,1825.956
2026-09-26 09:00:00,91.9,91.9,91.4,91.84,3704.927,1790.434
2026-09-26 10:00:00,91.85,92.1,91.78,92.07,2722.473,1878.373
2026-09-26 11:00:00,92.07,92.39,91.97,92.19,5149.523,3310.696
2026-09-26 12:00:00,92.18,92.38,91.95,92.1,7488.486,1660.699
2026-09-26 13:00:00,92.1,92.23,91.84,91.84,3533.451,1139.569
