t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,5.083,5.112,5.075,5.11,11028.48,5967.44
2026-09-06 13:45:00,5.111,5.115,5.088,5.105,4086.2,1283.83
2026-09-06 14:00:00,5.105,5.126,5.093,5.093,5272.71,2960.76
2026-09-06 14:15:00,5.094,5.117,5.037,5.059,39691.96,22389.58
2026-09-06 14:30:00,5.059,5.079,5.005,5.074,18536.56,8333.62
2026-09-06 14:45:00,5.074,5.105,5.069,5.097,9739.76,6067.45
2026-09-06 15:00:00,5.098,5.13,5.07,5.115,7904.56,3785.16
2026-09-06 15:15:00,5.114,5.116,5.09,5.09,4892.08,2784.77
2026-09-06 15:30:00,5.091,5.124,5.082,5.121,3618.63,2214.87
2026-09-06 15:45:00,5.121,5.162,5.121,5.158,5195.43,2753.83
2026-09-06 16:00:00,5.16,5.181,5.12,5.126,12451.9,7923.2
2026-09-06 16:15:00,5.13,5.138,5.093,5.136,31903.7,15999.01
2026-09-06 16:30:00,5.137,5.209,5.125,5.183,27267.23,20623.26
2026-09-06 16:45:00,5.182,5.195,5.162,5.18,18016.34,14222.17
2026-09-06 17:00:00,5.179,5.185,5.131,5.143,10155.22,7073.37
2026-09-06 17:15:00,5.143,5.156,5.114,5.117,16121.75,1437.56
2026-09-06 17:30:00,5.116,5.16,5.106,5.148,9268.06,3150.47
2026-09-06 17:45:00,5.148,5.153,5.133,5.146,3400.77,1363.57
2026-09-06 18:00:00,5.147,5.15,5.118,5.144,10721.51,5264.14
2026-09-06 18:15:00,5.143,5.154,5.138,5.144,8226.39,1985.19
2026-09-06 18:30:00,5.145,5.198,5.145,5.154,22395.1,18066.89
2026-09-06 18:45:00,5.154,5.154,5.12,5.141,6484.7,3182.34
2026-09-06 19:00:00,5.138,5.154,5.128,5.153,5897.44,1083.58
2026-09-06 19:15:00,5.154,5.185,5.152,5.185,14445.28,10841.16
2026-09-06 19:30:00,5.185,5.232,5.176,5.219,31727.84,19566.98
2026-09-06 19:45:00,5.219,5.235,5.183,5.204,17202.6,8921.04
2026-09-06 20:00:00,5.202,5.207,5.164,5.181,11389.45,2451.59
2026-09-06 20:15:00,5.181,5.205,5.172,5.178,4012.25,1954.97
2026-09-06 20:30:00,5.18,5.211,5.179,5.202,29768.37,21954.71
