t,o,h,l,c,v,taker_buy_v
2022-05-10,2.985,3.652,2.783,3.069,1972736.1,957759.8
2022-05-11,3.069,3.149,1.898,2.122,2345056.5,1093123.828
2022-05-12,2.123,2.276,1.528,1.803,2199389.2,1028660.44
2022-05-13,1.808,2.381,1.791,2.078,2179955.8,1168855.4
2022-05-14,2.073,2.288,1.904,2.102,1711098.3,858253.6
2022-05-15,2.098,2.235,1.995,2.213,685570.1,346248
2022-05-16,2.212,2.212,1.953,1.998,940153,473832.4
2022-05-17,2.001,2.489,2.001,2.283,2073898.3,1019031.6
2022-05-18,2.286,2.759,2.2,2.409,3035764.2,1525757.5
2022-05-19,2.411,2.735,2.214,2.34,2058145.1,977752.3
2022-05-20,2.34,2.459,2.181,2.195,945915.8,466870.7
2022-05-21,2.19,2.354,2.126,2.269,870072.1,508990
2022-05-22,2.268,2.347,2.212,2.25,452010.6,212148.6
2022-05-23,2.249,2.341,2.195,2.252,723640.5,345923.2
2022-05-24,2.256,2.55,2.134,2.258,1682255.6,779462.2
2022-05-25,2.26,2.325,2.208,2.231,709517.9,337139.6
2022-05-26,2.23,2.262,1.929,2.018,708119.7,342117.7
2022-05-27,2.018,2.042,1.861,1.927,742668.8,334935.6
2022-05-28,1.93,2.029,1.898,1.995,393212.1,202005.4
2022-05-29,1.996,2.326,1.943,2.104,1984063.8,1007269.9
2022-05-30,2.102,2.23,2.075,2.206,810733.3,451677.6
2022-05-31,2.205,2.343,2.121,2.244,991748.2,493771.4
2022-06-01,2.244,2.268,2.04,2.072,593500,275504.6
2022-06-02,2.073,2.154,2.04,2.144,339528.2,169248.4
2022-06-03,2.143,2.143,1.997,2.029,314085.2,121498.7
2022-06-04,2.03,2.073,1.991,2.041,205117.8,97612.6
2022-06-05,2.042,2.076,1.987,2.017,211379.7,95522.1
2022-06-06,2.024,2.119,2.001,2.04,435883.7,209294.5
2022-06-07,2.039,2.068,1.89,1.981,1200170.5,556545.8
2022-06-08,1.984,2.04,1.922,1.93,600255.3,293037.2
2022-06-09,1.925,2.333,1.91,2.003,3510982,1776597.2
2022-06-10,2.003,2.4,1.958,1.964,4909156.8,2377847.3
2022-06-11,1.964,2.179,1.747,1.823,3428688.7,1777797.8
2022-06-12,1.823,1.823,1.545,1.547,1179765.2,516653.7
2022-06-13,1.543,1.57,1.262,1.338,2112333.3,991064.1
2022-06-14,1.341,1.807,1.223,1.44,7224898.1,3413878.2
2022-06-15,1.435,1.552,1.286,1.496,5151065.7,2446008.2
2022-06-16,1.502,1.522,1.32,1.347,1149041.2,526348.5
2022-06-17,1.35,1.41,1.32,1.36,626259,304639.1
2022-06-18,1.355,1.455,1.13,1.227,1945608.071,980578.8
2022-06-19,1.225,1.312,1.167,1.301,939894.5,508225.2
2022-06-20,1.301,1.419,1.244,1.351,1304217.6,651897.7
2022-06-21,1.353,1.444,1.335,1.343,1150522.4,529969.3
