t,o,h,l,c,v,taker_buy_v
2025-08-22 12:00:00,13.26,14.56,12.92,14.36,935446.42,465207.18
2025-08-22 16:00:00,14.36,14.98,14.36,14.92,405112.47,213668.48
2025-08-22 20:00:00,14.91,15.04,14.82,14.9,175199.89,78478.11
2025-08-23 00:00:00,14.91,14.95,14.28,14.41,154170.48,63106.19
2025-08-23 04:00:00,14.4,14.82,14.4,14.45,132737.77,55400.79
2025-08-23 08:00:00,14.45,14.6,14.35,14.38,84049.33,46521.85
2025-08-23 12:00:00,14.39,14.52,14.33,14.45,91302.86,43942.13
2025-08-23 16:00:00,14.44,14.73,14.38,14.71,77546.22,46064.96
2025-08-23 20:00:00,14.71,14.77,14.58,14.71,78432.8,45650.95
2025-08-24 00:00:00,14.72,14.82,14.39,14.49,117152.89,41810.87
2025-08-24 04:00:00,14.49,14.54,14.24,14.25,74508.3,36475.15
2025-08-24 08:00:00,14.24,14.36,14.04,14.14,105575.42,58595.69
2025-08-24 12:00:00,14.13,14.54,14.08,14.32,114548.65,64776.34
2025-08-24 16:00:00,14.32,15.18,14.21,14.57,572179.04,281561.96
2025-08-24 20:00:00,14.58,14.6,14.18,14.34,223904.07,104500.62
2025-08-25 00:00:00,14.35,14.56,14.03,14.34,132081.73,56563.02
2025-08-25 04:00:00,14.35,14.4,13.47,13.54,203791.7,87862.73
2025-08-25 08:00:00,13.55,13.67,13.28,13.44,186245.22,99762.03
2025-08-25 12:00:00,13.45,13.59,13.27,13.44,197552.59,115950.59
2025-08-25 16:00:00,13.45,13.6,13.02,13.04,136025.2,56557.08
2025-08-25 20:00:00,13.04,13.09,12.67,12.82,302042.03,163412.22
2025-08-26 00:00:00,12.81,13.07,12.71,12.86,154085.78,67205.99
2025-08-26 04:00:00,12.87,13.13,12.85,13.04,99294.13,61719.93
2025-08-26 08:00:00,13.04,13.16,12.9,13.05,96500.95,50380.61
2025-08-26 12:00:00,13.05,13.49,12.95,13.26,279698.83,140064.13
2025-08-26 16:00:00,13.27,13.58,13.18,13.53,122317.47,61830.42
2025-08-26 20:00:00,13.53,13.96,13.47,13.5,167991.85,88938.43
2025-08-27 00:00:00,13.5,13.55,13.25,13.46,79571.32,31874.46
2025-08-27 04:00:00,13.46,13.63,13.31,13.35,90152.19,45759.88
2025-08-27 08:00:00,13.36,13.54,13.25,13.52,96320.23,52610.72
2025-08-27 12:00:00,13.51,13.7,13.4,13.6,177528.53,98084.67
2025-08-27 16:00:00,13.6,13.65,13.28,13.36,97070.31,41025.77
2025-08-27 20:00:00,13.36,13.52,13.17,13.32,243897.46,114048.69
2025-08-28 00:00:00,13.32,13.52,13.24,13.5,66579.72,36213.87
2025-08-28 04:00:00,13.49,13.71,13.46,13.67,99543.3,42603.31
2025-08-28 08:00:00,13.67,13.79,13.54,13.79,178278.54,101687.71
2025-08-28 12:00:00,13.79,14.12,13.65,13.82,574691.72,292632.25
2025-08-28 16:00:00,13.83,14.05,13.56,13.78,221720.04,121543.19
2025-08-28 20:00:00,13.77,14.18,13.76,14.02,99947.77,42173.43
2025-08-29 00:00:00,14.03,14.04,13.65,13.69,115057.13,47071.86
2025-08-29 04:00:00,13.69,13.73,13.22,13.31,189963.62,89178.66
2025-08-29 08:00:00,13.3,13.37,12.99,13.28,217349.29,145397.89
2025-08-29 12:00:00,13.28,13.67,12.86,13.01,418702.7,226507.86
2025-08-29 16:00:00,13.01,13.04,12.73,12.91,185370.57,89938.8
2025-08-29 20:00:00,12.91,13.03,12.76,12.97,167427.01,91599.16
2025-08-30 00:00:00,12.98,13.17,12.78,13.04,105590.81,51244.19
2025-08-30 04:00:00,13.04,13.21,13.03,13.15,87958.43,54863.62
2025-08-30 08:00:00,13.15,13.16,13.03,13.13,58243.6,33978.15
2025-08-30 12:00:00,13.13,13.13,12.86,13.04,88684.99,57243.09
2025-08-30 16:00:00,13.03,13.05,12.86,12.92,68577.98,38891.76
2025-08-30 20:00:00,12.92,12.94,12.83,12.92,30248.79,17128.64
