t,o,h,l,c,v,taker_buy_v
2026-03-10 13:00:00,9.05,9.1,8.94,8.97,160680.68,77221.56
2026-03-10 14:00:00,8.96,9.15,8.85,9.15,280090.3,157017.49
2026-03-10 15:00:00,9.15,9.19,9.06,9.14,214506.02,107597.32
2026-03-10 16:00:00,9.13,9.18,9.08,9.15,173554.64,90771.15
2026-03-10 17:00:00,9.15,9.18,9.07,9.11,170560.81,94983.5
2026-03-10 18:00:00,9.1,9.11,8.95,8.97,210429.32,105327.23
2026-03-10 19:00:00,8.96,8.99,8.92,8.97,115125.86,57728.79
2026-03-10 20:00:00,8.97,9.01,8.97,8.99,47877.37,28196.55
2026-03-10 21:00:00,8.99,9.01,8.91,8.94,138630.14,57681.14
2026-03-10 22:00:00,8.94,8.98,8.9,8.96,131333.99,66469.43
2026-03-10 23:00:00,8.96,9,8.96,8.99,51558.44,25111.72
2026-03-11 00:00:00,8.98,9,8.92,8.98,126270.05,75710.16
2026-03-11 01:00:00,8.99,9.01,8.96,9,57897.96,28462.83
2026-03-11 02:00:00,8.99,9,8.91,8.97,121326.53,52269.34
2026-03-11 03:00:00,8.96,8.99,8.92,8.93,147452.86,69432.61
2026-03-11 04:00:00,8.92,9.03,8.91,9.02,129873.12,72257.84
2026-03-11 05:00:00,9.02,9.04,8.86,8.88,84804.69,31576.75
2026-03-11 06:00:00,8.88,8.97,8.87,8.95,69147.68,38420.27
2026-03-11 07:00:00,8.94,8.96,8.87,8.88,48473.86,18401.35
2026-03-11 08:00:00,8.89,8.94,8.87,8.92,121369.16,59829.16
2026-03-11 09:00:00,8.91,8.94,8.88,8.89,71475.63,27170.11
2026-03-11 10:00:00,8.89,8.97,8.88,8.95,63644.95,42779.83
2026-03-11 11:00:00,8.94,8.97,8.9,8.92,63009.23,29045.77
2026-03-11 12:00:00,8.92,9.04,8.88,8.97,117848.49,63396.77
2026-03-11 13:00:00,8.97,9.18,8.95,9.05,301090.8,160694.34
2026-03-11 14:00:00,9.05,9.14,9.03,9.06,201026.91,87587.95
2026-03-11 15:00:00,9.06,9.07,8.9,9,213498.81,95828.73
2026-03-11 16:00:00,9,9.09,8.97,9.06,187854.2,97919.47
2026-03-11 17:00:00,9.06,9.16,9.03,9.09,201871.32,117634.83
2026-03-11 18:00:00,9.08,9.12,9.06,9.09,153171.35,64446.57
2026-03-11 19:00:00,9.09,9.11,9.05,9.09,75513.77,37053.64
2026-03-11 20:00:00,9.09,9.09,9.03,9.06,57804.06,25136.83
2026-03-11 21:00:00,9.07,9.09,9.04,9.07,102836.65,45412.7
2026-03-11 22:00:00,9.07,9.11,9.01,9.04,76046.41,34869.65
2026-03-11 23:00:00,9.05,9.07,8.98,8.99,77674.49,35871.42
2026-03-12 00:00:00,8.99,9.02,8.98,9.01,61785.31,31686.98
2026-03-12 01:00:00,9.01,9.01,8.93,8.96,79137.44,31091.97
2026-03-12 02:00:00,8.95,8.97,8.86,8.87,124877.93,61059.75
2026-03-12 03:00:00,8.87,8.91,8.83,8.86,87223.42,43692.75
2026-03-12 04:00:00,8.86,8.9,8.85,8.86,52116.75,22622.48
2026-03-12 05:00:00,8.87,8.9,8.84,8.9,79294.55,43736.59
2026-03-12 06:00:00,8.89,8.92,8.87,8.92,72061.14,40416.72
2026-03-12 07:00:00,8.92,8.97,8.89,8.95,90456.31,42138.25
2026-03-12 08:00:00,8.95,9.01,8.94,8.97,45731.31,27624.75
2026-03-12 09:00:00,8.97,9.04,8.92,9,98915.11,54058.35
2026-03-12 10:00:00,8.99,9.11,8.98,9.08,265660.91,165959.67
2026-03-12 11:00:00,9.07,9.08,9.01,9.03,98199.06,56530.4
2026-03-12 12:00:00,9.03,9.07,9,9.03,99260.91,60263.21
2026-03-12 13:00:00,9.04,9.07,8.96,9.02,196673.28,98583.91
2026-03-12 14:00:00,9.02,9.1,8.89,8.95,222126.84,98342.33
2026-03-12 15:00:00,8.95,9.09,8.91,9.04,182731.7,90323.53
2026-03-12 16:00:00,9.03,9.09,8.96,9.05,121011.95,54467.2
2026-03-12 17:00:00,9.05,9.07,8.99,9.01,57887.95,26564.72
2026-03-12 18:00:00,9.01,9.03,8.97,8.98,101455.29,52827.3
2026-03-12 19:00:00,8.98,9.06,8.97,9.04,88231.61,49375.74
2026-03-12 20:00:00,9.03,9.04,8.97,8.97,126294.88,37079.19
2026-03-12 21:00:00,8.97,9.04,8.97,9.02,42074.03,19174.25
2026-03-12 22:00:00,9.02,9.03,8.97,9.01,71430.57,38880.39
