t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,54.13,54.47,54.04,54.42,2303.722,1622.331
2026-09-06 13:45:00,54.42,54.67,54.38,54.6,4274.225,1082.13
2026-09-06 14:00:00,54.6,54.62,54.45,54.5,1748.282,993.486
2026-09-06 14:15:00,54.5,54.54,54.09,54.1,8574.543,2984.275
2026-09-06 14:30:00,54.09,54.4,53.81,54.39,4984.966,2239.574
2026-09-06 14:45:00,54.38,54.39,54.15,54.27,3256.71,703.712
2026-09-06 15:00:00,54.26,54.4,53.98,54.33,3648.907,1740.66
2026-09-06 15:15:00,54.33,54.5,54.32,54.43,1852.452,1048.948
2026-09-06 15:30:00,54.42,54.46,54.28,54.29,2375.458,716.643
2026-09-06 15:45:00,54.29,54.52,54.23,54.5,3268.656,2801.963
2026-09-06 16:00:00,54.5,54.79,54.46,54.78,2937.614,2145.307
2026-09-06 16:15:00,54.78,54.8,54.52,54.68,3391.08,1032.656
2026-09-06 16:30:00,54.69,54.73,54.51,54.62,2002.042,887.884
2026-09-06 16:45:00,54.62,54.69,54.54,54.61,1618.285,1135.492
2026-09-06 17:00:00,54.61,54.63,54.41,54.53,1364.142,1007.241
2026-09-06 17:15:00,54.53,54.6,54.48,54.51,1238.82,584.182
2026-09-06 17:30:00,54.5,54.56,54.35,54.46,4366.785,1382.006
2026-09-06 17:45:00,54.46,54.5,54.07,54.18,2731.852,1241.825
2026-09-06 18:00:00,54.17,54.34,54.07,54.24,4044.009,2555.143
2026-09-06 18:15:00,54.24,54.51,54.24,54.45,6288.142,3351.284
2026-09-06 18:30:00,54.45,54.52,54.37,54.43,2387.418,1104.827
2026-09-06 18:45:00,54.43,54.45,54.2,54.22,4538.17,2648.556
2026-09-06 19:00:00,54.22,54.25,54.13,54.24,2812.535,2074.36
2026-09-06 19:15:00,54.24,54.3,54.11,54.18,1750.775,1053.836
2026-09-06 19:30:00,54.18,54.18,53.93,54,4480.706,2401.275
2026-09-06 19:45:00,53.99,54.11,53.99,54.1,1011.818,558.222
2026-09-06 20:00:00,54.1,54.17,54.07,54.1,1596.07,779.811
2026-09-06 20:15:00,54.11,54.19,54.1,54.15,1655.846,1095.068
2026-09-06 20:30:00,54.15,54.27,54.14,54.23,1756.836,831.663
2026-09-06 20:45:00,54.23,54.43,54.23,54.39,843.232,413.541
2026-09-06 21:00:00,54.4,54.64,54.39,54.56,4725.939,2391.975
2026-09-06 21:15:00,54.57,55.17,54.57,54.79,8384.62,4636.979
2026-09-06 21:30:00,54.79,54.94,54.67,54.8,4130.004,2034.224
2026-09-06 21:45:00,54.8,54.88,54.56,54.65,2787.995,1468.477
2026-09-06 22:00:00,54.65,54.8,54.58,54.72,2568.827,1829.946
2026-09-06 22:15:00,54.71,54.82,54.57,54.76,1848.817,763.707
2026-09-06 22:30:00,54.76,54.85,54.64,54.65,1976.191,885.649
2026-09-06 22:45:00,54.64,54.78,54.57,54.76,783.033,518.719
2026-09-06 23:00:00,54.75,54.83,54.69,54.72,1137.681,460.869
2026-09-06 23:15:00,54.71,54.88,54.67,54.82,1572.05,643.912
2026-09-06 23:30:00,54.82,55.08,54.8,55.03,5073.556,4156.575
2026-09-06 23:45:00,55.04,55.1,54.92,54.97,3770.796,2242.949
2026-09-07 00:00:00,54.97,55.05,54.89,55,2534.477,1244.455
2026-09-07 00:15:00,55.01,55.98,54.92,55.97,10859.528,6338.106
2026-09-07 00:30:00,55.98,56.29,55.71,56.17,11508.329,7475.891
2026-09-07 00:45:00,56.16,56.17,55.41,55.46,7225.771,3593.933
2026-09-07 01:00:00,55.47,55.54,54.71,54.78,7804.201,4324.217
2026-09-07 01:15:00,54.77,54.77,54.44,54.55,5543.214,3257.357
2026-09-07 01:30:00,54.55,54.69,54.28,54.29,3302.364,1649.549
