t,o,h,l,c,v,taker_buy_v
2022-05-10,76.2,85,73.3,80.2,1335840.743,669897.183
2022-05-11,80.1,82.8,64.2,66.6,2156656.19,1009867.579
2022-05-12,66.7,69.9,54.4,64.5,2076325.539,1036996.434
2022-05-13,64.4,73.2,63.2,67.9,1132719.666,567329.454
2022-05-14,67.8,70.3,64.2,68.9,556982.007,267488.997
2022-05-15,68.8,71.8,65.9,71.6,508046.555,250342.117
2022-05-16,71.5,71.6,64.9,67.3,577142.751,291060.952
2022-05-17,67.2,73.9,67.1,73.2,639716.3,326500.566
2022-05-18,73.1,74.4,65.7,66,701726.501,349761.913
2022-05-19,65.9,72.7,64.6,72.1,690029.823,343108.4
2022-05-20,72.1,73.5,66.7,68.6,755303.038,374801.345
2022-05-21,68.6,70.7,67.9,69.8,274675.04,141293.104
2022-05-22,69.8,72.6,69.4,71.7,290794.185,148395.757
2022-05-23,71.6,74,68.3,69.1,613835.768,324635.524
2022-05-24,69,70.8,67,70.2,492877.962,239506.19
2022-05-25,70.3,71.7,67.9,68.2,414049.811,199053.038
2022-05-26,68.2,68.9,60.4,63.5,730443.128,352507.637
2022-05-27,63.4,64.1,60.9,61.6,739704.085,366112.16
2022-05-28,61.6,64,61.3,63,336506.622,167251.698
2022-05-29,63.1,64.4,61.8,63.6,315852.358,152181.971
2022-05-30,63.7,69.8,63.2,69.1,612046.039,325412.673
2022-05-31,69.1,69.8,66.7,68.4,445048.542,220546.183
2022-06-01,68.4,70.6,61.7,62.7,634020.203,293545.992
2022-06-02,62.7,64.8,62.1,64.5,371742.76,185662.864
2022-06-03,64.4,64.9,61.4,62.6,281679.966,141467.117
2022-06-04,62.6,64.4,61.3,63.7,187841.045,95196.065
2022-06-05,63.8,63.9,61.7,63.2,194186.313,97237.588
2022-06-06,63.2,66.7,62.9,64.5,374528.282,193479.225
2022-06-07,64.5,65.5,60.1,63.8,493587.564,244967.285
2022-06-08,63.9,64.5,61.1,61.3,460948.577,218576.43
2022-06-09,61.4,62.4,59.2,60.3,295546.594,142266.363
2022-06-10,60.2,60.4,55.6,56.7,505271.348,252255.407
2022-06-11,56.6,57.8,51.6,52.2,588679.3384,287187.3611
2022-06-12,52.2,52.6,47.3,47.9,751665.4063,361250.782
2022-06-13,47.9,48.3,41,43.5,1585014.733,776369.0095
2022-06-14,43.5,46.5,40.3,46.15,1538135.285,737180.42
2022-06-15,46.16,50.98,41.66,50.65,2010453.14,1018032.951
2022-06-16,50.66,51.22,44.02,44.78,1636635.976,798615.875
2022-06-17,44.8,48.43,44.41,47.6,1207287.632,610304.567
2022-06-18,47.6,48.4,41.46,47.18,1913775.171,924926.721
2022-06-19,47.17,56.45,44.91,54.29,2451326.02,1218831.005
2022-06-20,54.3,54.77,51.31,52.77,1979924.021,967880.293
2022-06-21,52.76,55.71,51.86,53.52,1381554.785,678962.121
2022-06-22,53.53,53.55,50.41,52.13,927893.846,466403.661
2022-06-23,52.15,56.77,51.9,55.74,994973.172,503755.82
2022-06-24,55.72,57.34,54.4,55.84,730614.764,358892.476
2022-06-25,55.85,59.76,54.59,58.88,618227.012,324859.222
2022-06-26,58.89,60.5,56.6,56.61,518719.077,255398.813
2022-06-27,56.6,58.62,54.82,55.86,397024.694,200839.81
2022-06-28,55.89,57,52.57,52.68,428561.798,222693.12
2022-06-29,52.71,54.45,51.36,53.68,451898.813,226505.979
2022-06-30,53.68,54,50.15,53.84,505134.988,262443.483
2022-07-01,53.84,56.28,50.04,51.19,606167.187,295480.127
2022-07-02,51.21,51.65,49.77,50.55,395349.861,211521.493
2022-07-03,50.55,52.22,49.11,50.95,319754.383,164719.948
2022-07-04,50.94,52.43,49.7,52.26,428499.128,242195.287
2022-07-05,52.24,52.48,47.95,49.7,567147.955,279162.338
2022-07-06,49.7,51.2,48.96,50.34,369984.007,191697.571
2022-07-07,50.36,52.64,49.77,52.15,478416.357,255230.199
2022-07-08,52.17,53.99,50.75,51.35,539059.048,272014.086
2022-07-09,51.35,54.8,51.33,54.09,369622.829,200097.656
2022-07-10,54.09,55.07,50.65,52.12,793607.197,384541.822
2022-07-11,52.12,52.25,48.26,48.71,458088.601,221198.437
2022-07-12,48.7,49.37,47.28,47.33,466284.497,230864.918
2022-07-13,47.32,49.73,46.41,49.56,601519.056,308333.395
2022-07-14,49.54,51.75,47.96,51.32,522186.191,275556.874
2022-07-15,51.32,52.78,50.61,51.78,544118.253,277449.676
2022-07-16,51.76,55.56,51.07,55.08,437141.035,237589.904
2022-07-17,55.07,57.02,54.33,55.76,488379.926,267140.472
2022-07-18,55.76,59.56,55.23,58.6,704809.589,368945.776
2022-07-19,58.59,59.63,55.83,57.9,648764.405,330288.017
2022-07-20,57.9,61.73,56.4,57.2,823588.205,416164.014
2022-07-21,57.2,58.65,55.15,58.02,495146.27,243581.412
2022-07-22,58.03,59.18,55.5,56.09,504430.421,258903.893
2022-07-23,56.09,57.24,54.5,56.32,359887.479,167497.473
2022-07-24,56.32,59.78,56.32,58.39,353168.581,187791.819
2022-07-25,58.39,59.02,53.89,54,480171.674,221419.487
2022-07-26,54,54.15,51.96,53.88,420584.372,207871.11
2022-07-27,53.89,59.07,53.01,59.01,536658.831,284769.186
2022-07-28,59,64.29,58.02,63.41,793684.143,394266.48
2022-07-29,63.4,64.58,59.76,60.65,598391.17,304629.806
2022-07-30,60.65,64.07,59.91,60.42,571176.572,278458.748
2022-07-31,60.43,63.02,59.61,59.74,362956.297,182332.31
2022-08-01,59.74,60.75,58.25,59.44,413407.163,212166.636
2022-08-02,59.46,59.85,56.63,58.05,499501.827,243196.781
2022-08-03,58.06,60.13,56.7,57.77,497789.611,251893.341
2022-08-04,57.76,60.8,57.6,59.65,438458.424,216804.102
2022-08-05,59.64,62.57,59.61,62.47,487945.255,252852.802
2022-08-06,62.47,62.58,60.5,60.83,221909.184,109299.255
2022-08-07,60.82,62,59.86,61.1,242432.341,120384.161
2022-08-08,61.11,64.09,60.8,62.61,403958.239,193456.205
2022-08-09,62.59,62.86,58.2,59.16,467966.92,234907.845
2022-08-10,59.15,62.35,57.42,61.59,683606.931,368222.259
2022-08-11,61.58,63.48,61.48,61.84,451609.23,228229.726
2022-08-12,61.84,63.08,60.66,62.88,361467.843,183460.331
2022-08-13,62.88,65.66,62.63,63.8,502527.314,264214.118
2022-08-14,63.81,65.84,62.37,63.14,453041.878,214033.066
2022-08-15,63.13,65.32,59.64,60.67,521249.361,254340.235
2022-08-16,60.66,61.77,59.99,61.33,367330.078,182386.215
2022-08-17,61.32,64.74,59.67,60.52,718429.134,361774.977
2022-08-18,60.52,61.73,59.33,60.02,422084.3,202871.325
2022-08-19,60.03,60.19,53.26,53.99,807381.053,368756.612
2022-08-20,54.01,55.62,52.64,54.1,651478.682,343113.405
2022-08-21,54.11,56,53.8,55.67,377261.077,192765.903
2022-08-22,55.66,57.45,52.26,57.22,877776.632,443201.019
2022-08-23,57.23,57.75,53.88,57.08,562176.705,284327.247
2022-08-24,57.1,57.69,55.56,56.46,437641.062,219629.071
2022-08-25,56.47,57.53,55.82,56.63,379154.499,197659.723
2022-08-26,56.62,58.31,52.08,52.68,663761.061,328170.798
2022-08-27,52.69,53.48,51.63,53.01,342396.436,170739.246
2022-08-28,53.01,56,52.47,53.41,571920.844,275158.765
2022-08-29,53.42,56.7,52.52,55.8,635767.414,341991.195
2022-08-30,55.78,56.25,51.81,53.01,505556.585,244543.045
2022-08-31,53.01,55.26,53.01,53.84,441087.366,226571.659
2022-09-01,53.83,57.82,53.19,57.58,746451.633,386467.169
2022-09-02,57.59,62.5,56.49,60.99,970963.365,482496.472
2022-09-03,60.99,62.23,59.53,60.15,604642.95,300989.659
2022-09-04,60.15,60.99,58.61,60.9,416674.079,204769.373
2022-09-05,60.9,61.63,59.25,60.39,550152.845,275318.882
2022-09-06,60.39,62.74,54,54.11,893919.423,429284.769
2022-09-07,54.09,58.29,52.86,57.31,791215.198,391126.076
2022-09-08,57.31,58.6,56.06,57.96,526585.078,252722.338
2022-09-09,57.97,61.94,57.7,61.13,640028.177,315319
2022-09-10,61.14,64.69,60.54,63.28,643910.358,339358.339
2022-09-11,63.28,64.47,61.33,62.16,491835.138,250567.094
2022-09-12,62.16,63.23,60.08,61.38,492838.604,237856.346
2022-09-13,61.39,67.48,58.33,59.1,1440002.977,711755.826
2022-09-14,59.09,61.18,58.13,60.18,753407.479,381435.781
2022-09-15,60.16,60.83,55.83,56.34,696696.515,324118.678
2022-09-16,56.35,56.97,54.61,55.95,469333.524,232912.19
2022-09-17,55.93,58.44,55.81,57.83,314150.499,155913.555
2022-09-18,57.84,57.85,52.22,52.63,524264.696,238936.564
2022-09-19,52.64,53.74,50.01,52.91,1189979.555,647670.77
2022-09-20,52.89,53.85,50.86,52.3,740261.769,343679.188
2022-09-21,52.32,55.52,50.23,51.09,948476.557,440641.077
2022-09-22,51.09,54.09,50.62,53.57,615045.097,265509.684
2022-09-23,53.58,55.34,51.4,55.22,628774.838,284682.851
2022-09-24,55.23,55.96,53.18,53.43,477670.635,215227.659
2022-09-25,53.43,54.41,52.22,52.53,388583.254,170477.327
2022-09-26,52.53,53.73,51.87,53.44,462703.227,213358.63
2022-09-27,53.44,55.66,51.8,52.65,594149.312,278728.55
2022-09-28,52.65,53.83,51,53.29,486979.887,221270.136
2022-09-29,53.29,54.16,52.24,53.96,415487.402,194666.181
2022-09-30,53.97,55.1,52.86,53.48,417555.874,191855.061
2022-10-01,53.49,53.83,52.44,52.92,227981.29,110613.568
2022-10-02,52.91,53.46,51.67,51.82,245935.517,116326.633
2022-10-03,51.82,54.34,51.5,54.17,377561.929,192472.754
2022-10-04,54.16,55.73,53.88,55.28,379502.091,179905.33
2022-10-05,55.28,55.3,53.3,54.63,340455.979,163072.665
2022-10-06,54.62,55.05,53.34,53.53,389720.238,167202.177
2022-10-07,53.53,53.85,52.27,52.83,353877.822,160134.909
2022-10-08,52.84,53.55,52.38,52.79,244809.681,113742.731
2022-10-09,52.79,53.99,52.69,53.9,197759.856,89848.161
2022-10-10,53.89,54.46,52.5,52.63,393032.725,174503.637
2022-10-11,52.64,52.64,51.27,52.03,325528.77,152565.931
2022-10-12,52.02,52.98,51.6,52.23,355312.415,172978.409
2022-10-13,52.22,52.5,48.32,51.1,598879.562,274797.63
2022-10-14,51.09,52.57,50.9,51.31,320840.529,145957.773
2022-10-15,51.3,51.67,50.26,50.39,230281.317,115646.846
2022-10-16,50.39,51.81,50.26,51.43,231209.546,104920.808
2022-10-17,51.43,52.16,51.05,51.82,219445.145,101132.03
2022-10-18,51.85,52.2,50.75,51.86,267297.77,124901.12
2022-10-19,51.86,52.02,50.76,50.94,232758.435,98604.261
2022-10-20,50.94,52.1,50.56,51.22,271491.392,127066.835
2022-10-21,51.22,51.81,49.54,51.63,305760.951,150858.666
2022-10-22,51.64,52.48,51.37,52.18,187151.435,87269.535
2022-10-23,52.18,54.05,51.82,54.03,251178.625,117661.903
2022-10-24,54.04,54.2,52.11,52.54,349594.941,151796.514
2022-10-25,52.54,56.8,52.28,55.92,560410.004,269147.688
2022-10-26,55.92,57.62,55.66,56.39,516629.568,247318.395
