t,o,h,l,c,v,taker_buy_v
2026-03-10 13:00:00,54.11,54.36,53.75,54.05,20660.864,10083.158
2026-03-10 14:00:00,54.05,54.96,53.64,54.89,28918.66,17265.551
2026-03-10 15:00:00,54.88,55,54.49,54.77,26341.925,11951.22
2026-03-10 16:00:00,54.77,54.97,54.46,54.76,19570.596,8543.568
2026-03-10 17:00:00,54.76,54.84,54.39,54.64,32989.356,13858.27
2026-03-10 18:00:00,54.64,54.65,53.71,53.78,23554.027,11917.716
2026-03-10 19:00:00,53.78,53.94,53.55,53.78,11485.214,7074.198
2026-03-10 20:00:00,53.78,54.01,53.77,53.98,7767.821,4474.357
2026-03-10 21:00:00,53.98,54.11,53.48,53.62,9924.414,3892.801
2026-03-10 22:00:00,53.62,53.81,53.43,53.73,11598.447,4800.372
2026-03-10 23:00:00,53.73,53.89,53.68,53.87,11282.107,5767.193
2026-03-11 00:00:00,53.87,54.03,53.73,53.96,8471.799,4341.64
2026-03-11 01:00:00,53.97,54.04,53.88,53.96,5563.825,2160.537
2026-03-11 02:00:00,53.96,54.02,53.67,53.9,5998.318,3065.126
2026-03-11 03:00:00,53.9,53.99,53.77,53.81,4462.694,2032.278
2026-03-11 04:00:00,53.82,54.12,53.7,54.04,8788.602,4443.826
2026-03-11 05:00:00,54.04,54.07,53.54,53.64,9036.951,2834.705
2026-03-11 06:00:00,53.64,53.96,53.61,53.86,7647.801,3886.956
2026-03-11 07:00:00,53.85,53.97,53.69,53.85,4020.221,1869.125
2026-03-11 08:00:00,53.85,53.99,53.72,53.97,8814.55,4652.604
2026-03-11 09:00:00,53.97,53.97,53.64,53.68,11238.486,5279.076
2026-03-11 10:00:00,53.68,54,53.65,53.92,6781.26,3156.055
2026-03-11 11:00:00,53.92,54.05,53.81,53.86,8320.64,3964.665
2026-03-11 12:00:00,53.87,54.4,53.76,54.11,15277.921,7494.067
2026-03-11 13:00:00,54.12,55.05,54.11,54.61,34804.036,21044.086
2026-03-11 14:00:00,54.6,55.09,54.53,54.8,21432.524,9406.359
2026-03-11 15:00:00,54.81,54.83,54.23,54.56,16253.136,6729.228
2026-03-11 16:00:00,54.56,55,54.54,54.85,15281.44,7047.128
2026-03-11 17:00:00,54.85,55.18,54.63,54.91,18455.476,8943.384
2026-03-11 18:00:00,54.92,55.17,54.92,55.12,13206.113,5447.075
2026-03-11 19:00:00,55.13,55.15,54.91,55.03,5460.839,2984.503
2026-03-11 20:00:00,55.03,55.05,54.83,54.96,7595.153,3223.593
2026-03-11 21:00:00,54.96,55.15,54.91,55.12,12537.703,4578.433
2026-03-11 22:00:00,55.13,55.28,54.89,54.97,9552.2,3723.418
2026-03-11 23:00:00,54.97,55.06,54.66,54.8,13642.714,5134.37
2026-03-12 00:00:00,54.8,55,54.76,54.97,8015.615,4063.111
2026-03-12 01:00:00,54.97,54.98,54.56,54.65,10089.61,3962.663
2026-03-12 02:00:00,54.64,54.73,54.18,54.24,40530.699,25637.07
2026-03-12 03:00:00,54.23,54.33,54.05,54.14,5018.237,2189.353
2026-03-12 04:00:00,54.14,54.22,54.02,54.11,9920.318,5817.126
2026-03-12 05:00:00,54.11,54.19,53.95,54.12,8373.099,3196.665
2026-03-12 06:00:00,54.12,54.15,54.02,54.08,5427.154,2878.829
2026-03-12 07:00:00,54.09,54.35,54.01,54.29,5970.794,3579.157
2026-03-12 08:00:00,54.28,54.51,54.18,54.38,10289.679,5445.814
2026-03-12 09:00:00,54.39,54.67,54.13,54.43,14373.479,7219.446
2026-03-12 10:00:00,54.43,54.69,54.35,54.53,9168.48,4263.51
2026-03-12 11:00:00,54.52,54.54,54.23,54.34,10621.668,5391.817
2026-03-12 12:00:00,54.34,54.62,54.24,54.54,9343.412,4865.21
2026-03-12 13:00:00,54.54,54.6,54.15,54.39,13618.062,8313.62
2026-03-12 14:00:00,54.39,54.65,53.8,54.05,20166.394,9480.612
2026-03-12 15:00:00,54.05,54.49,54,54.33,14737.15,8596.537
2026-03-12 16:00:00,54.32,54.49,54.12,54.42,13116.5,7131.245
2026-03-12 17:00:00,54.42,54.49,54.16,54.24,6843.819,3599.499
2026-03-12 18:00:00,54.24,54.38,54.07,54.1,9139.153,3797.574
2026-03-12 19:00:00,54.1,54.38,54.02,54.3,13089.035,6770.69
2026-03-12 20:00:00,54.29,54.33,54,54.15,13251.908,8126.75
2026-03-12 21:00:00,54.16,54.49,54.16,54.46,4299.598,2569.309
2026-03-12 22:00:00,54.45,54.53,54.35,54.48,5995.652,2669.527
2026-03-12 23:00:00,54.49,54.8,54.49,54.56,9828.67,5463.166
2026-03-13 00:00:00,54.57,55.48,54.47,55.05,25846.296,12815.102
2026-03-13 01:00:00,55.06,55.35,55.04,55.28,9768.738,4943.546
2026-03-13 02:00:00,55.27,55.33,54.88,55.05,12091.935,5599.981
2026-03-13 03:00:00,55.05,55.35,54.96,55.26,5849.966,2966.885
2026-03-13 04:00:00,55.27,55.4,55.05,55.18,4838.687,2290.446
2026-03-13 05:00:00,55.18,55.38,55.03,55.27,6192.209,2926.694
2026-03-13 06:00:00,55.27,55.34,54.95,55.05,10466.884,5500.404
2026-03-13 07:00:00,55.04,55.19,54.98,55.05,5982.878,2957.846
2026-03-13 08:00:00,55.06,55.44,54.99,55.22,8863.451,3420.16
2026-03-13 09:00:00,55.21,55.55,55.21,55.44,11007.643,6049.641
2026-03-13 10:00:00,55.44,56.19,55.43,55.95,21698.108,11946.999
2026-03-13 11:00:00,55.95,56.08,55.86,55.92,14272.287,7508.405
2026-03-13 12:00:00,55.91,56.47,55.87,56.25,20523.172,10970.724
2026-03-13 13:00:00,56.25,56.71,56.1,56.49,24436.029,14118.669
2026-03-13 14:00:00,56.5,56.69,55.53,55.66,38897.842,19722.687
2026-03-13 15:00:00,55.67,55.87,55.25,55.32,23869.55,10107.596
2026-03-13 16:00:00,55.31,55.83,55.21,55.71,20043.77,9615.468
2026-03-13 17:00:00,55.71,55.95,55.15,55.34,14148.528,6091.934
2026-03-13 18:00:00,55.35,55.56,55.23,55.38,8165.806,3817.768
2026-03-13 19:00:00,55.36,55.67,55.28,55.62,12127.706,8153.41
2026-03-13 20:00:00,55.63,55.85,55.47,55.79,6362.388,3083.942
2026-03-13 21:00:00,55.79,56.05,55.63,55.63,11098.986,4700.247
2026-03-13 22:00:00,55.64,55.69,55.11,55.24,15467.025,5145.324
2026-03-13 23:00:00,55.25,55.37,55.2,55.3,5848.768,2868.107
2026-03-14 00:00:00,55.3,55.44,55.08,55.14,17239.875,7145.026
2026-03-14 01:00:00,55.13,55.5,55.07,55.44,13442.785,6494.377
2026-03-14 02:00:00,55.43,55.65,55.38,55.59,11270.856,5145.51
2026-03-14 03:00:00,55.59,55.78,55.52,55.7,10046.822,3843.102
2026-03-14 04:00:00,55.71,55.84,55.49,55.53,13819.074,4114.586
2026-03-14 05:00:00,55.53,55.59,55.2,55.29,12741.764,4609.657
2026-03-14 06:00:00,55.28,55.28,54.63,54.82,14449.12,7097.165
2026-03-14 07:00:00,54.82,54.86,54.63,54.71,6046.113,3304.533
2026-03-14 08:00:00,54.71,54.81,54.56,54.61,11104.276,5907.32
2026-03-14 09:00:00,54.61,54.7,54.44,54.5,7473.92,3248.972
2026-03-14 10:00:00,54.5,54.52,54.37,54.47,8922.031,4966.836
2026-03-14 11:00:00,54.46,54.74,54.46,54.71,13223.258,8668.91
2026-03-14 12:00:00,54.7,54.78,54.53,54.66,9850.983,6343.858
2026-03-14 13:00:00,54.66,54.78,54.61,54.66,5920.445,3769.254
2026-03-14 14:00:00,54.66,54.68,54.41,54.43,5736.172,2788.062
2026-03-14 15:00:00,54.43,54.52,54.38,54.47,10826.861,3884.302
2026-03-14 16:00:00,54.47,54.65,54.38,54.61,7677.926,3634.471
2026-03-14 17:00:00,54.61,54.7,54.56,54.6,6209.885,3466.229
2026-03-14 18:00:00,54.59,54.81,54.53,54.74,5427.028,3240.175
2026-03-14 19:00:00,54.73,54.81,54.64,54.67,4947.021,2494.557
2026-03-14 20:00:00,54.67,54.71,54.53,54.64,4659.185,2453.412
2026-03-14 21:00:00,54.64,54.72,54.5,54.7,5498.548,3053.63
2026-03-14 22:00:00,54.69,54.72,54.61,54.63,4024.557,1826.633
2026-03-14 23:00:00,54.63,55.03,54.63,54.98,14956.926,4581.352
2026-03-15 00:00:00,54.98,55,54.71,54.78,12192.704,4716.055
2026-03-15 01:00:00,54.78,54.89,54.69,54.88,5272.567,3404.511
2026-03-15 02:00:00,54.88,55.33,54.88,55.2,15674.405,5679.793
2026-03-15 03:00:00,55.2,55.33,55.06,55.16,6839.182,3229.213
2026-03-15 04:00:00,55.16,55.37,55.1,55.28,6893.703,2522.47
2026-03-15 05:00:00,55.28,55.46,55.17,55.21,5690.387,3430.779
2026-03-15 06:00:00,55.22,55.3,55.01,55.11,6836.539,2596.855
2026-03-15 07:00:00,55.11,55.29,55.07,55.24,4710.49,2114.941
2026-03-15 08:00:00,55.25,55.41,55.21,55.41,5804.675,3562.726
2026-03-15 09:00:00,55.41,55.58,55.34,55.35,5748.141,2860.721
