t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,2.376,2.438,2.37,2.434,631186.6,380207.8
2026-09-06 13:45:00,2.433,2.473,2.432,2.47,1196520.5,681601.4
2026-09-06 14:00:00,2.469,2.487,2.426,2.431,913765.9,426950.4
2026-09-06 14:15:00,2.431,2.45,2.385,2.394,1089467.9,524069
2026-09-06 14:30:00,2.395,2.432,2.37,2.431,678172.2,346611.8
2026-09-06 14:45:00,2.431,2.444,2.402,2.403,460938.1,210473.4
2026-09-06 15:00:00,2.403,2.406,2.36,2.376,632904.2,267059.5
2026-09-06 15:15:00,2.376,2.38,2.341,2.371,380561.6,182976
2026-09-06 15:30:00,2.37,2.397,2.353,2.395,344786.5,194948.3
2026-09-06 15:45:00,2.394,2.406,2.385,2.388,387249.9,181986.5
2026-09-06 16:00:00,2.388,2.413,2.384,2.413,280518.3,143397.1
2026-09-06 16:15:00,2.412,2.447,2.402,2.444,433720.9,247910.7
2026-09-06 16:30:00,2.444,2.449,2.429,2.443,311705.2,143288.3
2026-09-06 16:45:00,2.443,2.449,2.417,2.428,244080,121036.6
2026-09-06 17:00:00,2.427,2.427,2.393,2.398,302291.2,160056.3
2026-09-06 17:15:00,2.398,2.405,2.379,2.38,254767.8,120919.4
2026-09-06 17:30:00,2.38,2.403,2.379,2.392,249690.1,155239.1
2026-09-06 17:45:00,2.392,2.392,2.367,2.378,255992.4,143155.2
2026-09-06 18:00:00,2.377,2.382,2.372,2.377,178984.8,101089.8
2026-09-06 18:15:00,2.377,2.391,2.374,2.381,245577.3,135353.3
2026-09-06 18:30:00,2.382,2.418,2.381,2.418,188241.6,118925.9
2026-09-06 18:45:00,2.418,2.43,2.401,2.429,529625.4,319584.2
2026-09-06 19:00:00,2.428,2.43,2.4,2.4,203037.8,71270.3
2026-09-06 19:15:00,2.401,2.444,2.4,2.438,355821,173556.7
2026-09-06 19:30:00,2.438,2.441,2.422,2.43,323946.2,150353.7
2026-09-06 19:45:00,2.431,2.44,2.418,2.422,186474.9,91336.7
2026-09-06 20:00:00,2.421,2.43,2.409,2.428,168059,88436.5
2026-09-06 20:15:00,2.428,2.439,2.406,2.41,215114.7,110141.2
2026-09-06 20:30:00,2.409,2.417,2.405,2.415,132133,52171.2
2026-09-06 20:45:00,2.415,2.419,2.398,2.413,330444.1,157444.2
2026-09-06 21:00:00,2.412,2.448,2.411,2.424,314585.5,158578
2026-09-06 21:15:00,2.424,2.438,2.42,2.427,183328,101377.6
2026-09-06 21:30:00,2.427,2.455,2.427,2.447,221814.4,95841.5
2026-09-06 21:45:00,2.447,2.496,2.447,2.492,425909.5,216864.1
2026-09-06 22:00:00,2.491,2.498,2.43,2.433,443134.6,184050.3
2026-09-06 22:15:00,2.432,2.457,2.42,2.45,211136.5,114969.4
2026-09-06 22:30:00,2.45,2.461,2.447,2.449,231947.4,94775.5
2026-09-06 22:45:00,2.449,2.451,2.434,2.444,214087.4,99832.3
2026-09-06 23:00:00,2.444,2.484,2.439,2.456,340208.2,191384.5
2026-09-06 23:15:00,2.455,2.465,2.447,2.453,155885.6,83752.5
2026-09-06 23:30:00,2.452,2.455,2.435,2.443,188119.3,92256.3
2026-09-06 23:45:00,2.442,2.448,2.432,2.439,143666.1,73371.7
2026-09-07 00:00:00,2.439,2.444,2.42,2.421,351586.4,176263.3
2026-09-07 00:15:00,2.421,2.437,2.419,2.419,209562.7,91018.8
2026-09-07 00:30:00,2.42,2.431,2.412,2.418,175743.1,81192.8
2026-09-07 00:45:00,2.418,2.421,2.403,2.411,168746.2,68582.1
2026-09-07 01:00:00,2.411,2.414,2.382,2.385,258733.4,116863.8
2026-09-07 01:15:00,2.385,2.386,2.35,2.37,418966.5,151386.3
2026-09-07 01:30:00,2.369,2.378,2.355,2.357,118792.5,51174.7
2026-09-07 01:45:00,2.357,2.362,2.348,2.359,153679.5,75939.2
2026-09-07 02:00:00,2.359,2.385,2.359,2.38,204340.2,130716
2026-09-07 02:15:00,2.379,2.386,2.362,2.37,248170.9,106339.3
2026-09-07 02:30:00,2.37,2.416,2.367,2.412,292791.8,176310.8
2026-09-07 02:45:00,2.413,2.417,2.399,2.402,194248,99450.6
2026-09-07 03:00:00,2.401,2.417,2.393,2.41,281260.2,136318.1
2026-09-07 03:15:00,2.41,2.42,2.398,2.399,130394.4,55559.9
2026-09-07 03:30:00,2.399,2.408,2.396,2.398,151945.7,64433.1
2026-09-07 03:45:00,2.399,2.433,2.394,2.403,297304.4,140614.3
2026-09-07 04:00:00,2.402,2.414,2.384,2.409,449213.8,181274.9
2026-09-07 04:15:00,2.409,2.418,2.399,2.402,229373.1,99476.6
2026-09-07 04:30:00,2.402,2.43,2.397,2.426,223778.4,146591.1
2026-09-07 04:45:00,2.425,2.435,2.411,2.433,177782.1,88322.5
2026-09-07 05:00:00,2.433,2.447,2.418,2.439,253859,157809.5
2026-09-07 05:15:00,2.438,2.446,2.423,2.429,153455,78620.1
2026-09-07 05:30:00,2.428,2.438,2.418,2.421,183994.6,101652
2026-09-07 05:45:00,2.421,2.431,2.389,2.392,265720.3,94209.7
2026-09-07 06:00:00,2.392,2.411,2.388,2.404,180362.8,98366.8
2026-09-07 06:15:00,2.405,2.433,2.404,2.413,285170.4,117456.3
2026-09-07 06:30:00,2.413,2.422,2.407,2.412,343255.3,158655
2026-09-07 06:45:00,2.411,2.433,2.409,2.425,323579.5,143659.8
2026-09-07 07:00:00,2.426,2.429,2.392,2.396,483687.6,168722.6
2026-09-07 07:15:00,2.396,2.396,2.372,2.375,432847.8,192306.4
2026-09-07 07:30:00,2.375,2.387,2.296,2.313,1309323.3,609409.7
2026-09-07 07:45:00,2.312,2.317,2.293,2.302,719716.3,291342
2026-09-07 08:00:00,2.302,2.339,2.3,2.337,433626.2,269785.6
2026-09-07 08:15:00,2.335,2.35,2.333,2.348,296284.2,167854.4
2026-09-07 08:30:00,2.349,2.353,2.339,2.348,185464.5,77145.8
2026-09-07 08:45:00,2.347,2.349,2.339,2.344,109504.1,36186.8
2026-09-07 09:00:00,2.344,2.355,2.332,2.352,219708.9,123279.5
2026-09-07 09:15:00,2.351,2.359,2.348,2.355,101437,49139.5
2026-09-07 09:30:00,2.354,2.355,2.346,2.351,94665.7,41464.9
2026-09-07 09:45:00,2.352,2.355,2.334,2.335,140842.3,70112.1
2026-09-07 10:00:00,2.336,2.362,2.335,2.346,419555.6,214228.4
2026-09-07 10:15:00,2.346,2.357,2.344,2.35,126438.3,66437.9
2026-09-07 10:30:00,2.351,2.355,2.346,2.355,107281.7,50189.3
2026-09-07 10:45:00,2.355,2.363,2.345,2.35,119237.8,50086.9
2026-09-07 11:00:00,2.349,2.358,2.346,2.347,143646,66310.3
2026-09-07 11:15:00,2.347,2.362,2.342,2.353,101204.9,51531.6
2026-09-07 11:30:00,2.353,2.363,2.348,2.358,128821,67590.1
2026-09-07 11:45:00,2.358,2.362,2.347,2.348,117576.9,58132.1
2026-09-07 12:00:00,2.348,2.355,2.332,2.336,146546.7,69613.5
2026-09-07 12:15:00,2.336,2.348,2.336,2.347,97571.9,48773.5
2026-09-07 12:30:00,2.347,2.359,2.334,2.351,160472.8,84381.2
2026-09-07 12:45:00,2.352,2.384,2.35,2.377,268006.3,151491.1
2026-09-07 13:00:00,2.377,2.396,2.37,2.393,251675.7,129923.7
2026-09-07 13:15:00,2.393,2.405,2.389,2.392,258834.3,129535.1
2026-09-07 13:30:00,2.392,2.396,2.362,2.364,284928.6,130764.3
2026-09-07 13:45:00,2.363,2.39,2.363,2.389,146358.1,84406.2
2026-09-07 14:00:00,2.388,2.391,2.353,2.369,274646.4,97032.9
2026-09-07 14:15:00,2.37,2.382,2.368,2.368,168127.8,82622.2
2026-09-07 14:30:00,2.367,2.368,2.341,2.348,219188.6,86944.1
2026-09-07 14:45:00,2.348,2.374,2.347,2.359,142680.5,69456.2
