t,o,h,l,c,v,taker_buy_v
2025-08-22 12:00:00,2.41,2.614,2.369,2.588,10845918.8,5735051.6
2025-08-22 16:00:00,2.589,2.7,2.589,2.69,3694826.2,1949532.8
2025-08-22 20:00:00,2.691,2.718,2.677,2.688,1679107.8,879414.5
2025-08-23 00:00:00,2.688,2.703,2.605,2.629,1990611.3,900717.8
2025-08-23 04:00:00,2.629,2.711,2.628,2.665,1264308.4,640104.9
2025-08-23 08:00:00,2.665,2.694,2.655,2.674,1076386.1,557907.4
2025-08-23 12:00:00,2.674,2.696,2.659,2.676,1300431.9,696779.6
2025-08-23 16:00:00,2.676,2.716,2.655,2.716,860465.3,467809.8
2025-08-23 20:00:00,2.716,2.718,2.68,2.7,835080.5,436627.9
2025-08-24 00:00:00,2.7,2.714,2.667,2.68,890643.7,423869.4
2025-08-24 04:00:00,2.68,2.684,2.631,2.635,864563.6,430170.7
2025-08-24 08:00:00,2.635,2.651,2.576,2.59,1137290.5,447944.8
2025-08-24 12:00:00,2.589,2.659,2.586,2.632,1667006.6,1031930
2025-08-24 16:00:00,2.632,2.788,2.626,2.69,6844244.6,3477093.5
2025-08-24 20:00:00,2.691,2.7,2.62,2.657,3543492.4,1801850.3
2025-08-25 00:00:00,2.656,2.688,2.6,2.652,1855228,848256.3
2025-08-25 04:00:00,2.653,2.66,2.511,2.523,2384834.4,1115869.2
2025-08-25 08:00:00,2.522,2.538,2.481,2.514,2395119.2,1143263.6
2025-08-25 12:00:00,2.513,2.529,2.473,2.476,2725680,1275985.2
2025-08-25 16:00:00,2.476,2.497,2.424,2.428,2215960.1,1102759.1
2025-08-25 20:00:00,2.428,2.436,2.349,2.398,4354345,2233433.8
2025-08-26 00:00:00,2.397,2.441,2.377,2.406,1973006.3,1045744.8
2025-08-26 04:00:00,2.406,2.441,2.396,2.424,1107345.1,571780.2
2025-08-26 08:00:00,2.423,2.439,2.406,2.431,1206299.8,546526
2025-08-26 12:00:00,2.432,2.489,2.417,2.469,3301163.1,1680202.2
2025-08-26 16:00:00,2.469,2.546,2.467,2.537,1930264,1056221
2025-08-26 20:00:00,2.537,2.547,2.512,2.526,1131601.6,615118.7
2025-08-27 00:00:00,2.526,2.552,2.503,2.539,1076468.2,536872.4
2025-08-27 04:00:00,2.538,2.568,2.507,2.516,1308858.5,635334.1
2025-08-27 08:00:00,2.517,2.524,2.495,2.521,1008510.3,510787.1
2025-08-27 12:00:00,2.52,2.556,2.496,2.544,1660582.2,868125.8
2025-08-27 16:00:00,2.544,2.562,2.514,2.537,1168568.3,605863.7
2025-08-27 20:00:00,2.537,2.577,2.509,2.519,3298848.3,1636087.9
2025-08-28 00:00:00,2.518,2.531,2.493,2.527,1206727,569745.1
2025-08-28 04:00:00,2.527,2.543,2.504,2.521,1847944.3,923951.8
2025-08-28 08:00:00,2.521,2.544,2.499,2.525,1311520.7,720044.2
2025-08-28 12:00:00,2.525,2.567,2.514,2.52,2416727,1377556
2025-08-28 16:00:00,2.52,2.54,2.481,2.482,1266249.6,638504.9
2025-08-28 20:00:00,2.483,2.553,2.477,2.545,1033803.3,480222
2025-08-29 00:00:00,2.545,2.551,2.5,2.52,1493607.5,786327.1
2025-08-29 04:00:00,2.519,2.524,2.43,2.439,3059878.3,1356644.5
2025-08-29 08:00:00,2.439,2.448,2.393,2.441,1839280.1,1005698.7
2025-08-29 12:00:00,2.441,2.511,2.409,2.435,5163818.8,2548850.7
2025-08-29 16:00:00,2.434,2.447,2.393,2.418,1650557.1,806311.3
2025-08-29 20:00:00,2.418,2.438,2.391,2.43,943706.7,434151.5
2025-08-30 00:00:00,2.43,2.464,2.393,2.454,1170685.1,528370.7
2025-08-30 04:00:00,2.454,2.457,2.437,2.455,603995,305166.8
2025-08-30 08:00:00,2.455,2.455,2.435,2.446,444300.7,236580.7
2025-08-30 12:00:00,2.446,2.447,2.405,2.444,723117.8,398682.8
2025-08-30 16:00:00,2.443,2.443,2.416,2.429,388134.9,170833.5
2025-08-30 20:00:00,2.429,2.44,2.414,2.435,308068.1,175614.9
2025-08-31 00:00:00,2.435,2.483,2.434,2.481,1057999.5,573021.8
2025-08-31 04:00:00,2.481,2.482,2.437,2.441,952807.1,445449.1
2025-08-31 08:00:00,2.441,2.461,2.425,2.445,693631.1,372524.3
2025-08-31 12:00:00,2.444,2.447,2.42,2.441,670461.8,347804.4
2025-08-31 16:00:00,2.441,2.441,2.418,2.419,576559.6,285512.5
2025-08-31 20:00:00,2.42,2.429,2.364,2.367,1640334.6,645521.1
2025-09-01 00:00:00,2.366,2.37,2.328,2.345,2799724.6,1258144.3
2025-09-01 04:00:00,2.345,2.412,2.32,2.412,1755124.2,932642.2
2025-09-01 08:00:00,2.413,2.453,2.372,2.38,2761164.3,1358923.8
2025-09-01 12:00:00,2.381,2.395,2.348,2.354,1129951,559319.3
2025-09-01 16:00:00,2.354,2.37,2.333,2.369,1249109.3,724986.4
2025-09-01 20:00:00,2.368,2.369,2.279,2.34,3579648.7,1627023.4
2025-09-02 00:00:00,2.341,2.384,2.324,2.38,1692265.9,909798.7
2025-09-02 04:00:00,2.381,2.386,2.355,2.359,1058578.5,517105.9
2025-09-02 08:00:00,2.359,2.38,2.356,2.364,1168233,629586
2025-09-02 12:00:00,2.363,2.415,2.319,2.352,3146867.2,1571099.6
2025-09-02 16:00:00,2.352,2.399,2.352,2.377,1166905.5,622031.2
2025-09-02 20:00:00,2.377,2.441,2.374,2.439,1413732.6,841447.9
2025-09-03 00:00:00,2.439,2.471,2.43,2.446,1178266.5,594231.1
2025-09-03 04:00:00,2.446,2.451,2.421,2.428,999758.3,428974.2
2025-09-03 08:00:00,2.428,2.461,2.426,2.456,1053808.7,610303.9
2025-09-03 12:00:00,2.457,2.484,2.441,2.476,1297981.7,648949.3
2025-09-03 16:00:00,2.476,2.489,2.463,2.488,809040.4,420820.4
2025-09-03 20:00:00,2.488,2.494,2.466,2.469,688034.6,382179.5
2025-09-04 00:00:00,2.468,2.477,2.439,2.442,950034.4,456241.4
2025-09-04 04:00:00,2.443,2.451,2.401,2.41,1629532.4,803513.3
2025-09-04 08:00:00,2.409,2.423,2.397,2.406,790160.5,396129.4
2025-09-04 12:00:00,2.406,2.425,2.372,2.378,1197959,549405.7
2025-09-04 16:00:00,2.378,2.389,2.359,2.366,640236.2,310310
2025-09-04 20:00:00,2.366,2.403,2.363,2.376,776692.7,440308.8
2025-09-05 00:00:00,2.375,2.395,2.366,2.395,938932.1,434561.8
2025-09-05 04:00:00,2.394,2.433,2.38,2.429,978143.7,506978.6
2025-09-05 08:00:00,2.429,2.441,2.399,2.433,1836327.4,970501.3
