t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,0.488,0.489,0.488,0.488,30600.6,23797.8
2026-09-06 13:45:00,0.488,0.489,0.488,0.488,22749.1,4370.4
2026-09-06 14:00:00,0.488,0.489,0.487,0.487,25118.2,17035.8
2026-09-06 14:15:00,0.487,0.487,0.483,0.484,140874.1,51460.1
2026-09-06 14:30:00,0.484,0.484,0.48,0.484,84284.9,35362.3
2026-09-06 14:45:00,0.484,0.485,0.483,0.484,11425.6,446.2
2026-09-06 15:00:00,0.483,0.484,0.482,0.484,31517.9,11347.2
2026-09-06 15:15:00,0.483,0.485,0.483,0.484,18773,7312.1
2026-09-06 15:30:00,0.483,0.485,0.483,0.484,11870.7,5344.5
2026-09-06 15:45:00,0.485,0.486,0.484,0.485,28253.6,11429.3
2026-09-06 16:00:00,0.486,0.486,0.484,0.484,18182.8,7945.1
2026-09-06 16:15:00,0.484,0.486,0.484,0.485,5826.7,4738.9
2026-09-06 16:30:00,0.485,0.486,0.484,0.485,639.3,58.5
2026-09-06 16:45:00,0.486,0.486,0.484,0.485,8564.9,3572.2
2026-09-06 17:00:00,0.484,0.485,0.484,0.485,5805.3,4525.6
2026-09-06 17:15:00,0.485,0.486,0.485,0.485,28217.6,20966.4
2026-09-06 17:30:00,0.485,0.486,0.484,0.485,4153,1640.7
2026-09-06 17:45:00,0.486,0.486,0.485,0.485,2916.3,14.5
2026-09-06 18:00:00,0.485,0.486,0.485,0.486,6929.7,3910.4
2026-09-06 18:15:00,0.486,0.487,0.486,0.487,1518.2,919.2
2026-09-06 18:30:00,0.486,0.488,0.486,0.487,10974.4,2365.9
2026-09-06 18:45:00,0.486,0.487,0.486,0.486,3957.2,3367
2026-09-06 19:00:00,0.487,0.487,0.486,0.486,3506.3,204.8
2026-09-06 19:15:00,0.486,0.486,0.485,0.485,6356.3,818
2026-09-06 19:30:00,0.485,0.486,0.485,0.485,15221.9,8148.8
2026-09-06 19:45:00,0.486,0.486,0.485,0.486,4305.7,1369.5
2026-09-06 20:00:00,0.486,0.486,0.485,0.486,3902.6,3230.3
2026-09-06 20:15:00,0.487,0.487,0.486,0.487,19772.9,12941.7
2026-09-06 20:30:00,0.486,0.487,0.486,0.487,4262.5,3995.6
2026-09-06 20:45:00,0.487,0.488,0.487,0.487,2513.9,1328.2
2026-09-06 21:00:00,0.488,0.489,0.487,0.489,37874.5,25694.2
2026-09-06 21:15:00,0.489,0.49,0.487,0.488,16741.8,3405
2026-09-06 21:30:00,0.488,0.49,0.488,0.489,4367.8,2723.4
2026-09-06 21:45:00,0.489,0.49,0.488,0.488,13383.7,3258.1
2026-09-06 22:00:00,0.488,0.488,0.487,0.487,4358,1722.8
2026-09-06 22:15:00,0.487,0.488,0.486,0.488,11529.6,5231.6
2026-09-06 22:30:00,0.488,0.489,0.487,0.489,4971.8,3941.6
2026-09-06 22:45:00,0.489,0.489,0.489,0.489,204.4,204.4
2026-09-06 23:00:00,0.489,0.49,0.489,0.489,4211.3,2591.9
2026-09-06 23:15:00,0.49,0.491,0.489,0.49,8998.1,3901.4
2026-09-06 23:30:00,0.49,0.492,0.49,0.491,6106.6,4464.2
2026-09-06 23:45:00,0.492,0.492,0.491,0.491,14573.9,4786.9
2026-09-07 00:00:00,0.491,0.493,0.49,0.492,28134.5,6312.7
2026-09-07 00:15:00,0.492,0.494,0.491,0.492,53312.9,41313.1
2026-09-07 00:30:00,0.493,0.493,0.491,0.492,34322.4,9049.8
2026-09-07 00:45:00,0.491,0.492,0.49,0.492,24042.9,19206.3
2026-09-07 01:00:00,0.491,0.491,0.49,0.49,45417.7,6344.1
2026-09-07 01:15:00,0.49,0.49,0.489,0.49,1621.8,349.7
2026-09-07 01:30:00,0.49,0.49,0.488,0.488,7956.2,3021.2
2026-09-07 01:45:00,0.488,0.489,0.488,0.489,9857.6,7083.1
