t,o,h,l,c,v,taker_buy_v
2022-05-10,4.548,5.463,4.2,4.402,19602086.9,9183890.6
2022-05-11,4.405,4.545,2.851,3.152,34786378.63,17476236.85
2022-05-12,3.149,3.418,2.467,2.943,27882271.8,13844357.8
2022-05-13,2.948,3.717,2.908,3.223,17896032.7,8709492.4
2022-05-14,3.222,3.524,2.991,3.428,10083349.1,4915964.3
2022-05-15,3.428,3.823,3.202,3.779,10557043.8,5299303.9
2022-05-16,3.779,3.779,3.12,3.202,10971512.9,5311567.5
2022-05-17,3.203,3.541,3.175,3.405,8670718.2,4215719.7
2022-05-18,3.405,3.497,2.941,2.967,8534932,4060798
2022-05-19,2.966,3.189,2.844,3.057,10083754.7,4866474.6
2022-05-20,3.056,3.154,2.782,2.877,9108780.9,4633898.3
2022-05-21,2.878,3.014,2.795,2.966,4566591.9,2199694.7
2022-05-22,2.965,3.155,2.891,3.097,6004467.3,2916661.1
2022-05-23,3.097,3.399,2.921,2.959,13463517.9,6437367.9
2022-05-24,2.958,3.1,2.852,3.067,11304429.7,5423065.9
2022-05-25,3.065,3.176,2.938,3.089,10624306.3,5260403.1
2022-05-26,3.09,3.2,2.648,2.672,17124850.4,8227837
2022-05-27,2.67,2.708,2.364,2.438,19421543.7,9757536.8
2022-05-28,2.439,2.6,2.401,2.574,7734053.6,3824113.3
2022-05-29,2.574,2.761,2.447,2.697,9684490.2,4629438.1
2022-05-30,2.696,3.417,2.659,3.315,19119079.6,9456941.8
2022-05-31,3.315,3.5,3.065,3.16,17821581.3,8452496.3
2022-06-01,3.159,3.242,2.719,2.784,15355424.1,7223419.5
2022-06-02,2.783,2.934,2.7,2.905,10594357.5,5258267.3
2022-06-03,2.905,2.938,2.657,2.728,6669313.1,3174506.6
2022-06-04,2.731,3.026,2.671,2.957,6806733.8,3685625.6
2022-06-05,2.956,2.997,2.803,2.823,4794088.4,2243375.8
2022-06-06,2.823,3.295,2.81,3.121,12370569.4,5872658.2
2022-06-07,3.122,3.124,2.81,2.894,10821872.5,5142307.1
2022-06-08,2.894,2.997,2.815,2.853,6022974.2,2880689.1
2022-06-09,2.853,2.967,2.769,2.818,4571413.2,2125862.7
2022-06-10,2.815,2.855,2.593,2.628,5390842.4,2564502.6
2022-06-11,2.629,2.708,2.426,2.47,5220590.1,2586052.1
2022-06-12,2.47,2.5,2.202,2.219,9705369.257,4965487.7
2022-06-13,2.22,2.244,1.771,1.82,20671552.18,9955687.2
2022-06-14,1.82,1.98,1.674,1.924,15070129.1,7284806.6
2022-06-15,1.926,2.05,1.655,2.041,18859285,8860886.6
2022-06-16,2.042,2.094,1.648,1.681,13829377.6,6645513.1
2022-06-17,1.681,1.784,1.658,1.718,8379670.3,4130809.1
2022-06-18,1.718,1.752,1.433,1.571,15478277.3,7231658
2022-06-19,1.57,1.795,1.494,1.781,13897947.7,6986951.7
2022-06-20,1.781,1.918,1.686,1.839,13735487.9,6639381
2022-06-21,1.839,2.036,1.806,1.846,13850959.6,6928598.1
2022-06-22,1.846,1.87,1.742,1.769,10614673.4,4968186.9
2022-06-23,1.77,2.19,1.762,2.177,22614719.2,11184497.6
2022-06-24,2.176,2.326,2.128,2.287,24981736.2,12045002.3
2022-06-25,2.287,2.453,2.229,2.422,21486547.1,9968737
2022-06-26,2.423,2.43,2.145,2.155,18130527.2,8710209.9
2022-06-27,2.155,2.235,2.031,2.045,21737070.1,10373338.3
2022-06-28,2.046,2.157,1.947,1.962,31665243,16073767.7
