t,o,h,l,c,v,taker_buy_v
2026-03-10 13:00:00,0.431,0.434,0.427,0.429,343980.5,176944.6
2026-03-10 14:00:00,0.429,0.439,0.424,0.438,341746.6,172536.1
2026-03-10 15:00:00,0.439,0.44,0.435,0.437,282300.8,149068.1
2026-03-10 16:00:00,0.438,0.44,0.436,0.437,250762.3,94986
2026-03-10 17:00:00,0.437,0.438,0.432,0.434,248460.9,98306.8
2026-03-10 18:00:00,0.434,0.434,0.428,0.428,237327.1,124022.2
2026-03-10 19:00:00,0.429,0.43,0.426,0.428,191841.4,97860.1
2026-03-10 20:00:00,0.427,0.43,0.427,0.429,73722.6,31673.3
2026-03-10 21:00:00,0.43,0.431,0.424,0.426,197163.1,102428
2026-03-10 22:00:00,0.426,0.428,0.425,0.427,105275.1,49186.3
2026-03-10 23:00:00,0.427,0.429,0.427,0.429,58587,27399.7
2026-03-11 00:00:00,0.429,0.43,0.427,0.428,221179.6,130910.2
2026-03-11 01:00:00,0.428,0.429,0.426,0.428,398877.2,213946
2026-03-11 02:00:00,0.428,0.429,0.425,0.426,414007.9,216502.9
2026-03-11 03:00:00,0.426,0.428,0.425,0.426,31546.2,10294.5
2026-03-11 04:00:00,0.426,0.428,0.424,0.428,102250.7,48562.4
2026-03-11 05:00:00,0.428,0.429,0.422,0.424,131955.6,41072.1
2026-03-11 06:00:00,0.424,0.426,0.423,0.426,140936.3,80213.2
2026-03-11 07:00:00,0.426,0.426,0.422,0.422,196069.3,101751.1
2026-03-11 08:00:00,0.423,0.424,0.422,0.424,159385.8,86778.3
2026-03-11 09:00:00,0.425,0.425,0.422,0.423,137904,64562.6
2026-03-11 10:00:00,0.423,0.425,0.423,0.424,55436.8,15788.4
2026-03-11 11:00:00,0.424,0.425,0.423,0.423,89509.7,25703.3
2026-03-11 12:00:00,0.423,0.427,0.422,0.424,283209.8,133702.8
2026-03-11 13:00:00,0.424,0.434,0.423,0.429,345119.7,184122.5
2026-03-11 14:00:00,0.429,0.435,0.428,0.432,253166.8,146094.3
2026-03-11 15:00:00,0.433,0.433,0.424,0.428,433980.3,166705.6
2026-03-11 16:00:00,0.428,0.432,0.428,0.43,243319.8,106919.3
2026-03-11 17:00:00,0.431,0.436,0.431,0.432,168008.9,85347
2026-03-11 18:00:00,0.432,0.433,0.431,0.432,69661.7,42998.7
2026-03-11 19:00:00,0.432,0.434,0.43,0.433,305597.2,123562.5
2026-03-11 20:00:00,0.432,0.436,0.432,0.435,351834,147179.7
2026-03-11 21:00:00,0.435,0.436,0.433,0.435,224341,115876.6
2026-03-11 22:00:00,0.434,0.436,0.432,0.433,129682.5,60786.6
2026-03-11 23:00:00,0.433,0.433,0.43,0.431,70922.8,31178.1
