t,o,h,l,c,v,taker_buy_v
2025-08-22 12:00:00,179.63,195.42,177.27,193.47,3196497.746,1720733.559
2025-08-22 16:00:00,193.48,199.73,193.48,198.97,1365879.831,705229.542
2025-08-22 20:00:00,198.97,202.4,198.38,200.69,890717.82,453795.132
2025-08-23 00:00:00,200.69,200.82,195.26,198.16,735618.04,343061.739
2025-08-23 04:00:00,198.15,208.62,198.1,205.18,2072364.143,1235418.559
2025-08-23 08:00:00,205.18,205.66,201.53,201.98,875163.943,321260.178
2025-08-23 12:00:00,201.99,203.8,200.58,202.58,625574.666,282748.646
2025-08-23 16:00:00,202.57,204.57,202.2,204.09,297304.083,147818.247
2025-08-23 20:00:00,204.08,204.86,202.8,204.14,182615.884,95069.812
2025-08-24 00:00:00,204.15,211.99,204.14,209.05,1292167.1,765204.258
2025-08-24 04:00:00,209.06,210.76,206.6,206.66,876390.499,386872.549
2025-08-24 08:00:00,206.67,209,203.41,204.48,819520.01,366977.95
2025-08-24 12:00:00,204.48,209.35,203.57,205.62,849870.407,434336.769
2025-08-24 16:00:00,205.62,211.97,201.44,205.01,1969133.164,1012637.054
2025-08-24 20:00:00,205.01,207.15,201.09,205.98,1358568.058,697638.294
2025-08-25 00:00:00,205.99,213.6,202.23,209.24,1525854.655,810604.275
2025-08-25 04:00:00,209.24,209.71,198.69,199.82,1543945.818,644771.287
2025-08-25 08:00:00,199.81,200.8,195,197.55,1307567.256,586479.994
2025-08-25 12:00:00,197.54,199.5,195.56,196.56,1163970.008,582836.097
2025-08-25 16:00:00,196.57,198.36,190.98,191.47,921580.475,401296.852
2025-08-25 20:00:00,191.47,192.12,185.33,187.2,1490182.541,720279.845
2025-08-26 00:00:00,187.19,189.29,185.58,186.9,1032410.688,438765.401
2025-08-26 04:00:00,186.9,189.92,186.9,188.92,595369.921,308498.005
2025-08-26 08:00:00,188.92,190.37,186.67,187.97,594464.855,286585.87
2025-08-26 12:00:00,187.98,192.55,187.18,190.77,1179204.886,609000.8
2025-08-26 16:00:00,190.76,197.51,190.58,197.43,753071.616,414737.532
2025-08-26 20:00:00,197.43,198.1,195.37,195.86,579897.556,324604.999
2025-08-27 00:00:00,195.85,202.81,193.78,201.92,909709.26,490113.222
2025-08-27 04:00:00,201.91,205.7,200.81,202.43,1505812.552,783096.615
2025-08-27 08:00:00,202.44,205.38,201.48,205.01,813548.353,474083.059
2025-08-27 12:00:00,205.01,209.4,202.62,208.66,1438991.466,776657.997
2025-08-27 16:00:00,208.66,212.08,205.95,206.4,1446542.131,792449.861
2025-08-27 20:00:00,206.4,209.49,202.57,202.95,1720536.392,816254.655
2025-08-28 00:00:00,202.95,208.35,201.72,208.15,848839.237,452201.413
2025-08-28 04:00:00,208.16,213.33,207.47,213.11,1372623.202,789333.913
2025-08-28 08:00:00,213.11,216.5,211.07,213.14,1507240.297,801295.295
2025-08-28 12:00:00,213.15,216.89,210.2,211.06,1875626.856,937331.734
