t,o,h,l,c,v,taker_buy_v
2025-08-22 12:00:00,3.3561,3.6636,3.3047,3.6173,41099509.5,20884424.1
2025-08-22 16:00:00,3.6172,3.7427,3.6158,3.7309,15841174.8,7482587.3
2025-08-22 20:00:00,3.7309,3.7796,3.7203,3.7603,9387883.7,4310389.7
2025-08-23 00:00:00,3.7602,3.7654,3.6058,3.6305,9453242.1,3580812
2025-08-23 04:00:00,3.6305,3.805,3.6286,3.7585,10257561.1,4913145.8
2025-08-23 08:00:00,3.7586,3.7796,3.711,3.7383,6014536.8,2706780.6
2025-08-23 12:00:00,3.7384,3.7635,3.703,3.7086,4418549.2,2018277.6
2025-08-23 16:00:00,3.7087,3.7268,3.6756,3.7214,4287640.8,2299261.1
2025-08-23 20:00:00,3.7215,3.7426,3.7114,3.7367,3757814.4,1827152.9
2025-08-24 00:00:00,3.7368,3.7515,3.6964,3.7235,3747476.1,1867994.6
2025-08-24 04:00:00,3.7236,3.7466,3.6698,3.6699,4476710,2233289.2
2025-08-24 08:00:00,3.6698,3.6949,3.6014,3.6197,7728522,4011775.6
2025-08-24 12:00:00,3.6196,3.6797,3.611,3.6322,4914695.4,2594975.4
2025-08-24 16:00:00,3.6323,3.8498,3.6286,3.7034,26105676.1,12180543.4
2025-08-24 20:00:00,3.7034,3.731,3.6222,3.6806,11803882.2,5799645.7
2025-08-25 00:00:00,3.6806,3.7378,3.5836,3.6894,8851794.2,4136162.3
2025-08-25 04:00:00,3.6895,3.6963,3.4811,3.4991,11612479.2,5739355.6
2025-08-25 08:00:00,3.4991,3.5103,3.4397,3.4667,10886897.6,6273873.2
2025-08-25 12:00:00,3.4666,3.5093,3.4413,3.462,11462551.6,6676615.2
2025-08-25 16:00:00,3.462,3.493,3.3674,3.3728,9385004.4,4542876
2025-08-25 20:00:00,3.3728,3.3927,3.3122,3.3404,15715241.8,8323728.9
2025-08-26 00:00:00,3.3405,3.3963,3.3233,3.3657,6844232.2,3488021
2025-08-26 04:00:00,3.366,3.4478,3.366,3.4359,6800784.6,3093548.6
2025-08-26 08:00:00,3.4358,3.4414,3.3651,3.3846,8010958.4,4747091
2025-08-26 12:00:00,3.3847,3.451,3.3509,3.4028,13022841,6387852.8
2025-08-26 16:00:00,3.4028,3.4908,3.3857,3.483,6017149.9,2895679.4
2025-08-26 20:00:00,3.4827,3.4912,3.4394,3.453,4844070.7,2397491.5
2025-08-27 00:00:00,3.4531,3.5054,3.4112,3.4723,4601493.9,2287977.5
2025-08-27 04:00:00,3.4724,3.5064,3.4156,3.4314,5369582.6,2643474.8
2025-08-27 08:00:00,3.4315,3.4538,3.4134,3.4477,4011339.1,2033163.4
2025-08-27 12:00:00,3.4476,3.5171,3.4273,3.4984,9360344.9,4848504.3
2025-08-27 16:00:00,3.4985,3.5204,3.4487,3.4671,5217131.3,2333129.6
2025-08-27 20:00:00,3.4671,3.5108,3.4268,3.437,10811656.6,5062365.2
2025-08-28 00:00:00,3.4371,3.4839,3.4181,3.48,4042264.7,2001577.3
2025-08-28 04:00:00,3.48,3.5122,3.4726,3.4999,5164437.3,2191748
2025-08-28 08:00:00,3.4999,3.5294,3.4729,3.5008,4456255.3,2193269.6
2025-08-28 12:00:00,3.5008,3.5265,3.4491,3.467,8387012.5,4225390.1
2025-08-28 16:00:00,3.4671,3.4845,3.4172,3.4179,4473444.6,2105878.2
2025-08-28 20:00:00,3.4179,3.5,3.4125,3.4914,3506877,1707734.1
2025-08-29 00:00:00,3.4913,3.4994,3.4212,3.459,5247784.1,2596882.6
2025-08-29 04:00:00,3.4591,3.4663,3.3472,3.3567,9572033.2,4427367.4
2025-08-29 08:00:00,3.3564,3.3694,3.287,3.3086,9277700.2,4780669.1
2025-08-29 12:00:00,3.3085,3.4008,3.2767,3.3029,18168392.2,9224277.8
2025-08-29 16:00:00,3.3026,3.3155,3.2106,3.2564,9665997.9,4508083.7
2025-08-29 20:00:00,3.2565,3.3183,3.2175,3.2822,5707023.6,3378241
2025-08-30 00:00:00,3.2823,3.3167,3.2236,3.3053,4950975.7,2272903.8
2025-08-30 04:00:00,3.3053,3.3445,3.2931,3.343,3116879.8,1530112.9
2025-08-30 08:00:00,3.343,3.343,3.3127,3.3196,3823524.4,1491840.7
2025-08-30 12:00:00,3.3196,3.3222,3.2472,3.3146,6759064.7,3899142.6
2025-08-30 16:00:00,3.3146,3.3146,3.277,3.2923,3071491.3,1348296.6
2025-08-30 20:00:00,3.2923,3.3099,3.2754,3.3065,1549610.1,872817.1
2025-08-31 00:00:00,3.3066,3.3505,3.3032,3.3474,3152509.8,1612904.4
2025-08-31 04:00:00,3.3474,3.3493,3.3024,3.3131,2372516.9,921541.5
2025-08-31 08:00:00,3.3131,3.3355,3.2897,3.3121,2367022.1,1161730.9
2025-08-31 12:00:00,3.3121,3.3168,3.2802,3.3057,2969851,1587925
2025-08-31 16:00:00,3.3057,3.315,3.2822,3.2919,1998320.3,1114674.6
2025-08-31 20:00:00,3.2919,3.3104,3.2454,3.2494,3447358.1,1636749.2
2025-09-01 00:00:00,3.2494,3.2557,3.1595,3.1856,7655427.1,3467195.8
2025-09-01 04:00:00,3.1856,3.29,3.1458,3.288,8650199.1,3638816.1
2025-09-01 08:00:00,3.2879,3.339,3.2532,3.2594,10613451.3,5286544.9
2025-09-01 12:00:00,3.2595,3.2797,3.2136,3.2215,5236367.6,2781202.8
2025-09-01 16:00:00,3.2214,3.2282,3.1939,3.2155,5308856.1,2270500.1
2025-09-01 20:00:00,3.216,3.2189,3.1101,3.2042,8728661.7,4247999.6
2025-09-02 00:00:00,3.2043,3.2996,3.1963,3.2766,5139910.6,2754958.6
2025-09-02 04:00:00,3.2766,3.3024,3.269,3.2773,3069765.6,1357135.4
2025-09-02 08:00:00,3.2773,3.2972,3.2494,3.2544,2575459.7,1103513.7
2025-09-02 12:00:00,3.2544,3.3082,3.1908,3.22,10171580.3,4619523.3
2025-09-02 16:00:00,3.22,3.2749,3.2177,3.2581,3313301.6,1754009.5
2025-09-02 20:00:00,3.2583,3.3215,3.251,3.3168,5318404.8,2602931
2025-09-03 00:00:00,3.3169,3.3582,3.3105,3.3276,3209970.9,1607945.5
2025-09-03 04:00:00,3.3276,3.3317,3.2671,3.3001,4051543.3,2007241
2025-09-03 08:00:00,3.3001,3.3612,3.2973,3.3473,4899916.2,2880051.2
2025-09-03 12:00:00,3.3473,3.4013,3.3416,3.387,6565005.7,3448339.6
2025-09-03 16:00:00,3.3869,3.4045,3.3504,3.3978,3700646.2,1961042.6
2025-09-03 20:00:00,3.3977,3.4065,3.377,3.3876,1910156.5,884060
2025-09-04 00:00:00,3.3876,3.4005,3.333,3.338,2946492.7,1560035.7
2025-09-04 04:00:00,3.3381,3.3469,3.2892,3.31,3311073,1441586.1
2025-09-04 08:00:00,3.31,3.3347,3.3066,3.3113,3310011,1847423.5
2025-09-04 12:00:00,3.3114,3.3308,3.2534,3.2652,4716220.5,2223562
2025-09-04 16:00:00,3.2653,3.2754,3.2329,3.2461,3120988.4,1370413.2
2025-09-04 20:00:00,3.2458,3.3194,3.2426,3.2857,3007276.1,1699682.8
2025-09-05 00:00:00,3.2854,3.3394,3.2742,3.3365,2893589.4,1559090.4
2025-09-05 04:00:00,3.3365,3.3991,3.3301,3.3945,3853561.7,2167562.6
2025-09-05 08:00:00,3.3946,3.3961,3.3613,3.3904,3972697.4,1697247.5
2025-09-05 12:00:00,3.3904,3.4562,3.3321,3.3807,15596927.8,7955834.2
2025-09-05 16:00:00,3.3807,3.4176,3.3567,3.4173,4523520.9,2384476.2
2025-09-05 20:00:00,3.4173,3.4258,3.369,3.3743,3066761.1,1535201.5
2025-09-06 00:00:00,3.3743,3.408,3.3724,3.405,1690523,1034442.1
2025-09-06 04:00:00,3.405,3.405,3.3637,3.3779,2485153.5,1193885.8
2025-09-06 08:00:00,3.378,3.3817,3.3381,3.3525,2363008.9,922985.3
2025-09-06 12:00:00,3.3523,3.3696,3.3382,3.3382,2135444.8,1024184.4
2025-09-06 16:00:00,3.3381,3.3533,3.3135,3.3164,2255768.7,1159201.8
2025-09-06 20:00:00,3.3164,3.3416,3.3151,3.3356,1199289.6,655693.9
2025-09-07 00:00:00,3.3357,3.3833,3.3342,3.371,1830476.1,948701.6
2025-09-07 04:00:00,3.371,3.3849,3.3629,3.3717,1585960.7,795118.5
2025-09-07 08:00:00,3.3718,3.4212,3.3718,3.4212,2961375.2,1751203.3
2025-09-07 12:00:00,3.4212,3.422,3.3924,3.4083,4579172.6,2168558.5
2025-09-07 16:00:00,3.4083,3.4122,3.3561,3.3797,4395856.4,2031132.3
2025-09-07 20:00:00,3.3798,3.4185,3.3739,3.3966,3858798.9,1863278.3
2025-09-08 00:00:00,3.3965,3.4353,3.3636,3.409,3246436.7,1674046.4
2025-09-08 04:00:00,3.409,3.42,3.3813,3.4084,3444550.4,1668939.7
2025-09-08 08:00:00,3.4085,3.4867,3.4057,3.4737,6507434.7,3339593.4
2025-09-08 12:00:00,3.4738,3.5137,3.4611,3.5038,6931253.5,3746370.3
