t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,244.8,245,242.8,244.4,2705.695,1163.5175
2026-09-06 13:45:00,244.3,246.2,244.1,244.7,2174.544,1250.6257
2026-09-06 14:00:00,244.7,247.4,243.5,243.8,4291.2616,2132.8288
2026-09-06 14:15:00,243.9,244.6,240.7,241.8,4476.9701,1809.1851
2026-09-06 14:30:00,241.8,242.9,238.7,242.8,5089.4849,2677.5447
2026-09-06 14:45:00,242.7,244,241.7,243.3,1723.7803,994.9131
2026-09-06 15:00:00,243.3,243.3,240.7,241.9,1928.1983,922.2099
2026-09-06 15:15:00,241.9,243.5,241.7,243.4,1504.8853,1036.9493
2026-09-06 15:30:00,243.3,245.8,242.2,245.7,2174.6003,1423.5825
2026-09-06 15:45:00,245.7,249.1,244.7,248.8,4367.3287,2588.1242
2026-09-06 16:00:00,248.8,249.2,245.7,246.4,3401.3448,1267.3216
2026-09-06 16:15:00,246.5,249,246.2,248.8,1942.8305,1006.188
2026-09-06 16:30:00,248.8,251,248.5,249.7,4707.3625,2638.9322
2026-09-06 16:45:00,249.7,252.2,249.2,250.7,3684.6963,2073.4271
2026-09-06 17:00:00,250.7,251.1,247.7,251.1,3108.5389,1320.0323
2026-09-06 17:15:00,251.1,255.7,250.4,253,6228.9932,3533.7904
2026-09-06 17:30:00,252.9,255.7,251.5,255.3,3166.9904,1756.199
2026-09-06 17:45:00,255.4,257.9,253.5,257,3927.6825,1963.165
2026-09-06 18:00:00,257.1,259.8,257,259.4,5249.5477,2915.5604
2026-09-06 18:15:00,259.4,259.9,258.5,259.8,2600.8288,1414.5851
2026-09-06 18:30:00,259.9,259.9,257.3,258.1,1961.2099,896.6349
2026-09-06 18:45:00,258.1,258.2,256.4,257.4,3453.7948,1616.8491
2026-09-06 19:00:00,257.3,266.9,256.9,266.7,11135.8467,7732.208
2026-09-06 19:15:00,266.6,268,262.4,263.3,9580.5218,4811.6067
2026-09-06 19:30:00,263.2,265.4,261.6,264.9,4660.6424,2594.2515
2026-09-06 19:45:00,264.9,268.8,264.9,267.8,6127.7895,3069.2276
2026-09-06 20:00:00,267.9,270.3,267.7,268.8,6057.2643,4199.304
2026-09-06 20:15:00,268.7,269.9,267.2,269.1,3468.3434,1628.6408
2026-09-06 20:30:00,269.1,271,268.3,269.9,5970.4596,3250.9182
2026-09-06 20:45:00,269.8,270.2,266.7,267.3,3543.9107,1287.1895
2026-09-06 21:00:00,267.4,269.7,266.9,268.1,4977.0422,2969.0121
2026-09-06 21:15:00,268.2,272.2,267.9,268.8,6568.4086,3460.906
2026-09-06 21:30:00,268.8,271,267.6,269.3,2487.5316,1332.9086
2026-09-06 21:45:00,269.4,270.2,265.3,265.5,2747.8945,1031.3348
2026-09-06 22:00:00,265.4,266.3,263.1,263.6,4657.0836,1682.5554
2026-09-06 22:15:00,263.6,263.6,260.1,262.4,4116.0133,1565.1222
2026-09-06 22:30:00,262.3,263.7,262,262.5,1421.2249,794.1995
2026-09-06 22:45:00,262.5,262.5,260.6,260.7,1428.173,611.7404
2026-09-06 23:00:00,260.7,263.2,260.7,262.4,1934.3591,1164.6635
2026-09-06 23:15:00,262.3,265.9,262,265.8,2996.3743,1269.8945
2026-09-06 23:30:00,265.8,266.1,264.8,266,1641.3638,834.1333
2026-09-06 23:45:00,266,266.4,264,265.7,1841.4646,692.631
2026-09-07 00:00:00,265.8,267.1,264.7,267,1812.8479,1004.7924
2026-09-07 00:15:00,267,267.7,266,266.1,1254.1914,450.6111
2026-09-07 00:30:00,266.1,267.4,265.7,266,2487.7294,842.0525
2026-09-07 00:45:00,266,266.5,263.3,264.5,2518.3519,887.7715
2026-09-07 01:00:00,264.5,265,262.7,263.7,2732.0429,1146.2451
2026-09-07 01:15:00,263.8,263.9,260.5,262.7,3356.5945,1287.195
2026-09-07 01:30:00,262.7,262.8,260.8,261.1,1227.9447,496.5368
2026-09-07 01:45:00,261.1,262.9,260.5,261.9,1304.5778,668.1092
2026-09-07 02:00:00,261.9,265.3,261.9,265.1,3182.7594,2404.4417
2026-09-07 02:15:00,265.1,272,265.1,270.5,6940.5204,4463.4498
2026-09-07 02:30:00,270.6,276.1,270.5,275.7,7893.7897,4878.0059
2026-09-07 02:45:00,275.7,277,273.5,274.4,4473.4028,2261.8735
2026-09-07 03:00:00,274.3,276,272.4,273.4,3956.8113,2069.9915
2026-09-07 03:15:00,273.4,273.5,269.1,269.8,4144.6399,1776.2845
2026-09-07 03:30:00,269.7,269.7,267.4,269.5,3402.9385,2092.7571
2026-09-07 03:45:00,269.5,272.2,269.3,269.8,2053.6917,1118.7064
2026-09-07 04:00:00,269.9,270.5,267.6,270.1,2201.2009,1263.5279
2026-09-07 04:15:00,270.1,272,270.1,270.5,2617.004,1103.0816
2026-09-07 04:30:00,270.5,272.2,269.3,271.8,1995.3414,1074.9068
2026-09-07 04:45:00,271.7,273.9,271.1,273.5,4232.7843,2467.3953
2026-09-07 05:00:00,273.6,274.9,272.3,274.4,2353.6849,1322.7173
2026-09-07 05:15:00,274.4,275.5,272.8,272.8,2297.6005,1440.2546
2026-09-07 05:30:00,272.8,273.8,270.5,271.1,2104.1434,667.6015
2026-09-07 05:45:00,271,272.3,269.4,270.4,1114.7971,524.3284
2026-09-07 06:00:00,270.4,270.6,268.4,269.2,1161.4275,548.3923
2026-09-07 06:15:00,269.2,269.9,266.1,267.5,1983.8578,556.5818
2026-09-07 06:30:00,267.4,268.2,266.1,266.5,1402.6712,333.4797
2026-09-07 06:45:00,266.5,267.8,266.5,267.6,785.8308,457.46
2026-09-07 07:00:00,267.5,267.5,265.9,267,1492.5822,605.0975
2026-09-07 07:15:00,266.9,267.6,264.6,265.1,1874.8002,871.9838
2026-09-07 07:30:00,265.1,266,261.6,264.2,3402.8127,1579.9243
2026-09-07 07:45:00,264.1,264.4,262.7,263.7,1094.5824,365.2214
2026-09-07 08:00:00,263.7,267.3,263.5,265.8,1770.8982,1231.276
2026-09-07 08:15:00,265.9,266.5,264.6,266,2025.9236,730.4441
2026-09-07 08:30:00,266,267,264.9,266.9,1269.9749,493.8935
2026-09-07 08:45:00,266.8,268.5,266.1,268.5,2064.0648,1096.6815
2026-09-07 09:00:00,268.5,269.9,267,269.7,1933.7052,1005.8934
2026-09-07 09:15:00,269.6,270.7,269.1,270.6,1456.2743,869.9381
2026-09-07 09:30:00,270.7,272.1,269.1,269.7,2899.3473,1112.7637
2026-09-07 09:45:00,269.7,269.9,266.5,266.7,2190.2489,868.1986
2026-09-07 10:00:00,266.6,268.4,265.2,266.1,3846.6183,1910.0437
2026-09-07 10:15:00,266.2,267.9,266.2,267,1057.0144,626.6491
2026-09-07 10:30:00,267,267.5,266.6,266.9,578.9088,252.2146
2026-09-07 10:45:00,267,267.1,265.7,265.9,1439.3673,627.0258
2026-09-07 11:00:00,265.9,266.1,264.7,265.3,1686.8487,474.3212
2026-09-07 11:15:00,265.3,266,264.4,264.7,1243.7065,481.4908
2026-09-07 11:30:00,264.7,265,264.1,264.6,578.4428,280.8672
2026-09-07 11:45:00,264.7,265.4,263.9,264.4,692.1518,285.4637
2026-09-07 12:00:00,264.3,265.2,264,264.6,969.9767,514.3363
2026-09-07 12:15:00,264.6,266,263.6,265.8,634.5196,326.7049
2026-09-07 12:30:00,265.7,265.8,264.3,264.6,512.5458,273.5875
2026-09-07 12:45:00,264.7,266.1,264.7,266.1,1152.7311,372.6115
2026-09-07 13:00:00,266,266,264.5,264.8,1428.4045,411.1523
2026-09-07 13:15:00,264.8,265.9,264.5,265.9,1561.2786,1006.0605
2026-09-07 13:30:00,265.9,265.9,263.1,263.2,1082.6347,454.3845
2026-09-07 13:45:00,263.2,265.6,263.2,264.3,877.3971,623.294
2026-09-07 14:00:00,264.3,264.8,262,262.9,2467.9835,1214.1814
2026-09-07 14:15:00,262.9,263.5,260.8,262.3,1997.5746,1022.3797
2026-09-07 14:30:00,262.3,262.6,260.4,261.6,2195.5769,926.7967
2026-09-07 14:45:00,261.6,265.3,261.3,264,1415.0123,853.4752
2026-09-07 15:00:00,263.9,263.9,258.3,258.5,4847.3921,1759.3784
2026-09-07 15:15:00,258.5,260.4,256.5,257.2,4244.9162,2045.5094
2026-09-07 15:30:00,257.2,257.5,254.2,255.2,5397.6866,1994.6125
2026-09-07 15:45:00,255.2,256.9,254.6,256.9,1615.5353,842.8521
2026-09-07 16:00:00,256.9,260.5,256.6,260.3,2174.4916,1490.2864
2026-09-07 16:15:00,260.2,260.8,258.9,260.3,1140.659,719.0662
2026-09-07 16:30:00,260.3,261.7,259.6,261,936.6018,587.5292
2026-09-07 16:45:00,261,261.9,260.7,261.6,762.6847,421.8671
2026-09-07 17:00:00,261.5,262.7,261.1,262.3,840.1644,606.7315
2026-09-07 17:15:00,262.3,262.7,261.1,261.8,825.4929,389.9572
2026-09-07 17:30:00,261.8,261.9,260.1,260.8,1247.4829,430.1891
2026-09-07 17:45:00,260.8,261.5,260,261.1,1106.6682,661.7265
2026-09-07 18:00:00,261,261.8,258.5,258.7,1687.8634,517.3004
2026-09-07 18:15:00,258.7,259.6,258.6,259.1,405.881,152.1067
2026-09-07 18:30:00,259.1,259.7,258.6,259.5,311.5781,187.7599
2026-09-07 18:45:00,259.4,260.7,259.4,260,541.7279,451.3499
2026-09-07 19:00:00,260.1,260.2,258.2,258.9,610.5697,177.9074
2026-09-07 19:15:00,258.9,259.4,258.8,259.2,376.6734,184.0859
2026-09-07 19:30:00,259.2,259.7,258.6,258.6,321.0686,141.099
2026-09-07 19:45:00,258.7,260.3,258.6,259.2,672.1242,316.014
2026-09-07 20:00:00,259.2,259.7,257.6,259.6,1800.276,740.8143
2026-09-07 20:15:00,259.6,262.3,259.6,261.5,1045.2803,789.9503
2026-09-07 20:30:00,261.5,262,260.6,261.3,940.6092,334.5039
2026-09-07 20:45:00,261.3,261.8,260.7,261.3,688.3707,418.7825
2026-09-07 21:00:00,261.2,262.1,260.9,261.6,576.9662,258.9199
2026-09-07 21:15:00,261.5,261.6,260.5,260.8,605.0191,272.1135
2026-09-07 21:30:00,260.9,261.2,260.4,260.7,249.1484,166.6806
2026-09-07 21:45:00,260.8,260.9,260.3,260.3,110.4449,27.4886
2026-09-07 22:00:00,260.4,260.5,259.4,259.4,812.7987,429.5011
2026-09-07 22:15:00,259.3,260.1,258.5,258.9,720.695,230.2904
2026-09-07 22:30:00,258.9,258.9,255.6,255.9,1226.7512,309.1859
2026-09-07 22:45:00,255.8,258.4,255.7,258.3,1217.4,625.094
2026-09-07 23:00:00,258.3,260,257.9,259.5,1318.5183,614.6967
2026-09-07 23:15:00,259.5,259.5,257.2,258.1,618.1688,243.1776
2026-09-07 23:30:00,258.1,259.3,257.9,259.3,239.0193,199.2878
2026-09-07 23:45:00,259.3,260.7,259.3,259.9,391.3905,236.5832
2026-09-08 00:00:00,259.8,260.1,257.9,258.3,428.8449,188.751
2026-09-08 00:15:00,258.2,259,257.4,257.5,287.483,180.4491
2026-09-08 00:30:00,257.6,260.3,257.5,259.8,510.0696,290.7528
2026-09-08 00:45:00,259.8,262.7,259.6,262.4,645.0993,359.9752
2026-09-08 01:00:00,262.4,263.9,261.2,262,1476.8597,753.1809
2026-09-08 01:15:00,262.2,262.3,261,261.6,706.1971,250.7905
2026-09-08 01:30:00,261.6,262.2,260.9,261.3,1017.3845,384.7499
2026-09-08 01:45:00,261.4,261.7,260.1,261.1,554.5906,247.2074
2026-09-08 02:00:00,261.1,261.5,260.5,261.1,601.4186,115.7867
2026-09-08 02:15:00,261.1,262.7,260.8,260.9,496.1284,191.8085
2026-09-08 02:30:00,261,261.4,258.4,258.8,1061.1683,395.4784
2026-09-08 02:45:00,258.9,259.3,256.4,256.8,1150.3289,358.4032
2026-09-08 03:00:00,256.8,257.9,256.2,256.4,821.9548,249.6575
2026-09-08 03:15:00,256.4,257.2,255.9,256.2,1012.3485,292.0292
2026-09-08 03:30:00,256.2,257.7,256.2,257.3,413.6069,210.6294
2026-09-08 03:45:00,257.3,257.4,255.8,256.4,852.1411,427.3817
2026-09-08 04:00:00,256.4,256.5,255.4,255.8,1069.8797,684.8841
2026-09-08 04:15:00,255.8,256.7,255.2,256.1,429.9781,206.3729
2026-09-08 04:30:00,256.1,256.9,255.8,256.3,194.6014,60.5854
2026-09-08 04:45:00,256.2,256.8,255.6,255.8,279.4134,162.6136
2026-09-08 05:00:00,255.8,257.1,255.2,256.6,648.888,298.6132
2026-09-08 05:15:00,256.5,257.1,255.6,256.3,785.9064,410.2286
