t,o,h,l,c,v,taker_buy_v
2024-04-11,439.8,1249,439.8,623.4,241079.175,120321.1973
2024-04-12,623.6,646.3,500,537.5,151633.9782,75376.453
2024-04-13,537.4,571.5,400,509.2,97717.2111,50935.7993
2024-04-14,509.2,623.9,470.1,586.5,121266.6674,61484.7743
2024-04-15,586.5,594.4,519,524.9,59360.2535,30397.8629
2024-04-16,524.8,535.2,444.5,500.8,94359.6459,45778.4234
2024-04-17,500.9,511.9,436.3,455,61474.4141,29920.2149
2024-04-18,455,475,434.6,466.2,33955.2872,17433.393
2024-04-19,466.6,477.5,426.3,442,45186.9402,22202.1374
2024-04-20,441.8,493.1,433.4,485.1,32846.0658,16343.2268
2024-04-21,485.2,489.7,457.2,474.8,22452.3736,11001.705
2024-04-22,474.7,531.1,466,520.9,36496.5932,17869.9434
2024-04-23,520.8,532.7,493.4,500.1,27524.3386,12546.0973
2024-04-24,499.5,506.9,443.3,452.6,42890.3708,22018.1471
2024-04-25,452.7,472.7,439.9,460.8,31607.8484,14269.0937
2024-04-26,460.8,461.7,425.4,427,21900.5671,9336.3618
2024-04-27,427,429.9,410,421.9,22881.2852,10520.8966
2024-04-28,421.9,438.4,419.4,423.3,17104.0122,8496.3807
2024-04-29,423.3,430.5,381.3,401.3,53015.2241,24530.6933
2024-04-30,401.3,406.5,365.3,388.6,49219.5978,22716.3598
2024-05-01,388.7,392.6,340.3,380.9,52672.4254,25836.3092
2024-05-02,380.8,415.3,365.6,404.3,35323.831,17964.3388
2024-05-03,404.3,435.9,392.7,425.6,36177.2693,19007.1145
2024-05-04,425.6,470,423.1,446.6,32794.5458,15221.62
2024-05-05,446.6,478.8,429.9,455.4,31730.5713,14622.9712
2024-05-06,455.2,488.4,438.4,441.8,39358.7236,19827.5833
2024-05-07,442,466.1,418.1,419.1,32707.6103,15230.2308
2024-05-08,418.9,428.6,375.8,391.8,59945.7656,28555.2667
2024-05-09,391.8,408.5,381,393,39035.6066,18925.0389
2024-05-10,393.1,405,366.3,376.5,48771.3402,23583.5095
2024-05-11,376.6,384.6,370,374.7,22751.9075,11709.8299
2024-05-12,374.6,382.3,359.4,362.9,25077.3852,11330.3122
