t,o,h,l,c,v,taker_buy_v
2025-08-22 12:00:00,334.1,360.8,329.3,355.6,54009.5385,27653.1269
2025-08-22 16:00:00,355.6,372,355.6,369.8,20278.1614,10611.2574
2025-08-22 20:00:00,369.9,373.8,369,371.2,11549.6599,5438.4445
2025-08-23 00:00:00,371.2,371.6,356.1,357.3,9922.5293,4552.1502
2025-08-23 04:00:00,357.3,369.1,357.1,361.4,11006.9449,6049.4706
2025-08-23 08:00:00,361.4,362.6,359,361.1,5615.3102,2754.5768
2025-08-23 12:00:00,361.1,363.7,359.6,361.1,6292.9846,2979.901
2025-08-23 16:00:00,361.2,363.9,359.9,363.7,3382.4386,1531.3873
2025-08-23 20:00:00,363.6,365.8,361.7,364.5,2138.937,1143.2486
2025-08-24 00:00:00,364.6,366.1,360,362.5,4009.002,1953.409
2025-08-24 04:00:00,362.5,363,355.7,356,5269.5506,2356.2923
2025-08-24 08:00:00,355.9,357.4,350,352,6299.8086,2954.9144
2025-08-24 12:00:00,352,358.2,351.4,356.2,4722.0555,2810.4555
2025-08-24 16:00:00,356.1,378,354,364.3,39746.5568,19815.7657
2025-08-24 20:00:00,364.4,366.1,356,361.1,11828.1396,5959.1918
2025-08-25 00:00:00,361.2,363.4,351.3,357.1,9690.4343,4412.3329
2025-08-25 04:00:00,357.1,357.6,340.9,342.8,13080.7849,5959.5606
2025-08-25 08:00:00,342.8,345,337.2,342,11873.0669,5609.7692
2025-08-25 12:00:00,342,344.4,337.5,340,12164.799,5342.6019
2025-08-25 16:00:00,340,343.3,326.6,326.8,20728.8583,8756.6781
2025-08-25 20:00:00,326.9,328.2,316.5,320.5,32990.8369,15064.2803
2025-08-26 00:00:00,320.6,327.1,318,322,11658.102,5225.269
2025-08-26 04:00:00,322,350.9,320,327.2,32626.7767,15865.9235
2025-08-26 08:00:00,327.2,328.9,323,324.1,5999.3227,2795.5413
2025-08-26 12:00:00,324.2,332.2,321.5,327.4,13645.8031,6305.4097
2025-08-26 16:00:00,327.4,337.8,325.4,337.4,7169.993,3531.6585
2025-08-26 20:00:00,337.4,338.6,332.3,334.9,8132.8317,3966.95
2025-08-27 00:00:00,334.8,338.8,331.6,336.8,5725.4664,2978.4964
