t,o,h,l,c,v,taker_buy_v
2026-09-06 13:30:00,1.4139,1.4171,1.4128,1.4159,824362.3,408443.2
2026-09-06 13:45:00,1.4158,1.4177,1.4147,1.4166,905895.5,398525.5
2026-09-06 14:00:00,1.4166,1.4172,1.4124,1.4126,684248.1,256823.7
2026-09-06 14:15:00,1.4127,1.4148,1.4068,1.4083,2225704.9,777768.8
2026-09-06 14:30:00,1.4083,1.4115,1.398,1.4114,2608827.5,1107554
2026-09-06 14:45:00,1.4114,1.4134,1.4087,1.4105,880968.7,410957.5
2026-09-06 15:00:00,1.4104,1.4105,1.4014,1.407,1169288.4,635424.4
2026-09-06 15:15:00,1.4071,1.4097,1.4067,1.4091,256667.4,131187
2026-09-06 15:30:00,1.409,1.4107,1.4067,1.4102,421514.8,223411.6
2026-09-06 15:45:00,1.4101,1.4125,1.4092,1.4113,725092.6,290513.8
2026-09-06 16:00:00,1.4112,1.4128,1.4086,1.4117,617890,340455.4
2026-09-06 16:15:00,1.4118,1.4128,1.4104,1.4128,282094.8,130942.6
2026-09-06 16:30:00,1.4128,1.415,1.4113,1.4132,484206,288726.2
2026-09-06 16:45:00,1.4131,1.4132,1.411,1.4123,221131.1,131832.1
2026-09-06 17:00:00,1.4123,1.4129,1.4023,1.4107,1294480.4,503162.2
2026-09-06 17:15:00,1.4106,1.4141,1.4093,1.4094,653117.4,310666.8
2026-09-06 17:30:00,1.4093,1.4107,1.4075,1.4102,435723.7,216094.1
2026-09-06 17:45:00,1.4101,1.4106,1.406,1.4091,595901,216644.8
2026-09-06 18:00:00,1.4091,1.4131,1.4091,1.4121,275280.5,132238.6
2026-09-06 18:15:00,1.412,1.4149,1.4116,1.4131,638367,375950.1
2026-09-06 18:30:00,1.4132,1.4156,1.4127,1.4134,499136.9,303165
2026-09-06 18:45:00,1.4134,1.4134,1.4114,1.4127,199418.3,107430.2
2026-09-06 19:00:00,1.4128,1.4128,1.4112,1.4117,161796.4,75878.1
2026-09-06 19:15:00,1.4118,1.4127,1.4103,1.4121,119515,63908.5
2026-09-06 19:30:00,1.412,1.4123,1.4081,1.4097,365701.5,112418.6
2026-09-06 19:45:00,1.4096,1.4102,1.4092,1.41,167589.6,82423.2
2026-09-06 20:00:00,1.41,1.4117,1.4093,1.4115,143609,46139
2026-09-06 20:15:00,1.4115,1.4156,1.4112,1.4146,349156.7,208074.5
2026-09-06 20:30:00,1.4146,1.4186,1.4146,1.4177,540229.6,259532.8
2026-09-06 20:45:00,1.4178,1.424,1.4178,1.4222,1700014.8,845272.4
2026-09-06 21:00:00,1.4223,1.4244,1.4201,1.4236,795049,400393.5
2026-09-06 21:15:00,1.4235,1.4271,1.4221,1.4222,843641.9,464735.6
2026-09-06 21:30:00,1.4221,1.4261,1.4221,1.4249,693481.5,353111.6
2026-09-06 21:45:00,1.425,1.4266,1.4232,1.4251,267492.8,111940.8
2026-09-06 22:00:00,1.4252,1.4252,1.4125,1.4135,859617.8,326082.7
2026-09-06 22:15:00,1.4134,1.4164,1.4091,1.4161,1117252.2,543293.6
2026-09-06 22:30:00,1.4162,1.4218,1.416,1.4206,1033875.7,551738.6
2026-09-06 22:45:00,1.4206,1.4211,1.4179,1.4187,852399.1,388631.5
2026-09-06 23:00:00,1.4187,1.4264,1.4184,1.422,981764.7,625753.2
2026-09-06 23:15:00,1.422,1.4239,1.4191,1.42,1050661.4,421961.4
2026-09-06 23:30:00,1.42,1.4248,1.4195,1.4228,655721.5,226847.6
2026-09-06 23:45:00,1.4228,1.4263,1.4215,1.4235,1050096.7,642112.2
2026-09-07 00:00:00,1.4235,1.4257,1.419,1.4242,834814.8,385047.6
2026-09-07 00:15:00,1.4241,1.4246,1.4186,1.4211,855419.9,481654.8
2026-09-07 00:30:00,1.4211,1.425,1.4189,1.4218,1373779.4,676025.3
2026-09-07 00:45:00,1.4218,1.4229,1.4156,1.4184,1520045.8,821415.9
2026-09-07 01:00:00,1.4183,1.42,1.41,1.4104,2515360.6,1418783.6
2026-09-07 01:15:00,1.4104,1.4119,1.4051,1.4082,2213031.2,1252385.5
2026-09-07 01:30:00,1.4082,1.4101,1.4033,1.404,1085258.6,567199.2
2026-09-07 01:45:00,1.4041,1.4078,1.4034,1.4067,1097151.3,758249.3
2026-09-07 02:00:00,1.4067,1.4074,1.4007,1.4042,1697342.9,900091.9
2026-09-07 02:15:00,1.4042,1.4109,1.4042,1.4096,1589029.1,955856.8
2026-09-07 02:30:00,1.4097,1.4316,1.4086,1.4236,3685458.8,2165024.8
2026-09-07 02:45:00,1.4236,1.4267,1.413,1.4139,2118993.5,842237
2026-09-07 03:00:00,1.414,1.4171,1.4092,1.4099,1553610.4,885908.9
2026-09-07 03:15:00,1.41,1.4122,1.4061,1.407,1299993.9,873020.7
2026-09-07 03:30:00,1.4069,1.4084,1.4034,1.4039,1784474.9,835088.2
2026-09-07 03:45:00,1.404,1.4077,1.404,1.4065,994241.8,718596.5
2026-09-07 04:00:00,1.4065,1.4079,1.4056,1.4073,710152,419358.9
2026-09-07 04:15:00,1.4074,1.4102,1.406,1.4069,1323465,852218.9
2026-09-07 04:30:00,1.4068,1.4083,1.4033,1.4068,1360357.5,707270.8
2026-09-07 04:45:00,1.4068,1.409,1.4041,1.4065,1239699.4,646641
2026-09-07 05:00:00,1.4065,1.4108,1.4057,1.4088,984575.4,591600.1
2026-09-07 05:15:00,1.4088,1.4171,1.4088,1.415,2006817.6,1241727.6
2026-09-07 05:30:00,1.4149,1.4157,1.4131,1.4135,581146.2,291648.2
2026-09-07 05:45:00,1.4135,1.4137,1.4078,1.408,578517.2,279911
2026-09-07 06:00:00,1.408,1.4128,1.4077,1.4125,661003.4,408550.3
2026-09-07 06:15:00,1.4125,1.4125,1.4083,1.4086,808112.7,428926.4
2026-09-07 06:30:00,1.4086,1.4107,1.406,1.4062,1083566.2,656028.3
2026-09-07 06:45:00,1.4061,1.4096,1.406,1.4089,437802.8,257191.6
2026-09-07 07:00:00,1.4089,1.413,1.4072,1.4123,956492.8,361594.7
2026-09-07 07:15:00,1.4122,1.4122,1.4035,1.4036,1542828.9,627432.5
2026-09-07 07:30:00,1.4036,1.4066,1.388,1.3977,5466820.4,2421621.4
2026-09-07 07:45:00,1.3977,1.3996,1.3962,1.399,1134915.3,606829.8
2026-09-07 08:00:00,1.399,1.4021,1.3982,1.4003,1036439.4,559802.7
2026-09-07 08:15:00,1.4003,1.4055,1.4003,1.4042,1077099.9,652583.3
2026-09-07 08:30:00,1.4041,1.4083,1.4021,1.4052,1788536,1022437.2
2026-09-07 08:45:00,1.4052,1.4059,1.4025,1.4035,770613.2,396033.2
2026-09-07 09:00:00,1.4036,1.4077,1.4024,1.4069,659753.9,483387
2026-09-07 09:15:00,1.4069,1.4071,1.4041,1.4047,1065418.9,572814.3
2026-09-07 09:30:00,1.4047,1.4052,1.4002,1.4013,932607.7,453399.9
2026-09-07 09:45:00,1.4013,1.4027,1.3964,1.3971,1919246.6,1027837.8
2026-09-07 10:00:00,1.3971,1.4,1.3948,1.3987,2088458.3,1002519.8
