t,o,h,l,c,v,taker_buy_v
2025-08-22 12:00:00,2.8056,3.0436,2.7826,3.0169,123971189.6,64369455.3
2025-08-22 16:00:00,3.0169,3.1,3.0162,3.073,49874349.6,25157622.4
2025-08-22 20:00:00,3.073,3.1056,3.0641,3.0744,29542847.8,12430837.9
2025-08-23 00:00:00,3.0745,3.0749,2.9697,2.9939,35661681.3,14478897.2
2025-08-23 04:00:00,2.994,3.0756,2.9932,3.0619,21759696.9,10283366.4
2025-08-23 08:00:00,3.0619,3.0718,3.029,3.0434,14666152.1,6596840.3
2025-08-23 12:00:00,3.0435,3.0474,3.0072,3.0187,14541398.3,6239995.5
2025-08-23 16:00:00,3.0187,3.0312,3.0097,3.0297,7008640.4,3712660.4
2025-08-23 20:00:00,3.0297,3.058,3.025,3.0485,9613278.4,5235614.9
2025-08-24 00:00:00,3.0486,3.0886,3.0443,3.0526,17469958.6,7797078.8
2025-08-24 04:00:00,3.0526,3.0568,3.0296,3.0357,8050221,3207348
2025-08-24 08:00:00,3.0357,3.0478,2.9971,3.0087,14649278.6,6306210.9
2025-08-24 12:00:00,3.0087,3.041,3.0059,3.0144,13126823.6,5385195.9
2025-08-24 16:00:00,3.0144,3.128,2.9911,3.0343,67645803.5,33985140.1
2025-08-24 20:00:00,3.0344,3.0474,2.987,3.0258,36411248.7,16598256.1
2025-08-25 00:00:00,3.0259,3.0535,2.9736,3.0219,26524879.3,13044029.9
2025-08-25 04:00:00,3.0219,3.0261,2.9301,2.9384,29408443.9,14782135.2
2025-08-25 08:00:00,2.9385,2.9579,2.9193,2.9429,22877290,12285041.7
2025-08-25 12:00:00,2.9429,2.9744,2.9276,2.9538,18882104,9130842.2
2025-08-25 16:00:00,2.9538,2.9685,2.8724,2.8768,26457659.6,13362056.8
2025-08-25 20:00:00,2.8769,2.8944,2.8223,2.8584,51993881.6,28096334.4
2025-08-26 00:00:00,2.8584,2.898,2.8459,2.885,23454695.3,12834625.2
2025-08-26 04:00:00,2.885,2.935,2.885,2.9172,22397842.8,12037049
2025-08-26 08:00:00,2.9171,2.9278,2.8904,2.9011,16301347.4,8542485.4
2025-08-26 12:00:00,2.9012,2.9429,2.8876,2.9331,30045507.4,14456612.4
2025-08-26 16:00:00,2.933,3.0817,2.9261,3.0607,34879763.5,19368977.7
2025-08-26 20:00:00,3.0606,3.0624,3.0032,3.0123,33443431.4,15985923.4
2025-08-27 00:00:00,3.0123,3.014,2.9811,3.0043,19166729,10724687
2025-08-27 04:00:00,3.0043,3.0279,2.9846,2.9934,16087697.6,8829201.1
2025-08-27 08:00:00,2.9934,3.0235,2.9934,2.9984,11028211.7,5204715.4
2025-08-27 12:00:00,2.9983,3.0321,2.9882,3.0169,21694640.4,11694157.5
2025-08-27 16:00:00,3.017,3.0454,2.9875,3.0053,21291102,9715534.5
2025-08-27 20:00:00,3.0053,3.0286,2.9621,2.9688,35002426.2,16932672.8
2025-08-28 00:00:00,2.9688,2.9894,2.953,2.9819,13187763,6666459.4
2025-08-28 04:00:00,2.982,3.0133,2.9771,3.0035,23172949,11532870.8
2025-08-28 08:00:00,3.0035,3.0161,2.9919,3.0075,16586440.6,8084471.9
