Date,o,h,l,c,v
2024-09-26,225.414377,226.604419,223.5400565,225.6325531,36636700
2024-09-27,226.5647542,227.6159583,225.4143737,225.9002991,34026000
2024-09-30,228.1316266,231.0670776,227.7448625,231.0670776,54541900
2024-10-01,227.6159584,227.7448696,221.8839091,224.3334198,63285000
2024-10-02,224.0160807,225.4837988,221.1698942,224.8986969,32880600
2024-10-03,223.2722801,224.9284242,221.4673863,223.7978821,34044200
2024-10-04,226.009353,226.1085294,222.2706395,224.9184875,37245100
2024-10-07,222.6375618,223.8176921,219.4938618,219.8508759,39505400
2024-10-08,222.4392578,224.1053136,221.3979654,223.8970642,31855700
2024-10-09,223.361545,227.8440525,222.9648694,227.635788,33591100
2024-10-10,225.8903813,227.5961137,225.2854411,227.1399231,28183500
2024-10-11,227.3977594,227.5068475,225.4540127,225.6622772,31759200
2024-10-14,226.8027429,229.8076053,226.7035816,229.3811798,39882100
2024-10-15,231.6720197,235.5198369,230.4423011,231.9100342,64751400
2024-10-16,229.6786783,230.1943535,227.9332693,229.8571777,34082200
2024-10-17,231.4935012,231.9100303,228.6076536,230.2241211,32993800
2024-10-18,234.2206797,234.2206797,232.0686835,233.0504761,46431500
2024-10-21,232.5050606,234.8851599,232.5050606,234.518219,36254500
2024-10-22,231.9496924,234.2603649,230.6704006,233.9033508,38846600
2024-10-23,232.1380916,233.1892955,225.8705146,228.8456268,52287000
2024-10-24,228.0721249,228.9051679,226.5151571,228.6572418,31109500
2024-10-25,227.8341359,231.2852624,227.665548,229.4902802,38802300
2024-10-28,231.3844374,232.7827288,230.6208209,231.4637604,36087100
2024-10-29,231.1662429,232.3860347,230.3927148,231.7315063,35417200
2024-10-30,230.6803344,231.5332007,227.6457217,228.1911621,47070900
2024-10-31,227.4374421,227.9233827,223.5003752,224.0359039,64370100
2024-11-01,219.1368673,223.4805363,218.4426774,221.0607758,65276700
2024-11-04,219.156716,220.9417715,217.8873359,220.1682434,44944500
2024-11-05,219.9600075,222.0921656,219.3054791,221.5963135,28111300
2024-11-06,220.7632569,224.1945599,219.3550389,220.872345,54561100
2024-11-07,222.7665171,225.9895557,222.7070173,225.592865,42137700
2024-11-08,225.5332771,227.0125473,224.7787582,225.3247986,38328800
2024-11-11,223.378928,224.0738816,219.9041447,222.6144714,42005600
2024-11-12,222.9321732,223.9646736,221.7507444,222.6144714,40398300
2024-11-13,222.3960588,225.0170377,221.1550647,223.4980621,48566200
2024-11-14,223.3988027,227.2210555,223.3789426,226.5757446,44923900
2024-11-15,224.7688441,225.2851019,222.6542005,223.3789368,47923700
2024-11-18,223.6271349,228.0847911,223.5477094,226.377182,44633700
2024-11-19,225.3446628,228.5017596,225.0269762,226.6352997,36211800
2024-11-20,226.416883,228.2734052,224.2625191,227.3501129,35169600
2024-11-21,227.2309878,228.5017646,224.0838286,226.8735809,42108300
2024-11-22,226.4168797,229.0577187,226.4168797,228.2138367,38168300
2024-11-25,229.7924004,231.5694973,228.0847913,231.1922302,90152800
2024-11-26,231.6489235,233.8727904,231.6489235,233.3664551,45986200
2024-11-27,232.7807036,233.9919151,232.1254551,233.237381,33498400
2024-11-29,233.1182687,236.0966547,232.2843243,235.6201172,28481400
2024-12-02,235.5605533,239.0551819,235.4513452,237.8638306,48137100
2024-12-03,238.0822441,241.0109873,237.1787967,240.9017792,38861000
2024-12-04,241.1201951,242.3512667,239.5118715,241.2591858,44383900
2024-12-05,242.2321233,242.7781486,240.3855235,241.2889557,40033900
2024-12-06,241.1599265,242.8675358,240.3359046,241.0904236,36870600
2024-12-09,240.0876782,245.4587041,240.0082527,244.972229,44649200
2024-12-10,245.1112291,246.4217262,243.5723934,245.9848938,36914800
2024-12-11,246.1735369,248.993072,244.4857728,244.7141266,45205800
2024-12-12,245.1112247,246.9479021,243.9099358,246.1735229,32777500
2024-12-13,246.0345363,247.4939314,244.4659179,246.3423004,33155300
2024-12-16,246.2032946,249.5688699,245.8657328,249.231308,51694800
2024-12-17,248.2782496,252.001232,247.980408,251.6537476,51356400
2024-12-18,250.3432677,252.4479889,245.9551143,246.2628784,56774100
2024-12-19,245.7168314,250.1844102,245.3097817,247.9903259,60882300
2024-12-20,246.252952,253.1628143,243.919892,252.6564941,147495300
2024-12-23,252.9344648,253.8081143,251.6239677,253.4308624,40858800
2024-12-24,253.6492703,256.3496595,253.4506992,256.3397522,23234700
2024-12-26,256.329741,258.2259831,255.7737783,257.1537476,27237100
2024-12-27,255.9723868,256.8361441,251.2367644,253.7485352,42355300
2024-12-30,250.412763,251.6736173,248.9434301,250.3829803,35557500
