Date,o,h,l,c,v
2024-09-26,167.0599976,168.6799927,164.0500031,167.4900055,38044900
2024-09-27,167.4799957,168.7299957,163.7400055,164.3500061,27876000
2024-09-30,163.1000061,165.0800018,162.1799927,164.0800018,21881600
2024-10-01,164.4799957,165.3999939,158.0800018,159.75,31831900
2024-10-02,159.3099976,163.1000061,158.6699982,159.7799988,24630400
2024-10-03,159.7100067,166.7899933,159.3999939,162.8500061,29598800
2024-10-04,166.5299988,171.2100067,164.4199982,170.8999939,44556500
2024-10-07,171.0800018,172.4100037,168.2100067,170.9700012,38379900
2024-10-08,171.75,173.6000061,170,172.8000031,34730200
2024-10-09,174.0500031,174.0500031,169.5500031,171.0200043,33890700
2024-10-10,169.7599945,172.0099945,162,164.1799927,75113600
2024-10-11,164.1900024,169.3500061,163.0099945,167.8899994,42136200
2024-10-14,167.7700043,168.8999939,165.1499939,165.2700043,31757200
2024-10-15,163.2100067,164.1300049,155.7400055,156.6399994,50768000
2024-10-16,158.0700073,158.2799988,154.9199982,156.1300049,30575800
2024-10-17,160,160.4400024,156.1999969,156.25,29491900
2024-10-18,157.4100037,158.0099945,155.5599976,155.9700012,23823000
2024-10-21,155.7599945,158,154.1499939,157.8999939,25781200
2024-10-22,156.6000061,156.7400055,151.9100037,154.0899963,34997400
2024-10-23,153,153.4499969,150.5200043,152.9100037,26095900
2024-10-24,154.7400055,155.1900024,152.3500061,153.4400024,22877000
2024-10-25,155.3999939,158.9100037,155.0500031,156.2299957,29758500
2024-10-28,158.5,160.2799988,157.0399933,159.9199982,36010100
2024-10-29,161.1000061,167.5099945,158.9400024,166.25,71896000
2024-10-30,153.0099945,153.1199951,148.1000061,148.6000061,87701700
2024-10-31,147.8000031,148.6799927,143.3300018,144.0700073,44386600
2024-11-01,144.4400024,144.5399933,141.3200073,141.8600006,39027400
2024-11-04,141.6999969,143.6399994,139.7200012,140.7100067,29117400
2024-11-05,141.9400024,143.0800018,140.8000031,141.6600037,27067300
2024-11-06,144.9499969,145.6300049,141.5200043,145.1000061,32911500
2024-11-07,146.6799927,150.1199951,145.6600037,149.8200073,30326400
