Date,o,h,l,c,v
2024-09-26,194.3099976,194.5299988,189.5399933,191.1600037,36334900
2024-09-27,190.6799927,190.8999939,187.3399963,187.9700012,36002300
2024-09-30,187.1399994,188.4900055,184.6499939,186.3300018,41583900
2024-10-01,184.8999939,186.1900024,183.4499969,185.1300049,36044900
2024-10-02,184.4400024,186.6000061,184.0399933,184.7599945,23704100
2024-10-03,183.0500031,183.4400024,180.8800049,181.9600067,30204300
2024-10-04,185.75,187.6000061,183.6000061,186.5099945,40890300
2024-10-07,182.9499969,183.6000061,180.25,180.8000031,42364200
2024-10-08,181.9199982,183.0899963,180.9199982,182.7200012,26372100
2024-10-09,182.8200073,185.8500061,182.0500031,185.1699982,26343100
2024-10-10,187.1300049,188.1300049,185.8300018,186.6499939,27785000
2024-10-11,186.6300049,189.9299927,186.3000031,188.8200073,25751600
2024-10-14,189.7799988,189.8300018,187.3600006,187.5399933,22614400
2024-10-15,187.6300049,188.4100037,184.5800018,187.6900024,32178900
2024-10-16,187.0500031,187.7799988,185.6100006,186.8899994,23456800
2024-10-17,188.2200012,188.9400024,186,187.5299988,25039400
2024-10-18,187.1499939,190.7400055,186.2799988,188.9900055,37417700
2024-10-21,188.0500031,189.4600067,186.3999939,189.0700073,24639400
2024-10-22,188.3500061,191.5200043,186.9799957,189.6999969,29650600
2024-10-23,188.8500061,189.1600037,183.6900024,184.7100067,31937100
2024-10-24,185.25,187.1100006,183.8600006,186.3800049,21647400
2024-10-25,187.8500061,190.4499969,187.5299988,187.8300018,29362100
2024-10-28,189.5700073,190.2100067,188.2100067,188.3899994,27930800
2024-10-29,188.5800018,191.4600067,187.8200073,190.8300018,35690200
2024-10-30,194.6999969,195.6100006,192.4199982,192.7299957,37707600
2024-10-31,190.5099945,190.6000061,185.2299957,186.3999939,75146800
2024-11-01,199,200.5,197.0200043,197.9299927,99687800
2024-11-04,196.4499969,197.3300018,194.3099976,195.7799988,38492100
2024-11-05,196.0399933,199.8200073,195.9900055,199.5,30564800
2024-11-06,200.0099945,207.5500031,199.1399994,207.0899963,72292200
2024-11-07,207.4400024,212.25,207.1900024,210.0500031,52878400
2024-11-08,209.7200012,209.9600067,207.4400024,208.1799927,36075800
2024-11-11,208.5,209.6499939,205.5899963,206.8399963,35456000
2024-11-12,208.3699951,209.5399933,206.0099945,208.9100037,38942900
2024-11-13,209.3999939,215.0899963,209.1399994,214.1000061,46212900
2024-11-14,214.1600037,215.8999939,210.8800049,211.4799957,42620300
2024-11-15,206.7599945,207.3399963,199.6100006,202.6100006,86591100
2024-11-18,204.1499939,204.6699982,200.9499969,201.6999969,36409900
2024-11-19,199.3300018,205.3000031,198.7799988,204.6100006,31197900
2024-11-20,202.9799957,203.1300049,199.4499969,202.8800049,32769000
2024-11-21,203.4900055,203.4900055,195.75,198.3800049,58800000
2024-11-22,198.25,199.2599945,196.75,197.1199951,31530800
2024-11-25,199.2799988,201.9499969,199,201.4499969,40685700
2024-11-26,201.8999939,208,201.7899933,207.8600006,41673700
2024-11-27,206.9799957,207.6399994,205.0500031,205.7400055,28061600
2024-11-29,205.8300018,208.1999969,204.5899963,207.8899994,24892400
2024-12-02,209.9600067,212.9900055,209.5099945,210.7100067,39523200
2024-12-03,210.3099976,214.0200043,209.6499939,213.4400024,32214800
2024-12-04,215.9600067,220,215.75,218.1600037,48745700
2024-12-05,218.0299988,222.1499939,217.3000031,220.5500031,41140200
2024-12-06,220.75,227.1499939,220.6000061,227.0299988,44178100
2024-12-09,227.2100067,230.0800018,225.6699982,226.0899963,46819400
2024-12-10,226.0899963,229.0599976,224.1999969,225.0399933,31199900
2024-12-11,226.4100037,231.1999969,226.2599945,230.2599945,35385800
2024-12-12,229.8300018,231.0899963,227.6300049,228.9700012,28204100
