Datetime,o,h,l,c,v
2026-07-02 13:30:00,241.6024933,244.6994934,241.0800018,244.0700073,7849573
2026-07-02 14:30:00,244.1300049,245.8800049,243.8000031,244.7599945,9075076
2026-07-02 15:30:00,244.8000031,246.7200012,244.5200043,246.1399994,4368011
2026-07-02 16:30:00,246.1300049,246.2100067,243.7550049,244.8849945,3187675
2026-07-02 17:30:00,244.8699951,245.4290009,243.5099945,243.8800049,4761423
2026-07-02 18:30:00,243.8699951,244.2299042,242.670105,243.9799957,3608833
2026-07-02 19:30:00,243.9600067,244.1399994,242.2799988,242.2799988,4247394
2026-07-06 13:30:00,243.7949982,245.5099945,240.8800049,243.0899963,7183355
2026-07-06 14:30:00,243.1300049,244.8899994,242.4400024,244.75,4029564
2026-07-06 15:30:00,244.7192993,246.0399933,244.4700012,244.8200073,4192304
2026-07-06 16:30:00,244.8101044,245.4299927,244.4499969,245.4149933,3092756
2026-07-06 17:30:00,245.3899994,245.6999969,244.3500061,245.1699982,2480993
2026-07-06 18:30:00,245.1499939,245.8500061,245.1150055,245.5050049,2633413
2026-07-06 19:30:00,245.4900055,245.8399048,243.9600067,244.2299957,4441421
2026-07-07 13:30:00,247.3200073,248.9149933,244.6699982,245.1150055,10689886
2026-07-07 14:30:00,245.1000061,245.6699982,243.0599976,243.1000061,5131799
2026-07-07 15:30:00,243.1049957,244.7684937,242.6999969,244.5200043,4769313
2026-07-07 16:30:00,244.5299988,246.2899017,244.5050049,245.4299927,3388676
2026-07-07 17:30:00,245.4450073,246.75,245.2599945,246.0700073,2720562
2026-07-07 18:30:00,246.0800018,246.2299957,245.25,245.5899963,2982674
2026-07-07 19:30:00,245.6499939,246.2700043,245.2949982,245.9499969,3372248
2026-07-08 13:30:00,244.1399994,244.7700043,240.8800049,243.1100006,6592227
2026-07-08 14:30:00,243.0800018,243.0850067,240.9100037,241.2801056,3353231
2026-07-08 15:30:00,241.3049927,241.8000031,240.5200043,241.6100006,2106650
2026-07-08 16:30:00,241.6000061,242.5800018,241.0899963,242.5700073,1996611
2026-07-08 17:30:00,242.5800018,242.7386017,241.3999939,241.8549957,1924918
2026-07-08 18:30:00,241.8699951,242.7799988,241.8500061,242.3600006,2175622
2026-07-08 19:30:00,242.3800049,244.2400055,242.3650055,243.5599976,4368824
2026-07-09 13:30:00,239.7449951,243.2198944,238.25,240.5850067,7812852
2026-07-09 14:30:00,240.5700073,241.9299927,240.3249969,241.8200073,3404005
2026-07-09 15:30:00,241.8300018,242.8300018,240.8999939,242.3399963,2695101
2026-07-09 16:30:00,242.2749939,244.1000061,241.8399963,244.0149994,2698498
