Date,o,h,l,c,v
2024-09-26,175.4617102,177.181923,172.0212845,175.0586853,24340000
2024-09-27,175.1373142,175.4322108,168.8364171,169.7505951,20580900
2024-09-30,168.9445613,169.9766921,166.7426984,169.5638428,16902000
2024-10-01,169.2296184,169.3180828,162.9778732,164.6194458,23770400
2024-10-02,164.6981079,169.8980594,164.1771303,167.7551727,14317800
2024-10-03,166.7328672,171.9623219,166.3101935,168.9642334,13072300
2024-10-04,173.2991526,173.8889309,169.6621344,173.6333618,17921400
2024-10-07,171.8443455,175.2749316,170.9006793,172.0999146,15588300
2024-10-08,172.4341327,178.5089493,171.9131552,177.6537476,20774200
2024-10-09,176.1891178,183.2468981,173.4171105,182.7848969,25504100
2024-10-10,180.4355628,183.1387541,179.4230959,182.5293121,16318000
2024-10-11,178.056782,179.4820983,174.3804358,178.3909912,23070000
2024-10-14,180.1800178,181.8019268,177.0639768,179.2068634,17195800
2024-10-15,177.7127452,178.6072595,170.4190437,172.9846191,27657500
2024-10-16,175.4715242,176.1989338,172.3456591,173.8103027,15285100
2024-10-17,178.2828596,182.3523912,177.6144412,178.4401398,25232400
2024-10-18,179.2166794,179.6000405,175.6386226,176.8280334,17835200
2024-10-21,176.3267282,178.6268948,175.2159574,176.9263458,13695100
2024-10-22,175.6189753,177.6144209,174.390252,176.3267212,12062600
2024-10-23,174.5671958,175.9335357,169.6326532,170.5566406,19513700
2024-10-24,171.2938829,171.3332104,166.6149091,168.4334259,20485200
2024-10-25,171.2250601,173.7906351,169.7800803,170.0553131,19977700
2024-10-28,170.0553101,171.0088006,168.4334013,169.0919952,13195800
2024-10-29,169.5048589,177.1622568,168.2957992,176.1891174,23702300
2024-10-30,174.449236,176.1399606,172.6307193,173.6333618,17911500
2024-10-31,171.4806435,171.4806435,164.5309914,166.8803101,26086600
2024-11-01,165.3959997,168.4137517,164.6489413,166.0447693,17847000
2024-11-04,166.398631,169.5146717,165.5532688,165.6810608,13621300
2024-11-05,167.1555432,171.4314918,167.1555432,170.9400024,13441800
2024-11-06,176.5724908,177.1426203,172.9649603,176.4938507,24300800
2024-11-07,178.8922916,181.7232599,178.6956838,180.6813049,18970600
2024-11-08,179.875291,181.9002249,178.735032,180.5142212,13503200
2024-11-11,180.2782802,180.504376,173.8102938,175.8647156,17036700
2024-11-12,175.8548804,176.50365,170.2519049,173.2205048,15862000
2024-11-13,171.7362132,172.6012243,169.6621276,170.6254425,17472500
2024-11-14,171.7951954,172.5815814,166.9785907,167.4799194,20638900
2024-11-15,165.6024434,166.2610374,160.6482217,162.0342255,20836200
2024-11-18,162.8402428,163.5185004,159.4587939,162.8500671,17856900
2024-11-19,163.8232221,163.9608385,161.5132163,162.5355225,18003400
2024-11-20,162.7222977,162.7222977,158.1219643,160.471283,17196700
2024-11-21,163.4201991,163.5086636,157.8663758,161.1495209,24835300
2024-11-22,161.5034165,162.1030342,159.6357479,161.4346008,17332500
2024-11-25,162.5846713,164.3835242,160.1174002,162.0145569,26850600
2024-11-26,161.7983119,163.5381735,159.9208189,161.9359283,16308800
2024-11-27,160.4221231,160.4221231,154.85846,156.9522095,19722700
