Datetime,o,h,l,c,v
2026-07-02 13:30:00,365.7250061,374,364.1000061,369.1650085,4230527
2026-07-02 14:30:00,369.2600098,370.7999878,362.7799988,364.7950134,3339584
2026-07-02 15:30:00,364.7900085,366.7999878,359.7200012,360.0299988,2160404
2026-07-02 16:30:00,360.0700073,360.5499878,357.8299866,359.105011,1953867
2026-07-02 17:30:00,359.1099854,361.4299927,358.2049866,360.5499878,1990830
2026-07-02 18:30:00,360.519989,360.9100037,356.4299927,358.7000122,2581237
2026-07-02 19:30:00,358.7200012,361.3999939,358.1400146,360.3399963,3262566
2026-07-06 13:30:00,374,383.1549988,371.5,379.3999939,6282385
2026-07-06 14:30:00,379.4299927,379.7049866,372.980011,374.2900085,2230074
2026-07-06 15:30:00,374.3200073,376.1299133,373.2600098,375.1499939,1662099
2026-07-06 16:30:00,375.1000061,377.1000061,374.6900024,375.7774963,1602590
2026-07-06 17:30:00,375.7850037,377.2488098,373.769989,375.5950012,1451482
2026-07-06 18:30:00,375.5700073,377.3800049,374.5499878,376.7950134,1991757
2026-07-06 19:30:00,376.7950134,377.0799866,373.5,373.9100037,2658283
2026-07-07 13:30:00,366.5549927,372.5,363.3901062,364.0499878,4968527
2026-07-07 14:30:00,363.9299927,365.7600098,362.0100098,364.4299927,2406091
2026-07-07 15:30:00,364.5,371.4200134,363.7999878,371.0400085,2571949
2026-07-07 16:30:00,370.9973145,372.1300049,369.9400024,371.2799988,1405131
2026-07-07 17:30:00,371.3699951,372.9598999,370.5400085,370.5400085,1086273
2026-07-07 18:30:00,370.5950012,371.1000061,366.6499939,368.1900024,2054460
2026-07-07 19:30:00,368.1900024,370.8399963,368.0899963,370.7900085,2978320
2026-07-08 13:30:00,377.3450012,389.1149902,376.8900146,386.7749939,8884496
2026-07-08 14:30:00,386.6400146,390.3399963,384.4299927,385.5700073,4176335
2026-07-08 15:30:00,385.5750122,393.7099915,383.0799866,392.3699951,2862822
2026-07-08 16:30:00,392.3187866,395.0899963,390.6400146,392.4400024,2662380
2026-07-08 17:30:00,392.5050049,393.3800049,388.5400085,389.1400146,1783096
2026-07-08 18:30:00,389.1600037,392.6499939,388.6400146,392.4450073,2208695
2026-07-08 19:30:00,392.4500122,392.519989,388.4500122,388.6700134,3101657
2026-07-09 13:30:00,402.2850037,403.730011,387.9500122,392.3699951,7477893
2026-07-09 14:30:00,392.2900085,400.3599854,390.9464111,399.6400146,2902012
2026-07-09 15:30:00,399.6824951,401.9500122,399.4299927,401.1900024,2683913
2026-07-09 16:30:00,401.1400146,405.3800049,400.3800049,405.1799927,2322575
2026-07-09 17:30:00,405.2349854,407.519989,403.6300049,405.25,2275645
2026-07-09 18:30:00,405.2099915,406.4700012,402,402.0299988,2388979
2026-07-09 19:30:00,402.0799866,402.3299866,399.5840149,401.1099854,2287387
2026-07-10 13:30:00,398.5,402.4400024,395.7000122,399.9500122,3115048
2026-07-10 14:30:00,399.9500122,401.7399902,397.25,401.1099854,1385733
2026-07-10 15:30:00,401.0899963,401.8699951,398.6799927,400.8901062,1005566
2026-07-10 16:30:00,400.9500122,402.2799988,400.3599854,401.7499084,1082478
2026-07-10 17:30:00,401.730011,402.239502,399.2900085,400.1799927,1052071
2026-07-10 18:30:00,400.1149902,400.5499878,399.3299866,399.6199951,1176407
2026-07-10 19:30:00,399.6000061,400.6499939,399.3599854,399.9899902,1316075
2026-07-13 13:30:00,393.4750061,395,386.7999878,394.6650085,4396457
2026-07-13 14:30:00,394.6900024,395.7449951,390.5299988,391.6799927,1333834
2026-07-13 15:30:00,391.6499939,392.3500061,388.519989,389.0119934,1086940
