Date,o,h,l,c,v
2024-09-26,170.6100006,181.4900055,170.2599945,179.9299927,12455200
2024-09-27,183.0700073,192.4499969,179.5,191.2299957,10563400
2024-09-30,184.1900024,185.4100037,177,178.1699982,11710000
2024-10-01,178.7200012,178.8999939,160,165.0099945,15210500
2024-10-02,163.0299988,169.2899933,161.3899994,164.4700012,7881100
2024-10-03,162.8300018,166.4100037,161.4100037,163.1000061,4298600
2024-10-04,167.9600067,171.2400055,164,170.9100037,6852400
2024-10-07,172,176.1499939,166.8899994,168.9199982,6797500
2024-10-08,166.3600006,170.0500031,165.0200043,167.6900024,5696100
2024-10-09,167.6900024,172.4900055,165.7799988,166.9700012,5725000
2024-10-10,166.0500031,167.3099976,161.8699951,164.2700043,5379900
2024-10-11,165.5399933,179.1799927,165.2200012,176.3800049,10767100
2024-10-14,181.1900024,197.6900024,178.2700043,196.3500061,18131400
2024-10-15,195.6799927,204.8999939,188.3099976,196.3399963,17324800
2024-10-16,203.5299988,212.4199982,197.6000061,210.4799957,13970000
2024-10-17,209.1999969,209.4499969,201.1300049,204.1999969,8908000
2024-10-18,208.0500031,220.2599945,207.1399994,220.2100067,13569600
2024-10-21,215.3999939,216.8600006,208.1300049,213.7200012,12686400
2024-10-22,209.4499969,215.9499969,207.3000031,210.7200012,7485100
2024-10-23,206.3000031,209.6999969,194.6000061,198.9299927,10350100
2024-10-24,206.8699951,210.5500031,200.8000031,209.1600037,9925400
2024-10-25,208.3000031,213.6699982,203.3999939,205.0399933,9261300
2024-10-28,213.3500061,218,210.5,216.1000061,10458700
2024-10-29,220.9100037,223.8999939,216.1100006,219.6600037,11542200
2024-10-30,213.1000061,220.4600067,209.4700012,211.7400055,9515900
2024-10-31,203.7299957,206,178.8200073,179.25,18892000
2024-11-01,180,190.9400024,179.5399933,182.8800049,14443400
2024-11-04,180.0899963,186.9499969,176.3800049,186.2700043,11348800
2024-11-05,185.5899963,197.25,185.5099945,193.9600067,9950800
2024-11-06,221.4799957,257.6799927,221.1100006,254.3099976,35456000
2024-11-07,245.6300049,259.6900024,242.3399963,255.5800018,16655300
2024-11-08,257.6700134,273.5,257.1499939,270.7399902,17431700
2024-11-11,300.3099976,334.8599854,296,324.2399902,42437500
2024-11-12,310.0499878,327,306.1000061,319.1300049,24819600
2024-11-13,325.0100098,332.3500061,282.6600037,284.7200012,27997400
2024-11-14,290.8099976,292.5700073,274.2999878,278.8399963,17375300
2024-11-15,282.5100098,306.4599915,276.019989,305.8500061,18020600
2024-11-18,301.8299866,329.5899963,288.5,325.4100037,25607400
2024-11-19,322.0799866,327.2399902,315.5,324.5700073,13447900
2024-11-20,332.25,341.75,303.7999878,320.0100098,22875200
2024-11-21,329.9500122,330.5,288.5499878,295.230011,25187400
2024-11-22,294.8900146,311.3699951,290.7999878,304.6400146,12187200
2024-11-25,309,317.4599915,291.2000122,312.2200012,14645900
2024-11-26,298.2600098,309.2000122,289.1300049,293.2900085,13215700
2024-11-27,302.7799988,314.2900085,295.3599854,310.980011,13290800
2024-11-29,311.9500122,316.2999878,295.8099976,296.2000122,9550200
2024-12-02,302.0299988,311.4700012,299.5,302.3999939,11221100
2024-12-03,296.7799988,314.4299927,296.6499939,309.3500061,10069300
2024-12-04,312,332,309.1199951,330.9400024,15798000
2024-12-05,343.3599854,349.4899902,315.1700134,320.5700073,19769900
2024-12-06,328.5599976,349.75,325.5,343.6199951,16759200
2024-12-09,339.9100037,340.1600037,309.6799927,310.519989,16974800
2024-12-10,318.0299988,318.7399902,298.519989,302.4200134,11930600
2024-12-11,311.8500061,320.8999939,308.8200073,313.8099976,10253400
2024-12-12,317.7600098,323.5,307.75,312.9599915,8324400
2024-12-13,316,317.1799927,305.25,310.5799866,5832600
2024-12-16,316.8999939,326.230011,314.769989,315.3099976,11461400
2024-12-17,319.8299866,323.0700073,303.5,311.6400146,7440600
2024-12-18,308,312.1400146,275.8099976,279.8599854,12615200
2024-12-19,290.6400146,295.480011,268.8800049,273.9200134,11708600
2024-12-20,266.1300049,281.7399902,261.8699951,278.7099915,10009800
2024-12-23,274.519989,275.3299866,263.0700073,268.1499939,6853500
2024-12-24,273.2200012,284,271.8599854,279.6199951,4805100
2024-12-26,275.5799866,279.2399902,271.3900146,274.4100037,4410400
2024-12-27,274.2000122,274.25,263.2099915,265.7099915,5554000
2024-12-30,259.980011,260.5,247.6000061,255.5599976,7727100
2024-12-31,262.9700012,263.6600037,246.3699951,248.3000031,5414900
2025-01-02,256.480011,262.3099976,251,257.2099915,6289500
2025-01-03,259.8900146,271.5899963,258.5899963,270.6499939,5990800
2025-01-06,279.0700073,293.6000061,271.75,287.7600098,10835000
2025-01-07,286.7399902,287.5799866,260.2399902,264.3299866,11614700
2025-01-08,263.8800049,267,252.9900055,260.0100098,5951100
2025-01-10,257.769989,261.8699951,248.0500031,258.7799988,5579200
2025-01-13,246.9799957,251.8099976,240.7700043,251.1999969,7019500
2025-01-14,261.730011,263,251,255.3699951,5704100
2025-01-15,266.8699951,278.3200073,264.4400024,274.9299927,9113900
2025-01-16,274,285.019989,268.1400146,281.6300049,6751100
2025-01-17,292,300.3500061,289.3299866,295.480011,11290100
2025-01-21,298.519989,303.1000061,273.6199951,294.1900024,12912400
2025-01-22,290.4599915,298.7999878,286.2799988,295.8500061,6668900
2025-01-23,289.7399902,303.5599976,287.8999939,296.0100098,11534800
2025-01-24,300,310.6099854,297.6199951,298,9763300
2025-01-27,283.7000122,289.7799988,265.2000122,277.9899902,12238800
2025-01-28,280.5,284.8399963,276,281.8200073,4516600
2025-01-29,281.8200073,294.3800049,277.0100098,291,6255900
2025-01-30,293.7099915,306,293.019989,301.2999878,8637500
2025-01-31,300.8599854,304.730011,287.2200012,291.3299866,6514500
2025-02-03,272.980011,288.7600098,269.2999878,284.4100037,9517700
2025-02-04,283,289.3900146,278.6300049,280.3900146,6013500
2025-02-05,283.6099854,285.7600098,274.5599976,275.1400146,5344600
2025-02-06,279.519989,284.6000061,269,270.3699951,6717700
2025-02-07,274.0499878,282.5700073,271.75,274.4899902,7885600
2025-02-10,280.3999939,285.5599976,274.6000061,280.2200012,5521800
2025-02-11,277.5499878,279,265.8299866,266.8999939,6915000
2025-02-12,264.3900146,277.7999878,263.480011,274.8999939,6362800
2025-02-13,284,302.3999939,282.5,298.1099854,18900200
2025-02-14,288.019989,291.5499878,274,274.3099976,19269700
2025-02-18,278.7999878,279.1799927,260.5,264.6300049,11564800
2025-02-19,265.7600098,267,257.6799927,258.6700134,6813800
2025-02-20,260.6600037,262.25,250.3699951,256.5899963,6400700
2025-02-21,266.9899902,267.7999878,234.7599945,235.3800049,17195500
2025-02-24,239.1399994,240.2400055,223.6000061,227.0700073,12125000
2025-02-25,219.9700012,222.8500061,205.1199951,212.4900055,15192600
