Date,o,h,l,c,v
2024-09-26,162.4989187,162.935853,161.1484016,161.5952606,20319300
2024-09-27,161.6747126,164.5445598,161.495975,162.8067627,21101300
2024-09-30,162.1811552,164.9914079,162.1215609,164.693512,20413900
2024-10-01,166.520662,167.9804125,163.4323481,165.8255463,28338100
2024-10-02,165.2595228,166.3518583,163.581305,164.7034302,17760200
2024-10-03,163.2635443,165.4779899,162.7769557,164.7034302,15073100
2024-10-04,166.8880922,167.0569049,164.326081,165.8950653,19047400
2024-10-07,166.5504584,167.3051533,161.6151139,161.8435059,22463100
2024-10-08,162.7968152,163.5812997,161.7342692,163.2337494,23072700
2024-10-09,162.3102323,163.690539,158.6261112,160.7313232,31181800
2024-10-10,159.7482142,161.9328853,159.2814904,160.9497833,14144100
2024-10-11,160.9994546,162.7571013,160.1156613,162.1017151,15344300
2024-10-14,162.4989353,165.0708715,162.2606033,163.8097382,19016100
2024-10-15,164.6339142,166.5107343,163.4820145,164.3062286,20247200
2024-10-16,163.3826891,164.6438373,162.5982046,164.0083008,16406000
2024-10-17,164.5743319,165.2098685,161.625041,161.7938538,21453400
2024-10-18,162.0520189,163.5614236,161.9427853,162.2804108,19757700
2024-10-21,161.8137334,163.3529281,161.4860327,162.9259338,20946500
2024-10-22,161.8435075,164.6140608,161.8435075,163.9884491,16568100
2024-10-23,163.6111017,164.6637229,160.8008338,161.6449127,18280500
2024-10-24,161.6945454,162.1910588,159.8872295,161.5853119,22412500
2024-10-25,162.5286896,164.4352991,162.2804329,164.1175385,19828900
2024-10-28,167.5732928,167.5732928,162.8067605,165.5574493,32138600
2024-10-29,166.5603962,169.1919266,165.9248596,168.4967957,42169000
2024-10-30,179.4200822,180.7507497,172.8462494,173.2434692,68890800
2024-10-31,171.9227428,175.5870143,169.8075908,169.9168243,44769000
2024-11-01,168.8840718,171.1183821,167.7023675,170.0955505,31796500
2024-11-04,168.7450513,169.5394758,166.8384415,168.0598755,21492700
2024-11-05,168.2485454,169.3408811,167.6626632,168.5563965,18242100
2024-11-06,172.5880653,175.706169,172.2901543,175.2791595,33695500
