Datetime,o,h,l,c,v
2026-07-02 13:30:00,359.480011,364.2049866,358.2200012,362.0700073,5125879
2026-07-02 14:30:00,362.0249939,364.2000122,356.8399963,357.1900024,2926032
2026-07-02 15:30:00,357.1499939,358.1400146,354.2099915,355.4219055,2372741
2026-07-02 16:30:00,355.4700012,355.8349915,353.4200134,355.0549927,1882122
2026-07-02 17:30:00,355.0549927,358.5799866,354.8599854,358.3299866,2145037
2026-07-02 18:30:00,358.3200073,359.6400146,357.5899963,358.8999939,2151999
2026-07-02 19:30:00,358.9299927,360.6099854,358.8299866,359.5499878,3517254
2026-07-06 13:30:00,361.9299927,363.7049866,357.3804932,361.0050049,4756168
2026-07-06 14:30:00,360.9899902,363.1400146,360.7200012,362.8301086,2305379
2026-07-06 15:30:00,362.8500061,365.1000061,362.7149963,363.6799927,2110630
2026-07-06 16:30:00,363.6950073,365.1000061,363.6600037,364.8699951,1448510
2026-07-06 17:30:00,364.8900146,365.3399963,363.6700134,364.5750122,1788276
2026-07-06 18:30:00,364.5799866,367.5,364.5799866,367.4899902,2851314
2026-07-06 19:30:00,367.480011,367.9299927,366.1600037,366.4200134,3850480
2026-07-07 13:30:00,368.5299988,373.1600037,366.5299988,370.980011,6123911
2026-07-07 14:30:00,370.9299927,371.0299988,367.25,369.2200012,2876770
2026-07-07 15:30:00,369.2099915,369.5799866,368.0100098,368.5299988,2035839
2026-07-07 16:30:00,368.519989,370.4288025,368.519989,369.9200134,1977154
2026-07-07 17:30:00,369.8924866,370.6499939,369.1199951,369.4200134,1699872
2026-07-07 18:30:00,369.4200134,369.7600098,368.019989,368.0700073,2018096
2026-07-07 19:30:00,368.0650024,368.1799927,365.5002136,367.0400085,3226255
2026-07-08 13:30:00,365.0524902,367.7200012,361.6000061,361.8601074,3711762
2026-07-08 14:30:00,361.8200073,362.4100037,360.5499878,361.0299988,1824455
2026-07-08 15:30:00,361.0100098,361.5549927,359.75,361.0400085,1509118
2026-07-08 16:30:00,361.0249939,361.6870117,360.8049927,361.3699951,2135531
2026-07-08 17:30:00,361.3900146,361.4399109,358.4100037,358.6400146,1560915
2026-07-08 18:30:00,358.6300049,359.4500122,358.019989,359.1677856,1899322
2026-07-08 19:30:00,359.144989,362.8999939,359.0869141,361.6400146,3057642
2026-07-09 13:30:00,354.1539917,359.6499939,351.0799866,353.8500061,6600084
2026-07-09 14:30:00,353.8500061,354.8500061,352.4100037,353.6099854,3174956
2026-07-09 15:30:00,353.6350098,354.7600098,352.230011,354.4924927,2558346
2026-07-09 16:30:00,354.4599915,355.8753967,354.1900024,355.7349854,1492801
2026-07-09 17:30:00,355.730011,357.3999023,355.4599915,356.7600098,1769713
2026-07-09 18:30:00,356.8150024,358.25,356.1700134,357.9949951,1811231
2026-07-09 19:30:00,358.019989,359.2900085,357.9425049,358.8699951,2155152
2026-07-10 13:30:00,357.5249939,357.8200073,354.25,355.3299866,4377691
2026-07-10 14:30:00,355.3500061,355.480011,352.75,354.2562866,2097538
2026-07-10 15:30:00,354.2900085,355.1700134,353.4100037,354.9200134,1563187
2026-07-10 16:30:00,354.9200134,356.0299988,354.3699951,354.4100037,1126736
2026-07-10 17:30:00,354.4299927,355.9299927,353.8699951,355.8399963,1562211
2026-07-10 18:30:00,355.8349915,356.769989,355.25,356.5698853,1624324
2026-07-10 19:30:00,356.5700073,357.6400146,356.3200073,356.9100037,1985948
2026-07-13 13:30:00,356.2000122,358.1199951,354.1099854,355.5098877,3068739
2026-07-13 14:30:00,355.5299988,356.6099854,354.3399963,355.3999939,1533846
2026-07-13 15:30:00,355.4400024,356.3450012,354.8699951,356.3150024,953668
2026-07-13 16:30:00,356.2999878,356.9400024,355.0100098,355.9849854,1206031
2026-07-13 17:30:00,356.0299988,356.1300049,354.9704895,355.6900024,1297388
2026-07-13 18:30:00,355.6799927,355.7999878,353.8800049,354.1350098,1487099
2026-07-13 19:30:00,354.1199951,354.1499939,351.75,352.5299988,2577771
2026-07-14 13:30:00,351.0899963,356.5899963,351.0899963,356.1300049,3333528
2026-07-14 14:30:00,356.1300049,358.4599915,355.8999939,358.2000122,2011076
2026-07-14 15:30:00,358.1950073,358.6799927,355.2799988,355.6700134,1419686
2026-07-14 16:30:00,355.6500854,358.7199097,354.7099915,358.5899963,1204984
2026-07-14 17:30:00,358.6375122,359.2399902,357.3699951,357.8599854,1537843
2026-07-14 18:30:00,357.8599854,360.0299988,357.3599854,359.9599915,1617017
2026-07-14 19:30:00,359.9500122,360.1600037,359.0950012,359.5499878,2267751
2026-07-15 13:30:00,358.1499939,366.8800049,357.7600098,366.3900146,5181267
2026-07-15 14:30:00,366.4200134,371.0350037,366.25,370.9750061,4381443
2026-07-15 15:30:00,370.9450073,373.6499939,370.3999939,372.6700134,3446648
2026-07-15 16:30:00,372.7000122,373.1499939,370.375,371.0599976,2133332
2026-07-15 17:30:00,371.019989,373.2900085,369.7999878,372.1300049,2482870
2026-07-15 18:30:00,372.1650085,372.4700012,369.9100037,370.4500122,1870183
2026-07-15 19:30:00,370.4700012,371.3565979,369.2099915,370.9200134,3132523
2026-07-16 13:30:00,373.1950073,375.269989,369.2019958,372.5700073,5784056
2026-07-16 14:30:00,372.5799866,374.3399963,371.1499939,371.5299988,3588925
2026-07-16 15:30:00,371.5100098,372.8900146,369.9899902,371.6199951,2654452
2026-07-16 16:30:00,371.6199951,372.3299866,370.8999939,371.769989,1617790
2026-07-16 17:30:00,371.769989,372.1499939,359.0315857,361.1300049,6973011
2026-07-16 18:30:00,361.2000122,361.9700012,352.3200073,354.3900146,7329557
2026-07-16 19:30:00,354.3999939,355.3800049,352.8999939,354.2900085,5240299
2026-07-17 13:30:00,345.9949951,348.5,341.3599854,345.3800049,8684508
2026-07-17 14:30:00,345.3649902,348.019989,344.8900146,347.1600037,2531408
2026-07-17 15:30:00,347.1900024,348.519989,346.019989,346.9500122,2430607
2026-07-17 16:30:00,346.980011,347.9599915,345.5100098,345.6000061,1965325
2026-07-17 17:30:00,345.5849915,345.7799988,342.7999878,344.3699036,2844396
2026-07-17 18:30:00,344.3800049,345.6099854,344.1700134,345.4899902,1891366
2026-07-17 19:30:00,345.4750061,347.4150085,344.1350098,346.6199951,3583071
2026-07-20 13:30:00,351.1499939,359.6700134,350.519989,358.5799866,6315003
2026-07-20 14:30:00,358.5700073,359.1099854,356,357.019989,1962619
2026-07-20 15:30:00,357.0299988,357.8900146,354.9700012,355.25,1710333
2026-07-20 16:30:00,355.2650146,355.9299927,352.0849915,352.7000122,2255099
2026-07-20 17:30:00,352.6900024,353.7099915,351.8800049,352.0400085,1612074
2026-07-20 18:30:00,352.019989,352.5700073,350.75,352.3099976,2475101
2026-07-20 19:30:00,352.3200073,353.2799988,351.6799927,352.1000061,2770451
2026-07-21 13:30:00,350.8299866,351.1400146,347.5899963,349.5299988,4567120
2026-07-21 14:30:00,349.3900146,350.4700012,347.6925049,347.8299866,3012137
2026-07-21 15:30:00,347.8200073,350.0299988,347.7200012,349.6025085,1941801
2026-07-21 16:30:00,349.6000061,350.0299988,348.8999939,349.1350098,1477242
2026-07-21 17:30:00,349.1400146,349.3399963,348.7000122,348.8099976,1345136
2026-07-21 18:30:00,348.8200073,349.7600098,348.2799988,349.6099854,2223785
2026-07-21 19:30:00,349.5899963,349.8999939,347.019989,347.1099854,2893603
2026-07-22 13:30:00,348.1549988,349.9400024,346.1900024,347.8099976,5010614
2026-07-22 14:30:00,347.7799988,348.7900085,347.2000122,347.4649963,3095775
2026-07-22 15:30:00,347.4679871,348.7200012,347,348.3649902,1949609
2026-07-22 16:30:00,348.3699951,348.6000061,347.730011,347.9999084,1584817
2026-07-22 17:30:00,347.9500122,348.399292,346.25,346.480011,1937455
2026-07-22 18:30:00,346.480011,347.0679932,345.1400146,345.3099976,3028839
2026-07-22 19:30:00,345.2799988,345.5599976,341.730011,342.0700073,5753192
2026-07-23 13:30:00,321.1300049,324.4899902,317.0899963,318.605011,25036745
2026-07-23 14:30:00,318.5799866,319.9500122,314.9100037,316.644989,10245117
2026-07-23 15:30:00,316.6300049,321.5499878,316.5700073,320.894989,6915545
2026-07-23 16:30:00,320.8500061,321.4200134,318.7000122,320.3800049,4740581
2026-07-23 17:30:00,320.3599854,320.4299927,319.1300049,319.6799927,3517071
2026-07-23 18:30:00,319.6700134,319.7049866,317.8500061,318.0899963,4844516
2026-07-23 19:30:00,318.0899963,319.1300049,317.3299866,317.6499939,6963056
2026-07-24 13:30:00,318.3150024,324.1799927,317.3299866,319.8299866,8627945
2026-07-24 14:30:00,319.8599854,321.8200073,317.6199951,321.75,3895248
2026-07-24 15:30:00,321.7600098,322.1199951,319.3099976,319.3999939,2729011
2026-07-24 16:30:00,319.4049988,320.8299866,318.5599976,320.5299988,2484419
2026-07-24 17:30:00,320.519989,321.1400146,319.3500061,319.9750061,2446479
2026-07-24 18:30:00,319.9599915,320.2600098,318.9599915,319.5249939,2718746
2026-07-24 19:30:00,319.5,320.6900024,319.1700134,319.769989,3368485
2026-07-27 13:30:00,325.0400085,330.4198914,325.0400085,326.4700012,8624409
2026-07-27 14:30:00,326.4100037,329.7600098,324.4599915,328.2200012,4738866
2026-07-27 15:30:00,328.1799927,329.1300049,327.1400146,327.8999939,2426399
2026-07-27 16:30:00,327.8800049,328.230011,325.8599854,326.7399902,1808796
2026-07-27 17:30:00,326.75,326.9100037,325.7799988,326.1700134,1449175
2026-07-27 18:30:00,326.2000122,327.8599854,325.6300964,327.4599915,2400097
2026-07-27 19:30:00,327.4500122,327.8999939,326.3200073,326.5599976,2513663
2026-07-28 13:30:00,327.8999939,330.2999878,324.4400024,327.7799988,6848704
2026-07-28 14:30:00,327.7650146,333.1199951,327.2105103,332.3399963,3832223
2026-07-28 15:30:00,332.3999939,334.1700134,332.269989,333.5299988,2454555
2026-07-28 16:30:00,333.5350037,335.2600098,332.9899902,335.0599976,2120694
2026-07-28 17:30:00,335.0599976,335.8800049,334.1900024,334.8649902,2184941
2026-07-28 18:30:00,334.8699951,335.8800049,333.7799988,334.2900085,2449058
2026-07-28 19:30:00,334.2600098,334.7049866,333.3800049,333.730011,3302905
2026-07-29 13:30:00,334.519989,336.4899902,331.6199951,332.5400085,4613154
2026-07-29 14:30:00,332.5,335.6000061,332.3399963,333.8599854,2812450
2026-07-29 15:30:00,333.8450012,335.8299866,332.3599854,335.5599976,2246703
2026-07-29 16:30:00,335.5400085,338.1799927,334.7399902,337.230011,2127165
2026-07-29 17:30:00,337.1700134,340.480011,335.8999939,340.1849976,3631648
2026-07-29 18:30:00,340.1499939,342.5,336.480011,337.019989,3120830
2026-07-29 19:30:00,337.0499878,337.3099976,335.2701111,336.6700134,4239509
2026-07-30 13:30:00,334.1950073,336.5100098,330.3399963,331.8200073,8430105
2026-07-30 14:30:00,331.8099976,333.730011,331.1000061,331.4599915,3144545
2026-07-30 15:30:00,331.4400024,335.1400146,331.25,334.9049988,2231474
2026-07-30 16:30:00,334.9049988,335.3299866,332.7113953,332.8799133,2139879
2026-07-30 17:30:00,332.8699951,334.8500061,332.0299988,332.0700073,2947891
2026-07-30 18:30:00,332.0700073,334.9299927,332.0499878,334.3299866,2215883
2026-07-30 19:30:00,334.3349915,334.5700073,333.2600098,333.6799927,2863706
2026-07-31 13:30:00,341.5,348.0700073,340,347.5799866,10072290
2026-07-31 14:30:00,347.5750122,353.6900024,346.8800049,348.855011,6500447
2026-07-31 15:30:00,348.855011,354.4700012,348.3900146,354.3099976,3507355
2026-07-31 16:30:00,354.3399963,354.6400146,352.7099915,354.4100037,3442734
2026-07-31 17:30:00,354.3800049,356.3198853,353.2600098,356.0499878,4125101
2026-07-31 18:30:00,356.0100098,356.3699951,354.6000061,355.6199951,3924307
2026-07-31 19:30:00,355.6499939,358.5499878,355.4400024,356.3299866,6492962
2026-08-03 13:30:00,365.2399902,374.3200073,363.3500061,367.9549866,12023437
2026-08-03 14:30:00,367.9400024,373.1650085,366.6737061,372.8200073,4124135
2026-08-03 15:30:00,372.8200073,375.7698975,372.6400146,375.1099854,4080128
2026-08-03 16:30:00,375.1488037,376.6932068,374.1700134,374.7399902,2790395
2026-08-03 17:30:00,374.730011,375.1199951,373.5400085,373.6199951,2522552
2026-08-03 18:30:00,373.6199951,375.8049927,373.4899902,374.2600098,3045976
2026-08-03 19:30:00,374.25,374.769989,373.1650085,373.5599976,4171479
2026-08-04 13:30:00,367.6488037,378.0899963,367.5400085,377.0499878,8334503
2026-08-04 14:30:00,377.0599976,377.6625061,374.7099915,376.269989,4807462
2026-08-04 15:30:00,376.2799988,376.4500122,375.2200012,376.25,2590184
2026-08-04 16:30:00,376.25,378.4400024,376.0799866,377.6099854,2870206
2026-08-04 17:30:00,377.6099854,380.2999878,377.5100098,380.1499939,3108351
2026-08-04 18:30:00,380.1665039,380.519989,378.5,378.7399902,2583781
2026-08-04 19:30:00,378.7449951,380.230011,377.6099854,377.7900085,3195429
2026-08-05 13:30:00,382.9400024,384.1199951,377.9299927,381,5170044
2026-08-05 14:30:00,380.9500122,382.3500061,378.7001038,378.7550049,2364499
2026-08-05 15:30:00,378.7550049,379.0899963,356.8200073,364.9750061,17690195
2026-08-05 16:30:00,365.0299988,365.2598877,361.5650024,362.4100037,5803117
2026-08-05 17:30:00,362.4299927,364.9700012,360.8100891,362.6400146,3412406
2026-08-05 18:30:00,362.6202087,363.0549927,361.0400085,361.8299866,3497280
2026-08-05 19:30:00,361.8299866,363.1900024,361.1500854,362.4700012,4159230
2026-08-06 13:30:00,360.769989,364.125885,360.1099854,360.5499878,5869242
2026-08-06 14:30:00,360.5299988,362.1350098,358.6799927,360.2550049,3271050
2026-08-06 15:30:00,360.2600098,360.3999939,358.79599,359.685791,1930514
2026-08-06 16:30:00,359.7200012,359.8052063,357.6499939,357.8399963,2231359
2026-08-06 17:30:00,357.8500061,358.4700012,356.8800049,357.6099854,2498838
2026-08-06 18:30:00,357.6099854,358.3084106,357.0600891,357.1275024,1982456
2026-08-06 19:30:00,357.125,358.2000122,356.9599915,357.8900146,2327388
2026-08-07 13:30:00,356.7650146,358.8999939,354.5599976,355.6900024,5151379
2026-08-07 14:30:00,355.7099915,357.4899902,353.7799988,357.0599976,3319050
2026-08-07 15:30:00,357.1099854,357.2499084,354.2999878,354.6700134,1705744
2026-08-07 16:30:00,354.6900024,355.6499939,354.3500061,354.8299866,1073425
2026-08-07 17:30:00,354.8125,355.3299866,354.1713867,354.1849976,1133034
2026-08-07 18:30:00,354.1700134,355.2799988,353.8099976,355.2600098,1561850
2026-08-07 19:30:00,355.2600098,355.6099854,354.230011,354.25,2406614
2026-08-10 13:30:00,355.1749878,356.9599915,352.7099915,356.9599915,5521812
2026-08-10 14:30:00,356.9400024,357.1799927,353.7000122,354.4949951,2602847
2026-08-10 15:30:00,354.4899902,354.9700012,353.3200073,354.3999939,1765361
2026-08-10 16:30:00,354.4299927,354.9700012,353.6199951,354.7200012,965833
2026-08-10 17:30:00,354.7155151,354.9100037,353.980011,354.3500061,894236
2026-08-10 18:30:00,354.3299866,356.25,354.1700134,355.2301025,1331414
2026-08-10 19:30:00,355.25,357.6099854,354.8204956,357.5499878,2129025
2026-08-11 13:30:00,355.8999939,356.8099976,349.4200134,352.2900085,5384752
2026-08-11 14:30:00,352.2000122,352.6199951,351.2999878,351.3500061,1841118
2026-08-11 15:30:00,351.3450012,351.4100037,349.1199951,350.1950073,2432068
2026-08-11 16:30:00,350.1600037,350.2099915,346.4400024,346.9444885,3098126
2026-08-11 17:30:00,346.9500122,347.8699951,345.9599915,346.0899963,2037294
2026-08-11 18:30:00,346.1000061,346.230011,344.1300049,344.3747864,4403308
2026-08-11 19:30:00,344.329895,344.4549866,343.394989,343.7900085,3749388
2026-08-12 13:30:00,346,346.480011,341.7000122,342.7799988,6112188
2026-08-12 14:30:00,342.7749939,344.1650085,341.3299866,342.1650085,2899853
2026-08-12 15:30:00,342.1650085,342.5499878,340.8800049,342.4400024,2271533
2026-08-12 16:30:00,342.4649963,343.1700134,341.769989,342.5799866,1675170
2026-08-12 17:30:00,342.5599976,343.6400146,341.0549927,342.8599854,2593778
2026-08-12 18:30:00,342.8399963,344.3900146,342.8399963,343.9500122,2298881
2026-08-12 19:30:00,343.9330139,344.8500061,343.3800049,343.5450134,2525920
2026-08-13 13:30:00,345.6199951,347.9299927,343.7600098,346.2900085,4755458
2026-08-13 14:30:00,346.3200073,347.3699951,344.1199951,344.3800049,2486093
2026-08-13 15:30:00,344.4100037,346.1900024,344.1099854,346.0549927,1496701
2026-08-13 16:30:00,346.0799866,347.2999878,345.355011,345.6799927,1421926
2026-08-13 17:30:00,345.6700134,346.5299988,345.5950012,346.3900146,974915
2026-08-13 18:30:00,346.3699951,346.7000122,345.5799866,346.1700134,1349717
2026-08-13 19:30:00,346.1700134,347.2000122,345.9400024,346.4100037,2170636
