Date,o,h,l,c,v
2024-09-26,22.78000069,22.87999916,22.19000053,22.43000031,9350700
2024-09-27,22.54999924,23.97999954,22.4109993,23.88999939,18021300
2024-09-30,23.96999931,24.12999916,23.07999992,23.42000008,10101300
2024-10-01,23.39999962,23.45999908,22.28000069,22.32999992,11467400
2024-10-02,22.42000008,23.18000031,22.32999992,22.62999916,12009700
2024-10-03,22.4640007,22.70899963,22.04999924,22.43000031,7146000
2024-10-04,23,23.38999939,22.61000061,22.88999939,9715300
2024-10-07,22.75,23.42499924,22.71999931,23.31999969,10007900
2024-10-08,23.46999931,25.79999924,23.44000053,25.61000061,39241500
2024-10-09,25.48999977,25.69000053,24.17000008,25.64999962,22201800
2024-10-10,25.5,25.87000084,24.70499992,25.5,12990200
2024-10-11,25.75,26.64999962,25.69000053,26.27000046,16868900
2024-10-14,26.89999962,27.13999939,26.15999985,27,17233000
2024-10-15,27.13500023,27.32999992,25.90500069,26.79999924,16466500
2024-10-16,27.04000092,27.17200089,26.56500053,26.93000031,12382000
2024-10-17,27.07999992,27.07999992,26.08600044,26.31999969,11588300
2024-10-18,26.54999924,27.04000092,26.42000008,26.82999992,10721200
2024-10-21,26.78000069,27.10499954,26.18000031,26.96999931,10284200
2024-10-22,26.89999962,27.60000038,26.81999969,27.40999985,11978800
2024-10-23,27.11000061,27.38599968,26.28000069,26.70000076,10203200
2024-10-24,26.95000076,27.32999992,26.69000053,27.21999931,7687300
2024-10-25,27.51000023,27.75,26.92000008,27.05999947,8752200
2024-10-28,27.93499947,28.22999954,27.51000023,27.87999916,14670900
2024-10-29,28.25,28.36000061,27.60000038,28.03000069,13257600
2024-10-30,27.91500092,28.57500076,27.54999924,28.20999908,26660900
2024-10-31,26.02000046,26.47999954,23.14999962,23.48999977,45738900
2024-11-01,23.70000076,24.11800003,23,23.96999931,21594100
2024-11-04,23.75,24.55999947,23.54000092,24.31999969,15067200
2024-11-05,24.53499985,25.27499962,24.42000008,24.95999908,12947200
2024-11-06,27.72999954,30.05999947,26.73999977,29.86000061,49591600
2024-11-07,29.05999947,30.04000092,28.67000008,29.36000061,24913000
2024-11-08,29.35000038,30.62999916,29.20999908,30.54000092,22564100
