Date,o,h,l,c,v
2024-09-26,18.54000092,18.95999908,18.37000084,18.45000076,0
2024-09-27,18.44000053,19.54999924,18.37999916,19.54000092,0
2024-09-30,19.56999969,19.98999977,19.11000061,19.21999931,0
2024-10-01,19.32999992,21.59000015,19.32999992,20.88999939,0
2024-10-02,21.28000069,21.79999924,20.52000046,20.59000015,0
2024-10-03,21.17000008,21.79000092,20.67000008,21.62999916,0
2024-10-04,20.90999985,21.38999939,20.38999939,20.64999962,0
2024-10-07,21.23999977,22.79000092,21.10000038,22.59000015,0
2024-10-08,21.81999969,21.97999954,21.31999969,21.52000046,0
2024-10-09,21.56999969,21.56999969,20.75,20.90999985,0
2024-10-10,21.01000023,21.26000023,20.86000061,21.02000046,0
2024-10-11,21.01000023,21.85000038,20.53000069,20.77000046,0
2024-10-14,20.68000031,20.69000053,19.98999977,20.12000084,0
2024-10-15,19.95999908,20.88999939,19.79000092,20.79999924,0
2024-10-16,20.95000076,21.04999924,20.29000092,20.31999969,0
2024-10-17,20.07999992,20.31999969,19.73999977,19.80999947,0
2024-10-18,19.72999954,19.84000015,19.15999985,19.19000053,0
2024-10-21,19.54999924,19.95000076,19.22999954,19.23999977,0
2024-10-22,19.84000015,19.89999962,19,19.17000008,0
2024-10-23,19.39999962,20.81999969,19.28000069,20.04000092,0
2024-10-24,19.79999924,20.77000046,19.76000023,19.85000038,0
2024-10-25,19.5,21.04000092,19.04000092,20.94000053,0
2024-10-28,20.10000038,20.46999931,19.84000015,20.17000008,0
2024-10-29,20.44000053,20.59000015,19.69000053,19.95999908,0
2024-10-30,20.38999939,20.80999947,19.98999977,20.76000023,0
2024-10-31,21.56999969,22.80999947,21.40999985,22.63999939,0
2024-11-01,21.97999954,22.12000084,21.23999977,21.90999985,0
2024-11-04,22.11000061,22.42000008,21.39999962,21.56999969,0
2024-11-05,21.31999969,21.31999969,20.12000084,20.19000053,0
2024-11-06,17.64999962,18.26000023,17.56999969,17.67000008,0
2024-11-07,17.28000069,17.37000084,16.89999962,16.95000076,0
2024-11-08,16.73999977,16.97999954,16.68000031,16.82999992,0
2024-11-11,16.87999916,17.04000092,16.70000076,16.79999924,0
2024-11-12,16.90999985,17.18000031,16.70000076,16.70999908,0
2024-11-13,16.79000092,17.01000023,16.37000084,16.51000023,0
2024-11-14,16.48999977,16.68000031,16.18000031,16.68000031,0
2024-11-15,16.93000031,18.70999908,16.81999969,17.80999947,0
2024-11-18,17.95999908,17.98999977,17,17.19000053,0
2024-11-19,18.21999931,18.26000023,17.28000069,17.69000053,0
2024-11-20,17.80999947,19.65999985,17.70999908,18.26000023,0
2024-11-21,17.62000084,19,17.52000046,18.18000031,0
2024-11-22,17.95999908,18.06999969,17.29999924,17.29999924,0
2024-11-25,17.04999924,17.62000084,16.86000061,16.87000084,0
2024-11-26,16.79999924,16.79999924,16.43000031,16.53000069,0
2024-11-27,16.64999962,17.14999962,16.57999992,16.60000038,0
2024-11-29,16.62999916,16.62999916,16.25,16.26000023,0
2024-12-02,16.52000046,16.75,16.31999969,16.34000015,0
2024-12-03,16.46999931,16.64999962,16.19000053,16.23999977,0
2024-12-04,16.22999954,16.44000053,15.81999969,16.38999939,0
2024-12-05,16.47999954,16.59000015,16.39999962,16.57999992,0
2024-12-06,16.29999924,16.42000008,16.20000076,16.31999969,0
2024-12-09,16.61000061,17.12000084,16.55999947,17.09000015,0
2024-12-10,17.04000092,17.19000053,16.86000061,16.97999954,0
2024-12-11,16.67000008,16.93000031,16.57999992,16.87999916,0
2024-12-12,16.87999916,17.35000038,16.79000092,17.35000038,0
