Date,o,h,l,c,v
2024-09-25,15.81999969,15.81999969,15.17000008,15.40999985,0
2024-09-26,15.06000042,15.82999992,14.89999962,15.36999989,0
2024-09-27,15.64000034,16.96999931,15.19999981,16.95999908,0
2024-09-30,17.01000023,17.79000092,16.46999931,16.72999954,0
2024-10-01,16.95999908,20.72999954,16.61000061,19.26000023,0
2024-10-02,19.64999962,20.36000061,18.57999992,18.89999962,0
2024-10-03,19.62999916,20.75,19.15999985,20.48999977,0
2024-10-04,20.47999954,20.47999954,18.47999954,19.20999908,0
2024-10-07,20.76000023,23.03000069,20.64999962,22.63999939,0
2024-10-08,22.92000008,23.13999939,21.13999939,21.42000008,0
2024-10-09,21.97999954,22.01000023,20.70999908,20.86000061,0
2024-10-10,20.90999985,21.38999939,20.63999939,20.93000031,0
2024-10-11,20.87000084,21.15999985,20.13999939,20.45999908,0
2024-10-14,20.86000061,20.86000061,19.69000053,19.70000076,0
2024-10-15,19.61000061,20.88999939,19.44000053,20.63999939,0
2024-10-16,20.77000046,21.01000023,19.45000076,19.57999992,0
2024-10-17,19.54999924,19.64999962,18.87999916,19.11000061,0
2024-10-18,19.29999924,19.31999969,17.98999977,18.03000069,0
2024-10-21,18.78000069,19.34000015,18.36000061,18.37000084,0
2024-10-22,18.79000092,19.44000053,18.04999924,18.20000076,0
2024-10-23,18.20999908,20.46999931,18.18000031,19.23999977,0
2024-10-24,18.87000084,20.23999977,18.62999916,19.07999992,0
2024-10-25,19.21999931,20.51000023,18.22999954,20.32999992,0
2024-10-28,19.11000061,19.87999916,18.90999985,19.79999924,0
2024-10-29,19.75,20.53000069,19.05999947,19.34000015,0
2024-10-30,19.32999992,20.44000053,19.29999924,20.35000038,0
2024-10-31,21.44000053,23.42000008,21.12000084,23.15999985,0
2024-11-01,22.95999908,23.09000015,21.15999985,21.87999916,0
2024-11-04,22.5,23.06999969,21.72999954,21.97999954,0
2024-11-05,21.97999954,22.05999947,20.20000076,20.48999977,0
2024-11-06,16.05999947,16.81999969,15.43999958,16.27000046,0
2024-11-07,15.85999966,15.85999966,15.13000011,15.19999981,0
2024-11-08,15.13000011,15.32999992,14.65999985,14.93999958,0
2024-11-11,15.32999992,15.56000042,14.89000034,14.97000027,0
2024-11-12,15.09000015,15.36999989,14.68999958,14.71000004,0
2024-11-13,15.09000015,15.26000023,13.77000046,14.02000046,0
2024-11-14,14.17000008,14.31999969,13.59000015,14.31000042,0
2024-11-15,15.02000046,17.54999924,14.56000042,16.13999939,0
2024-11-18,16.60000038,17,15.35000038,15.57999992,0
2024-11-19,15.43999958,17.93000031,15.36999989,16.35000038,0
2024-11-20,16.19000053,18.79000092,16.04000092,17.15999985,0
2024-11-21,17.10000038,17.98999977,15.72999954,16.87000084,0
2024-11-22,16.67000008,17.55999947,15.23999977,15.23999977,0
2024-11-25,15.22999954,15.72000027,14.53999996,14.60000038,0
2024-11-26,14.94999981,15.02999973,13.88000011,14.10000038,0
2024-11-27,14.27999973,15.13000011,13.96000004,14.10000038,0
2024-11-29,14,14.14999962,13.48999977,13.51000023,0
2024-12-02,14.07999992,14.10000038,13.30000019,13.34000015,0
2024-12-03,13.38000011,13.77000046,13.18999958,13.30000019,0
2024-12-04,13.15999985,13.60999966,12.89000034,13.44999981,0
2024-12-05,13.46000004,13.69999981,13.26000023,13.53999996,0
2024-12-06,13.61999989,13.73999977,12.69999981,12.77000046,0
2024-12-09,13.35999966,14.22999954,13.35000038,14.18999958,0
2024-12-10,14.30000019,14.53999996,13.85999966,14.18000031,0
2024-12-11,14.42000008,14.43000031,13.52000046,13.57999992,0
2024-12-12,13.72999954,13.94999981,13.39000034,13.92000008,0
2024-12-13,13.56999969,14.25,13.23999977,13.81000042,0
2024-12-16,14.36999989,14.68999958,13.98999977,14.68999958,0
2024-12-17,14.97999954,15.93999958,14.77999973,15.86999989,0
2024-12-18,15.56999969,28.31999969,14.81999969,27.62000084,0
2024-12-19,21.61000061,24.12000084,20.15999985,24.09000015,0
2024-12-20,24.13999939,26.51000023,17.81999969,18.36000061,0
2024-12-23,18.09000015,20.02000046,16.73999977,16.78000069,0
2024-12-24,16.96999931,17.04000092,14.27000046,14.27000046,0
