Date,o,h,l,c,v
2024-09-26,215.9277205,216.5544773,213.8613791,214.3216553,24974700
2024-09-27,216.2900895,217.9940917,214.9876073,215.7710571,23959600
2024-09-30,214.8798884,217.0049863,214.0572728,216.3194733,21938200
2024-10-01,215.614353,215.7808336,211.8244338,213.3815308,30016000
2024-10-02,212.5001467,214.2237242,211.7362873,213.0877228,14455400
2024-10-03,211.7558809,212.7351894,210.629682,211.657959,21353000
2024-10-04,214.7525506,215.4282758,212.7939336,214.615448,27901500
2024-10-07,214.1160154,214.1356058,211.4033266,212.9310455,14891800
2024-10-08,213.1269256,213.8516043,212.2161608,213.0779572,18118600
2024-10-09,213.0289719,215.0659353,212.4315931,213.5480042,18230700
2024-10-10,211.4326822,212.3924152,210.1595932,212.3630371,24571400
2024-10-11,212.2847076,217.0245572,212.2259515,216.6817932,19950900
2024-10-14,216.8678847,218.4935405,215.8689857,218.2780914,19263300
2024-10-15,217.9646915,220.8340581,217.3868881,218.4543457,25998800
2024-10-16,220.2367046,222.4695269,219.7470503,222.0484314,27656700
2024-10-17,222.2149005,222.2638689,220.2562835,221.4412384,18003600
2024-10-18,221.9700835,222.3324229,220.7263574,220.9809723,20047400
2024-10-21,220.9613674,221.0201235,216.9461968,217.5044098,24243800
2024-10-22,216.8874546,217.2400062,215.7416654,216.6817932,15813900
2024-10-23,215.4772452,216.2313169,212.872281,214.703598,23263500
2024-10-24,215.8689609,216.4663397,214.0082808,215.1736603,18381900
2024-10-25,216.7307801,217.3771273,213.9985157,214.3608551,23807800
2024-10-28,216.2215059,218.356406,215.9179226,217.8569641,19877700
2024-10-29,216.1725774,217.308564,215.4185056,217.151886,20282200
2024-10-30,216.4957386,219.8351693,216.329243,216.858078,19754800
2024-10-31,216.6426099,217.1812325,213.1268962,213.2541962,24078400
2024-11-01,214.9582192,216.3978039,213.8222178,214.4489746,21222200
2024-11-04,213.9788986,217.1518634,213.3325514,215.5359955,20463700
2024-11-05,214.8015292,219.6491034,214.527324,219.5903473,26404600
2024-11-06,231.6946001,232.6641209,227.9340589,232.3115692,75554600
2024-11-07,231.9883946,233.5552942,230.5292195,231.4889526,34970300
2024-11-08,231.0482593,233.5357114,230.7740541,233.1929474,26597800
2024-11-11,235.5432909,237.3745931,234.887156,236.6988678,29207700
2024-11-12,234.9948561,236.7869774,231.6651985,232.5465851,35314300
2024-11-13,234.0057496,234.9165142,229.9710036,230.2452087,25947700
2024-11-14,231.0678607,231.5379247,226.4259475,227.1408386,29272100
2024-11-15,227.4150302,227.483574,223.096276,223.7524109,37930000
2024-11-18,224.4771078,225.8285584,223.4096651,224.1931,29368500
2024-11-19,221.9015107,226.0439964,221.7154397,225.8579254,26009400
2024-11-20,225.4661899,226.1517029,223.3215019,226.1517029,24222700
2024-11-21,227.3562587,230.6957042,226.3279818,229.5890808,28679400
2024-11-22,230.7642729,234.2897898,230.4606896,233.8295135,22693100
2024-11-25,236.4932247,239.911002,236.3952879,237.3843842,33534000
2024-11-26,236.1896305,236.6107409,234.4758405,235.6412201,22581400
2024-11-27,237.0024506,238.6476967,235.464944,235.964386,19472800
2024-11-29,237.3549801,238.4420131,236.5421524,236.8653259,16782700
2024-12-02,237.2276845,237.6389923,235.0438159,236.747818,25274800
2024-12-03,236.5421353,237.1297263,234.4170379,235.063385,21376700
2024-12-04,235.3082608,236.6694991,234.2604084,235.9056396,19903000
2024-12-05,235.5432625,235.8762237,232.8207863,233.1537476,20227000
2024-12-06,234.8283815,234.9263183,233.4475678,233.9861755,20760900
2024-12-09,235.5726618,236.3854896,232.7326582,232.8110046,16684300
2024-12-10,232.6641187,233.8784666,231.0384629,231.8023224,19946500
2024-12-11,233.7707416,234.3387274,231.9296368,232.8501892,23156900
2024-12-12,232.2527924,232.7326439,229.500938,229.8240967,21454500
2024-12-13,229.5205409,230.0004075,227.0820722,228.2474518,23972900
2024-12-16,228.09074,230.7544603,227.5423297,229.5890808,32293500
2024-12-17,228.5322148,229.2885254,226.4499215,226.9606781,33064300
2024-12-18,228.1098861,228.9349441,215.0267597,216.9126129,52267500
2024-12-19,219.2797549,220.4387627,215.4294694,215.9500427,51871700
2024-12-20,214.7124391,220.6646661,214.1918658,217.9733887,53882200
2024-12-23,217.796591,218.4448422,215.4785605,217.4724579,29606800
2024-12-24,218.0716203,219.6529888,216.5589992,219.4172516,13399600
2024-12-26,218.4645152,222.1183604,217.5314128,221.6665344,20024800
2024-12-27,220.301248,221.4308055,216.2839876,218.4350433,26956000
2024-12-30,216.7456306,217.8653564,213.9757889,216.7554474,25706100
2024-12-31,218.1698464,219.3092207,216.2348794,217.0304871,26208300
2025-01-02,218.9654357,220.3798293,215.6946691,217.2072754,29363000
2025-01-03,218.1207356,220.8218299,217.4430041,220.4387512,24525300
2025-01-06,221.7451143,223.1300427,220.153929,220.5271759,23541900
2025-01-07,221.5682937,222.4915792,217.4429894,218.7591553,28835200
2025-01-08,216.9715432,218.3564716,215.1151553,217.7671509,26795900
2025-01-10,214.427583,214.8204784,211.4809349,212.9739075,37379400
2025-01-13,210.6853649,213.6516619,210.1647916,213.3864594,28603800
2025-01-14,215.2821254,216.3134554,213.3569902,215.8125305,25447500
2025-01-15,221.4307908,221.5683004,219.0341812,220.0556793,30124700
2025-01-16,220.1637311,221.2245262,218.7493525,220.4976959,21029800
2025-01-17,222.8942986,222.9335957,220.6744956,221.4504547,26754900
2025-01-21,223.4738104,225.8016578,222.9532371,225.7034302,26086300
2025-01-22,225.2712795,225.7623876,223.7783068,224.2301178,21307300
2025-01-23,222.8942898,225.2712659,222.5210579,225.2516174,20850700
2025-01-24,224.750694,226.1356073,223.9845516,224.6230011,19074500
2025-01-27,222.6782263,225.5364639,221.2049021,222.4719543,27461700
2025-01-28,222.7076973,223.5131067,221.1754275,222.717514,16847400
2025-01-29,222.6487356,224.1613567,220.5860908,222.2067413,20280500
2025-01-30,224.4560188,225.9588082,222.8844671,224.4658356,25575100
2025-01-31,224.6819358,226.2240223,221.5290155,222.452301,35330700
2025-02-03,217.5706929,221.5388545,216.7456349,219.8494415,34023300
2025-02-04,219.6235057,223.090727,219.2404421,222.8942719,17985500
2025-02-05,224.0041924,225.4185859,222.8550014,225.3203583,15197300
2025-02-06,226.4106323,226.5972558,223.2577269,224.5837097,18809400
2025-02-07,224.7801722,225.1730527,221.5683212,221.9808502,28914400
2025-02-10,223.3264632,223.4738046,221.8433223,222.9826965,14574700
2025-02-11,221.0477228,222.393354,220.8119856,221.6861572,18215700
2025-02-12,218.3073586,220.4878797,217.8457158,219.6431732,25572800
2025-02-13,221.0379187,222.3148027,219.7708664,222.1183624,21419400
2025-02-14,223.2282695,223.9256346,221.5977871,221.9513855,13574500
2025-02-18,222.1281499,223.6211225,221.4995323,223.1693115,15166500
2025-02-19,221.4013334,223.1103798,221.0772002,222.403183,16194800
2025-02-20,221.9906524,222.1674591,219.0440042,220.2717743,18507700
2025-02-21,221.9808352,222.3344335,213.5927164,213.9266663,45036900
2025-02-24,214.8990533,214.8990533,211.3237873,212.3845825,30246200
2025-02-25,212.5220816,213.406085,209.6933096,211.5791626,33665100
2025-02-26,212.2176225,214.5258365,211.0193176,211.8443756,25464200
2025-02-27,211.805087,212.6399767,208.4459096,208.6128845,29378500
2025-02-28,207.8762072,210.8425039,207.2083074,210.8326721,32015400
2025-03-03,211.5693435,212.1193971,203.7312631,205.0670776,36330000
2025-03-04,202.2677779,206.0394995,199.576515,202.7490692,56427100
2025-03-05,202.778538,205.1260342,201.1775358,204.762619,35778500
2025-03-06,202.1204263,204.4188083,200.2738552,201.6293182,39206300
2025-03-07,201.3248469,203.4267889,198.1424612,202.2874146,43514000
2025-03-10,199.822039,201.0989229,195.2154433,197.1995239,39442800
2025-03-11,197.543301,199.6059609,194.9993649,197.1798859,51509700
2025-03-12,199.4389848,200.1265331,196.0012284,197.5236664,36881700
2025-03-13,197.6906343,198.4371131,193.4965674,194.5770111,31336900
2025-03-14,196.6789631,199.4586365,195.7949596,199.2818298,34089400
2025-03-17,199.1050627,202.3561961,198.9970184,201.7963257,26947600
2025-03-18,200.6740805,200.7429821,199.1974501,200.0440521,22888000
2025-03-19,200.1818471,204.4443732,199.738846,203.1547852,31595600
2025-03-20,201.1367577,204.0703259,201.0186171,201.8652191,25665900
2025-03-21,199.5616836,201.2351951,198.6166335,200.6150055,39470200
2025-03-24,203.7356104,205.9702335,203.4698128,205.6060028,25774700
2025-03-25,205.4386469,206.0096124,203.8635686,204.4640656,17836900
2025-03-26,204.7200337,205.5666357,201.4911216,202.3869476,19344600
2025-03-27,202.1310097,203.1351226,200.5854627,201.422226,23960000
2025-03-28,201.3532858,201.392671,196.2736894,197.3270111,26656200
2025-03-31,194.4032943,197.5140657,192.4443078,196.3819885,32250800
2025-04-01,195.8897847,198.0948763,193.5960838,196.4016724,26054100
2025-04-02,193.7141986,200.1621537,193.4779324,199.502594,36603000
2025-04-03,190.101398,192.0210145,186.2523111,186.6952972,60551500
2025-04-04,179.7649708,181.1825383,173.9175125,178.3670959,92612800
2025-04-07,171.6041414,187.2859485,169.0544816,176.752655,96706200
2025-04-08,182.7969866,183.023399,169.6549711,172.096344,61090600
2025-04-09,170.0290642,189.116972,169.0643366,186.724823,123015100
2025-04-10,181.6452316,182.5902666,174.2226944,178.8790131,67503000
2025-04-11,178.3178823,181.970088,175.7977689,181.4877167,44954400
2025-04-14,184.883958,185.0414689,180.1981232,183.6239014,35214600
2025-04-15,183.4368414,186.1046265,182.9446313,183.850296,30715500
2025-04-16,182.8068489,183.8208007,179.7157698,182.0882263,35063300
2025-04-17,182.1079152,184.509888,181.5861736,183.5746918,42359200
2025-04-21,182.1177594,182.4032347,177.9536656,179.8929749,26019000
2025-04-22,182.2654084,185.1694602,181.6747652,184.5492706,34477100
2025-04-23,189.9143345,192.4639791,186.8823186,187.2859344,44866100
2025-04-24,187.7879858,191.3417432,186.931545,191.0365753,29820100
2025-04-25,189.7174598,191.2334603,188.56569,191.0956421,25029000
2025-04-28,191.4697153,193.0940025,189.5304064,191.9028625,22482300
2025-04-29,191.4402019,193.7929657,190.0029418,193.0349579,20118200
2025-04-30,190.1309232,192.4344629,187.748628,191.8241272,29046100
2025-05-01,192.6608974,194.5903527,190.7215883,193.0152893,33169700
2025-05-02,195.2400699,198.075205,195.0923978,197.3565674,30201800
2025-05-05,195.4763302,197.3762541,194.9939589,195.8405609,20834200
2025-05-06,193.5271728,195.4960133,192.5919765,193.7043762,24642100
2025-05-07,195.0136365,195.4664614,192.9857184,194.344223,23623300
2025-05-08,196.6576483,199.5813778,195.1711641,198.0456696,32646300
2025-05-09,198.4000343,199.1285106,196.8446636,197.6814117,17203000
2025-05-12,205.5863128,206.4624461,202.6133745,204.631424,38207200
2025-05-13,205.6749222,206.3443358,204.7200484,205.3796082,28295800
2025-05-14,204.7987901,205.2910002,203.3123208,203.5584259,26316100
2025-05-15,203.3615358,204.9464529,202.1900733,204.8873901,21563700
2025-05-16,205.1728681,206.8562334,204.5428398,206.5805969,28906400
2025-05-19,203.5780893,205.8324048,203.046494,205.7142792,25859600
2025-05-20,205.4091161,206.4919693,204.720025,205.8225708,22053100
2025-05-21,203.4107677,204.3754954,199.6798064,200.0440521,36704400
2025-05-22,199.1383689,201.1859649,198.3902149,200.0341949,31831300
2025-05-23,196.6674725,200.0932507,196.5394931,199.4041595,29114600
