Date,o,h,l,c,v
2024-09-26,571.9851174,573.6442985,558.6921434,564.1464844,14400800
2024-09-27,566.3917848,567.1270224,560.8381787,563.6696167,9398400
2024-09-30,564.0073939,570.9419729,561.1262327,568.7165527,12792300
2024-10-01,574.2205249,579.2476098,566.3917753,572.7203369,15259300
2024-10-02,571.1207599,572.2533592,565.6367065,569.0841064,6524700
2024-10-03,566.4415219,579.5655596,565.0307146,578.9794312,11581000
2024-10-04,579.9331186,592.9677749,577.6480911,592.0637207,14169500
2024-10-07,594.3289019,599.0281773,580.2411417,580.9763794,12014200
2024-10-08,585.8543109,589.6991332,582.1584764,589.0335083,7857400
2024-10-09,590.1263511,590.5237735,577.8268726,586.6690063,9529700
2024-10-10,583.7480726,586.3907436,578.7309332,580.0324097,7740400
2024-10-11,581.0260999,587.3646072,578.9198939,586.112793,8587100
2024-10-14,590.354922,596.1966809,586.1226817,586.5796509,8252000
2024-10-15,586.3213167,586.7684018,576.3665324,582.456665,9564200
2024-10-16,577.618268,578.2938376,570.2962116,573.038208,11268400
2024-10-17,579.5357021,581.1649885,571.4585795,573.1773071,8701200
2024-10-18,577.3202261,580.1715534,571.5083015,572.7203369,7694300
2024-10-21,572.2832812,573.485372,565.4082482,571.4188843,8171900
2024-10-22,570.5545479,579.7344979,568.3986795,578.2243652,8544500
2024-10-23,576.1975115,581.1948225,558.8411755,560.0234375,14248400
2024-10-24,563.4411177,565.1797349,557.8676224,564.0869141,7184700
2024-10-25,570.1968098,577.5089215,568.0011632,569.5212402,11337900
2024-10-28,578.2142797,579.9528965,570.3855317,574.399231,10925100
2024-10-29,576.3764798,589.8084987,571.6573759,589.4210815,13019100
2024-10-30,597.070842,597.2894425,585.5463197,587.9505615,26864900
2024-10-31,581.1948579,586.0630101,559.347902,563.8881836,26838400
2024-11-01,563.9180324,569.9386134,558.9008917,563.4709473,15303200
2024-11-04,560.4307575,564.9909283,554.2611896,557.03302,12064600
2024-11-05,563.6099674,569.7497621,562.9840604,568.706604,9775400
2024-11-06,559.0896654,569.2729956,551.5589515,568.3291626,18305400
2024-11-07,573.1375924,590.9310689,571.4685274,587.8512573,14653700
2024-11-08,587.6922944,589.2421449,580.7179973,585.5066528,9415700
2024-11-11,582.5459618,583.1818134,572.7600561,579.376709,10209100
2024-11-12,584.7118264,595.7594917,576.6049298,581.0160522,16287700
2024-11-13,578.8203645,581.8306848,571.428756,576.227356,10757600
2024-11-14,573.2468902,576.9824429,569.2828529,573.4058228,11053700
2024-11-15,567.5044173,568.8456725,547.912717,550.4759521,17712900
2024-11-18,553.4167274,556.2581707,546.511982,550.7939453,14327300
2024-11-19,548.2704248,557.7781842,547.0186107,557.4404297,9522400
2024-11-20,559.2683729,562.6661103,550.5951772,561.8415527,9797300
2024-11-21,565.8155982,566.2924567,545.478713,559.4274292,11154700
2024-11-22,559.8844015,560.1626093,550.9827202,555.5031128,9164000
2024-11-25,558.4438338,568.8656532,552.7710129,561.4342651,13599800
2024-11-26,562.3183927,573.7435898,561.5236085,569.8093262,10356600
2024-11-27,571.1506728,571.2400534,560.430817,565.4976807,7200200
2024-11-29,565.2989472,574.6974366,563.2126309,570.5843506,7130500
2024-12-02,573.7436354,590.6330584,571.8261964,588.973938,12522400
2024-12-03,591.129853,610.2049798,587.4042447,609.6585693,14907200
2024-12-04,608.9729852,613.7616404,601.1640649,609.7876587,14697000
2024-12-05,613.0663131,615.8679781,603.1015226,604.9692993,8081200
2024-12-06,606.1316401,625.6935708,604.5719053,619.7127686,16935500
2024-12-09,619.8617568,622.3256671,602.2272099,609.5791016,11426000
2024-12-10,613.5431251,621.5209237,608.7544691,615.291687,10938900
2024-12-11,619.3153171,634.2475844,617.4873193,628.5647583,10837200
2024-12-12,627.3923543,632.5187639,623.1302808,626.6869507,7474700
2024-12-13,623.1401276,626.9750657,612.8773642,616.3148193,8453300
2024-12-16,626.3871865,627.5505577,615.0522375,620.6799316,10885600
2024-12-17,622.5988248,628.7634772,613.0237415,615.9072266,12897800
2024-12-18,617.4583234,623.7820366,592.9190853,593.7841187,17075500
2024-12-19,606.9088879,608.0324483,591.6066444,592.1734009,14958100
2024-12-20,587.2118506,599.6703586,576.692173,581.9122314,48989400
2024-12-23,586.2373521,597.661873,582.9064822,596.428894,10205800
2024-12-24,599.2825325,604.522496,595.8622098,604.2838745,4726100
2024-12-26,602.0268538,602.8421845,595.5241741,599.9089966,6081400
2024-12-27,595.9915392,598.4176263,586.4363595,596.3892822,8084200
2024-12-30,585.3922526,593.535546,582.2403487,587.868042,7025900
2024-12-31,588.8922947,590.5825511,580.5202704,582.1708374,6019500
2025-01-02,586.3567231,601.460095,584.4675954,595.8224487,12682300
2025-01-03,601.3110262,606.0239839,593.0086103,601.1817627,11436800
2025-01-06,608.3406675,627.3913687,602.1660621,626.605896,14560800
2025-01-07,628.0974506,628.495133,604.7612676,614.3662109,12071500
2025-01-08,609.9017074,612.924348,599.3521718,607.2369385,10085800
2025-01-10,606.5509492,626.3175151,593.9333195,612.3476562,19256600
2025-01-13,603.6375694,605.4968995,595.0369384,604.8605957,10785000
2025-01-14,601.6191379,602.0367255,585.1933363,590.8608398,13598000
2025-01-15,606.7298994,618.9100357,603.0410362,613.6004639,15524300
2025-01-16,608.0125312,612.7354413,606.2327616,607.8136597,8355300
2025-01-17,620.4909049,621.4056409,600.2271313,609.2752686,17280600
2025-01-21,614.3065791,617.9556324,605.5368716,612.944397,11674000
2025-01-22,619.7452203,630.0859319,615.8972963,619.9440918,12274000
2025-01-23,623.7820663,632.9693596,617.6075216,632.8202515,9910200
2025-01-24,632.7705834,648.2815911,630.583118,643.7973022,19065300
2025-01-27,623.0363032,660.0838117,621.5349053,656.1165771,28399200
2025-01-28,662.201803,678.6872642,655.7090144,670.484314,20950100
2025-01-29,671.1503434,677.1658269,661.8735372,672.6318359,21377800
2025-01-30,692.846035,706.7363348,672.2441698,683.0820312,29322900
2025-01-31,687.0592005,701.2776349,681.670128,685.2495728,19303900
2025-02-03,672.0551542,699.9849793,671.398945,693.4822998,21415700
2025-02-04,698.493586,703.6738948,687.665678,700.1739502,13826300
2025-02-05,699.5375575,714.0443756,695.0234715,700.8500366,17778200
2025-02-06,701.8542433,714.8000073,699.487812,707.9293823,13080700
2025-02-07,712.7119726,720.8751716,707.6907856,710.4450073,16427100
2025-02-10,714.4620125,717.0869711,707.273265,713.3086548,12904300
2025-02-11,709.2519213,719.532918,705.9905982,715.6949463,12998000
2025-02-12,711.2205129,722.9532034,708.5358993,721.243042,12016500
2025-02-13,717.4051397,724.8424613,713.9449451,724.4049683,12569100
2025-02-14,721.9987139,736.6844368,721.4816601,732.4686279,16901200
2025-02-18,731.8025384,732.7968353,702.4111237,712.2844849,21938700
2025-02-19,700.0844219,702.9679072,691.4241348,699.7563477,17535500
2025-02-20,693.3032838,701.6056376,689.684029,690.8771973,12587400
2025-02-21,692.6073908,699.8557938,678.4684566,679.6516724,15660400
2025-02-24,682.3661554,683.3504997,658.6720416,664.3196411,15677000
2025-02-25,662.1718483,664.1903001,638.1993657,653.7501831,20579700
2025-02-26,655.8879895,679.114751,654.2473753,669.8578491,14488700
2025-02-27,678.5578477,684.7224999,653.819739,654.4859009,12500000
2025-02-28,654.2871905,665.8111197,638.9352421,664.3892822,17534200
2025-03-03,669.8380289,677.3648648,647.1283183,651.31427,10843800
2025-03-04,641.8285609,646.0443697,620.0932466,636.3499756,21495200
2025-03-05,637.3443895,655.7388844,634.0234107,652.7261353,13770000
2025-03-06,644.304361,646.8497586,620.5505947,624.3488159,13446500
2025-03-07,621.8034116,631.1696709,597.1846121,622.0917358,21375700
2025-03-10,604.6020575,606.6304011,583.5229533,594.5795288,21999900
2025-03-11,591.656316,611.4229418,589.9461546,602.2555542,17401500
2025-03-12,626.3076684,629.7180996,605.8748177,616.0266113,15747000
2025-03-13,616.7126625,616.9612368,583.1650943,587.2715454,16480300
2025-03-14,599.8954428,605.9262408,591.9141279,604.6723022,12364500
2025-03-17,604.5328913,610.1456681,595.1184538,601.9852295,15473900
2025-03-18,597.1586575,597.357706,571.8909842,579.553894,20297700
2025-03-19,581.464638,589.4658749,572.0004528,581.2456665,20537500
2025-03-20,579.9519524,607.2597338,576.7176127,583.1763306,24336500
2025-03-21,580.6086981,594.6606542,578.1506293,593.3768921,25015900
2025-03-24,612.0067329,619.5402641,609.2501215,615.868042,15741300
2025-03-25,623.7399581,630.8256454,618.1868284,623.2921143,15312500
2025-03-26,621.8789578,623.7299808,603.6870116,608.0359497,12609800
2025-03-27,599.0992304,611.2902031,597.2083613,599.6764526,10436500
2025-03-28,597.417435,598.8504989,571.1545793,573.9609985,17602800
2025-03-31,560.7848045,575.9115763,550.6339405,573.5828247,21124700
2025-04-01,568.0894065,587.0674633,567.2534273,583.1763306,12836600
2025-04-02,572.1397763,589.8042482,570.5972571,581.116333,13470800
2025-04-03,543.5879743,549.8974513,527.7447028,529.0583496,34777500
2025-04-04,504.1787896,515.5039587,491.8186538,502.2979126,38589800
2025-04-07,482.7625534,536.7710427,479.5779605,513.7624512,36606100
2025-04-08,540.6323266,544.7921778,500.436933,507.990387,28034200
2025-04-09,506.8160386,585.0572285,499.6905358,582.9474487,39216600
2025-04-10,572.7169644,578.4989662,532.7206194,543.6576538,28173500
2025-04-11,532.9296453,544.7623677,526.0430065,540.9508057,17642300
2025-04-14,553.4900383,555.082365,525.7344744,528.9190063,14130900
2025-04-15,529.545956,535.3478805,515.0063704,519.007019,15558700
2025-04-16,506.0597245,510.8962917,493.2417827,499.8895874,18735100
2025-04-17,502.8154217,504.8555315,495.6103178,499.0635986,14593500
2025-04-21,488.9624893,491.1220464,477.4880483,482.324646,16166000
2025-04-22,489.499905,504.4375885,484.0164453,497.8693848,17399400
2025-04-23,525.9832698,532.7604529,514.0311312,517.7630615,18173900
2025-04-24,516.230434,531.3273797,515.0063803,530.5809937,13910000
2025-04-25,544.1652897,547.210543,533.6661359,544.6330566,17098900
2025-04-28,552.9625979,555.7988405,537.9851302,547.0910034,15179000
2025-04-29,543.3690983,553.8881741,541.4981523,551.7684326,11835000
2025-04-30,535.8057751,546.4541692,526.9486349,546.3546753,29244000
2025-05-01,589.2270711,590.0928741,567.7510376,569.4528198,31159000
2025-05-02,580.6487108,601.4281086,575.543424,594.1433716,24739300
2025-05-05,588.3711865,600.3034639,585.2164781,596.3824463,13887700
2025-05-06,589.6750436,593.1581796,583.7537004,584.4801636,10600700
2025-05-07,587.5153324,600.1740725,583.8431102,593.9342651,13139100
2025-05-08,603.3686118,608.3544812,593.7452231,595.12854,14622800
