Date,o,h,l,c,v
2024-09-26,428.3237845,428.5305103,422.4564786,424.6025696,14492000
2024-09-27,424.8092788,425.1341637,420.8222737,421.3637085,14896100
2024-09-30,421.5507518,423.7264049,418.7549212,423.6082458,16807300
2024-10-01,421.7870673,421.8165996,412.2969672,414.1477356,19092900
2024-10-02,416.0083244,416.2446125,410.2296152,410.6430969,16582300
2024-10-03,411.1353013,413.0254259,407.8472464,410.0622559,13686400
2024-10-04,411.7358126,413.2223398,408.5166762,409.5897217,19169700
2024-10-07,409.530673,410.6233967,402.6395319,403.1711426,20919800
2024-10-08,404.5099645,409.19595,401.8224388,408.2607117,19229300
2024-10-09,409.3928022,413.8425293,407.8570647,410.967926,14974300
2024-10-10,408.7726391,410.8596656,406.7249691,409.3731384,13848400
2024-10-11,409.6684791,410.6430736,406.823408,409.8456726,14144900
2024-10-14,411.2730759,417.4455877,411.0269637,412.6217957,16653100
2024-10-15,415.6145332,415.9098858,408.8021652,412.2280273,18900200
2024-10-16,408.7135345,409.8850007,404.0964682,409.6487427,15508900
2024-10-17,415.7917157,415.9295529,409.1270091,410.2394409,14820000
2024-10-18,410.6529471,413.1238929,409.7866274,411.657074,17145300
2024-10-21,409.6487884,412.4446191,407.3156498,412.2674255,14206100
2024-10-22,411.9819175,423.8838984,411.5389336,420.8616638,25482200
2024-10-23,424.1595151,424.376095,415.9590714,417.9968872,19654400
2024-10-24,418.7155231,419.3554387,415.8310958,418.1248779,13581600
2024-10-25,420.1233312,425.7937352,419.9362835,421.4916992,16899100
2024-10-28,424.9471252,425.2227696,419.6704646,419.9559631,14882400
2024-10-29,421.344051,426.4336641,419.1782519,425.2326355,17644100
2024-10-30,430.6372664,431.6807797,425.3803136,425.8036194,29749100
2024-10-31,408.9005935,409.6881704,399.9814907,400.0307312,53971000
2024-11-01,402.6494148,409.0384779,401.1628875,403.9882507,24230400
2024-11-04,403.4270678,404.0374513,399.262869,402.1079102,19672300
2024-11-05,402.0193059,408.4477547,401.7338074,405.0612488,17626000
2024-11-06,406.0062988,413.9114197,404.1358224,413.6455994,26681800
2024-11-07,414.7285393,420.2119257,413.3503172,418.8139954,19901800
2024-11-08,418.7057298,419.8673721,415.220773,415.9689636,16891400
2024-11-11,415.9492425,418.2036384,409.530648,411.5093994,24503300
2024-11-12,411.7456911,417.8394313,410.712032,416.451355,19401200
2024-11-13,415.0829506,422.6533332,411.7062688,418.5875854,21502200
2024-11-14,418.3906898,421.5114054,413.4684464,420.2513123,30246900
2024-11-15,413.2912226,416.2248602,407.2073374,408.5461731,28247600
2024-11-18,408.4182598,411.8933627,405.6913475,409.2944336,24727000
2024-11-19,406.6856038,411.440508,405.1498661,411.2928467,18133500
2024-11-20,410.387139,410.8006207,404.1949481,409.028595,19191700
2024-11-21,413.8028423,414.0790385,404.7179302,407.2628784,20780200
2024-11-22,405.7832473,411.7313536,405.4774597,411.336792,24814600
2024-11-25,412.6980731,415.3613869,409.2160145,413.1025085,27691100
2024-11-26,413.8916059,423.2132789,413.1616654,422.1775208,23458900
2024-11-27,419.3366568,421.4278908,416.288625,417.2454529,18332400
2024-11-29,414.3848177,419.1097739,412.1259094,417.7090454,16271900
2024-12-02,415.8447449,427.1195091,415.5882663,425.1269531,20207200
2024-12-03,424.0023875,426.5966745,421.9309013,425.3439331,18302000
2024-12-04,427.1490975,433.6989353,426.7545359,431.4794922,26009400
2024-12-05,431.9726739,438.6211291,430.2464404,436.6088257,21697800
2024-12-06,436.2931879,440.0415988,435.7703869,437.5459595,18821000
2024-12-09,436.5891705,442.2413336,434.517684,439.9627075,19144400
2024-12-10,438.3548361,443.5137892,435.6027182,437.3092041,18469500
2024-12-11,438.0194812,444.2339409,438.0194812,442.892395,19200200
2024-12-12,443.0107197,449.9649932,443.0107197,443.4546204,20834800
2024-12-13,442.3498329,445.2992168,439.5286584,441.1957092,20177800
2024-12-16,441.1957234,446.0390455,439.2327588,445.4570618,23598800
2024-12-17,444.8849576,449.1068308,443.4645114,448.2880859,22733500
2024-12-18,445.1907333,446.5026576,431.0849203,431.4499207,24444500
2024-12-19,435.6224173,437.1612288,430.3944079,431.0947571,22963700
2024-12-20,427.2279701,437.7136101,422.8088317,430.6705933,64263700
2024-12-23,430.8087137,431.7063588,426.951811,429.3389587,19152500
2024-12-24,428.7470908,433.6298778,428.2933465,433.3635254,7164500
2024-12-26,433.1169536,434.9517091,430.7002445,432.1601257,8194200
2024-12-27,428.6977777,429.3093528,420.5598195,424.6830444,18117700
2024-12-30,420.2737618,421.7435167,416.1702543,419.0604553,13158700
2024-12-31,420.3131993,420.9346482,414.9470768,415.7756653,13246500
2025-01-02,419.750919,420.2835937,409.2159702,412.8952942,16896500
2025-01-03,415.361395,418.2713438,413.8423311,417.6005859,16662900
2025-01-06,422.1874161,428.4215926,419.7016505,422.0394592,20573600
2025-01-07,423.1738139,424.8013994,415.0851648,416.6338501,18139100
2025-01-08,417.7090613,421.1714023,415.8151533,418.7941284,15054600
2025-01-10,418.8631685,418.9420688,409.3836648,413.2603149,20201100
2025-01-13,409.6007015,412.8164377,406.6907829,411.524231,17604800
2025-01-14,412.1357932,414.039575,405.1420849,410.0248718,16935900
2025-01-15,413.4379028,422.3353935,412.5895666,420.5203857,19637800
2025-01-16,422.8779151,423.6571646,418.6264508,418.8138428,15300000
2025-01-17,428.1946781,428.579396,422.3550937,423.2033997,26197500
2025-01-21,424.3575889,425.0480643,419.8200542,422.6806641,26085700
2025-01-22,431.6175525,441.1956739,430.0787411,440.1402283,27803800
2025-01-23,435.9972846,440.6827757,435.504075,440.6433105,18389300
2025-01-24,439.1143946,440.5841496,435.4054486,438.0293274,15549500
2025-01-27,418.2516445,429.2896785,417.748561,428.6583557,35647800
2025-01-28,428.6977905,442.2906459,425.5215195,441.1266785,23491700
2025-01-29,440.6236185,440.8110406,434.419033,436.3228149,23581400
2025-01-30,413.0827896,417.1172409,407.5489919,409.354126,54586300
2025-01-31,413.2899333,414.9767017,409.2751999,409.4231567,34161900
2025-02-03,406.0101438,409.7683985,403.110069,405.339386,25679100
2025-02-04,407.0853147,408.298621,404.1753662,406.7696533,20532100
2025-02-05,406.7499182,408.2097992,404.8263889,407.6771545,16316700
2025-02-06,408.377531,412.5205035,408.377531,410.172821,16309800
2025-02-07,410.8239154,412.9644284,402.5577169,404.1853027,22886800
2025-02-10,408.0914896,409.8177233,405.3394017,406.6217346,20817900
2025-02-11,404.0767829,406.8880536,403.7413739,405.8523254,18140600
2025-02-12,401.6797907,405.1717234,398.8783635,403.4849548,19121700
2025-02-13,401.4726365,405.4183135,400.8413137,404.9645691,23891700
2025-02-14,402.2519166,403.3567013,400.3678522,402.8832092,22758500
2025-02-18,402.4590099,405.0237057,400.9793812,404.0767517,21423100
2025-02-19,402.3406723,409.847308,402.113785,409.137085,24114200
2025-02-20,410.4714773,414.4448231,407.753385,411.3017273,23508700
2025-02-21,412.4976421,413.1993956,403.1573076,403.4735718,27524800
2025-02-24,403.7701197,404.6201267,394.6867477,399.312439,26443700
2025-02-25,396.4460552,397.256548,392.0971143,393.2831726,29387400
2025-02-26,393.3919358,398.9170719,389.6755531,395.09198,19619000
2025-02-27,396.614075,401.032211,387.6196859,387.9754944,21127400
2025-02-28,388.1039822,393.0163166,382.0846478,392.383728,32845700
2025-03-03,394.1925506,394.1925506,381.6794393,383.9823914,23007700
2025-03-04,378.9514121,388.0248895,376.5792653,384.1009521,29342900
2025-03-05,384.8225036,397.0094561,384.2986543,396.3669739,23433100
2025-03-06,389.7051802,397.48386,388.1237389,392.2849121,23304600
2025-03-07,387.767926,390.2191314,381.0665955,388.7464294,22034100
2025-03-10,381.3631424,381.9166424,372.843164,375.749054,32840100
2025-03-11,374.6024872,381.5212667,372.536741,376.035675,30380200
2025-03-12,378.5066729,380.7503234,374.5530846,378.822937,24253600
2025-03-13,378.7142303,380.8491716,373.0704914,374.3751526,20473000
2025-03-14,375.3734494,385.7022111,375.106593,384.0515747,19952800
2025-03-17,382.2131777,388.1534239,381.0962841,384.1899719,22474300
2025-03-18,382.5788964,382.8754035,376.6781641,379.0700684,19486900
2025-03-19,381.0567222,385.158564,379.5444759,383.3201599,19185500
2025-03-20,381.2642891,387.2441097,378.8328407,382.351532,18470500
2025-03-21,378.7735544,387.1946872,378.3584143,386.7202759,39675900
2025-03-24,390.8122231,390.8122231,385.2870867,388.5191345,21004500
2025-03-25,389.3494094,391.7610707,388.0842623,390.5750122,15775000
2025-03-26,390.4168263,390.7232269,384.0614406,385.4451904,16108400
2025-03-27,385.6033961,387.6888997,382.9050609,386.0481567,13766800
2025-03-28,383.5771397,384.6149748,372.5565179,374.4048157,21632000
2025-03-31,368.2174556,372.6948932,362.978933,371.0343933,35184700
2025-04-01,370.3029705,378.4078389,368.8994635,377.7554932,19689500
2025-04-02,373.5844862,380.6119757,372.2501439,377.7061157,16092600
2025-04-03,370.4413834,373.1001742,365.0645004,368.7808533,30198000
2025-04-04,359.9049959,370.2436198,355.308956,355.6647644,49209900
2025-04-07,346.8087415,366.6952841,340.7894074,353.7077332,50425000
2025-04-08,363.9870962,369.3145404,346.1860562,350.4460449,35868900
2025-04-09,349.4379133,388.667396,349.0030162,385.9591675,50199700
2025-04-10,377.6269548,379.4456017,363.532404,376.9252014,38024400
2025-04-11,376.223492,385.5242823,374.4937971,383.9428711,23839200
2025-04-14,388.6575041,390.0709047,379.7520367,383.3102722,19251200
2025-04-15,384.0021678,387.3429548,379.7026344,381.254425,17199900
2025-04-16,376.2531229,377.1821884,363.7301189,367.2982178,21967800
2025-04-17,369.4133964,369.9767899,362.6330071,363.5126648,21120200
2025-04-21,358.6102368,360.2509796,351.5432037,354.9531555,20807300
2025-04-22,359.1637542,363.5028019,355.684577,362.5638428,19485000
2025-04-23,371.6966268,375.9764034,368.6918911,370.0460205,20545500
2025-04-24,371.3408007,383.9428637,370.8367085,382.8061829,22232300
2025-04-25,382.509704,387.609837,380.1375568,387.3034363,18973200
2025-04-28,387.4121351,388.1830837,382.1538852,386.6214294,16579400
2025-04-29,386.7597586,390.5156855,385.8504502,389.4679871,14974000
2025-04-30,385.7713872,392.0576086,379.9793945,390.6738586,36461100
2025-05-01,426.1078502,431.9196299,419.9699128,420.4641113,58938100
2025-05-02,426.7305277,434.341197,425.0008329,430.2294617,30757400
2025-05-05,427.847433,434.4005103,427.0962415,431.1091614,20136100
2025-05-06,427.1852423,432.6510771,426.1671945,428.2823486,15104200
2025-05-07,428.8062044,433.0365428,426.1078693,428.3218994,23295300
2025-05-08,432.8487322,438.522152,430.6050817,433.085968,23491300
2025-05-09,434.8946882,435.6260923,430.8224973,433.6394348,15324200
2025-05-12,440.7658166,444.1560115,434.6772866,444.0473022,22821900
2025-05-13,442.5844447,445.4409268,440.1925105,443.9286804,23618800
2025-05-14,442.9403066,448.6334536,442.9403066,447.6846008,19902800
2025-05-15,446.3576954,451.7246558,446.021027,448.6946106,21992300
2025-05-16,447.6251543,449.9125407,444.3376746,449.8234253,23849800
2025-05-19,446.4666365,455.0913716,446.3874026,454.378418,21336500
2025-05-20,451.1305093,453.8535913,449.8729514,453.6852722,15441800
2025-05-21,450.1205296,453.2991006,447.3875357,448.1401062,19216900
2025-05-22,450.49683,455.74494,449.4570895,450.4076843,18025600
2025-05-23,445.5754438,449.2491205,444.5159101,445.773468,16883500
2025-05-27,452.0118205,456.4380677,451.6553286,456.180603,20974300
2025-05-28,456.7054113,457.9926744,452.457395,452.8831787,17086300
2025-05-29,457.0321797,457.200529,450.8532686,454.1902771,13974800
2025-05-30,455.2201011,457.1609074,451.0810236,455.8538208,34770500
2025-06-02,452.6653503,457.586673,452.4177974,457.4480591,16626500
2025-06-03,456.952976,459.5968544,456.3489311,458.4382935,15743800
2025-06-04,459.4582306,461.1316908,458.4878123,459.3294983,14162700
2025-06-05,460.408796,465.052891,459.4879064,463.1021729,20131700
2025-06-06,465.488587,468.7067748,464.1914122,465.7757568,15285600
2025-06-09,465.1024251,468.7958953,464.0329796,468.1225586,16469900
2025-06-10,466.5778016,468.1720277,462.3891957,466.3104553,15375900
2025-06-11,465.4192791,470.8159448,465.0628174,467.9938354,16399200
2025-06-12,470.3703268,475.7174939,468.8850093,474.1826477,18950600
2025-06-13,471.7467321,474.4896074,468.1324656,470.3109131,16814500
2025-06-16,470.5584576,475.9848281,470.3505216,474.4500122,15626100
2025-06-17,470.7466359,474.0539394,469.4395492,473.3608093,15414100
2025-06-18,473.3211507,476.2917856,469.8157932,475.5392151,17526500
2025-06-20,477.5097901,478.7277312,472.2022398,472.7270508,37576200
2025-06-23,473.5291017,482.9757293,467.8849135,481.2428589,24864000
2025-06-24,484.1639727,487.0355803,482.0349936,485.3125916,22305600
2025-06-25,487.2237477,489.7190702,484.5996929,487.4514771,17495100
2025-06-26,488.1545329,493.1650013,487.9861836,492.58078,21578900
2025-06-27,492.6797669,494.4126372,488.2040214,491.0855408,34539200
2025-06-30,492.1748252,495.8584139,490.4815415,492.5411987,28369000
2025-07-01,491.6103607,493.1748817,486.1741086,487.2336121,19945400
2025-07-02,485.1938116,488.6694643,483.9164603,486.2830505,16319600
2025-07-03,488.9764204,495.2345653,488.6100469,493.9571838,13984800
2025-07-07,492.5114762,493.8680613,490.3825272,492.8481445,13981600
2025-07-08,492.3728375,493.3234625,489.2734702,491.7589111,11846600
2025-07-09,495.4028808,501.8194632,494.8483646,498.5814819,18659500
2025-07-10,498.1259594,499.5023681,492.8778498,496.5713501,16492100
2025-07-11,493.5907782,500.0865639,492.9273232,498.3933105,16459500
2025-07-14,496.610935,499.0369656,496.1257409,498.0962524,12058800
2025-07-15,498.0962249,503.3245409,497.8684955,500.8688354,14927200
2025-07-16,500.2351113,501.7600457,496.9773368,500.6708069,15154400
2025-07-17,500.7302212,508.3449512,500.6708109,506.6913147,17503100
2025-07-18,509.4440644,509.6025321,502.4630844,505.0574341,21209700
2025-07-21,501.7501675,507.0775416,500.6015183,505.0673828,14066800
2025-07-22,505.9684371,506.1961967,500.3242188,500.3242188,13868600
2025-07-23,501.789726,501.8293429,495.7989579,500.918335,16396600
2025-07-24,503.7900016,508.6420329,502.3343892,505.879364,16107000
2025-07-25,507.4537274,513.2167664,505.3643954,508.6816406,19125700
2025-07-28,509.0480414,509.9590192,505.1267813,507.48349,14308000
2025-07-29,510.483813,512.5533214,506.5526415,507.5527649,16469200
2025-07-30,510.1272876,510.8996817,504.4533946,508.2161865,26380400
2025-07-31,549.7952355,550.0131135,526.6936395,528.2779541,51617300
2025-08-01,529.7632164,530.5553736,515.7616096,518.9797974,28977600
2025-08-04,523.099178,532.9814718,522.9605338,530.3970337,25349000
2025-08-05,531.9218555,532.0406761,522.0791499,522.5841675,19171600
2025-08-06,525.7033799,526.4955371,518.9006308,519.8016968,21355700
2025-08-07,521.6435053,522.9209171,512.4840472,515.7418823,16079100
2025-08-08,517.4844476,519.5242806,514.3256709,516.9299316,15531000
2025-08-11,517.1875615,522.4258201,514.6327984,516.6627808,20194400
2025-08-12,518.6233184,525.7825288,517.5836083,524.0595703,18667000
2025-08-13,526.9015458,527.4857973,514.2862581,515.484436,19619200
2025-08-14,517.4450175,520.8018497,515.0487222,517.3657837,20269100
2025-08-15,517.6529557,520.9503169,513.9990723,515.0783691,25213300
2025-08-18,516.4845535,517.7024946,508.9886436,512.0384521,23760600
2025-08-19,509.9589689,510.1173761,503.572092,504.7801514,21481000
2025-08-20,504.8792395,505.9981836,499.5023972,500.7698669,27723000
2025-08-21,499.5796225,503.4874724,498.617537,500.1251221,18443300
2025-08-22,500.1350667,506.5621975,498.3100856,503.0907593,24324200
2025-08-25,502.4956131,504.0428802,500.0060864,500.1449585,21638600
2025-08-26,500.2440986,500.8590644,494.4418624,497.9430542,30835700
2025-08-27,497.9034268,503.1502662,495.8205578,502.6047363,17277900
2025-08-28,502.9518399,506.9191976,501.3748189,505.4810486,18015600
2025-08-29,504.5090702,505.4414018,500.3730863,502.5551453,20961600
2025-09-02,496.3858775,501.8707483,492.7557416,500.9979248,18128000
2025-09-03,499.6787767,503.6461342,498.2207715,501.2260437,16345100
2025-09-04,500.1846428,504.0032309,499.0440334,503.824707,15509500
2025-09-05,504.9157609,507.7920895,488.3520285,490.9605713,31994800
2025-09-08,494.0451683,497.109979,490.9903159,494.1344604,16771000
2025-09-09,497.3380567,498.1513723,493.6385149,494.3427124,14410500
2025-09-10,498.8754294,499.1233893,492.6665046,496.2867126,21611800
2025-09-11,498.1513495,499.0638551,493.817016,496.9214783,18881600
2025-09-12,502.515444,508.3672906,499.7383056,505.7389221,23624900
2025-09-15,504.6380259,511.2634762,502.8626248,511.1543884,17143800
