Date,o,h,l,c,v
2024-09-26,157.6300049,167.5099945,156.3800049,165.9799957,17068500
2024-09-27,170.4799957,179.6000061,168.3099976,176.2200012,17321200
2024-09-30,168.6300049,175.5099945,167.3099976,168.6000061,13338100
2024-10-01,168.5200043,169.4299927,157.0200043,162.6900024,14103300
2024-10-02,160.5099945,173.8800049,159.1600037,164.6399994,12557500
2024-10-03,163.3899994,165.8600006,157.8200073,163.4100037,8814200
2024-10-04,166.7200012,176.5500031,163.9700012,176.5099945,14030100
2024-10-07,179.7100067,191.9900055,178.8000031,186.0899963,19826000
2024-10-08,186.1000061,198.4900055,184.4499969,192.1999969,20984800
2024-10-09,189.7700043,198.3899994,185.25,188.9100037,13445300
2024-10-10,191.8899994,192.1999969,178,183.3399963,15937500
2024-10-11,188.5,212.8099976,187.4100037,212.5899963,29933800
2024-10-14,224.4799957,227.1499939,201.4299927,201.6699982,31736600
2024-10-15,206.7299957,211.1600037,189.6999969,194.3099976,23114600
2024-10-16,199.8999939,200.6199951,191.9600067,194.0899963,12434600
2024-10-17,192.8000031,198.8800049,185.8099976,193.4199982,11414300
2024-10-18,197.5899963,218.6499939,197.1000061,215.8600006,22814800
2024-10-21,214.4900055,223.1499939,208.4499969,219.0500031,18028600
2024-10-22,216.2100067,221.3999939,212.0800018,219.6999969,13758100
2024-10-23,215.0800018,222.8500061,204.9100037,213.9499969,17025500
2024-10-24,220.0899963,236.2899933,218.25,235.8899994,23221500
2024-10-25,236.3899994,245.5700073,227.75,234.3399963,25093200
2024-10-28,244.6399994,259.5,242.7700043,255.3399963,23182000
2024-10-29,264.25,267.8900146,251.2400055,258.2399902,25958500
2024-10-30,246.5,255.8000031,239,247.3099976,20593300
2024-10-31,251.1199951,252.8800049,237,244.5,21954100
2024-11-01,245.3300018,255.75,225.9299927,229.7100067,26258900
2024-11-04,226.9700012,231.6799927,220.8200073,222.9900055,13438800
2024-11-05,233.3399963,243.4600067,225.4299927,227.8000031,17993900
2024-11-06,260,261.2000122,242.6900024,257.8099976,26270400
2024-11-07,256.7999878,280.7999878,252.6999969,270.8099976,23931700
2024-11-08,275.5799866,279.3800049,262.6000061,270.4200134,18764200
