Date,o,h,l,c,v
2024-09-26,112.3931446,114.0825245,106.8579564,109.1932678,107965900
2024-09-27,109.8093828,110.2764466,106.3610689,106.8281326,42960200
2024-09-30,105.417027,106.0828379,101.6209014,103.0618362,39544700
2024-10-01,102.7537669,103.5487624,98.3216421,99.68307495,34309800
2024-10-02,99.96133283,101.4817771,98.70921299,99.22595978,26334900
2024-10-03,98.84833565,101.8892089,98.77877344,101.1836472,22176700
2024-10-04,103.002206,103.588515,100.7662682,101.6109543,21911200
2024-10-07,101.6358291,104.0533537,100.2927498,102.3819809,21749300
2024-10-08,101.6557168,102.4118194,100.7404391,102.0138702,18858300
2024-10-09,101.7253656,101.7651612,99.80526788,101.1781845,18442700
2024-10-10,100.8498714,106.0331379,100.3325353,105.1477051,27605600
2024-10-11,104.5010553,107.0976644,104.4513088,106.3714066,19133900
2024-10-14,107.2568392,108.152223,106.2520269,107.7841187,15021900
2024-10-15,107.3065739,108.9282077,102.1829969,103.7847366,23419100
2024-10-16,105.4760097,109.0674874,105.0681173,108.6794891,20450900
2024-10-17,110.7687263,113.5543629,110.4404252,111.47509,26584800
2024-10-18,111.1766166,112.3207175,109.2963147,110.5796967,16700400
2024-10-21,110.5299492,110.5697449,107.1374497,108.5203171,14829400
2024-10-22,107.6846202,107.9631823,105.82422,107.266777,13758100
2024-10-23,106.0132407,106.5504709,103.0087396,104.510994,15174700
2024-10-24,106.2321173,106.9782691,105.0084326,106.3017578,13206300
2024-10-25,107.7841173,109.3162167,107.1673033,107.3563309,12265000
2024-10-28,106.2321145,107.6249327,105.7744757,105.8441162,12381000
2024-10-29,106.0430932,108.192014,105.0581749,107.624939,15164600
2024-10-30,105.7147974,106.2520276,103.1082375,103.5459824,14321800
2024-10-31,101.6756061,101.964119,98.56166894,99.13869476,19830300
2024-11-01,99.48690354,100.0937743,98.86013878,99.21829224,13623400
2024-11-04,100.9792151,103.2574663,100.4817805,101.2080383,15765800
2024-11-05,101.4766471,105.0780759,101.2677255,104.9487381,12071900
2024-11-06,107.8239075,111.743694,106.4509909,111.2562103,20304500
2024-11-07,111.9824574,113.2757901,110.7985683,112.8281021,13569800
2024-11-08,111.5646102,113.713531,110.0026662,111.3258438,13045700
2024-11-11,110.3807237,110.9378555,106.2221705,108.0925293,14479700
2024-11-12,104.4612482,104.5507828,101.5462816,103.5658646,21859700
2024-11-13,102.2725538,102.8097765,99.30784035,99.40732574,18416200
2024-11-14,100.7702786,101.7651475,98.05428294,98.67110443,18459700
2024-11-15,97.04947846,97.69613727,95.14927494,95.84568024,18518300
2024-11-18,96.05460078,97.56679826,95.0398302,97.00967407,14236400
2024-11-19,96.50230361,97.67624946,96.01481987,97.2285614,14160300
2024-11-20,97.47728179,98.02445527,96.03471698,97.86528015,10490600
2024-11-21,99.58639451,102.7600293,97.55686066,102.2327499,18915200
2024-11-22,101.8347954,103.1778671,101.1284393,102.1133575,12063700
2024-11-25,103.3171592,105.8540785,103.2773635,103.9439316,22837900
2024-11-26,103.4663963,104.1827033,99.79532651,101.2776871,19275700
2024-11-27,100.4220909,100.5215763,96.14415071,97.6961441,17046400
2024-11-29,96.74106211,97.69613547,95.60691203,97.44741821,13729400
2024-12-02,97.09921195,99.57643361,97.02957142,98.04434204,16525600
2024-12-03,100.6011594,103.1480217,99.11879906,99.32772064,23479700
2024-12-04,100.2529617,102.8794233,99.28794501,102.6704941,16306200
2024-12-05,103.346998,103.7151023,100.0937794,100.3524475,13448900
