Datetime,o,h,l,c,v
2026-07-02 13:30:00,1041.5,1064.640015,1010.5,1013.940002,14750302
2026-07-02 14:30:00,1013.984985,1019.829895,977.0601196,998.1500854,11503630
2026-07-02 15:30:00,998.5800171,1013.390991,978.3851929,979.4458008,6564972
2026-07-02 16:30:00,979.2000122,980.8200073,966,972.3300171,5952691
2026-07-02 17:30:00,972.1243286,974.5,954.3427734,972.8200073,6259424
2026-07-02 18:30:00,972.7199707,981.0100098,950.2800293,957.3449707,6263656
2026-07-02 19:30:00,957.6099854,977,954.0100098,976.210022,5249645
2026-07-06 13:30:00,1007,1018.299988,988.0910034,1004.599976,10614653
2026-07-06 14:30:00,1004.599976,1019,993,1006.565002,5097485
2026-07-06 15:30:00,1006.710022,1014.599976,1002.002197,1003.080017,3161210
2026-07-06 16:30:00,1003.159973,1007.669983,986,987.2600098,3574448
2026-07-06 17:30:00,987.0999756,994.3300171,982.5,990.6699829,3494739
2026-07-06 18:30:00,990.5800171,1006.5,988.1099854,1002.609985,3401755
2026-07-06 19:30:00,1002.625,1002.86499,980.8499756,984.3099976,3424787
2026-07-07 13:30:00,922.8400269,935.5100098,899.2800293,905.539978,16101972
2026-07-07 14:30:00,905.6400146,927.8499756,891.6599731,909.789978,9159440
2026-07-07 15:30:00,909.7999878,931.6699829,902.670105,929.25,5936188
2026-07-07 16:30:00,929.4199829,938.7600098,918.9500122,933.7399902,4238161
2026-07-07 17:30:00,933.9299927,939.9899902,927.0200195,929.1898804,3398331
2026-07-07 18:30:00,929.1900024,930.039978,907.170105,916.272522,4927660
2026-07-07 19:30:00,916.4500122,941.4000244,915.4000244,938.9099731,4294049
2026-07-08 13:30:00,902.4000244,959,900.4199829,947,14177251
2026-07-08 14:30:00,947.3900146,952.7199707,913.5100098,916.3699951,5763714
2026-07-08 15:30:00,916.0200195,940.6400146,914.8900146,937.8800049,4949710
2026-07-08 16:30:00,937.5100098,947.5,936.6400146,945,3264173
2026-07-08 17:30:00,945.210022,945.7498779,931.289978,937.9498901,4013996
2026-07-08 18:30:00,937.5200195,950.5999756,934.6799927,948.2700195,3319416
2026-07-08 19:30:00,948.3400269,950.8989868,942,949.3699951,2859311
2026-07-09 13:30:00,1016.51001,1035.5,1003.109985,1015.13501,15503822
2026-07-09 14:30:00,1014.929993,1023.929993,1008,1017.525024,4250655
2026-07-09 15:30:00,1017.54248,1021.830017,1013,1014.646484,2798704
2026-07-09 16:30:00,1014.539978,1027,1009.26001,1024.605225,3213580
2026-07-09 17:30:00,1024.969971,1025.73999,1016.809998,1017.950012,2668107
2026-07-09 18:30:00,1017.950012,1018.38501,999.2600098,1004.505005,4169485
2026-07-09 19:30:00,1004.48999,1004.757019,987.1300049,990.9299927,4696162
2026-07-10 13:30:00,965.0800171,983.2999878,957.2999878,978.2299805,9373637
2026-07-10 14:30:00,978.2935181,984.4799805,968.1099854,980.085022,3993114
2026-07-10 15:30:00,980.3200073,983.9000244,954.1300049,983.6300049,4840536
2026-07-10 16:30:00,983.7050171,996.2598877,977.7999878,995.4494019,3175548
2026-07-10 17:30:00,995.2949829,998,986.6199951,989.1566162,2691556
2026-07-10 18:30:00,989.085022,995,985.8499756,991.8084717,2103057
2026-07-10 19:30:00,991.6699829,993.710022,977.4000244,978.6900024,2358941
2026-07-13 13:30:00,928.4849854,938.2999878,902.5999756,937.9299927,12176624
