Date,o,h,l,c,v
2024-09-26,72.47299957,72.52600098,70.17199707,71.14299774,28330000
2024-09-27,70.83599854,71.07099915,70.125,70.73500061,23956000
2024-09-30,70.69999695,71.1210022,70.28199768,70.92700195,17099000
2024-10-01,71.36399841,71.77600098,69.85900116,70.61299896,28135000
2024-10-02,70.61299896,71.6210022,70.46900177,71.10900116,17582000
2024-10-03,70.4260025,70.8809967,70,70.68000031,22564000
2024-10-04,71.33200073,72.10099792,70.88200378,71.97000122,22290000
2024-10-07,71.47599792,71.58799744,69.64299774,70.19200134,33605000
2024-10-08,70.38800049,72.5059967,70.35500336,72.1760025,31874000
2024-10-09,71.92500305,72.85900116,71.88700104,72.74299622,19811000
2024-10-10,72.32900238,73.38500214,72.25,73.02899933,27679000
2024-10-11,73.48999786,73.59999847,72.12200165,72.27899933,22995000
2024-10-14,72.5,72.66200256,71.1309967,71.30000305,27971000
2024-10-15,71.25099945,71.33999634,69.97799683,70.59799957,29328000
2024-10-16,70.34300232,70.55899811,69.78199768,70.19999695,24943000
2024-10-17,70.43499756,70.44100189,67.78800201,68.76499939,89267000
2024-10-18,73.76399994,76.62799835,73.6230011,76.38899994,159741000
2024-10-21,76.5759964,77.30000305,75.66000366,77.20700073,60571000
2024-10-22,76.52700043,76.97000122,76.11199951,76.4240036,29873000
2024-10-23,76.28299713,76.3789978,74.4260025,74.92900085,37490000
2024-10-24,75.1969986,75.58200073,74.625,75.45500183,26430000
2024-10-25,75.61699677,76.84999847,75.35299683,75.46800232,28195000
2024-10-28,75.86799622,75.86799622,74.78800201,74.91200256,28624000
2024-10-29,75.11299896,76.38800049,74.8010025,75.94400024,36604000
2024-10-30,75.80799866,75.97899628,75.22799683,75.37400055,17220000
2024-10-31,75.39299774,76.07900238,75.22299957,75.60299683,30577000
2024-11-01,75.34799957,76.37999725,74.77700043,75.61000061,29968000
2024-11-04,75.31400299,76.2480011,74.96900177,75.5510025,19022000
2024-11-05,75.73500061,76.75299835,75.6269989,76.39099884,22006000
2024-11-06,77.15000153,78.14900208,75.73799896,78.02100372,36908000
