Date,o,h,l,c,v
2024-09-26,126.4606774,127.3283443,121.4740577,123.7080612,302582900
2024-09-27,123.6382566,123.6980936,118.9408615,121.0751343,271009200
2024-09-30,117.993392,121.1748578,117.8338241,121.1150208,226553700
2024-10-01,121.444121,122.1123338,115.4801287,116.6868896,302094500
2024-10-02,116.1284051,119.0605324,114.8318809,118.5319519,221845900
2024-10-03,120.5964048,124.0272015,120.0179551,122.5212402,277118000
2024-10-04,124.6056594,124.7053902,121.5039812,124.5857086,243678100
2024-10-07,124.6555069,130.2903882,124.615613,127.3782043,346250200
2024-10-08,129.9114262,133.1228109,129.0736776,132.5343933,285722500
2024-10-09,133.7511131,134.1600195,131.028423,132.2950134,246191600
2024-10-10,131.5570008,134.638728,130.6494323,134.449234,242311300
2024-10-11,133.6513756,135.4166432,133.3023213,134.43927,170209500
2024-10-14,136.1048065,139.2264355,135.9352633,137.700531,232347700
2024-10-15,137.5010432,138.1991822,128.3954862,131.2478333,377831000
2024-10-16,133.6214623,136.254397,131.2278909,135.3568115,264879700
2024-10-17,138.9671226,140.5129779,136.5037311,136.5635681,306435900
2024-10-18,138.2989273,138.5283076,136.9126475,137.630722,176090200
2024-10-21,137.7603697,143.3254395,137.6307127,143.3254395,264554500
2024-10-22,142.5275765,144.0335303,141.4005955,143.2057495,226311600
2024-10-23,141.6499303,142.0488538,137.0921674,139.1865387,285930000
2024-10-24,140.4431624,140.9717429,138.0894774,140.034256,172354900
2024-10-25,140.5528562,143.7443049,140.4232144,141.1612244,205122100
2024-10-28,142.6173103,142.756935,139.675208,140.1439514,173586700
2024-10-29,139.9145716,141.879301,138.5282919,140.8720093,157593600
2024-10-30,139.1665791,139.9544735,136.4438889,138.9671173,179418100
2024-10-31,137.2317837,137.2417514,131.7564696,132.4047241,270039600
2024-11-01,134.3395501,136.9425666,134.2099084,135.037674,207127800
2024-11-04,136.8428278,138.5881447,135.2072171,135.6859283,187528200
2024-11-05,137.0821751,139.9943593,136.9625011,139.5355988,160537400
2024-11-06,142.5774196,146.0979715,141.5800958,145.2203217,242043900
2024-11-07,145.9982707,148.5314672,145.7788582,148.4816132,207323300
2024-11-08,148.3718575,149.3691813,145.8685652,147.2349091,175665800
2024-11-11,148.2821231,148.4516815,143.1858121,144.8712769,182325600
2024-11-12,146.3872043,149.2495191,145.6192606,147.893158,198634700
2024-11-13,148.671065,148.9303637,145.5095351,145.8785553,191903300
2024-11-14,147.2448831,148.601244,145.16048,146.3672333,194463300
2024-11-15,144.482302,144.8513221,139.7051274,141.6000366,250132900
2024-11-18,139.1266784,141.1711954,136.7829613,139.7749329,221205300
2024-11-19,140.9418171,146.7362664,140.6126984,146.6165771,227834900
2024-11-20,147.0155247,147.1651172,142.3480407,145.499588,309871700
2024-11-21,148.9503634,152.4808841,140.3235006,146.2775269,400946600
2024-11-22,145.5394744,146.7661938,140.7224132,141.5701294,236406200
2024-11-25,141.610031,141.669868,135.4565441,135.6560059,344941900
2024-11-26,137.3315157,138.9272402,135.3069491,136.5536041,190287700
2024-11-27,134.648695,136.8527875,131.4472938,134.9778137,226370900
2024-11-29,136.413968,138.9770978,135.6859258,137.8800354,141863200
2024-12-02,138.4584797,140.0741395,137.451188,138.2590179,171682800
2024-12-03,137.8900108,140.1639083,137.5808428,139.8846588,164414000
2024-12-04,141.6199905,145.3998413,139.91456,144.7515869,231224300
2024-12-05,144.7316659,146.1579303,143.5746866,144.6817932,172621200
2024-12-06,144.2229907,145.3201135,140.9415602,142.0686188,188505600
2024-12-09,138.6076608,139.5851014,136.772462,138.4480743,189308600
2024-12-10,138.6475645,141.450251,133.441173,134.7178497,210020900
2024-12-11,137.0018495,139.8045203,134.8574615,138.9467621,184905200
2024-12-12,136.7225865,138.0790411,135.4459251,136.9819031,159211400
2024-12-13,138.5777531,139.236036,132.1944303,133.8999786,231514900
2024-12-16,133.8301313,134.0495589,130.0799406,131.6558228,237951100
2024-12-17,128.75342,131.2469018,126.5292386,130.0500336,259410300
2024-12-18,133.5109734,136.3435647,127.9455209,128.5738831,277444500
2024-12-19,131.4164498,133.6805354,129.2122206,130.3392639,209719200
2024-12-20,129.471536,134.927275,127.8856854,134.3487854,306528600
2024-12-23,135.9246863,139.4255294,134.767707,139.3058472,176053500
2024-12-24,139.634973,141.530013,138.2884868,139.8544006,105157000
2024-12-26,139.3357742,140.4827851,137.3709091,139.5651703,116205600
2024-12-27,138.1887334,138.6575091,134.3587499,136.6527405,170582600
2024-12-30,134.4784475,139.9042657,133.6705619,137.1315155,167734700
2024-12-31,137.6701195,137.7100237,133.481073,133.9398651,155659200
2025-01-02,135.6453818,138.5178771,134.2789589,137.9493561,198247200
2025-01-03,139.6449447,144.5221943,139.3656759,144.0933228,229322500
2025-01-06,148.2025838,151.7632832,147.4346023,149.04039,265377400
2025-01-07,152.6309871,152.7307324,139.6449313,139.7745972,351782200
2025-01-08,142.2082356,143.5746585,137.2013206,139.7446747,227349900
2025-01-10,137.0916115,139.5551724,133.8700376,135.5556335,207602500
2025-01-13,129.6510718,133.141946,129.1723124,132.8826141,204808900
2025-01-14,135.6952814,136.0244228,129.7109251,131.4164581,195590500
2025-01-15,133.3015373,136.0942401,130.9476898,135.8847961,185217300
2025-01-16,138.2784976,138.3882114,133.1419322,133.2217255,209235600
