Date,o,h,l,c,v
2024-09-26,164.0441942,164.7389302,162.8993602,164.4845276,7096800
2024-09-27,164.4747195,165.4727856,162.9287003,165.1107483,8974400
2024-09-30,165.8544247,166.8524909,162.8700205,166.7350616,10210300
2024-10-01,166.5589109,166.8426671,162.4003199,163.5647278,7595100
2024-10-02,163.9952858,165.5412902,163.6723816,164.1029205,7073000
2024-10-03,163.3005328,164.2496712,162.6645189,163.2711792,4735700
2024-10-04,165.0814133,167.2242985,164.5530192,167.1851654,6386900
2024-10-07,166.754619,168.6235425,165.9033357,166.3143005,6791000
2024-10-08,166.930755,170.8838565,166.7741927,170.6196594,7845400
2024-10-09,170.8055963,174.7684927,170.0717272,174.455368,8120900
2024-10-10,174.2199803,174.8574393,170.8169768,172.0232391,7115900
2024-10-11,172.1114906,173.582529,171.0327232,172.3762817,5869400
2024-10-14,173.1412184,173.7982804,172.1114885,172.7195129,4688700
2024-10-15,173.5237085,174.7789935,170.3952974,170.7287292,5848600
2024-10-16,170.1501159,171.5328957,168.3260276,171.3955994,6383000
2024-10-17,174.0728922,174.3180653,171.7584576,172.2880249,5474000
2024-10-18,173.3864154,173.5531314,171.2092772,171.3171539,5001300
2024-10-21,171.0817857,171.7682674,169.8166991,170.4051056,4198400
2024-10-22,172.062452,172.4547378,170.9150438,171.9251556,5510100
2024-10-23,171.1308063,172.6705003,169.6695693,169.757843,4830400
2024-10-24,169.9735911,171.5721094,169.5715037,171.0131226,3488000
2024-10-25,171.4054057,172.8862458,169.7578498,170.1697388,3674700
2024-10-28,170.6895062,170.8071845,168.8163802,169.0909729,4330000
2024-10-29,168.963478,170.6600865,168.963478,170.0814667,4122900
2024-10-30,170.6208177,172.7587344,169.4537917,171.189621,5822500
2024-10-31,167.2276435,167.5806933,164.1678735,164.5993805,9477500
2024-11-01,166.8647845,168.9438623,165.8350696,166.7373047,5680600
2024-11-04,167.0216972,167.1884131,165.4722016,166.3155975,4804400
2024-11-05,167.1786285,168.5712099,167.0315307,168.4633331,5456800
2024-11-06,175.0732077,178.5840882,173.9944401,177.7406921,11085000
2024-11-07,177.5837956,183.065863,177.0542133,182.7716522,7759400
2024-11-08,182.6637331,186.4884418,182.6637331,185.5960083,8520400
2024-11-11,187.3612599,187.8025684,184.2132311,185.4783325,5973600
2024-11-12,184.899734,186.9297744,183.5856098,185.9196625,6629900
2024-11-13,185.3508328,188.0673545,185.1448809,185.9686737,5695400
2024-11-14,185.0174224,185.9294591,183.1050753,183.4385071,7804300
2024-11-15,180.9573521,182.2126371,178.8096336,180.1924133,8986300
2024-11-18,180.7415688,182.5852599,179.3489877,182.1439514,6289400
2024-11-19,181.3202062,185.6646811,180.7612193,185.2527771,8117000
2024-11-20,187.2141602,187.2828159,184.193641,187.0670624,4860200
2024-11-21,188.2340852,192.2549147,187.9398745,188.7146149,11394300
2024-11-22,189.2736144,190.4504422,187.3710689,188.5773163,6879400
2024-11-25,190.7446531,190.9898261,184.3603516,184.3603516,15138500
2024-11-26,184.6840047,188.6852167,184.6840047,186.6944122,6427200
2024-11-27,185.3116131,185.3116131,178.701742,179.1724701,8368800
2024-11-29,180.4571875,182.340115,180.447386,181.2711639,4628000
2024-12-02,181.7124704,181.7124704,177.505307,177.9073944,8859700
2024-12-03,177.68182,179.5059083,175.6517948,179.3588104,8917100
2024-12-04,184.3701541,186.1255868,182.3106943,184.556488,8906300
2024-12-05,185.3704578,185.3704578,182.2616651,182.6441345,6398100
2024-12-06,183.3894576,188.91076,182.7814332,187.9889069,10503400
2024-12-09,192.5099297,194.4811161,185.2822162,186.7728729,20158000
2024-12-10,170.1108961,174.3670972,167.7572256,174.3082581,26502000
2024-12-11,174.563231,177.8779758,171.4544381,175.1320343,13188700
2024-12-12,174.5632305,174.7299464,171.4348196,171.9349823,8154200
2024-12-13,171.6211361,172.7391246,168.3260097,170.0422211,8351100
2024-12-16,170.4835424,170.9052478,167.6297243,167.9239349,9572000
2024-12-17,167.4532173,169.6499735,166.0017968,166.4333038,8940200
2024-12-18,166.1390776,167.9239297,162.167271,162.2163086,8817900
2024-12-19,164.3150027,167.6983883,164.1678899,165.5310516,8386400
2024-12-20,164.4915181,167.9533608,162.4320732,166.3842621,13810500
2024-12-23,166.3156066,166.3450262,163.942333,165.8742981,6518200
2024-12-24,166.4234584,168.4534984,165.7663965,168.1004486,2451500
2024-12-26,167.2080247,169.2184468,167.2080247,168.3652344,4100100
2024-12-27,167.0903504,167.8454726,163.9717412,165.6977692,4344300
2024-12-30,163.2950615,164.6680397,161.3729131,163.6873474,5254800
2024-12-31,163.9717622,164.0698375,162.63802,163.4225769,4307500
2025-01-02,165.2662545,165.4329704,161.7161386,162.8243256,5360800
2025-01-03,163.4814023,163.9717484,162.0790195,163.1087494,5876000
2025-01-06,164.0796225,164.8053401,162.0005596,162.4909058,6845400
2025-01-07,162.3830105,162.9518137,158.2052672,158.9015503,7712200
2025-01-08,159.0486716,160.8139208,158.3131524,159.9901428,7596200
2025-01-10,156.5099537,156.5099537,151.3191724,151.8893738,13593900
2025-01-13,151.142232,151.5452928,149.8445291,151.3191833,8828500
2025-01-14,153.7769652,154.5929424,151.7419498,153.6688232,7410200
2025-01-15,155.9889274,156.4608126,154.6027488,155.6350098,10701200
2025-01-16,157.443901,158.7710958,155.7333118,156.8442078,9210600
2025-01-17,159.0365224,160.4030345,157.8272953,158.309021,11618300
2025-01-21,161.1010611,170.4405383,159.9999907,169.654068,30232000
2025-01-22,188.2739897,188.7458898,177.5188589,181.1071777,48028500
2025-01-23,178.5707652,183.4174691,178.4331314,183.3191528,17314600
2025-01-24,185.4524965,185.9047304,178.7968869,180.4976654,12147200
2025-01-27,166.0460292,169.6048709,150.080452,155.605484,42201600
2025-01-28,160.2359381,163.0279466,154.101371,161.2288666,20319300
2025-01-29,161.2583493,161.2583493,157.3062719,159.2823181,9866600
2025-01-30,161.9956862,168.5923129,161.3271834,167.5010681,14981700
2025-01-31,167.5305544,170.0767871,166.272184,167.1864624,8704600
2025-02-03,160.4423505,167.0291353,160.4423505,165.7511139,8250600
2025-02-04,167.5207138,167.5207138,163.5391594,165.0531311,6777000
2025-02-05,166.1345172,168.9855088,165.6724578,168.7593994,7866700
2025-02-06,170.0767702,172.6819864,168.6709405,169.4377594,7036900
2025-02-07,172.0429844,174.3925994,170.2537301,171.5121155,9991300
2025-02-10,173.0261005,176.9486863,171.9643477,175.896759,7625900
2025-02-11,174.6187109,176.0933651,173.4684824,174.1959839,6528800
2025-02-12,171.9348497,171.9348497,167.8254872,169.309967,7454800
2025-02-13,170.0767874,171.4334741,169.1920009,170.9222565,6421700
2025-02-14,171.3056693,172.0724883,169.8899988,171.2171936,7260900
2025-02-18,173.7634051,179.1606444,173.1145537,176.7618713,11430500
2025-02-19,175.5624953,178.6101049,172.7311545,178.4528198,8688500
2025-02-20,176.7716962,177.2239301,171.4825988,173.0260773,8737000
2025-02-21,173.1440536,173.8912213,164.7188707,164.974472,9713900
2025-02-24,170.6371516,171.2270042,161.8777024,167.08815,10639100
2025-02-25,166.4294504,167.7173276,161.6614113,165.6921234,8316100
2025-02-26,168.0908967,170.9320629,166.2721657,169.5557251,6915100
2025-02-27,170.0768017,171.9053737,161.7990771,161.9760284,7436800
2025-02-28,160.3538934,163.3425192,158.092754,163.2540436,12843300
2025-03-03,164.1290077,164.2961333,158.4073572,159.2823181,8081800
2025-03-04,156.5296186,157.0604875,150.925936,154.8091888,13171900
2025-03-05,155.3892185,159.7443715,154.3962901,158.8300781,7141000
2025-03-06,154.5044265,154.5044265,147.1999655,148.3895264,12321200
2025-03-07,148.0749285,153.8359111,145.9907555,152.5382233,12646500
2025-03-10,147.986468,149.942848,144.3194986,146.2758636,21486100
2025-03-11,140.9966064,143.3167297,135.373257,141.7437592,27200200
2025-03-12,143.75913,149.6577473,142.5597433,148.3403931,15373900
2025-03-13,147.258977,147.6325609,143.0218059,145.164978,14187700
2025-03-14,146.4036802,148.3305685,145.3812598,146.7477722,9330000
2025-03-17,147.8586522,153.118258,147.8586522,151.4076538,9885000
2025-03-18,149.7953716,149.8445297,146.1185766,146.9247131,9402500
2025-03-19,147.5243933,151.4666448,147.4654095,149.8740082,6909500
2025-03-20,149.0187287,151.8795615,148.271576,150.1394653,7051600
2025-03-21,149.0875439,151.2405416,147.5735721,149.6577454,17620200
2025-03-24,153.6982904,153.9539067,151.4273253,152.2531281,7848300
2025-03-25,151.8992114,152.9708049,150.4638897,151.32901,8521200
2025-03-26,150.3065867,150.4442205,144.0835442,145.302597,13210000
2025-03-27,143.3855511,144.5554308,142.4712577,143.3167267,9148300
2025-03-28,141.3505178,143.1889152,136.7594296,138.4896851,13144500
2025-03-31,136.2973426,138.2143896,134.4491049,137.4475708,15509900
2025-04-01,137.3984238,140.8294576,136.4153212,139.5415955,9518500
2025-04-02,137.4967685,145.3910834,137.4967685,143.3953857,11594400
2025-04-03,136.8970657,139.0107307,134.3311668,134.9111938,14433800
2025-04-04,130.6641965,131.5588236,124.8048972,126.1026001,14986900
2025-04-07,116.8515822,131.8438977,116.8515822,125.0113373,19482700
2025-04-08,130.3004251,130.7428333,119.6435955,122.396286,11950300
2025-04-09,121.3148763,138.2144068,121.3148763,137.3296204,17762000
2025-04-10,134.8235847,134.8235847,127.5323571,131.5677032,12401600
2025-04-11,130.3442418,131.2223456,127.1179438,130.5810394,10190200
2025-04-14,134.9715725,134.9715725,131.094092,132.8404388,8217700
2025-04-15,132.9588432,134.6558555,131.93275,132.1498108,8630000
2025-04-16,130.5120036,130.7685231,126.1412127,128.0256805,8295200
2025-04-17,129.1504268,129.5450896,126.7233148,126.9009018,8925500
2025-04-21,125.1940301,125.4998843,119.6195446,121.1784286,12201200
2025-04-22,122.8359689,126.2793205,121.7408043,125.5393448,11233700
2025-04-23,133.1068337,134.0539942,129.2392292,129.6437378,9528900
2025-04-24,130.7389167,136.0174167,130.2357386,135.6720886,7305900
2025-04-25,135.652358,137.1421704,134.9321041,136.6389923,5476400
2025-04-28,137.7834658,138.7898369,136.2344579,138.266922,6985100
2025-04-29,137.9413363,139.2732986,137.6848168,138.9082336,4851500
2025-04-30,136.6291062,139.411422,133.758012,138.8391724,9443500
2025-05-01,144.6011316,146.6533329,143.3974365,143.5454407,11525800
2025-05-02,146.3474766,151.0142529,146.3474766,148.7153931,11346000
2025-05-05,147.4426209,148.8041809,146.5349192,147.2946167,5187400
2025-05-06,145.015498,146.9493077,143.7723443,145.7258759,5108600
2025-05-07,145.5285492,147.8964654,145.2720297,147.3735504,6049600
2025-05-08,147.0578448,149.7809501,146.6237233,148.2911377,6113600
2025-05-09,148.0346036,149.7710896,147.787945,148.3305969,4707100
2025-05-12,154.2208115,155.3258371,152.3560732,155.1186523,7875500
2025-05-13,156.1052786,161.0384501,155.4639724,160.1011505,11955200
2025-05-14,160.1899536,161.2259226,158.9073259,160.7720642,7499400
2025-05-15,159.2033106,159.5782364,156.7860596,157.2695007,10169200
2025-05-16,157.861484,158.6902531,156.4012695,158.3449402,8515500
2025-05-19,156.1842004,159.8051462,155.7204811,157.5062866,10268900
2025-05-20,156.5098047,158.2166779,155.424501,158.1673431,7576400
2025-05-21,156.2335533,158.7494588,154.368815,155.0791779,6011000
2025-05-22,154.8818521,157.0623206,154.7240021,155.2074432,7603300
2025-05-23,152.9184481,155.2765034,152.1981943,153.8853455,6527500
2025-05-27,157.1905923,160.2294129,156.7959295,159.7459717,6976800
2025-05-28,159.7065025,162.1237688,159.1243919,161.6600494,8090700
2025-05-29,162.7946553,163.1103855,159.3315744,160.7227173,6994700
2025-05-30,161.245643,163.5346419,159.3907807,163.3175812,17547900
2025-06-02,161.9757425,164.7679192,160.4267345,164.3436737,7166000
2025-06-03,164.5706127,167.0667964,164.3634129,166.8793335,7155300
2025-06-04,167.4417229,168.2014205,165.330326,165.853241,6375800
2025-06-05,166.7411881,169.9576104,166.5043905,168.8525848,7707800
2025-06-06,171.6743854,172.45382,170.3522989,171.6941223,6833700
2025-06-09,172.5228712,176.3312801,171.4671653,174.7822571,9668900
2025-06-10,175.3348011,175.4729293,171.9506374,175.1078644,11056700
2025-06-11,175.1769281,177.1501968,173.8449657,174.0225677,18002900
2025-06-12,187.4210622,199.783589,186.3554953,197.188736,54610000
2025-06-13,198.885753,213.705005,198.5108271,212.3434448,53707400
2025-06-16,210.3504418,212.2941127,207.173478,208.2785187,22665300
2025-06-17,207.8443704,212.9946023,204.7068658,205.3975067,17819200
2025-06-18,208.2686355,211.8501229,206.7689621,208.0515747,15055400
2025-06-20,210.4984257,210.9424081,201.9048347,202.4277496,20879100
2025-06-23,202.7631865,204.4996723,199.8328818,204.2727356,13418400
2025-06-24,207.1833484,213.4780652,205.7625926,212.3927765,19030600
2025-06-25,212.0671776,214.0305702,207.4201235,207.9035797,11804600
2025-06-26,209.1664775,211.5541308,207.5483978,209.9755249,10531100
2025-06-27,210.8338779,211.7810383,207.1537363,207.4299927,14127500
2025-06-30,223.4726621,225.1696743,215.4611967,215.7078552,31844200
