Date,o,h,l,c,v
2024-09-26,37.25999832,37.43999863,36.59999847,37.09999847,48602000
2024-09-27,36.90999985,37.47000122,36.59000015,36.84000015,43219100
2024-09-30,36.58000183,37.31999969,36.15000153,37.20000076,42110200
2024-10-01,37.20999908,37.56000137,36.04999924,36.45999908,52858000
2024-10-02,36.29999924,37.68000031,36.14500046,37.49000168,34988900
2024-10-03,37.45000076,39.29000092,37.36999893,39.24000168,57196400
2024-10-04,39.65000153,40.29000092,39.40000153,40.00999832,62532500
2024-10-07,39.90000153,40.15000153,38.77500153,38.88999939,44124800
2024-10-08,39.29000092,41.49000168,39.01499939,41.45000076,62542900
2024-10-09,41.54999924,43.34000015,41.20999908,43.13000107,86404700
2024-10-10,42.91999817,43.87799835,42.40999985,43.52000046,62516300
2024-10-11,43.40000153,44.38000107,42.61999893,43.50999832,66206900
2024-10-14,43.72000122,44.38999939,43.27999878,43.40000153,41010900
2024-10-15,43.47499847,43.68000031,41.51499939,42.43000031,48297000
2024-10-16,42.40000153,42.49000168,40.36000061,41.93000031,59157900
2024-10-17,42.15000153,42.70000076,41.61000061,42,34028400
2024-10-18,42.01499939,42.99000168,41.65000153,42.97000122,33969000
2024-10-21,42.86000061,43.40000153,42.40999985,42.70000076,30719800
2024-10-22,42.68999863,43.49000168,42.29999924,42.93999863,27830700
2024-10-23,42.84999847,43.68000031,42.05500031,42.59000015,35647000
2024-10-24,42.88999939,43.72999954,42.65999985,43.56000137,34079600
2024-10-25,43.84999847,45.06999969,43.64500046,44.86000061,50416500
2024-10-28,45.04999924,45.13999939,44.68000031,44.97000122,36729700
2024-10-29,44.90000153,45.06999969,44.04000092,44.93000031,26154700
2024-10-30,44.58000183,44.79999924,43.61000061,43.68999863,31309200
2024-10-31,42.79000092,43.31999969,40.90000153,41.56000137,50973400
2024-11-01,41.93000031,42.56999969,41.59000015,41.91999817,33722500
2024-11-04,41.08000183,42.04000092,41.0320015,41.40999985,75413300
2024-11-05,47.86000061,51.57500076,46.86000061,51.13000107,208868200
2024-11-06,53.43999863,55.68999863,51.61000061,55.52999878,114255900
2024-11-07,55.81999969,56.47000122,53.54999924,55.88000107,121591200
2024-11-08,55.56999969,58.47999954,55.29999924,58.38999939,84124000
2024-11-11,60.13299942,62.08000183,58.68999863,60.24000168,108357800
2024-11-12,59.00999832,60.09000015,58.56999969,59.84999847,59061300
2024-11-13,61.52000046,63.38999939,59.84999847,60.70000076,85937400
2024-11-14,61.04999924,61.16999817,58.52999878,59.18000031,59968200
2024-11-15,61.00999832,66,60.90999985,65.76999664,155280400
2024-11-18,64.91999817,64.91999817,58.84999847,61.25999832,136663100
2024-11-19,59.50999832,63.00999832,59.26499939,62.97999954,75557800
2024-11-20,62.59000015,63.08000183,59.95999908,62.11999893,59182200
2024-11-21,62.04000092,63.40000153,60.89500046,61.36000061,56336700
2024-11-22,61.59999847,64.44000244,61.36999893,64.34999847,61381700
2024-11-25,66.90000153,67.87999725,64.08000183,64.65000153,80640500
2024-11-26,64.56999969,65.84999847,63.88999939,65.73999786,46923600
2024-11-27,66.23999786,67.55999756,64.23999786,66.05000305,53839900
2024-11-29,65.88999939,67.16000366,65.47000122,67.08000183,30104000
2024-12-02,67.44000244,67.87999725,65.95999908,66.38999939,46405000
2024-12-03,66.41000366,71.37000275,66.15000153,70.95999908,100751400
2024-12-04,71.12999725,71.18000031,67.27999878,69.84999847,86284800
2024-12-05,70.11000061,72.98000336,69.88999939,71.87000275,66585800
2024-12-06,72.94999695,76.81999969,72.27999878,76.33999634,93640900
2024-12-09,80.58000183,80.91000366,71.05000305,72.45999908,168134800
2024-12-10,71.98999786,75.55999756,70.73000336,70.88999939,89672500
2024-12-11,72.98000336,73,68.06999969,72.51000214,89477700
2024-12-12,72.30000305,75.37999725,71.90000153,73.19999695,73859700
2024-12-13,73.48999786,76.09999847,72.44999695,76.06999969,76172800
2024-12-16,75.05999756,77.81999969,71.16000366,75.75,126099600
2024-12-17,73.27999878,75.31999969,71.69999695,74.38999939,75469400
2024-12-18,74.30000305,77.59999847,70.26999664,71.51000214,109643400
2024-12-19,73.98999786,76.58999634,73.37000275,74.20999908,99524300
2024-12-20,72.63999939,80.66000366,71.5,80.55000305,281230800
2024-12-23,80.65000153,82.01999664,77.41000366,80.69000244,93819500
2024-12-24,81.08999634,84.79699707,81,82.37999725,64983300
2024-12-26,83.16000366,83.48999786,81.30000305,82.13999939,60377100
2024-12-27,81.41999817,82,77.93000031,79.08000183,66975900
2024-12-30,77.04000092,79.23999786,76.11000061,77.18000031,60850900
2024-12-31,77.58000183,77.98000336,73.65000153,75.62999725,56267900
2025-01-02,76.19999695,76.52999878,72.41999817,75.19000244,72217200
2025-01-03,75.38999939,79.98000336,75.19000244,79.88999939,62415000
2025-01-06,78.69000244,80.05999756,74.61000061,75.91999817,105619500
2025-01-07,75.19999695,75.38999939,69.75,69.98999786,91727300
2025-01-08,68.12000275,69.52999878,66.51000214,68.23000336,91349500
2025-01-10,66.01000214,68.19999695,65.04000092,67.26000214,78148600
2025-01-13,64.29000092,65.68000031,63.40000153,64.98000336,69046300
2025-01-14,67.18000031,68.23000336,65.19000244,65.91000366,56814900
2025-01-15,68.55000305,68.84999847,67.08000183,68.13999939,56025800
2025-01-16,69.08000183,71.43000031,68.36000061,69.23999786,62908700
2025-01-17,70.90000153,72.33999634,69.94999695,71.76999664,54754000
2025-01-21,73.23999786,73.63600159,70.60099792,73.06999969,56229000
2025-01-22,74.5,77.16000366,73.80000305,76.87000275,66876400
2025-01-23,76.04000092,79,75.83999634,78.98000336,55937900
2025-01-24,79.05000305,82.23999786,78.44000244,78.98000336,77931900
2025-01-27,74.06999969,76.72000122,72.66999817,75.44000244,76093300
2025-01-28,75.54000092,80.73999786,74.04000092,80.23000336,65916700
2025-01-29,79.94999695,80.81999969,77.80999756,79.76000214,49262200
2025-01-30,80.01999664,81.83000183,79.37999725,81.22000122,46067500
2025-01-31,81,85.22000122,80.87000275,82.48999786,78731000
2025-02-03,80.125,84.25,78.47000122,83.73999786,126592700
2025-02-04,102.8000031,106.9100037,100.5100021,103.8300018,230806800
2025-02-05,101.7799988,103.5699997,99.31999969,101.3600006,90628300
2025-02-06,101.0899963,111.5449982,100.2600021,111.2799988,128217500
2025-02-07,111.6600037,116.3000031,110.4499969,110.8499985,143795400
2025-02-10,112.0299988,116.7600021,108.7200012,116.6500015,99938100
2025-02-11,116.5,118.6600037,112.0999985,112.6200027,94311700
2025-02-12,110.2900009,117.5899963,110,117.3899994,75316900
2025-02-13,117.3099976,118.3899994,115.1500015,117.9100037,60027000
2025-02-14,117.9000015,120.6699982,116.8000031,119.1600037,65528900
2025-02-18,120.9400024,125,118.4300003,124.6200027,84227200
2025-02-19,123.8600006,125.4100037,108.5599976,112.0599976,147487300
2025-02-20,102.9100037,107.4000015,95.80000305,106.2699966,243093900
2025-02-21,107.6800003,109.0699997,100,101.3499985,129063200
2025-02-24,95.87999725,99.01000214,89.30000305,90.68000031,184485000
2025-02-25,90.65000153,91.69999695,85.25,87.83999634,132626300
2025-02-26,89.16000366,91.69000244,87.58999634,89.30999756,94428700
2025-02-27,91.91000366,93.62000275,84.16999817,84.76999664,99680500
2025-02-28,79.98000336,85.18000031,78.58000183,84.91999817,125977400
2025-03-03,88.55000305,90.48000336,82.52999878,83.41999817,114573900
2025-03-04,80.16000366,88.5,79.30000305,84.40000153,116800300
2025-03-05,86.34999847,90.30000305,82.5,90.12999725,116053000
2025-03-06,87.50499725,88.33999634,80.01000214,80.45999908,117340600
2025-03-07,80.02500153,85.16000366,79.15000153,84.91000366,105377100
2025-03-10,82,82.69000244,74.56999969,76.37999725,136843800
2025-03-11,75.78500366,80.74500275,75.52999878,78.05000305,109351500
2025-03-12,83.48000336,84.55000305,79.86000061,83.65000153,116525100
2025-03-13,82.84500122,83.73999786,78.31999969,79.62000275,100927200
2025-03-14,82.97000122,87.26999664,82.16000366,86.23999786,113985000
2025-03-17,88.44000244,88.81999969,84.5,87.34999847,99348900
