Datetime,o,h,l,c,v
2026-07-02 13:30:00,128.8150024,132.8800049,128.4199982,129.6950073,20111127
2026-07-02 14:30:00,129.6950073,131.7250061,128.4900055,128.8500061,7274197
2026-07-02 15:30:00,128.8699951,130.0700073,128.2949982,129.8200073,4723433
2026-07-02 16:30:00,129.8600006,132.4149933,129.2200012,131.5549927,6254874
2026-07-02 17:30:00,131.5700073,132.1000061,130.5,130.9349976,4378156
2026-07-02 18:30:00,130.8899994,131.0800018,129.1300049,129.5449982,4967991
2026-07-02 19:30:00,129.5700073,130.3999939,129.1499939,129.1499939,5215020
2026-07-06 13:30:00,127.1399994,132.8899994,126.7600021,130.8099976,10847132
2026-07-06 14:30:00,130.8200073,133.2200012,130.0650024,133.0500031,5569001
2026-07-06 15:30:00,133.0299988,134.0693054,132.4799957,133.4801025,4220557
2026-07-06 16:30:00,133.4900055,133.5198975,132.7299957,133.1699982,2646076
2026-07-06 17:30:00,133.1750031,133.1750031,131.4199982,132.5399017,2979555
2026-07-06 18:30:00,132.5299988,132.8200073,132.190094,132.4499969,2535807
2026-07-06 19:30:00,132.4600067,132.7299957,131.7149963,132.5350037,3158047
2026-07-07 13:30:00,133.7299957,135.0599976,131.4600067,133.1150055,13781454
2026-07-07 14:30:00,133.1049957,135.8899994,132.9387054,135.3500061,8011576
2026-07-07 15:30:00,135.3399963,136.2400055,135.1213074,135.9499969,4629113
2026-07-07 16:30:00,135.9300995,137.8200073,135.9300995,137.7250061,4855849
2026-07-07 17:30:00,137.7250061,138.8999939,137.5301056,138.5800018,5643174
2026-07-07 18:30:00,138.5899963,138.5899963,135.1600037,135.3200073,6997909
2026-07-07 19:30:00,135.3199005,135.5,134.2350006,134.3699951,4429155
2026-07-08 13:30:00,129.6349945,131.0099945,126.7167969,128.5850067,14136168
2026-07-08 14:30:00,128.5599976,129.1000061,127.7799988,128.4349976,4625483
2026-07-08 15:30:00,128.4199982,129.3699951,127.8949966,129.1100006,3052728
2026-07-08 16:30:00,129.0899963,129.9900055,128.6999969,129.7400055,2687757
2026-07-08 17:30:00,129.7599945,130.3399963,129.539505,130.2649994,2039069
2026-07-08 18:30:00,130.2350006,131.3099976,130.0630035,131.1199951,2825778
2026-07-08 19:30:00,131.1399994,132.3899994,130.9299927,132.2192993,4564726
2026-07-09 13:30:00,127.8720016,128.6300049,124.8099976,125.7399979,12729069
2026-07-09 14:30:00,125.7399979,126.9000015,125.0500031,126.7600021,4967530
2026-07-09 15:30:00,126.7699966,127.5498962,126.2200012,126.8899994,3565535
2026-07-09 16:30:00,126.8401031,128.1999969,126.6774979,128.0800018,2404777
2026-07-09 17:30:00,128.0800018,128.1549988,127.5699997,128.1349945,2092416
2026-07-09 18:30:00,128.1499939,128.8300018,128.1300049,128.5650024,2574008
2026-07-09 19:30:00,128.5650024,129.1900024,128.3616028,129.0500031,2710707
2026-07-10 13:30:00,132.1399994,132.2700043,126.6500015,127.3450012,8138265
2026-07-10 14:30:00,127.3899994,127.4000015,125.7699966,126.1396027,4450972
2026-07-10 15:30:00,126.125,127.4199982,125.9213028,127.25,2936518
2026-07-10 16:30:00,127.2600021,127.9599991,126.3799973,126.4300003,2798533
2026-07-10 17:30:00,126.4100037,126.7900009,125.9199982,126.3399963,3842943
2026-07-10 18:30:00,126.3498993,126.9700012,126.2710037,126.8349991,2841275
2026-07-10 19:30:00,126.8349991,127.2450027,126.6200027,126.7799988,2655705
2026-07-13 13:30:00,127.3990021,129.5599976,126.1949997,129.2899933,8975935
2026-07-13 14:30:00,129.2799988,130.0700073,127.6100006,130.0099945,4451608
2026-07-13 15:30:00,130.0399933,130.4900055,129.1799927,129.5399933,3531007
2026-07-13 16:30:00,129.5200043,130.7200012,128.8500061,129.3150024,3644266
2026-07-13 17:30:00,129.3399963,129.6100006,128.2700043,129.3000031,3977361
2026-07-13 18:30:00,129.25,130.1600037,128.2700043,128.3099976,4492927
2026-07-13 19:30:00,128.2700043,130.2299957,127.8000031,130.0500031,6164635
2026-07-14 13:30:00,123.6119995,132.4900055,122.6399994,131.8600006,17560043
2026-07-14 14:30:00,131.8600006,134.0603027,131.6499939,132.1950073,7545351
2026-07-14 15:30:00,132.1999969,133.6499939,131.0500031,133.6100006,4347350
2026-07-14 16:30:00,133.6399994,134.1900024,133.1100006,133.8000031,3779554
2026-07-14 17:30:00,133.8099976,135.6900024,133.75,135.1450043,4872959
2026-07-14 18:30:00,135.1450043,135.7899017,134.0099945,134.0899963,3956911
2026-07-14 19:30:00,134.0749969,134.1499939,133.3000946,133.7400055,3358496
2026-07-15 13:30:00,134.1699982,136.8800049,133,134.1600037,7460624
2026-07-15 14:30:00,134.1300049,134.8699951,132.8800049,133.5401001,3759924
2026-07-15 15:30:00,133.5800018,135.4799957,133.2649994,133.8000031,3672368
2026-07-15 16:30:00,133.7799988,134.0299988,133.1999969,133.6000061,2537392
2026-07-15 17:30:00,133.5650024,134.1849976,133.2599945,133.8099976,1763298
2026-07-15 18:30:00,133.8099976,133.9100037,133.1100006,133.7200012,2351021
2026-07-15 19:30:00,133.75,134.2344971,133.4799957,133.75,2277186
2026-07-16 13:30:00,133.2799988,133.8999939,128.6799927,131.7799988,6940391
2026-07-16 14:30:00,131.7200012,132.9700012,131.5908966,132.8650055,3228564
2026-07-16 15:30:00,132.9100037,133.7599945,132.1600037,132.7749939,2920585
2026-07-16 16:30:00,132.7700043,134.2799988,132.7299957,133.8899994,2861057
2026-07-16 17:30:00,133.8816071,134.3800049,133.25,134.0149994,2207634
2026-07-16 18:30:00,134.0050049,134.1499939,133.4700012,134.0099945,3040764
2026-07-16 19:30:00,134,134.8899994,133.9199982,134.4499969,4197297
2026-07-17 13:30:00,131.8049927,132.3899994,129.0500031,131.9199982,10821384
2026-07-17 14:30:00,131.9499969,132.8699951,130.9600067,131.6799927,3945107
2026-07-17 15:30:00,131.6300049,132.7400055,130.9400024,132.5350037,2299171
2026-07-17 16:30:00,132.5099945,134.6699066,132.0800018,134.4300995,3624008
2026-07-17 17:30:00,134.4299927,134.7698059,133.4799957,133.5099945,2333661
2026-07-17 18:30:00,133.5099945,133.75,131.6999969,132.1750031,2611716
2026-07-17 19:30:00,132.1600037,132.6000061,131.7599945,132.3399963,2636389
2026-07-20 13:30:00,131.8800049,135.3800049,131.8200073,133.0496979,6396099
2026-07-20 14:30:00,133.0101013,133.7400055,132.3699951,133.5,3523238
2026-07-20 15:30:00,133.5500031,135.8099976,133.0500031,135.4300995,3045672
2026-07-20 16:30:00,135.4400024,135.8500061,134.1600037,135.3999939,2536033
2026-07-20 17:30:00,135.3999939,136.4400024,135.2250061,136.1100006,2808138
2026-07-20 18:30:00,136.1000061,136.6199951,135.4100037,135.7050018,2779517
2026-07-20 19:30:00,135.7299957,136.4998932,134.8200073,134.8549957,3483056
2026-07-21 13:30:00,133.9750061,134.6799927,131.2250061,134.4400024,6388901
2026-07-21 14:30:00,134.4400024,134.5700073,132.7599945,133.1699982,2839105
2026-07-21 15:30:00,133.1210022,134.5599976,133.0099945,133.3999939,2768120
2026-07-21 16:30:00,133.3999939,133.6999969,132.3699951,132.8500061,2050047
2026-07-21 17:30:00,132.8399963,133.2799988,132.6000977,132.9898987,1506443
2026-07-21 18:30:00,133,133.2799988,132.6300049,132.9299927,1489452
2026-07-21 19:30:00,132.9349976,133.1199951,132.6000061,132.6199951,1919525
2026-07-22 13:30:00,132.2200012,132.3099976,126.9300003,127.2900009,7785229
2026-07-22 14:30:00,127.2600021,127.6399994,126.4300003,126.8199997,3443307
2026-07-22 15:30:00,126.8600006,127.1200027,125.8300018,126.3600006,4387968
2026-07-22 16:30:00,126.3199997,126.6399994,124.5699997,124.7291031,4768669
2026-07-22 17:30:00,124.7399979,124.8300018,123.4499969,123.8099976,4445934
2026-07-22 18:30:00,123.8099976,124.7699966,123.6100006,124.7249985,3631425
2026-07-22 19:30:00,124.7200012,124.8300018,123.8499985,124.5800018,4285530
2026-07-23 13:30:00,125.9349976,126.3899994,121.6399994,123.6750031,7494870
2026-07-23 14:30:00,123.6697998,123.7998962,120.7300034,121,4270247
2026-07-23 15:30:00,121.0299988,122,120.8199997,121.6999969,2773444
2026-07-23 16:30:00,121.7050018,122.3300018,121.4800034,121.9499969,2119271
2026-07-23 17:30:00,121.9400024,122.3300018,121.8000031,122.3199997,2245465
2026-07-23 18:30:00,122.3000031,122.5799026,121.9800034,122.4498978,2239827
2026-07-23 19:30:00,122.4499969,123.5,121.9100037,123.3000031,3729937
2026-07-24 13:30:00,125.3000031,125.3000031,122.0199966,123.0199966,5411319
2026-07-24 14:30:00,123.0199966,124.5199966,122.7200012,124.0299988,2537374
2026-07-24 15:30:00,124.0599976,124.3000031,123.1201019,123.8199997,1380481
2026-07-24 16:30:00,123.7699966,123.7921982,122.8499985,123.4599991,1281476
2026-07-24 17:30:00,123.4300003,124.1200027,123.2300034,123.8300018,1596286
2026-07-24 18:30:00,123.8399963,124.7699966,123.5400009,123.5800018,2736803
2026-07-24 19:30:00,123.5899963,123.7850037,122.7099991,122.9400024,2579999
2026-07-27 13:30:00,126.2900009,128.4900055,125.3199997,127.1750031,7425578
2026-07-27 14:30:00,127.1600037,129.9499969,126.2300034,129.7400055,4938409
2026-07-27 15:30:00,129.75,130.4299927,129.1300049,130.2250061,4154748
2026-07-27 16:30:00,130.2299957,132.1499939,129.9499969,131.6000061,3903692
2026-07-27 17:30:00,131.625,132.4100037,131.0599976,131.3300018,4041146
2026-07-27 18:30:00,131.3450012,131.8699951,131.0800018,131.4400024,2846908
2026-07-27 19:30:00,131.4499969,131.6499939,130.8300018,131.5449982,4203118
2026-07-28 13:30:00,125.8249969,127.1200027,117.8899994,118.8225021,16680312
2026-07-28 14:30:00,118.7934036,123.75,118.6299973,123.6900024,7300205
2026-07-28 15:30:00,123.6600037,124.348999,123.3000031,123.8850021,3817403
2026-07-28 16:30:00,123.8600998,124.9599991,123.7300034,124.8199997,2299172
2026-07-28 17:30:00,124.8100967,124.9199982,123.1600037,123.1921997,2179252
2026-07-28 18:30:00,123.2099991,123.9052963,122.9000015,123.1549988,2979163
2026-07-28 19:30:00,123.1549988,123.6699982,122.4649963,123.5599976,3953354
2026-07-29 13:30:00,123.9580002,125.4899979,122.6999969,123.5931015,5231336
2026-07-29 14:30:00,123.6596985,125.1500015,123.5607986,124.4499969,2849079
2026-07-29 15:30:00,124.4499969,125.4400024,124.0100021,124.8199997,2523897
2026-07-29 16:30:00,124.8199997,125.9689026,123.9400024,125.2200012,2191578
