Date,o,h,l,c,v
2024-09-26,488.4267141,488.7534246,480.9325539,484.5657959,32020200
2024-09-27,485.585474,485.7240858,480.6949676,481.8730469,22851100
2024-09-30,480.9127457,483.5163993,478.0814158,483.1798096,30281100
2024-10-01,482.8135659,483.1105481,472.6167473,476.4479675,42735400
2024-10-02,475.5470591,479.0318101,472.933526,477.1211548,23744000
2024-10-03,474.9332699,479.695074,474.1907845,476.76474,25337200
2024-10-04,482.5660192,482.9917036,477.5567202,482.4373169,30686600
2024-10-07,480.5266672,481.694837,476.0519359,477.2696228,24975100
2024-10-08,479.8040274,485.080611,479.0021455,484.397522,28272000
2024-10-09,484.1004797,488.7830984,483.0610122,488.2088928,24995000
2024-10-10,485.931954,489.5156787,484.6251725,487.6545105,25750400
2024-10-11,485.8230344,489.4364875,485.2587685,488.4167786,20644500
2024-10-14,490.802673,493.8320113,490.2978035,492.5153503,26060100
2024-10-15,492.8420215,493.5053218,483.7837052,485.9319763,34784500
2024-10-16,486.2586474,486.7635472,482.6848321,485.9913635,22996800
2024-10-17,491.4659742,491.5154611,486.268576,486.3279724,27210700
2024-10-18,489.1097904,490.6046707,488.3573955,489.515686,25335000
2024-10-21,488.3079057,491.2580586,486.387341,490.4561768,30336500
2024-10-22,487.7931656,492.4658754,487.0407707,490.9907837,26685800
2024-10-23,488.6445593,489.2979502,480.1901158,483.4669495,39346600
2024-10-24,487.1793199,488.0604171,484.5360887,487.3872375,22024900
2024-10-25,490.179019,495.2675037,489.476111,490.3572083,38762100
2024-10-28,493.4657397,493.5251361,490.1394193,490.4364014,20477800
2024-10-29,490.7531958,496.3267915,488.9019368,495.1487122,28014100
2024-10-30,494.386437,495.33681,490.9215049,491.4065857,29756000
2024-10-31,487.4466698,487.4961568,478.9031321,479.0021362,41245200
2024-11-01,480.6356092,485.8330077,480.3386271,482.5462646,33655800
2024-11-04,481.9423237,484.4766714,479.3980665,481.1404419,23291600
2024-11-05,482.724434,487.9416511,482.6353393,487.2783508,24353600
2024-11-06,495.5446519,501.336044,494.594279,500.5143433,43082200
2024-11-07,503.3061079,509.1767156,503.2467115,508.3945923,32853100
2024-11-08,507.8996325,509.7608009,507.2759399,508.9886475,22924500
2024-11-11,510.2062587,510.4141763,505.8008634,508.6916199,24167500
2024-11-12,508.6223337,509.5033705,504.7217777,507.7709045,25835300
2024-11-13,507.2661055,509.820212,504.8406408,507.1175842,24567400
2024-11-14,506.7810006,507.6521582,502.6824662,503.5932617,28679500
2024-11-15,497.9008679,498.2869447,489.5355194,491.594696,51461100
2024-11-18,493.1390536,497.1088856,491.7530868,495.0101013,27080800
