Date,o,h,l,c,v
2024-09-26,253.5835151,254.0698451,245.5144927,250.7251129,10082100
2024-09-27,251.2908461,251.3107003,244.2738703,245.8817291,7128600
2024-09-30,242.3186501,245.1571982,240.0557534,243.608902,6252500
2024-10-01,243.7875649,244.730436,235.2222926,237.0881958,7751800
2024-10-02,237.3759992,242.6163931,235.8078489,240.5023804,5842600
2024-10-03,239.7381552,245.296141,239.5297238,242.7156525,5926900
2024-10-04,247.340709,247.340709,242.4973085,245.9611359,5771300
2024-10-07,244.6807979,248.7202764,244.4624469,246.3581238,4958800
2024-10-08,247.2910723,251.2709881,246.0206747,250.6258698,4435300
2024-10-09,251.0923584,253.4942045,248.3332121,253.236145,4063400
2024-10-10,250.615936,253.9507335,249.1172679,252.7398834,4044600
2024-10-11,251.7076885,255.3699973,251.6977689,254.7645874,4202900
2024-10-14,256.5808829,260.2928506,256.4816572,259.3201904,4608600
2024-10-15,259.0422597,260.1439191,243.7379257,245.306076,14128900
2024-10-16,247.9560415,247.9560415,243.6585187,245.4648743,5692300
2024-10-17,253.2659044,254.2484991,249.6135151,249.6929169,6745000
2024-10-18,251.5985069,251.6183611,248.97831,249.6234283,3720700
2024-10-21,249.1172715,251.1518977,247.6186033,250.9434662,3923400
2024-10-22,249.4447932,250.5960958,247.7972411,249.8020935,3629100
2024-10-23,248.5713824,249.7822325,243.9959612,247.1421814,4971600
2024-10-24,248.988248,249.3157746,246.3382772,248.1843262,2595500
2024-10-25,250.5961005,254.6256292,250.4075233,251.0625763,6835900
2024-10-28,250.873995,251.1518935,249.1172674,249.3256989,3557300
2024-10-29,250.0105094,256.3922712,248.9783171,254.9928741,5392800
2024-10-30,249.8517138,251.1022571,247.5788825,248.7996521,5348400
2024-10-31,246.4077527,246.4077527,238.4776796,239.8671722,9464700
2024-11-01,242.358357,245.4350951,241.5246614,242.9141541,5521000
2024-11-04,243.4699518,245.6534468,241.5842096,242.4377594,5199200
2024-11-05,243.4104039,247.1719688,243.2416809,246.4474487,4344200
2024-11-06,250.3975798,253.7720857,248.3331951,252.8986816,7284400
2024-11-07,256.4518561,259.191133,256.2037313,259.0621033,5370200
2024-11-08,258.8040764,259.9156706,255.9853826,257.3947144,3915600
2024-11-11,255.9853815,256.1143809,249.1073548,251.6282959,7667300
2024-11-12,251.2015295,251.6680053,246.9933279,249.9708252,6574000
2024-11-13,248.7698888,249.2959121,245.3656242,245.7725525,5537900
2024-11-14,247.6880587,249.0775664,245.524418,246.3184052,4607600
2024-11-15,242.3384937,242.7355024,237.0087786,238.1501465,9499700
2024-11-18,237.2370584,240.353505,235.6093605,239.7282257,7696500
2024-11-19,239.2915353,242.4377556,238.7952858,242.3484192,4505200
2024-11-20,241.5048011,241.9216489,236.8598976,240.7207184,7585600
2024-11-21,243.678377,246.3283478,237.8027843,244.2540283,8825400
2024-11-22,244.1250056,244.7899782,241.4849543,242.7851257,4746300
2024-11-25,244.5021615,244.5021615,240.4626828,241.8323364,4562700
2024-11-26,243.976136,244.2738736,238.0906084,239.6091309,4996500
2024-11-27,237.8623332,238.0012825,232.4135078,236.4629059,6911600
2024-11-29,238.1997843,242.6561107,237.7928561,240.3138123,5607400
2024-12-02,241.5246572,247.2811398,241.5246572,246.0107422,8070300
2024-12-03,245.0777963,246.8146697,244.0852971,246.5566254,3227300
2024-12-04,250.3380529,251.1717637,247.4498919,250.7350616,5457400
2024-12-05,250.0005987,250.2685777,245.72293,246.4375305,3872100
2024-12-06,246.0206734,247.5491153,245.3557008,246.7451935,3885300
2024-12-09,244.3731272,247.0925802,243.0927949,244.2242584,4532600
2024-12-10,244.5815455,245.296146,236.5820051,238.0806885,6402400
2024-12-11,241.8223926,245.1869639,239.9167962,243.9066467,5588400
2024-12-12,242.1796934,242.8049727,240.1152935,241.5444946,3979300
2024-12-13,247.6483803,249.742554,244.2044072,247.6186066,8628300
2024-12-16,248.6210152,252.4520621,247.0528648,251.3503876,4893000
2024-12-17,248.6011716,249.2859984,246.1695519,248.085083,4027800
2024-12-18,250.2685799,252.5612504,238.6464086,240.1748657,8125800
2024-12-19,241.1772886,241.4254134,236.5621737,237.0782623,6893100
2024-12-20,235.6192674,243.4203105,234.7657176,240.8894501,6909300
2024-12-23,242.7745777,248.8157773,242.7745777,248.4469299,6650100
2024-12-24,249.6631479,250.5902557,248.6064384,250.5902557,2097400
2024-12-26,249.643214,251.6071045,248.1079977,250.1516266,2169300
2024-12-27,248.506746,249.294304,244.3995309,247.6294708,3812300
2024-12-30,243.8611928,246.5827354,241.9770562,243.9010773,3532100
2024-12-31,244.7484285,245.2867619,240.651177,241.4187927,3071800
2025-01-02,243.7615186,246.9814951,241.4985558,244.0306702,4464000
2025-01-03,246.2338263,251.5472949,245.9148117,251.0986938,4994400
2025-01-06,257.867632,262.4732961,257.6981459,259.4227905,10533200
2025-01-07,262.602892,262.7623689,252.2650491,253.2519684,7661100
2025-01-08,252.7734623,253.541078,248.7360222,251.4475861,5189500
2025-01-10,248.6363474,248.8157817,244.1602697,246.4132538,6901500
2025-01-13,240.322216,244.1702278,239.8735997,243.881134,6007500
2025-01-14,246.9615551,247.6095479,241.638123,244.6786652,3791500
2025-01-15,248.476844,251.2881038,246.9316489,250.4307709,5316800
2025-01-16,256.3124412,256.4021888,251.3678354,251.5074005,5696100
2025-01-17,257.1797621,257.8775724,254.8171034,257.4489136,5387300
2025-01-21,259.9909857,263.5000862,257.6482998,261.5760803,4923000
2025-01-22,265.1748939,268.8235446,264.3175762,266.3412781,6616500
2025-01-23,262.2041108,266.0321956,261.0875899,266.0222473,4704900
2025-01-24,266.5705368,266.6004425,259.8115691,260.71875,5119900
2025-01-27,241.7278298,244.3197707,231.5196037,235.0785217,21944900
2025-01-28,237.1520755,240.2823348,231.5395347,239.7041321,11707300
2025-01-29,241.6580585,241.6979278,235.9059526,238.7869873,8366000
2025-01-30,242.6649285,245.0873987,239.9234588,244.4095001,7676300
2025-01-31,245.4063967,250.679996,242.166478,242.8643036,8009900
2025-02-03,235.2380407,240.890451,234.3906713,238.0393219,7479600
2025-02-04,238.0692253,241.8674045,237.839943,240.7209778,4579000
2025-02-05,241.3689501,246.7322665,239.6542843,246.3733826,4811100
2025-02-06,246.4132515,247.6593741,244.8481295,247.5796356,4877200
2025-02-07,248.7858734,249.8724886,242.7247315,244.2400208,7258900
2025-02-10,246.2338198,249.5136077,246.2338198,248.8456879,4231300
2025-02-11,246.9316427,250.2612786,246.642549,249.0949097,3134900
2025-02-12,244.9378546,247.9684333,243.7814492,247.7391357,4212800
2025-02-13,247.2307114,251.3080206,247.0213561,251.1385498,4486100
2025-02-14,251.2183061,252.4345229,249.8525607,251.7965088,4279500
2025-02-18,253.9298696,256.4021877,252.5541455,255.4252167,6361400
2025-02-19,255.1859661,257.5785306,253.0924892,256.541748,3025400
2025-02-20,257.2694871,258.8246456,254.1292491,257.0003052,4401700
2025-02-21,257.5486223,257.8975427,248.4170323,249.2145538,7578500
2025-02-24,250.5204783,251.2781154,242.5253519,242.664917,7518000
2025-02-25,241.9571277,243.0238007,236.603775,237.5109558,7658600
2025-02-26,240.8505753,245.3565435,240.1527345,243.0636902,6675900
2025-02-27,245.3067036,245.6157395,227.9905746,228.0802917,10520600
2025-02-28,227.6615979,233.0548199,224.9301071,232.0479584,8654700
2025-03-03,234.6398983,234.6398983,220.2646297,222.3182373,10001200
2025-03-04,221.7699449,230.0840709,217.3736209,224.5313416,12563100
2025-03-05,227.1133148,229.4959004,222.7768023,228.6884003,6799400
2025-03-06,221.291424,225.4584657,218.3904622,219.0982513,9155200
2025-03-07,219.915722,225.0497411,216.396673,224.3917847,9426800
2025-03-10,218.888907,220.6035577,210.8538962,213.8645325,9616500
2025-03-11,214.5424307,218.3406098,209.8071651,213.5554962,7381300
2025-03-12,219.6365914,222.258423,217.503215,219.835968,8710800
2025-03-13,220.0951531,223.1855432,217.1343647,218.8689728,5126800
2025-03-14,222.6571898,226.2559924,222.5873996,225.8672028,5100700
2025-03-17,225.5282437,230.323321,225.3189036,228.2497864,5192200
2025-03-18,225.9270175,227.0634807,223.1855478,224.7207642,5196700
2025-03-19,224.7207572,230.3033924,223.085845,226.7045898,4932500
2025-03-20,224.4416242,228.2996148,224.1923997,226.3457031,3654700
2025-03-21,222.0789883,224.9101752,220.7232063,224.0727844,6319300
2025-03-24,228.4890245,231.6990373,228.3893438,229.9145966,6503200
2025-03-25,229.7351588,229.9445141,228.140131,228.9376373,3451800
2025-03-26,227.6915129,228.0902812,219.3674231,221.3213348,9591100
2025-03-27,218.370525,220.0154007,215.898222,217.0745544,9072500
2025-03-28,216.1274989,217.3636427,210.3953351,211.5118561,8722100
2025-03-31,206.6868687,211.0333447,203.875609,210.8140259,9477200
2025-04-01,210.3056188,211.8807043,206.6170838,211.8308716,6151300
2025-04-02,208.3118266,215.9380907,207.8233411,213.4259033,7096200
2025-04-03,202.0612731,203.8556926,194.7340661,194.9633636,14299000
2025-04-04,188.1146546,189.6997188,177.677131,180.2391663,22160100
2025-04-07,172.9518511,194.2256523,169.5823308,184.3264465,25600300
2025-04-08,192.3913589,195.1128863,175.5039036,179.3917999,19097600
2025-04-09,181.1961907,212.1498793,179.7108223,210.1760254,22178500
2025-04-10,200.7553407,201.8718616,188.4536068,195.6013794,18282500
2025-04-11,195.0929481,201.3135975,193.099152,200.6855469,10156300
2025-04-14,205.979073,206.1385803,198.1534323,200.9846191,9843300
2025-04-15,202.0413333,204.5036728,201.313602,202.2905579,5097800
2025-04-16,192.5608355,196.1496594,187.9451925,193.7471466,13067200
2025-04-17,195.2125882,195.3920226,190.4075322,191.932785,7067400
2025-04-21,188.3140332,188.8025187,183.8279921,187.2473602,9572700
2025-04-22,189.7595534,192.7003997,188.3738657,191.3047333,7242700
2025-04-23,200.9547153,202.4500624,197.465572,198.2929993,11495800
2025-04-24,202.5896287,208.6308286,201.5528461,208.3217926,9696200
2025-04-25,206.5373345,212.6283823,205.8594511,211.3124847,7487400
2025-04-28,210.2358278,211.5517405,205.7597501,209.9965668,5804900
2025-04-29,208.6806665,211.5916069,207.8731815,209.6376801,4506200
2025-04-30,204.3840422,211.0831983,203.2575426,210.6246185,5974400
2025-05-01,214.2632958,215.8583388,211.4520512,211.6414642,6878200
2025-05-02,217.3138186,220.2347227,216.5661451,218.3505859,6522200
2025-05-05,216.3567796,218.9188149,216.227178,216.9349823,4536000
2025-05-06,212.9872647,216.7655169,212.1797797,214.9212494,5019400
2025-05-07,215.0508446,220.2347113,213.5255918,219.3375092,9068800
2025-05-08,222.1587378,224.1425552,219.4172681,221.2615204,5919200
2025-05-09,223.8335156,224.6609428,221.3014013,222.707016,3495500
2025-05-12,235.9857066,237.9296548,233.3239907,236.6735687,9246900
2025-05-13,238.3084781,245.9247785,237.859877,244.7982788,8665600
2025-05-14,246.881792,248.666248,244.8381632,247.2207489,7439600
2025-05-15,244.9876944,248.2276131,243.3228765,246.3634186,6446300
2025-05-16,246.7721454,246.8419355,243.3627558,245.6556244,3800100
2025-05-19,240.6511865,245.7353727,240.5415271,245.2468872,4196100
2025-05-20,243.1135177,244.8481257,242.1265984,244.7783356,3115200
2025-05-21,242.5752088,247.8089237,239.2754786,240.7209778,6392500
2025-05-22,240.2823376,242.8543364,239.5745485,240.0630188,5185500
2025-05-23,234.5003246,238.1190694,233.8623104,236.703476,6577200
2025-05-27,241.7378107,244.9278813,239.9134854,244.2101135,8858900
2025-05-28,244.5291194,245.446279,241.1596142,241.6082153,10739500
2025-05-29,248.2276125,248.4369678,241.9471518,243.322876,9120100
2025-05-30,242.4755028,242.4755028,234.6398837,239.0063019,11064700
2025-06-02,238.438073,243.2730347,238.2187694,242.5453033,4719900
2025-06-03,242.7247384,248.3970909,241.598254,248.0182648,7518700
2025-06-04,249.7927533,251.8264186,247.5896019,250.9690857,7258700
2025-06-05,252.9529109,255.2657064,248.9852458,250.5204773,8054100
2025-06-06,252.7535299,254.797174,251.8563277,251.9460449,5589700
2025-06-09,254.2089913,259.0638797,254.2089913,256.1629028,10841400
2025-06-10,257.5585664,261.8651733,256.6613642,261.2570801,9763000
2025-06-11,262.7823233,264.0882572,258.8844484,261.0676575,12286000
2025-06-12,259.2532985,263.1810791,259.2532985,262.3337097,6781900
2025-06-13,256.7510705,259.7916277,255.2557235,256.1928101,11950200
2025-06-16,259.153614,264.2278215,258.9741797,262.5630188,7497700
2025-06-17,261.6259339,264.7063453,260.5492669,260.7785645,7284700
2025-06-18,261.9648647,264.0882624,260.1804087,261.7754517,7367400
2025-06-20,264.0284566,264.1979123,256.4221196,259.4626465,11439900
2025-06-23,259.0439577,261.8452387,256.3224152,261.1075439,10420100
2025-06-24,265.1050792,270.7774313,264.9156662,270.6976929,9035500
2025-06-25,272.372475,274.4161037,271.6048745,274.346344,8480000
2025-06-26,276.2204956,277.0878225,274.0971283,276.3401489,6789000
2025-06-27,277.3170897,279.6299005,274.7849906,277.556366,8170900
2025-06-30,278.8323868,279.0915596,276.2404458,278.0149231,6375800
2025-07-01,275.9413581,277.1974593,271.3157671,274.9843445,8931300
2025-07-02,273.9675166,281.0454985,273.8080093,280.3775635,8713800
2025-07-03,281.9427281,284.3053717,281.4343003,282.7402344,4443000
2025-07-07,280.886008,281.7632832,277.6859434,278.8922119,8616400
2025-07-08,280.7364525,283.8468001,279.8293021,282.6006775,8186500
2025-07-09,283.8468058,286.9471443,282.6904004,284.534668,6810700
2025-07-10,286.9969906,287.2960479,283.6773031,286.6281128,5635200
2025-07-11,285.5813805,288.0437199,284.6642209,286.5982056,5677000
2025-07-14,285.4119077,285.6312265,280.8660549,284.434967,7455800
2025-07-15,290.7652761,292.2905289,289.1801814,289.8979492,9892500
2025-07-16,287.6050807,288.6717689,282.2517431,288.3826599,10065900
2025-07-17,289.1502604,291.6524842,287.0867046,290.8051147,6998300
2025-07-18,292.001426,292.4201062,288.4325138,289.4094849,5522100
2025-07-21,289.7683635,292.6194773,289.4991816,289.6088562,5910900
2025-07-22,288.841242,288.9409379,281.2448835,284.4848022,11537500
2025-07-23,284.4150132,285.7807891,282.112181,285.7209473,8194600
2025-07-24,286.2991639,287.3758004,284.0362161,286.9072571,5902600
2025-07-25,285.3421347,287.1465177,284.1757506,286.5982056,4014900
2025-07-28,288.8811243,290.6655803,288.3926539,290.506073,5671900
2025-07-29,292.6493809,295.809561,290.5758464,291.9914246,6968700
2025-07-30,293.8456868,296.4575549,292.6793027,295.3410339,7930300
2025-07-31,293.7858661,294.0051849,285.1626737,287.8842163,9928100
